warmup candidate, discarded
warm rep0: 133.18 tok/s rc=0 thermal=68,1800MHz,152.93W
A rep1: 133.03 tok/s rc=0 thermal=68,1785MHz,151.47W
B rep1: 132.92 tok/s rc=0 thermal=70,1657MHz,154.75W
A rep2: 132.93 tok/s rc=0 thermal=68,1837MHz,142.45W
B rep2: 132.18 tok/s rc=0 thermal=72,1657MHz,153.76W
A rep3: 132.66 tok/s rc=0 thermal=69,1822MHz,140.40W
B rep3: 132.59 tok/s rc=0 thermal=73,1650MHz,156.23W
A rep4: 132.45 tok/s rc=0 thermal=70,1762MHz,134.75W
B rep4: 132.30 tok/s rc=0 thermal=74,1687MHz,154.03W
A rep5: 132.27 tok/s rc=0 thermal=74,1957MHz,154.51W
B rep5: 132.17 tok/s rc=0 thermal=75,1680MHz,153.40W
