procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  0      0 33568108 1582216 382302560    0    0    67  1330 1722    0  1  0 99  0  0  0
 1  0      0 32880388 1582216 382310776    0    0     0  6700 5368 3649  0  2 98  0  0  0
 1  0      0 32518828 1582216 382310776    0    0     0     0 3103 2645  1  1 98  0  0  0
 2  0      0 32465364 1582216 382310776    0    0     0     0 3323 2851  1  1 98  0  0  0
 1  0      0 32474176 1582216 382310776    0    0     0     0 3301 2824  1  1 98  0  0  0
 1  0      0 32457088 1582216 382310776    0    0     0    44 3030 2770  1  1 98  0  0  0
 1  0      0 32449508 1582216 382310780    0    0     0     0 3051 2721  1  1 98  0  0  0
 0  0      0 32426156 1582216 382310780    0    0     0     0 4300 3361  1  1 98  0  0  0
 2  0      0 32350700 1582220 382310808    0    0     0     0 3624 3020  1  1 98  0  0  0
 1  0      0 32363916 1582220 382310808    0    0     0     0 3215 2510  2  1 97  0  0  0
 1  0      0 32367104 1582224 382310808    0    0     0    28 3149 2543  1  1 98  0  0  0
 1  0      0 32368856 1582224 382310812    0    0     0     0 3168 2632  1  1 98  0  0  0
 1  0      0 32377324 1582224 382310824    0    0     0     0 3052 2522  2  1 98  0  0  0
 2  0      0 32357620 1582224 382310824    0    0     0    84 3054 2509  1  1 98  0  0  0
 2  0      0 32346424 1582224 382310824    0    0     0     0 3251 2633  1  1 97  0  0  0
 1  0      0 32329464 1582228 382310828    0    0     0    16 4434 2664  2  1 97  0  0  0
 1  0      0 32322148 1582228 382310828    0    0     0     0 3013 2417  1  1 98  0  0  0
 1  0      0 32344916 1582228 382310832    0    0     0     0 3158 2517  1  1 98  0  0  0
 1  0      0 32347384 1582228 382310832    0    0     0     0 3056 2507  1  1 98  0  0  0
 1  0      0 32335940 1582228 382310832    0    0     0     0 3065 2559  2  1 98  0  0  0
 1  0      0 32384208 1582232 382310828    0    0     0    16 3503 2812  1  1 97  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 32397772 1582232 382310828    0    0     0     0 3144 2443  1  1 98  0  0  0
 1  0      0 32402388 1582232 382310832    0    0     0     0 2931 2375  2  1 98  0  0  0
 1  0      0 32440824 1582232 382310832    0    0     0     4 3081 2440  1  1 98  0  0  0
 1  0      0 32399748 1582232 382310832    0    0     0     0 3067 2422  1  1 98  0  0  0
 2  0      0 32417924 1582236 382310836    0    0     0    28 3221 2495  2  1 97  0  0  0
 1  0      0 32403052 1582236 382310844    0    0     0     0 3085 2391  1  1 98  0  0  0
 1  0      0 32420872 1582236 382310852    0    0     0     0 5405 3414  1  1 97  0  0  0
 1  0      0 32438800 1582236 382310852    0    0     0   112 3485 2717  1  1 98  0  0  0
 2  0      0 32420796 1582236 382310852    0    0     0     0 3079 2409  2  1 98  0  0  0
 3  0      0 32418720 1582240 382310852    0    0     0    16 3060 2340  1  1 98  0  0  0
 2  0      0 32420368 1582244 382310856    0    0     0    72 3319 2567  1  1 97  0  0  0
 1  0      0 32444012 1582244 382310864    0    0     0  6096 3421 2869  2  1 98  0  0  0
 1  0      0 32427884 1582244 382310864    0    0     0    96 3033 2352  1  1 98  0  0  0
 1  0      0 32435956 1582244 382310864    0    0     0     0 3188 2492  1  1 98  0  0  0
 1  0      0 32437448 1582244 382310876    0    0     0     0 3225 2532  2  1 98  0  0  0
 1  0      0 32418724 1582248 382310876    0    0     0    24 3174 2405  2  1 98  0  0  0
 1  0      0 32423992 1582248 382310876    0    0     0     0 3214 2456  1  1 97  0  0  0
 1  0      0 32427316 1582248 382310876    0    0     0    12 3037 2416  1  1 98  0  0  0
 1  0      0 32417692 1582248 382310880    0    0     0    32 3098 2498  2  1 98  0  0  0
 1  0      0 32431940 1582248 382310884    0    0     0     0 3088 2352  1  1 98  0  0  0
 1  0      0 32419608 1582256 382310876    0    0     0    24 2992 2372  1  1 98  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 32401592 1582256 382310888    0    0     0     0 3167 2472  2  1 97  0  0  0
 1  0      0 32425892 1582256 382310888    0    0     0     0 3212 2446  1  1 98  0  0  0
 1  0      0 32427856 1582256 382310888    0    0     0     0 2939 2403  1  1 98  0  0  0
 1  0      0 32408704 1582256 382310892    0    0     0     0 2959 2391  1  1 98  0  0  0
 1  0      0 32394004 1582260 382310888    0    0     0    48 2969 2338  2  1 98  0  0  0
 2  0      0 32393748 1582260 382310900    0    0     0     0 3973 2545  1  1 97  0  0  0
 1  0      0 32403272 1582260 382310900    0    0     0     0 3157 2458  1  1 97  0  0  0
 1  0      0 32421792 1582260 382310908    0    0     0     0 3003 2408  2  1 98  0  0  0
 1  0      0 32410948 1582260 382310912    0    0     0     0 2895 2336  1  1 98  0  0  0
 1  0      0 32435776 1582268 382310904    0    0     0    16 3137 2519  1  1 98  0  0  0
 2  0      0 32430360 1582268 382310912    0    0     0  3620 3024 2540  2  1 98  0  0  0
 2  0      0 32451664 1582268 382310912    0    0     0     0 3044 2408  2  1 97  0  0  0
 1  0      0 32430108 1582268 382310912    0    0     0     0 3265 2456  1  1 98  0  0  0
 1  0      0 32462040 1582268 382310916    0    0     0     0 3080 2503  1  1 98  0  0  0
 1  0      0 32459856 1582272 382310920    0    0     0    16 2920 2402  2  1 98  0  0  0
 1  0      0 32472820 1582272 382310920    0    0     0     0 2980 2346  1  1 98  0  0  0
 1  0      0 32442664 1582272 382310924    0    0     0     0 2975 2402  1  1 98  0  0  0
 1  0      0 32485764 1582272 382310924    0    0     0     0 3140 2582  2  1 97  0  0  0
 1  0      0 32505936 1582272 382310936    0    0     0     0 3043 2349  2  1 98  0  0  0
 1  0      0 32521216 1582272 382310936    0    0     0    16 3153 2490  1  1 97  0  0  0
 1  0      0 32516668 1582272 382310940    0    0     0    48 3110 2416  2  1 98  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 32526416 1582276 382310940    0    0     0    40 2988 2437  2  1 98  0  0  0
 2  0      0 32474220 1582276 382310940    0    0     0    88 3219 2474  1  1 97  0  0  0
 1  0      0 32449704 1582276 382310944    0    0     0     0 2930 2477  1  1 98  0  0  0
 1  0      0 32442496 1582276 382310944    0    0     0    24 2990 2401  2  1 98  0  0  0
 1  0      0 32491352 1582276 382310944    0    0     0     0 2959 2417  1  1 98  0  0  0
 1  0      0 32498092 1582276 382310948    0    0     0     0 3055 2389  1  1 98  0  0  0
 2  0      0 32491132 1582276 382310948    0    0     0     0 2924 2403  2  1 98  0  0  0
 1  0      0 32515572 1582276 382310952    0    0     0     0 3157 2397  1  1 97  0  0  0
 1  0      0 32500088 1582276 382310960    0    0     0    16 3134 2533  1  1 98  0  0  0
 1  0      0 32501424 1582276 382310960    0    0     0     0 2953 2389  1  1 98  0  0  0
 1  0      0 32489604 1582276 382310960    0    0     0     0 2909 2332  2  1 98  0  0  0
 1  0      0 32519348 1582276 382310960    0    0     0    20 3077 2407  1  1 98  0  0  0
 2  0      0 32501400 1582276 382310964    0    0     0     0 3150 2542  1  1 97  0  0  0
 1  0      0 32515052 1582280 382310972    0    0     0    28 5806 3297  2  1 97  0  0  0
 1  0      0 32492748 1582280 382310972    0    0     0     0 3405 2678  1  1 97  0  0  0
 1  0      0 32468780 1582280 382310972    0    0     0     0 2896 2409  1  1 98  0  0  0
 1  0      0 32470296 1582280 382310972    0    0     0     0 3059 2519  2  1 98  0  0  0
 2  0      0 32463060 1582280 382310976    0    0     0     0 4085 2325  2  1 97  0  0  0
 2  0      0 32438364 1582280 382310976    0    0     0    16 3198 2488  1  1 97  0  0  0
 1  0      0 32450404 1582280 382310984    0    0     0    20 3168 2432  1  1 98  0  0  0
 1  0      0 32440324 1582280 382310984    0    0     0     0 2922 2488  2  1 98  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 32412300 1582280 382310984    0    0     0     0 2807 2311  1  1 98  0  0  0
 1  0      0 32457612 1582280 382310992    0    0     0     0 3050 2448  1  1 98  0  0  0
 2  0      0 32450752 1582288 382310988    0    0     0    16 3133 2433  2  1 98  0  0  0
 1  0      0 32452480 1582288 382311000    0    0     0     0 3116 2488  1  1 97  0  0  0
 1  0      0 32469644 1582288 382311000    0    0     0     0 2994 2407  1  1 98  0  0  0
 1  0      0 32483820 1582288 382311000    0    0     0     0 2943 2394  1  1 98  0  0  0
 1  0      0 32477584 1582288 382311004    0    0     0     0 2907 2328  2  1 98  0  0  0
 1  0      0 32473164 1582292 382311000    0    0     0    16 3006 2542  1  1 98  0  0  0
 1  0      0 32484116 1582292 382311008    0    0     0     0 3109 2472  1  1 97  0  0  0
 1  0      0 32457656 1582292 382311016    0    0     0    20 3115 2413  2  1 98  0  0  0
 1  0      0 32466484 1582292 382311016    0    0     0     0 3068 2373  1  1 98  0  0  0
 1  0      0 32514368 1582292 382311028    0    0     0    80 4628 3515  1  1 97  0  0  0
 1  0      0 32533300 1582296 382311024    0    0     0    28 3018 2412  2  1 98  0  0  0
 2  0      0 32496328 1582296 382311024    0    0     0     0 3054 2385  1  1 98  0  0  0
 1  0      0 32454244 1582296 382311024    0    0     0     0 3119 2441  1  1 97  0  0  0
 1  0      0 32444444 1582296 382311024    0    0     0     0 3076 2499  2  1 98  0  0  0
 1  0      0 32430204 1582296 382311028    0    0     0    12 2879 2332  2  1 98  0  0  0
 1  0      0 32422644 1582300 382311028    0    0     0    24 2978 2416  1  1 98  0  0  0
 1  0      0 32400892 1582300 382311028    0    0     0     0 3029 2416  1  1 98  0  0  0
 2  0      0 32407752 1582300 382311028    0    0     0     0 3081 2537  2  1 97  0  0  0
 1  0      0 32439276 1582300 382311040    0    0     0     0 3004 2363  1  1 98  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 32468628 1582300 382311048    0    0     0    20 2996 2414  1  1 98  0  0  0
 1  0      0 32497404 1582304 382311048    0    0     0    24 3022 2392  2  1 98  0  0  0
 1  0      0 32507752 1582304 382311048    0    0     0  8932 3067 2603  1  1 98  0  0  0
 2  0      0 32481136 1582304 382311048    0    0     0     0 3194 2411  1  1 97  0  0  0
 1  0      0 32473720 1582304 382311048    0    0     0     0 3111 2449  1  1 98  0  0  0
 1  0      0 32515320 1582304 382311052    0    0     0     0 3192 2503  2  1 98  0  0  0
 1  0      0 32525948 1582308 382311052    0    0     0    16 2919 2411  1  1 98  0  0  0
 1  0      0 32489552 1582308 382311052    0    0     0     0 3704 2402  1  1 97  0  0  0
 1  0      0 32483760 1582308 382311056    0    0     0     0 3067 2424  2  1 98  0  0  0
 1  0      0 32474796 1582308 382311060    0    0     0     0 2961 2405  2  1 97  0  0  0
 1  0      0 32494676 1582308 382311076    0    0     0     0 3191 2520  1  1 98  0  0  0
 1  0      0 32498500 1582312 382311076    0    0     0    16 2959 2396  2  1 98  0  0  0
 1  0      0 32504812 1582312 382311076    0    0     0    24 3021 2332  2  1 98  0  0  0
 1  0      0 32533440 1582312 382311076    0    0     0     0 3187 2379  1  1 98  0  0  0
 2  0      0 32530344 1582312 382311076    0    0     0     0 3339 2519  1  1 97  0  0  0
 1  0      0 32533952 1582312 382311080    0    0     0     0 3367 2440  2  1 98  0  0  0
 1  0      0 32507404 1582320 382311080    0    0     0    16 3096 2399  1  1 97  0  0  0
 1  0      0 32510268 1582320 382311084    0    0     0     0 2950 2414  1  1 98  0  0  0
 1  0      0 32525376 1582320 382311084    0    0     0     0 3176 2507  2  1 98  0  0  0
 1  0      0 32493120 1582320 382311084    0    0     0     0 2935 2343  2  1 98  0  0  0
 1  0      0 32514248 1582320 382311088    0    0     0     0 3100 2472  1  1 97  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 32518124 1582328 382311096    0    0     0   100 3222 2457  1  1 98  0  0  0
 1  0      0 32530724 1582328 382311104    0    0     0     0 2988 2444  2  1 98  0  0  0
 1  0      0 32552252 1582328 382311104    0    0     0     0 2988 2392  1  1 98  0  0  0
 1  0      0 32541568 1582328 382311104    0    0     0     0 2894 2373  1  1 98  0  0  0
 2  0      0 32534284 1582328 382311108    0    0     0     0 3134 2435  2  1 97  0  0  0
 1  0      0 32541224 1582332 382311108    0    0     0    40 3102 2489  1  1 98  0  0  0
 1  0      0 32545540 1582332 382311112    0    0     0     0 3007 2383  1  1 98  0  0  0
 1  0      0 32520404 1582332 382311112    0    0     0     0 3079 2467  2  1 98  0  0  0
 1  0      0 32505020 1582332 382311116    0    0     0     0 2966 2345  2  1 98  0  0  0
 2  0      0 32521912 1582332 382311116    0    0     0     0 3279 2518  1  1 98  0  0  0
 1  0      0 32556296 1582332 382311120    0    0     0    16 5062 3517  1  1 97  0  0  0
 1  0      0 32545652 1582336 382311116    0    0     0    96 3298 2477  2  1 98  0  0  0
 1  0      0 32554404 1582336 382311128    0    0     0     0 3026 2347  1  1 98  0  0  0
