#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 20260812    18:05:06       0     29     26      -      0      0      0      0      0      0    405    180      0      0      0 
 20260812    18:05:07       0     69     30      -      2      0      0      0      0      0  12481   2415    755    754      0 
 20260812    18:05:08       0     92     28      -      0      0      0      0      0      0  12481   2415    755    754      0 
 20260812    18:05:09       0     87     28      -      0      0      0      0      0      0  12481   2415    755    754      0 
 20260812    18:05:10       0     85     28      -      0      0      0      0      0      0  12481   2415    755    754      0 
 20260812    18:05:11       0     85     29      -      0      0      0      0      0      0  12481   2415    755    754      0 
 20260812    18:05:12       0     88     29      -      0      0      0      0      0      0  12481   2415    755    754      0 
 20260812    18:05:13       0     88     29      -      0      0      0      0      0      0  12481   2415    755    754      0 
 20260812    18:05:14       0     85     29      -      0      0      0      0      0      0  12481   2415    755    754      0 
 20260812    18:05:15       0     86     29      -      0      0      0      0      0      0  12481   2415    755    754      0 
 20260812    18:05:16       0     86     29      -      0      0      0      0      0      0  12481   2415    755    754      0 
 20260812    18:05:17       0     86     29      -      0      0      0      0      0      0  12481   2415    755    754      0 
 20260812    18:05:18       0     86     29      -      0      0      0      0      0      0  12481   2415    755    754      0 
 20260812    18:05:19       0     87     29      -      0      0      0      0      0      0  12481   2415    755    754      0 
 20260812    18:05:20       0     85     29      -      0      0      0      0      0      0  12481   2415    755    754      0 
 20260812    18:05:21       0     86     29      -      0      0      0      0      0      0  12481   2415    755    754      0 
 20260812    18:05:22       0     85     29      -      0      0      0      0      0      0  12481   2415    755    754      0 
 20260812    18:05:23       0     85     30      -      0      0      0      0      0      0  12481   2415    755    754      0 
 20260812    18:05:24       0     86     30      -      0      0      0      0      0      0  12481   2415    755    754      0 
 20260812    18:05:25       0     87     30      -      0      0      0      0      0      0  12481   2415    755    754      0 
 20260812    18:05:26       0     86     30      -      0      0      0      0      0      0  12481   2415    755    754      0 
 20260812    18:05:27       0     85     30      -      0      0      0      0      0      0  12481   2415    755    754      0 
 20260812    18:05:28       0     86     30      -      0      0      0      0      0      0  12481   2415    755    754      0 
 20260812    18:05:29       0     86     30      -      0      0      0      0      0      0  12481   2415    755    754      0 
 20260812    18:05:30       0     85     30      -      0      0      0      0      0      0  12481   2415    755    754      0 
 20260812    18:05:31       0     85     30      -      0      0      0      0      0      0  12481   2415    755    754      0 
 20260812    18:05:32       0     86     30      -      0      0      0      0      0      0  12481   2415    755    754      0 
 20260812    18:05:33       0     86     30      -      0      0      0      0      0      0  12481   2415    755    754      0 
 20260812    18:05:34       0     86     30      -      0      0      0      0      0      0  12481   2415    755    754      0 
 20260812    18:05:35       0     85     30      -      0      0      0      0      0      0  12481   2415    755    754      0 
 20260812    18:05:36       0     86     30      -      0      0      0      0      0      0  12481   2415    755    754      0 
 20260812    18:05:37       0     86     30      -      0      0      0      0      0      0  12481   2415    755    754      0 
 20260812    18:05:38       0     86     30      -      0      0      0      0      0      0  12481   2415    755    754      0 
 20260812    18:05:39       0     85     30      -      0      0      0      0      0      0  12481   2415    755    754      0 
 20260812    18:05:40       0     86     30      -      0      0      0      0      0      0  12481   2415    755    754      0 
 20260812    18:05:41       0     86     30      -      0      0      0      0      0      0  12481   2415    755    754      0 
 20260812    18:05:42       0     85     30      -      0      0      0      0      0      0  12481   2415    755    754      0 
 20260812    18:05:43       0     86     30      -      0      0      0      0      0      0  12481   2415    755    754      0 
 20260812    18:05:44       0     88     30      -      1      0      0      0      0      0  12481   2415    755    754      0 
 20260812    18:05:45       0     88     30      -      0      0      0      0      0      0  12481   2415    757    756      0 
 20260812    18:05:46       0     88     30      -      0      0      0      0      0      0  12481   2415    757    756      0 
 20260812    18:05:47       0     87     30      -      0      0      0      0      0      0  12481   2415    757    756      0 
 20260812    18:05:48       0     86     30      -      0      0      0      0      0      0  12481   2415    757    756      0 
 20260812    18:05:49       0     88     30      -      0      0      0      0      0      0  12481   2415    757    756      0 
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 20260812    18:05:50       0     88     30      -      0      0      0      0      0      0  12481   2415    757    756      0 
 20260812    18:05:51       0     86     30      -      0      0      0      0      0      0  12481   2415    757    756      0 
 20260812    18:05:52       0     86     30      -      0      0      0      0      0      0  12481   2415    757    756      0 
 20260812    18:05:53       0     87     31      -      0      0      0      0      0      0  12481   2415    757    756      0 
 20260812    18:05:54       0     86     31      -      0      0      0      0      0      0  12481   2415    757    756      0 
 20260812    18:05:55       0     86     31      -      0      0      0      0      0      0  12481   2415    757    756      0 
 20260812    18:05:56       0     88     31      -      0      0      0      0      0      0  12481   2415    757    756      0 
 20260812    18:05:57       0     87     31      -      0      0      0      0      0      0  12481   2415    757    756      0 
 20260812    18:05:58       0     88     31      -      0      0      0      0      0      0  12481   2415    757    756      0 
 20260812    18:05:59       0     88     31      -      0      0      0      0      0      0  12481   2415    757    756      0 
 20260812    18:06:00       0     88     31      -      0      0      0      0      0      0  12481   2415    757    756      0 
 20260812    18:06:01       0     88     31      -      0      0      0      0      0      0  12481   2415    757    756      0 
 20260812    18:06:02       0     88     31      -      0      0      0      0      0      0  12481   2415    757    756      0 
 20260812    18:06:03       0     88     31      -      0      0      0      0      0      0  12481   2415    757    756      0 
 20260812    18:06:04       0     88     31      -      0      0      0      0      0      0  12481   2415    757    756      0 
 20260812    18:06:05       0     88     31      -      0      0      0      0      0      0  12481   2415    757    756      0 
 20260812    18:06:06       0     89     31      -      0      0      0      0      0      0  12481   2415    757    756      0 
 20260812    18:06:07       0     88     31      -      0      0      0      0      0      0  12481   2415    757    756      0 
 20260812    18:06:08       0     88     31      -      0      0      0      0      0      0  12481   2415    757    756      0 
 20260812    18:06:09       0     89     31      -      0      0      0      0      0      0  12481   2415    757    756      0 
 20260812    18:06:10       0     88     31      -      0      0      0      0      0      0  12481   2415    757    756      0 
 20260812    18:06:11       0     88     31      -      0      0      0      0      0      0  12481   2415    757    756      0 
 20260812    18:06:12       0     88     31      -      0      0      0      0      0      0  12481   2415    757    756      0 
 20260812    18:06:13       0     89     31      -      0      0      0      0      0      0  12481   2415    757    756      0 
 20260812    18:06:14       0     88     31      -      0      0      0      0      0      0  12481   2415    757    756      0 
 20260812    18:06:15       0     88     31      -      0      0      0      0      0      0  12481   2415    757    756      0 
 20260812    18:06:16       0     89     31      -      0      0      0      0      0      0  12481   2415    757    756      0 
 20260812    18:06:17       0     87     31      -      0      0      0      0      0      0  12481   2415    757    756      0 
 20260812    18:06:18       0     88     31      -      0      0      0      0      0      0  12481   2415    757    756      0 
 20260812    18:06:19       0     88     31      -      0      0      0      0      0      0  12481   2415    757    756      0 
 20260812    18:06:20       0     88     31      -      0      0      0      0      0      0  12481   2415    757    756      0 
 20260812    18:06:21       0     88     31      -      0      0      0      0      0      0  12481   2415    757    756      0 
 20260812    18:06:22       0     89     31      -      0      0      0      0      0      0  12481   2415    757    756      0 
 20260812    18:06:23       0     88     31      -      0      0      0      0      0      0  12481   2415    757    756      0 
 20260812    18:06:24       0     87     31      -      0      0      0      0      0      0  12481   2415    757    756      0 
 20260812    18:06:25       0     87     31      -      0      0      0      0      0      0  12481   2415    757    756      0 
 20260812    18:06:26       0     86     31      -      0      0      0      0      0      0  12481   2415    757    756      0 
 20260812    18:06:27       0     87     31      -      0      0      0      0      0      0  12481   2415    757    756      0 
 20260812    18:06:28       0     87     31      -      0      0      0      0      0      0  12481   2415    757    756      0 
 20260812    18:06:29       0     89     31      -      0      0      0      0      0      0  12481   2415    757    756      0 
 20260812    18:06:30       0     88     31      -      0      0      0      0      0      0  12481   2415    757    756      0 
 20260812    18:06:31       0     88     31      -      0      0      0      0      0      0  12481   2415    757    756      0 
 20260812    18:06:32       0     89     31      -      0      0      0      0      0      0  12481   2415    757    756      0 
 20260812    18:06:33       0     89     31      -      0      0      0      0      0      0  12481   2415    757    756      0 
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 20260812    18:06:34       0     88     31      -      0      0      0      0      0      0  12481   2415    757    756      0 
 20260812    18:06:35       0     89     31      -      0      0      0      0      0      0  12481   2415    757    756      0 
 20260812    18:06:36       0     89     31      -      0      0      0      0      0      0  12481   2415    757    756      0 
 20260812    18:06:37       0     88     31      -      0      0      0      0      0      0  12481   2415    757    756      0 
 20260812    18:06:38       0     88     31      -      0      0      0      0      0      0  12481   2415    757    756      0 
 20260812    18:06:39       0     88     31      -      0      0      0      0      0      0  12481   2415    757    756      0 
 20260812    18:06:40       0     89     31      -      0      0      0      0      0      0  12481   2415    757    756      0 
 20260812    18:06:41       0     90     31      -      0      0      0      0      0      0  12481   2415    757    756      0 
 20260812    18:06:42       0     87     31      -      0      0      0      0      0      0  12481   2415    757    756      0 
 20260812    18:06:43       0     87     31      -      0      0      0      0      0      0  12481   2415    757    756      0 
 20260812    18:06:44       0     87     31      -      0      0      0      0      0      0  12481   2415    757    756      0 
 20260812    18:06:45       0     87     31      -      0      0      0      0      0      0  12481   2415    757    756      0 
 20260812    18:06:46       0     87     31      -      0      0      0      0      0      0  12481   2415    757    756      0 
 20260812    18:06:47       0     88     31      -      0      0      0      0      0      0  12481   2415    757    756      0 
 20260812    18:06:48       0     88     31      -      0      0      0      0      0      0  12481   2415    757    756      0 
 20260812    18:06:49       0     87     31      -      0      0      0      0      0      0  12481   2415    757    756      0 
 20260812    18:06:50       0     86     31      -      0      0      0      0      0      0  12481   2415    757    756      0 
 20260812    18:06:51       0     86     31      -      0      0      0      0      0      0  12481   2415    757    756      0 
 20260812    18:06:52       0     87     31      -      0      0      0      0      0      0  12481   2415    757    756      0 
 20260812    18:06:53       0     86     31      -      0      0      0      0      0      0  12481   2415    757    756      0 
 20260812    18:06:54       0     86     31      -      0      0      0      0      0      0  12481   2415    757    756      0 
 20260812    18:06:55       0     87     31      -      0      0      0      0      0      0  12481   2415    757    756      0 
 20260812    18:06:56       0     87     31      -      0      0      0      0      0      0  12481   2415    757    756      0 
