[server] starting; models config = [("m", "/data/ai-ml/hf-models/qwen36-35b-moe/Qwen3.6-35B-A3B-UD-IQ4_XS.gguf", None)]
[worker] Engine ready (MEMRA_FAST=true)
[worker] loading model "m" <- /data/ai-ml/hf-models/qwen36-35b-moe/Qwen3.6-35B-A3B-UD-IQ4_XS.gguf
[moe] resident-experts decision: per-layer 373MB x 41 layers = 15.3GB vs budget 19.1GB -> RESIDENT
[worker]   loaded "m": 41 layers, eos=248046
[server] worker ready; serving models: ["m"]
[worker] m: decode chunk cap 8
[server] listening on http://127.0.0.1:8121
[spec-acc] ctx=21 burst=24/24 cum=24/24=1.000
[spec-acc] ctx=54 burst=23/27 cum=47/51=0.922
[spec-acc] ctx=86 burst=20/39 cum=67/90=0.744
[spec-acc] ctx=22 burst=23/24 cum=23/24=0.958
[spec-acc] ctx=54 burst=23/30 cum=46/54=0.852
[spec-acc] ctx=87 burst=23/27 cum=69/81=0.852
[spec-acc] ctx=22 burst=23/24 cum=23/24=0.958
[spec-acc] ctx=54 burst=22/30 cum=45/54=0.833
[spec-acc] ctx=86 burst=20/39 cum=65/93=0.699
[spec-acc] ctx=21 burst=24/27 cum=24/27=0.889
[spec-acc] ctx=55 burst=24/30 cum=48/57=0.842
[spec-acc] ctx=89 burst=21/27 cum=69/84=0.821
[spec-acc] ctx=22 burst=21/30 cum=21/30=0.700
[spec-acc] ctx=54 burst=24/30 cum=45/60=0.750
[spec-acc] ctx=88 burst=21/27 cum=66/87=0.759
[spec-acc] ctx=22 burst=24/24 cum=24/24=1.000
[spec-acc] ctx=55 burst=22/33 cum=46/57=0.807
[spec-acc] ctx=88 burst=20/33 cum=66/90=0.733
[spec-acc] ctx=19 burst=23/24 cum=23/24=0.958
[spec-acc] ctx=51 burst=24/27 cum=47/51=0.922
[spec-acc] ctx=84 burst=21/30 cum=68/81=0.840
[spec-acc] ctx=23 burst=24/27 cum=24/27=0.889
[spec-acc] ctx=57 burst=24/33 cum=48/60=0.800
[spec-acc] ctx=92 burst=17/33 cum=65/93=0.699
[spec-acc] ctx=20 burst=24/27 cum=24/27=0.889
[spec-acc] ctx=54 burst=22/30 cum=46/57=0.807
[spec-acc] ctx=86 burst=17/39 cum=63/96=0.656
[spec-acc] ctx=20 burst=23/24 cum=23/24=0.958
[spec-acc] ctx=52 burst=24/27 cum=47/51=0.922
[spec-acc] ctx=85 burst=21/36 cum=68/87=0.782
[spec-acc] ctx=22 burst=24/24 cum=24/24=1.000
[spec-acc] ctx=55 burst=24/27 cum=48/51=0.941
[spec-acc] ctx=88 burst=19/33 cum=67/84=0.798
[spec-acc] ctx=22 burst=23/24 cum=23/24=0.958
[spec-acc] ctx=54 burst=23/33 cum=46/57=0.807
[spec-acc] ctx=88 burst=19/39 cum=65/96=0.677
[spec-acc] ctx=21 burst=22/27 cum=22/27=0.815
[spec-acc] ctx=53 burst=24/30 cum=46/57=0.807
[spec-acc] ctx=87 burst=16/42 cum=62/99=0.626
[spec-acc] ctx=22 burst=23/24 cum=23/24=0.958
[spec-acc] ctx=54 burst=22/30 cum=45/54=0.833
[spec-acc] ctx=86 burst=21/36 cum=66/90=0.733
[spec-acc] ctx=21 burst=24/27 cum=24/27=0.889
[spec-acc] ctx=55 burst=23/27 cum=47/54=0.870
[spec-acc] ctx=87 burst=20/33 cum=67/87=0.770
[spec-acc] ctx=21 burst=24/24 cum=24/24=1.000
[spec-acc] ctx=54 burst=22/30 cum=46/54=0.852
[spec-acc] ctx=86 burst=18/39 cum=64/93=0.688
[spec-acc] ctx=21 burst=24/24 cum=24/24=1.000
[spec-acc] ctx=22 burst=23/24 cum=23/24=0.958
[spec-acc] ctx=21 burst=24/27 cum=24/27=0.889
[spec-acc] ctx=22 burst=23/24 cum=23/24=0.958
[spec-acc] ctx=22 burst=21/30 cum=21/30=0.700
[spec-acc] ctx=22 burst=24/24 cum=24/24=1.000
[spec-acc] ctx=19 burst=23/24 cum=23/24=0.958
[spec-acc] ctx=23 burst=24/27 cum=24/27=0.889
[spec-acc] ctx=20 burst=24/27 cum=24/27=0.889
[spec-acc] ctx=22 burst=24/24 cum=24/24=1.000
[spec-acc] ctx=20 burst=23/24 cum=23/24=0.958
[spec-acc] ctx=22 burst=23/24 cum=23/24=0.958
[spec-acc] ctx=21 burst=22/27 cum=22/27=0.815
[spec-acc] ctx=21 burst=24/27 cum=24/27=0.889
[spec-acc] ctx=22 burst=23/24 cum=23/24=0.958
[spec-acc] ctx=21 burst=24/24 cum=24/24=1.000
[spec-acc] ctx=54 burst=23/27 cum=47/51=0.922
[spec-acc] ctx=54 burst=23/30 cum=46/54=0.852
