0 75 129,132,38,21,213,253,244,193,112,238,200,173,43,95,139,30,192,187,115,81,235,112,86,72,238,112,43,147,106,120,99,56,210,84,228,93,14,102,240,147,181,107,82,251,68,99,147,39,70,24,109,151,222,28,55,36,13,20,159,174,199,224,116,31,11,226,185,68,117,187,128,96,122,1,218,212,65,3,136,33,134,151,70,199,1,239,231,192,123,249,196,105,229,216,7,197,137,130,103,201,248,71,213,32,81,235,115,158,47,253,208,141,193,54,44,21,38,156,53,176,156,48,131,103,176,149,30,236,206,81,140,95,67,200,30,115,77,184,37,173,238,138,26,112,115,81,140,206,95,235,192,86,129,132,38,21,213,253,244,193,112,238,200,173,43,95,139,30,192,187,115,81,235,112,86,72,238,112,43,147,106,120,99,56,210,84,228,93,14,102,240,147,70,222,151,28,13,231,31,120,131,148,13,11,135,120,78,223,156,167,220,94,52,132,58,38,156,17,220,53,52,131,247,15,220,209,17,159,53,240,247,98,11,51,49,153,22,85,146,247,47,222,163,28,192,81,203,20,11,226,185,68,187,146,117,128,122,1,218,212,65,3,136,33,134,151,70,199,192,231,1,239,123,249,196,105,229,216,7,197,106,66,46,218,212,22,157,32,92,155,188,144,172,147,234,186,40,233,93,147,127,250,157,136,78,223,135,89,148,163,177,127,54,220,156,52,198,241,159,17,17,247,209,159,53,156,234,52,234,92,155,13,199,5,223,186,70,223,13,28,20,222,199,234,13,159,124,220,174,116,5,69,142,166,97,113,205,123,150,210,66,147,106,127,233,40,6,157,218,212,65,157,110,250,33,136,20,55,134,151,199,76,192,124,234,20,146,13,28,192,223,76,86,41,29,218,2,115,20,65,142,166,97,113,205,123,67,150,106,22,153,6,51,49,85,66,40,147,233,127,136,157,33,110,47,208,222,163,20,192,177,28,13,155,124,76,20,199,234,31,13,204,174,178,159,116,70,20,234,92,155,186,13,192,204,62,117,187,11,40,185,172,171,121,136,241,78,56,68,89,33,18,41,36,134,20,222,29,81,2,20,13,192,175,161,67,74,76,172,234,188,111,92,155,186,187,185,187,172,29,117,121,223,40,136,78,18,241,56,89,68,227,36,47,134,203,20,208,81,237,142,166,113,97,123,205,150,215,106,22,6,153,51,49,66,85,172,111,188,92,121,144,63,234,181,82,107,251,255,68,246,39,41,24,29,109,2,76,20,86,199,31,13,175,159,74,55,178,93,226,96,247,11,171,80,107,208,41,222,28,2,20,139,81,20,13,31,28,159,55,192,116,13,20,174,199,31,220,76,204
1 75 214,161,148,110,151,212,90,39,214,58,19,250,243,163,112,125,214,172,16,137,112,147,94,250,112,19,205,182,143,86,224,1,112,182,195,205,199,97,19,143,16,234,183,96,205,40,57,170,236,226,205,170,22,90,77,72,104,236,141,114,49,246,232,69,66,169,123,81,236,13,43,232,153,28,190,98,166,205,202,165,41,116,15,101,6,205,154,97,11,231,107,27,225,205,155,150,250,112,103,110,205,25,129,74,82,119,137,112,250,94,172,224,205,172,138,250,207,129,147,148,112,172,127,214,129,250,94,224,250,112,11,224,94,128,172,19,214,112,172,250,224,147,129,94,112,94,250,224,172,19,129,147,214,161,148,110,151,212,90,39,214,58,19,250,243,163,112,125,214,172,16,137,112,147,94,250,112,19,205,182,143,86,224,1,112,182,195,205,199,97,19,143,153,205,48,40,9,8,170,70,132,11,1,26,232,80,23,114,132,34,26,11,114,253,80,141,253,132,34,114,11,26,130,209,114,132,34,253,26,95,69,174,169,123,87,223,155,5,174,171,153,143,114,63,98,3,255,69,169,66,13,123,43,81,232,202,190,153,28,98,205,166,170,202,41,116,15,101,205,6,154,170,11,231,27,225,107,205,155,150,112,124,205,128,19,86,250,224,97,205,189,230,195,79,112,128,234,183,40,98,96,16,81,57,153,63,1,178,241,167,205,103,63,178,198,126,29,70,67,131,69,49,174,61,63,114,83,17,43,66,123,198,3,141,232,251,153,203,7,238,48,38,205,170,88,23,80,131,253,114,158,17,26,87,34,187,5,11,75,155,191,189,250,224,86,205,98,170,79,63,92,98,165,157,134,230,101,22,27,50,231,49,238,245,8,66,29,175,178,162,126,43,8,40,50,96,13,120,183,206,34,26,87,75,59,11,187,227,250,223,155,224,112,197,189,5,189,224,98,112,250,170,234,128,101,132,85,16,114,153,11,34,141,80,174,49,232,246,204,50,174,16,49,162,141,222,80,10,198,61,43,123,66,195,95,164,81,183,40,13,98,96,43,169,134,88,119,166,179,135,6,228,35,60,254,101,241,208,186,190,100,44,71,80,251,3,235,49,66,198,232,43,162,141,133,194,13,183,81,230,169,198,66,91,166,88,228,183,79,6,119,186,254,95,52,68,101,215,109,190,34,26,11,59,187,75,132,181,250,224,112,155,223,189,129,147,189,112,255,198,98,170,202,205,183,234,40,170,221,209,96,67,226,236,238,22,69,145,100,204,49,44,236,69,2,235,245,23,2,169,236,16,195,81,133,107,69,153,95,114,68,52,215,109,44,235,69,144,32,23,185,80,141,80,174,49,123,162,10,246
2 75 138,197,222,85,202,144,168,104,29,27,85,233,197,11,179,243,153,41,129,204,231,123,106,165,11,217,133,187,60,49,58,170,11,133,217,92,187,60,158,49,253,158,120,39,106,129,191,179,158,253,221,120,193,216,5,3,162,145,158,169,19,80,241,122,158,241,122,164,90,208,130,172,158,47,185,96,125,22,122,139,96,158,47,48,180,3,71,143,158,180,249,96,109,179,210,39,158,10,109,34,88,179,106,219,158,179,217,41,153,233,109,128,158,41,217,153,233,179,171,1,158,153,41,179,49,11,219,217,158,167,153,109,179,10,41,93,153,219,158,217,49,11,41,167,153,41,129,106,11,29,158,217,138,197,222,85,202,144,168,104,29,27,85,233,197,11,179,243,153,41,129,204,231,123,106,165,11,217,133,187,60,49,58,170,11,133,217,92,187,60,158,49,216,253,193,158,187,120,228,58,196,9,114,152,169,66,23,122,196,9,114,48,111,222,26,36,36,196,9,168,39,130,53,122,36,196,122,9,253,39,53,130,158,16,164,130,40,38,249,122,76,16,158,71,3,250,82,193,158,249,164,242,71,208,107,122,158,185,47,125,96,139,22,78,96,158,47,180,3,71,48,185,158,180,109,249,96,210,179,39,158,217,219,10,255,60,179,80,72,64,92,158,150,230,76,86,158,253,39,120,106,108,2,55,228,58,158,216,187,89,108,116,42,216,193,58,228,116,158,157,236,122,116,35,55,242,250,194,110,249,92,150,158,230,111,40,39,120,216,158,193,169,28,42,26,12,146,70,145,44,90,19,158,210,162,164,38,17,103,26,76,158,198,108,87,61,10,79,179,58,89,158,108,5,101,141,3,71,141,143,192,254,193,158,242,150,249,110,230,224,23,86,176,242,35,93,252,158,63,107,158,17,235,210,162,163,197,4,108,158,163,198,16,128,10,59,76,108,10,158,16,61,179,79,117,193,89,158,42,3,247,216,117,111,242,197,89,207,17,202,10,242,252,120,39,197,128,207,92,249,110,150,89,158,230,86,158,107,120,89,35,252,10,2,94,158,101,127,239,229,205,189,24,182,113,160,5,201,94,174,24,113,67,102,205,70,160,42,252,242,158,107,110,150,164,24,158,107,242,252,236,24,35,20,227,158,13,45,0,70,101,160,13,3,45,182,201,158,227,237,158,103,70,59,146,90,26,4,198,158,16,59,87,108,10,121,76,16,158,150,92,108,230,10,56,158,178,1,72,125,43,217,158,221,56,208,139,77,157,5,109,4,158,130,122,253,183,94,158,208,176,122,149,63,253,109,193,213,216,158,211,115,157,184,213,14,70,206,183,7,123,184,176,207,215,142,35,98,44,158
3 75 26,145,86,1,230,174,239,179,162,244,123,1,89,4,75,253,196,6,69,25,38,113,225,126,225,25,171,108,157,199,159,214,225,159,25,157,214,95,224,6,25,188,225,159,150,199,228,232,188,36,243,197,159,94,16,157,118,239,156,7,163,166,215,159,221,240,170,228,9,90,156,188,159,25,228,188,199,202,240,225,25,159,72,36,0,225,39,213,25,37,133,225,187,31,228,159,25,130,225,37,214,244,174,173,216,12,183,130,77,244,228,39,216,107,244,204,12,225,183,130,25,225,69,199,159,126,6,178,214,236,25,225,233,159,230,39,6,224,69,159,225,61,87,25,230,26,25,233,225,124,199,159,26,145,86,1,230,174,239,179,162,244,123,1,89,4,75,253,196,6,69,25,38,113,225,126,225,25,171,108,157,199,159,214,225,159,25,157,214,95,224,6,36,197,188,16,157,228,163,108,200,18,180,144,16,23,175,215,200,223,75,16,18,23,180,145,200,16,179,23,18,197,192,180,200,87,179,239,18,150,192,188,98,27,97,238,228,160,146,199,51,243,179,163,200,36,223,23,221,170,228,51,188,195,156,7,159,25,228,157,188,225,95,199,25,159,72,36,0,225,213,15,25,37,133,225,187,228,27,39,25,225,214,159,95,228,157,236,25,159,225,213,194,214,155,157,25,159,225,188,228,236,39,95,16,157,108,7,8,23,18,155,16,36,163,61,243,7,39,197,7,16,163,253,23,54,157,18,188,155,7,228,156,39,116,197,197,243,16,223,156,23,61,157,163,197,7,242,15,180,243,156,31,211,37,199,228,46,135,27,236,25,199,159,228,188,202,118,228,177,95,19,157,188,101,199,16,243,156,36,15,23,180,61,155,180,14,156,228,116,23,18,247,192,86,206,14,248,154,211,211,37,146,31,27,199,135,46,98,27,97,146,160,238,225,228,236,25,225,228,199,92,159,188,197,163,36,61,16,223,167,0,146,7,61,5,197,86,2,218,188,105,7,146,183,61,118,132,228,155,18,116,156,157,7,197,228,156,221,202,170,217,95,153,42,194,186,90,153,53,139,19,36,156,167,61,90,0,42,243,5,36,156,61,42,118,18,115,42,116,14,206,132,156,155,192,156,221,14,61,7,44,139,206,132,5,180,42,127,48,169,27,132,180,248,23,36,61,243,0,37,211,31,199,146,228,135,46,98,97,27,228,225,25,146,160,25,159,225,155,199,228,157,101,25,150,158,225,194,9,162,105,39,25,36,199,243,61,101,218,223,197,25,207,15,244,199,19,188,221,170,228,199,25,223,122,243,156,36,0,61,154,39,23,156,138,180,197,5,163,16,206,123,192,61,169,138,197,5,7
4 75 64,234,97,50,48,31,211,168,163,87,195,72,191,246,88,233,195,88,163,235,185,188,90,157,88,195,98,233,154,192,122,86,88,195,98,94,154,192,112,86,195,154,98,192,172,156,23,88,243,233,154,178,175,195,86,207,221,148,207,206,82,225,243,233,139,8,154,55,82,225,105,228,154,192,139,123,133,180,98,43,180,10,192,154,44,43,233,110,142,154,222,15,108,167,102,13,222,15,142,108,102,154,195,129,154,82,58,195,225,236,190,150,150,20,97,23,127,195,154,184,163,153,154,195,233,200,196,88,154,108,15,129,195,110,58,142,233,163,200,195,129,153,192,108,58,195,154,165,108,235,129,219,64,234,97,50,48,31,211,168,163,87,195,72,191,246,88,233,195,88,163,235,185,188,90,157,88,195,98,233,154,192,122,86,88,195,98,94,154,192,112,86,233,206,195,154,175,178,43,86,206,221,166,16,233,115,162,225,206,221,233,178,204,175,82,137,221,137,166,87,204,154,16,148,221,154,204,175,178,148,166,233,14,154,167,65,240,181,67,33,16,207,203,175,178,166,206,204,139,8,154,55,82,105,166,228,192,154,133,123,139,43,180,98,180,192,10,44,154,43,110,250,142,154,222,15,108,102,167,13,118,222,98,154,242,88,192,110,98,94,192,154,112,43,110,71,122,119,98,154,192,123,60,219,16,166,204,178,207,82,233,169,178,233,207,206,204,175,16,166,206,204,221,166,207,16,178,43,94,166,71,53,204,11,16,112,204,178,166,11,16,82,207,169,221,204,148,166,11,169,206,44,161,167,14,65,154,13,67,15,122,118,154,67,133,242,172,98,17,172,254,154,122,74,215,204,204,166,44,16,11,175,169,207,166,94,204,11,40,164,12,71,180,166,40,231,169,16,71,204,161,167,67,154,15,14,13,131,67,14,167,81,154,65,170,33,122,154,172,133,67,119,123,98,178,233,206,204,16,175,82,238,204,148,221,42,53,82,206,248,204,148,221,44,53,172,218,42,94,164,71,53,204,154,8,112,139,8,55,105,123,180,154,122,253,139,82,204,25,0,2,190,204,149,178,253,11,166,169,16,204,44,148,169,137,253,11,206,164,12,94,82,204,253,71,104,204,55,139,2,180,25,8,188,253,82,204,133,2,139,55,123,253,204,178,44,169,16,82,137,161,13,167,14,65,154,170,15,14,65,167,118,154,67,222,170,192,98,94,154,71,118,112,242,192,154,98,133,156,254,219,195,154,149,243,192,53,178,132,166,243,154,44,192,148,221,51,93,105,119,60,154,192,20,181,68,204,149,178,16,166,207,175,42,204,221,148,206,207,166,82,16,148,204,166,221,44,42,53,154
5 75 215,200,47,244,15,25,56,57,15,13,166,159,110,56,25,57,110,135,71,205,65,127,86,15,110,71,65,15,205,147,158,251,110,165,218,71,158,88,147,205,174,250,110,158,151,205,251,198,151,64,250,217,26,16,33,164,77,16,250,81,151,64,217,198,250,151,120,223,61,81,235,52,223,213,31,165,151,23,158,250,165,223,59,251,151,250,158,236,165,104,151,186,236,69,250,110,151,158,65,88,186,165,44,205,120,151,81,198,142,16,235,139,198,151,158,120,139,102,30,133,65,110,88,218,43,205,251,86,110,65,88,135,158,151,165,43,110,65,86,71,188,158,88,127,65,110,88,158,43,127,205,188,215,200,47,244,15,25,56,57,15,13,166,159,110,56,25,57,110,135,71,205,65,127,86,15,110,71,65,15,205,147,158,251,110,165,218,71,158,88,147,205,64,250,151,217,179,187,40,60,181,246,129,99,30,225,64,118,77,120,64,198,16,250,30,252,77,30,198,250,151,120,80,235,250,77,120,151,30,235,198,62,250,120,235,67,151,158,19,186,30,77,62,151,198,17,120,35,250,120,151,223,235,61,30,214,223,213,31,165,151,23,155,250,165,223,59,250,251,158,151,236,165,104,151,186,236,69,218,250,67,100,254,151,158,44,218,147,158,165,115,151,69,62,218,251,250,61,151,31,69,158,114,2,30,151,120,54,133,102,39,16,30,120,77,151,64,62,16,228,30,77,62,54,64,202,102,151,151,202,30,217,54,115,96,98,30,217,250,209,54,232,133,102,250,217,30,81,77,19,54,133,151,235,186,104,250,6,10,161,151,250,31,61,114,158,69,100,151,31,213,11,250,147,249,61,30,142,77,217,232,225,151,16,30,217,225,151,16,209,133,129,67,217,81,225,30,151,254,115,151,6,104,186,224,235,204,30,224,151,67,186,235,250,254,191,151,31,250,69,158,61,114,224,77,30,151,64,133,62,217,35,102,96,30,133,151,54,77,209,96,151,102,30,54,209,228,137,151,96,115,2,98,54,30,102,151,14,114,61,98,236,96,250,35,174,151,114,30,54,98,14,30,232,217,209,35,133,102,54,30,217,54,133,102,209,96,98,35,30,81,151,98,169,54,236,232,30,3,35,102,54,14,94,174,232,30,142,3,35,151,162,232,30,133,3,209,94,217,102,151,186,104,6,235,14,30,224,151,67,186,224,161,158,254,44,165,202,158,151,194,18,251,115,174,202,250,114,151,165,19,158,120,62,30,151,115,213,102,133,115,236,2,62,160,250,151,93,61,151,236,250,62,120,114,165,30,232,94,133,209,62,217,77,77,30,64,62,81,217,46,133,62,30,120,54,236,252,69,77
6 75 254,214,231,248,211,139,41,199,110,138,46,40,24,91,254,173,169,138,203,22,112,176,254,143,138,22,65,68,226,254,133,143,138,65,79,22,196,68,143,183,196,138,79,65,149,49,236,157,168,149,196,38,86,185,108,171,104,86,171,227,32,196,49,156,3,79,196,227,49,246,232,157,114,79,171,157,232,196,3,39,79,114,39,171,52,243,196,57,79,167,232,157,153,196,227,236,138,79,153,196,22,167,157,143,32,246,86,161,227,104,108,157,86,108,32,104,246,189,254,48,138,143,203,22,79,169,226,122,138,79,22,196,143,182,226,36,143,138,203,169,22,226,133,60,138,143,79,22,60,65,196,203,254,214,231,248,211,139,41,199,110,138,46,40,24,91,254,173,169,138,203,22,112,176,254,143,138,22,65,68,226,254,133,143,138,65,79,22,196,68,143,183,168,32,38,94,246,195,35,220,17,32,146,38,150,171,117,85,32,17,195,171,185,48,36,196,32,17,196,171,48,185,82,227,171,32,17,196,79,227,185,246,79,196,246,138,167,171,227,156,1,19,57,17,171,32,156,236,54,3,196,79,114,246,156,17,114,79,171,54,157,232,196,3,79,114,39,171,52,243,196,57,79,167,54,153,157,196,232,138,79,167,52,196,138,183,213,54,79,19,196,52,92,232,59,213,79,49,196,157,19,55,232,65,17,108,32,1,104,168,82,246,17,1,168,195,171,32,82,4,201,57,17,195,213,50,246,104,235,92,17,196,35,201,246,84,17,168,108,1,84,49,104,37,17,49,82,84,108,161,1,115,167,196,107,84,79,246,161,157,19,79,157,196,49,167,107,90,17,196,241,166,128,1,108,19,17,1,39,32,152,227,108,241,17,1,123,241,108,92,235,94,17,114,245,123,108,9,241,185,167,241,123,245,17,196,61,1,167,79,54,196,107,19,157,52,19,157,79,49,196,107,208,52,17,1,108,168,152,195,4,246,1,82,108,17,104,195,25,168,201,1,17,104,57,161,102,50,235,157,92,84,17,128,196,126,3,114,2,157,84,196,49,200,1,2,178,17,108,243,37,86,17,168,1,108,2,104,174,9,17,1,108,82,104,123,2,25,1,178,2,243,17,108,196,82,3,2,114,1,108,178,17,174,17,108,1,58,16,9,174,3,108,17,104,9,85,174,1,178,167,196,2,157,243,107,54,84,54,167,79,196,157,107,138,84,79,19,52,92,196,135,55,59,196,52,79,49,157,149,239,55,49,168,157,79,17,196,232,48,49,161,232,48,79,171,196,149,49,196,16,79,161,232,157,52,17,168,32,48,108,85,1,129,17,32,82,48,195,104,85,49,17,185,32,161,104,48,49,171
7 75 241,211,148,221,213,63,165,209,221,112,191,200,142,39,241,165,49,180,221,144,203,148,136,125,36,184,75,147,116,78,229,191,184,75,36,147,229,116,37,78,184,147,36,116,78,221,75,195,116,73,166,30,199,221,147,36,199,73,173,6,246,116,166,147,199,147,76,173,108,116,36,73,61,76,147,19,35,171,116,36,35,223,116,76,36,171,213,32,116,184,199,147,36,76,108,29,184,36,116,147,191,117,229,35,199,73,173,6,246,95,20,38,173,199,73,84,95,219,140,130,36,125,184,229,111,191,35,117,229,159,184,123,35,36,64,199,125,208,35,184,203,229,65,191,191,117,125,35,70,65,184,36,241,211,148,221,213,63,165,209,221,112,191,200,142,39,241,165,49,180,221,144,203,148,136,125,36,184,75,147,116,78,229,191,184,75,36,147,229,116,37,78,166,199,30,116,147,84,212,89,166,84,96,6,147,30,116,221,166,96,246,199,6,252,203,121,199,246,6,147,96,116,84,223,199,223,147,76,116,35,219,30,199,44,76,147,108,116,184,36,6,121,223,199,246,116,219,38,76,199,147,108,121,19,35,116,61,76,19,35,171,147,116,36,35,223,76,116,213,36,171,32,184,116,147,36,35,76,199,29,36,147,44,116,108,76,184,191,76,108,36,147,181,116,35,37,76,199,101,147,116,35,79,36,6,246,96,84,30,166,116,177,6,246,166,199,121,9,116,96,246,223,199,38,6,166,121,116,199,181,151,121,243,116,173,189,246,38,151,8,41,22,251,116,246,41,151,121,8,116,84,96,199,91,29,147,116,151,121,60,199,91,2,147,76,44,116,36,199,61,74,79,109,121,36,147,246,6,223,38,8,22,166,94,246,96,166,6,243,41,181,22,41,243,84,121,238,96,228,69,199,29,84,147,238,41,91,176,44,147,91,176,76,116,199,36,199,169,44,79,147,76,116,36,246,6,166,38,121,219,96,199,246,22,166,167,255,6,73,177,255,223,246,199,38,60,22,182,169,199,131,255,132,181,243,22,169,74,131,132,60,4,171,22,22,16,255,8,60,4,228,151,22,228,166,13,246,255,8,133,246,22,228,166,8,189,84,167,228,84,74,108,189,169,41,139,131,74,133,94,8,22,211,41,22,133,94,189,228,60,147,173,22,38,246,133,58,94,8,121,199,29,147,91,169,74,116,36,91,44,147,169,199,36,76,116,76,171,36,44,181,35,147,37,199,147,76,255,116,36,27,65,199,219,76,30,79,130,147,121,219,76,79,167,121,199,43,65,219,199,79,76,147,74,36,43,22,219,6,121,38,96,255,173,219,121,6,13,30,130,166,246,121,199,30,130,219,28,13,173
8 75 235,127,11,18,197,17,139,91,175,217,127,17,123,223,78,139,175,123,191,99,8,243,196,111,191,123,225,107,23,224,175,220,191,123,159,107,224,52,178,23,123,191,107,159,224,3,176,19,123,255,163,194,191,107,3,39,63,123,163,194,39,232,46,68,107,56,191,194,52,112,123,164,157,191,107,194,110,135,56,80,191,135,110,220,107,159,123,3,191,107,56,234,194,159,123,110,191,56,107,123,164,194,110,232,63,163,46,68,136,255,66,248,163,46,63,248,66,39,194,255,191,224,164,56,243,98,52,3,164,239,56,180,3,191,52,123,224,191,20,141,29,98,173,72,239,175,104,107,191,123,180,224,235,127,11,18,197,17,139,91,175,217,127,17,123,223,78,139,175,123,191,99,8,243,196,111,191,123,225,107,23,224,175,220,191,123,159,107,224,52,178,23,123,39,101,250,131,14,255,191,123,63,215,183,250,229,194,255,63,123,47,119,121,255,229,172,63,123,47,107,229,255,232,191,63,123,107,56,194,191,84,119,33,191,107,56,52,164,123,180,63,170,215,232,121,255,107,123,107,191,56,52,159,112,183,123,157,191,107,194,80,135,247,110,191,135,110,220,107,159,3,123,191,56,107,234,123,110,159,80,191,33,107,56,234,52,164,110,159,107,191,110,52,220,56,194,107,191,159,103,56,123,164,52,170,63,215,225,119,183,17,200,63,170,47,215,172,232,121,43,63,170,17,215,121,43,66,172,170,107,43,159,163,229,55,103,170,68,43,63,215,55,156,5,170,63,215,55,43,121,5,9,107,33,191,56,170,52,123,83,107,56,191,52,33,164,212,159,107,157,170,43,191,65,56,212,63,170,215,121,17,43,7,5,170,215,121,5,63,17,21,43,170,215,17,229,55,121,60,5,107,33,215,170,229,56,55,88,33,56,191,107,52,4,164,115,107,212,159,191,52,56,103,4,63,170,121,215,43,200,5,21,17,170,43,66,163,215,183,200,17,170,66,163,215,43,107,236,43,170,107,66,159,184,17,163,43,107,66,122,112,170,184,159,43,170,157,107,66,163,215,17,170,43,17,66,163,236,215,82,170,43,215,163,236,7,172,60,43,107,170,163,66,65,236,215,170,43,107,112,236,17,163,66,170,17,157,107,43,112,215,163,170,17,163,43,236,68,66,215,107,191,56,43,33,115,52,89,33,107,191,212,52,4,56,115,191,107,110,220,52,164,212,4,107,191,232,43,170,159,3,115,170,43,107,68,66,56,80,52,164,107,68,220,80,228,123,28,112,107,164,52,159,68,212,191,170,63,82,215,119,5,183,9,63,170,121,215,5,250,229,172,159,250,228,170,229,107,9,227
9 75 122,210,246,12,127,248,72,213,72,246,210,95,232,122,45,71,45,116,36,2,18,72,121,95,45,95,156,161,243,141,152,235,95,156,47,45,120,161,198,44,95,120,45,47,8,189,169,44,95,242,134,196,44,238,138,102,242,95,44,196,134,86,10,138,206,95,44,19,86,196,242,0,47,95,160,198,73,44,86,197,47,95,44,198,73,160,255,86,47,95,29,44,94,86,203,8,95,2,44,47,203,8,197,94,242,196,134,44,10,86,128,203,242,196,134,10,4,157,52,46,255,2,18,95,59,121,8,243,203,2,95,116,44,197,47,239,20,2,255,59,8,243,121,36,2,203,36,95,116,8,191,59,122,210,246,12,127,248,72,213,72,246,210,95,232,122,45,71,45,116,36,2,18,72,121,95,45,95,156,161,243,141,152,235,95,156,47,45,120,161,198,44,95,134,46,220,44,138,147,196,196,95,134,138,32,80,44,56,134,196,95,138,32,44,80,58,196,95,134,44,138,128,144,10,95,44,196,134,138,8,86,0,132,95,44,47,94,198,8,197,196,134,138,44,95,0,65,10,206,95,19,44,47,198,196,0,47,198,160,95,73,44,86,5,47,95,44,198,73,160,20,255,95,29,47,44,94,8,161,203,240,95,156,47,44,197,132,126,47,95,198,156,67,44,8,120,217,95,47,120,67,198,44,8,196,134,111,65,52,242,10,138,134,196,111,138,65,10,52,80,134,111,65,196,138,10,44,0,96,134,111,95,120,10,15,106,10,134,196,111,144,80,242,4,10,134,111,196,64,138,44,27,39,94,29,95,132,44,131,8,217,95,156,132,126,47,178,44,196,96,151,95,0,138,111,80,134,196,52,144,10,80,111,95,96,10,134,196,144,21,80,95,10,21,196,144,96,80,134,74,39,10,94,196,29,21,126,80,132,95,126,197,44,94,47,13,217,95,151,156,47,120,115,44,52,196,32,111,10,42,134,0,52,111,42,75,32,196,234,65,111,52,95,75,42,61,65,62,111,96,15,95,153,226,123,120,178,111,19,95,206,96,240,217,52,196,111,42,95,206,178,19,52,196,111,139,144,10,65,159,196,10,144,52,111,42,80,16,96,111,95,196,10,16,42,144,19,144,95,139,196,22,206,96,196,19,52,22,111,139,206,10,52,139,196,144,111,80,159,244,39,29,94,95,44,13,215,132,94,132,95,47,197,13,44,156,47,95,198,73,156,197,120,240,95,47,120,198,8,138,111,196,0,196,8,95,42,44,65,212,0,5,8,95,47,44,197,212,206,120,0,95,5,47,178,197,196,0,52,65,134,80,159,171,196,134,65,0,32,10,52,80,134,65,8,196,0,34,52,212
