timestamp, index, temperature.gpu, power.draw [W], utilization.gpu [%], memory.used [MiB], memory.total [MiB]
2026/08/09 19:18:55.033, 0, 49, 9.61 W, 0 %, 430 MiB, 24463 MiB
2026/08/09 19:18:56.045, 0, 50, 29.34 W, 20 %, 5078 MiB, 24463 MiB
2026/08/09 19:18:57.045, 0, 50, 29.21 W, 0 %, 5782 MiB, 24463 MiB
2026/08/09 19:18:58.045, 0, 60, 93.32 W, 97 %, 11288 MiB, 24463 MiB
2026/08/09 19:18:59.045, 0, 62, 169.86 W, 98 %, 15192 MiB, 24463 MiB
2026/08/09 19:19:00.046, 0, 63, 169.89 W, 97 %, 20984 MiB, 24463 MiB
2026/08/09 19:19:01.046, 0, 63, 170.42 W, 89 %, 22520 MiB, 24463 MiB
2026/08/09 19:19:02.046, 0, 63, 168.71 W, 98 %, 22744 MiB, 24463 MiB
2026/08/09 19:19:03.046, 0, 64, 168.75 W, 92 %, 22744 MiB, 24463 MiB
2026/08/09 19:19:04.046, 0, 65, 166.63 W, 98 %, 22744 MiB, 24463 MiB
2026/08/09 19:19:05.047, 0, 66, 168.72 W, 98 %, 22744 MiB, 24463 MiB
2026/08/09 19:19:06.047, 0, 67, 168.79 W, 99 %, 22744 MiB, 24463 MiB
2026/08/09 19:19:07.047, 0, 67, 167.79 W, 99 %, 22744 MiB, 24463 MiB
2026/08/09 19:19:08.047, 0, 68, 168.43 W, 99 %, 22744 MiB, 24463 MiB
2026/08/09 19:19:09.048, 0, 69, 168.52 W, 99 %, 22744 MiB, 24463 MiB
2026/08/09 19:19:10.048, 0, 69, 170.04 W, 99 %, 22744 MiB, 24463 MiB
2026/08/09 19:19:11.048, 0, 70, 170.88 W, 99 %, 22744 MiB, 24463 MiB
2026/08/09 19:19:12.048, 0, 70, 170.74 W, 99 %, 22744 MiB, 24463 MiB
2026/08/09 19:19:13.049, 0, 70, 170.73 W, 99 %, 22744 MiB, 24463 MiB
2026/08/09 19:19:14.049, 0, 71, 170.73 W, 99 %, 22744 MiB, 24463 MiB
2026/08/09 19:19:15.049, 0, 71, 170.60 W, 99 %, 22744 MiB, 24463 MiB
2026/08/09 19:19:16.049, 0, 72, 170.74 W, 99 %, 22744 MiB, 24463 MiB
2026/08/09 19:19:17.050, 0, 72, 170.93 W, 99 %, 22744 MiB, 24463 MiB
2026/08/09 19:19:18.050, 0, 72, 170.74 W, 99 %, 22744 MiB, 24463 MiB
2026/08/09 19:19:19.050, 0, 72, 169.69 W, 99 %, 22744 MiB, 24463 MiB
2026/08/09 19:19:20.050, 0, 73, 171.34 W, 99 %, 22744 MiB, 24463 MiB
2026/08/09 19:19:21.050, 0, 73, 170.67 W, 99 %, 22744 MiB, 24463 MiB
2026/08/09 19:19:22.051, 0, 73, 170.25 W, 99 %, 22744 MiB, 24463 MiB
2026/08/09 19:19:23.051, 0, 74, 170.64 W, 99 %, 22744 MiB, 24463 MiB
2026/08/09 19:19:24.051, 0, 74, 170.15 W, 99 %, 22744 MiB, 24463 MiB
2026/08/09 19:19:25.052, 0, 74, 170.58 W, 99 %, 22744 MiB, 24463 MiB
2026/08/09 19:19:26.052, 0, 74, 170.67 W, 99 %, 22744 MiB, 24463 MiB
2026/08/09 19:19:27.052, 0, 72, 164.40 W, 99 %, 22744 MiB, 24463 MiB
2026/08/09 19:19:28.052, 0, 65, 103.55 W, 1 %, 2966 MiB, 24463 MiB
2026/08/09 19:19:29.052, 0, 64, 32.22 W, 8 %, 5782 MiB, 24463 MiB
2026/08/09 19:19:30.053, 0, 70, 50.87 W, 96 %, 8950 MiB, 24463 MiB
2026/08/09 19:19:31.053, 0, 73, 170.31 W, 97 %, 13368 MiB, 24463 MiB
2026/08/09 19:19:32.053, 0, 74, 168.52 W, 95 %, 18584 MiB, 24463 MiB
2026/08/09 19:19:33.053, 0, 72, 171.48 W, 99 %, 22520 MiB, 24463 MiB
2026/08/09 19:19:34.054, 0, 73, 169.74 W, 99 %, 23960 MiB, 24463 MiB
2026/08/09 19:19:35.054, 0, 73, 170.99 W, 99 %, 23960 MiB, 24463 MiB
2026/08/09 19:19:36.054, 0, 75, 167.53 W, 99 %, 23960 MiB, 24463 MiB
2026/08/09 19:19:37.054, 0, 76, 169.78 W, 99 %, 23960 MiB, 24463 MiB
2026/08/09 19:19:38.054, 0, 76, 169.08 W, 99 %, 23960 MiB, 24463 MiB
2026/08/09 19:19:39.055, 0, 76, 168.67 W, 99 %, 23960 MiB, 24463 MiB
2026/08/09 19:19:40.055, 0, 77, 170.02 W, 99 %, 23960 MiB, 24463 MiB
2026/08/09 19:19:41.055, 0, 77, 170.93 W, 100 %, 23960 MiB, 24463 MiB
2026/08/09 19:19:42.055, 0, 77, 171.03 W, 100 %, 23960 MiB, 24463 MiB
2026/08/09 19:19:43.056, 0, 77, 171.20 W, 100 %, 23960 MiB, 24463 MiB
2026/08/09 19:19:44.056, 0, 77, 170.98 W, 99 %, 23960 MiB, 24463 MiB
2026/08/09 19:19:45.056, 0, 77, 170.87 W, 100 %, 23960 MiB, 24463 MiB
2026/08/09 19:19:46.056, 0, 78, 171.06 W, 99 %, 23960 MiB, 24463 MiB
2026/08/09 19:19:47.057, 0, 78, 171.08 W, 99 %, 23960 MiB, 24463 MiB
2026/08/09 19:19:48.057, 0, 78, 170.73 W, 99 %, 23960 MiB, 24463 MiB
2026/08/09 19:19:49.057, 0, 78, 170.30 W, 99 %, 23960 MiB, 24463 MiB
2026/08/09 19:19:50.057, 0, 78, 170.51 W, 99 %, 23960 MiB, 24463 MiB
2026/08/09 19:19:51.058, 0, 78, 170.31 W, 99 %, 23960 MiB, 24463 MiB
2026/08/09 19:19:52.058, 0, 78, 171.02 W, 99 %, 23960 MiB, 24463 MiB
2026/08/09 19:19:53.058, 0, 69, 102.03 W, 0 %, 3574 MiB, 24463 MiB
