timestamp, index, utilization.gpu [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/09/23 23:35:33.670, 0, 12 %, 0 MiB, 102.22 W, 2355 MHz, 12481 MHz, 40
2026/09/23 23:35:33.674, 1, 0 %, 0 MiB, 100.84 W, 2317 MHz, 12481 MHz, 40
2026/09/23 23:35:33.928, 0, 0 %, 561 MiB, 101.58 W, 2355 MHz, 12481 MHz, 40
2026/09/23 23:35:33.928, 1, 0 %, 3 MiB, 100.19 W, 2317 MHz, 12481 MHz, 40
2026/09/23 23:35:34.178, 0, 2 %, 595 MiB, 107.68 W, 2355 MHz, 12481 MHz, 40
2026/09/23 23:35:34.178, 1, 0 %, 3 MiB, 106.18 W, 2317 MHz, 12481 MHz, 40
2026/09/23 23:35:34.428, 0, 0 %, 595 MiB, 103.64 W, 2355 MHz, 12481 MHz, 40
2026/09/23 23:35:34.428, 1, 0 %, 3 MiB, 97.26 W, 2317 MHz, 12481 MHz, 40
2026/09/23 23:35:34.678, 0, 0 %, 595 MiB, 94.32 W, 2355 MHz, 12481 MHz, 40
2026/09/23 23:35:34.678, 1, 0 %, 3 MiB, 92.58 W, 2317 MHz, 12481 MHz, 40
2026/09/23 23:35:34.929, 0, 3 %, 883 MiB, 93.09 W, 2355 MHz, 12481 MHz, 40
2026/09/23 23:35:34.929, 1, 0 %, 3 MiB, 91.64 W, 2317 MHz, 12481 MHz, 39
2026/09/23 23:35:35.179, 0, 7 %, 1267 MiB, 93.03 W, 2355 MHz, 12481 MHz, 40
2026/09/23 23:35:35.179, 1, 3 %, 851 MiB, 92.49 W, 2317 MHz, 12481 MHz, 39
2026/09/23 23:35:35.429, 0, 0 %, 1331 MiB, 93.06 W, 2355 MHz, 12481 MHz, 39
2026/09/23 23:35:35.429, 1, 5 %, 1299 MiB, 92.65 W, 2317 MHz, 12481 MHz, 39
2026/09/23 23:35:35.679, 0, 3 %, 2355 MiB, 93.31 W, 2355 MHz, 12481 MHz, 39
2026/09/23 23:35:35.679, 1, 0 %, 1299 MiB, 92.64 W, 2317 MHz, 12481 MHz, 39
2026/09/23 23:35:35.929, 0, 5 %, 2355 MiB, 93.67 W, 2355 MHz, 12481 MHz, 39
2026/09/23 23:35:35.929, 1, 0 %, 1299 MiB, 92.63 W, 2317 MHz, 12481 MHz, 39
2026/09/23 23:35:36.179, 0, 2 %, 3347 MiB, 93.75 W, 2355 MHz, 12481 MHz, 40
2026/09/23 23:35:36.179, 1, 0 %, 1299 MiB, 91.63 W, 2317 MHz, 12481 MHz, 39
2026/09/23 23:35:36.429, 0, 2 %, 3347 MiB, 93.81 W, 2355 MHz, 12481 MHz, 39
2026/09/23 23:35:36.429, 1, 0 %, 1299 MiB, 91.33 W, 2317 MHz, 12481 MHz, 39
2026/09/23 23:35:36.679, 0, 2 %, 3347 MiB, 93.68 W, 2355 MHz, 12481 MHz, 39
2026/09/23 23:35:36.679, 1, 0 %, 1299 MiB, 91.29 W, 2317 MHz, 12481 MHz, 39
2026/09/23 23:35:36.929, 0, 1 %, 3347 MiB, 93.37 W, 2355 MHz, 12481 MHz, 39
2026/09/23 23:35:36.929, 1, 0 %, 1299 MiB, 91.27 W, 2317 MHz, 12481 MHz, 39
2026/09/23 23:35:37.179, 0, 2 %, 3347 MiB, 93.13 W, 2355 MHz, 12481 MHz, 39
2026/09/23 23:35:37.179, 1, 0 %, 1299 MiB, 91.28 W, 2317 MHz, 12481 MHz, 39
2026/09/23 23:35:37.429, 0, 3 %, 5075 MiB, 93.33 W, 2355 MHz, 12481 MHz, 39
2026/09/23 23:35:37.429, 1, 56 %, 3315 MiB, 92.32 W, 2317 MHz, 12481 MHz, 39
2026/09/23 23:35:37.679, 0, 15 %, 5075 MiB, 93.69 W, 2355 MHz, 12481 MHz, 39
2026/09/23 23:35:37.679, 1, 0 %, 3315 MiB, 92.39 W, 2317 MHz, 12481 MHz, 39
2026/09/23 23:35:37.930, 0, 2 %, 5075 MiB, 93.60 W, 2355 MHz, 12481 MHz, 39
2026/09/23 23:35:37.930, 1, 0 %, 3315 MiB, 92.49 W, 2317 MHz, 12481 MHz, 39
2026/09/23 23:35:38.180, 0, 2 %, 5075 MiB, 93.68 W, 2355 MHz, 12481 MHz, 39
2026/09/23 23:35:38.180, 1, 0 %, 3315 MiB, 92.43 W, 2317 MHz, 12481 MHz, 39
2026/09/23 23:35:38.430, 0, 0 %, 5075 MiB, 93.23 W, 2355 MHz, 12481 MHz, 39
2026/09/23 23:35:38.430, 1, 0 %, 3315 MiB, 91.86 W, 2317 MHz, 12481 MHz, 39
2026/09/23 23:35:38.680, 0, 0 %, 5075 MiB, 92.68 W, 2355 MHz, 12481 MHz, 39
2026/09/23 23:35:38.680, 1, 0 %, 3315 MiB, 91.86 W, 2317 MHz, 12481 MHz, 39
2026/09/23 23:35:38.930, 0, 0 %, 5075 MiB, 92.60 W, 2355 MHz, 12481 MHz, 39
2026/09/23 23:35:38.930, 1, 0 %, 3315 MiB, 91.86 W, 2317 MHz, 12481 MHz, 39
2026/09/23 23:35:39.180, 0, 0 %, 5075 MiB, 92.36 W, 2355 MHz, 12481 MHz, 39
2026/09/23 23:35:39.180, 1, 0 %, 3315 MiB, 91.86 W, 2317 MHz, 12481 MHz, 39
2026/09/23 23:35:39.430, 0, 0 %, 5107 MiB, 92.36 W, 2355 MHz, 12481 MHz, 39
2026/09/23 23:35:39.430, 1, 0 %, 3315 MiB, 89.87 W, 2317 MHz, 12481 MHz, 39
2026/09/23 23:35:39.680, 0, 0 %, 5107 MiB, 92.32 W, 2355 MHz, 12481 MHz, 39
2026/09/23 23:35:39.680, 1, 0 %, 3315 MiB, 90.06 W, 2317 MHz, 12481 MHz, 38
2026/09/23 23:35:39.930, 0, 0 %, 5139 MiB, 92.21 W, 2355 MHz, 12481 MHz, 39
2026/09/23 23:35:39.930, 1, 0 %, 3315 MiB, 90.25 W, 2317 MHz, 12481 MHz, 38
2026/09/23 23:35:40.180, 0, 0 %, 5139 MiB, 92.22 W, 2355 MHz, 12481 MHz, 39
2026/09/23 23:35:40.180, 1, 0 %, 3315 MiB, 90.32 W, 2317 MHz, 12481 MHz, 38
2026/09/23 23:35:40.430, 0, 0 %, 5171 MiB, 92.17 W, 2355 MHz, 12481 MHz, 39
2026/09/23 23:35:40.430, 1, 0 %, 5043 MiB, 91.17 W, 2317 MHz, 12481 MHz, 38
2026/09/23 23:35:40.681, 0, 0 %, 5171 MiB, 92.16 W, 2355 MHz, 12481 MHz, 39
2026/09/23 23:35:40.681, 1, 12 %, 5043 MiB, 91.82 W, 2317 MHz, 12481 MHz, 38
2026/09/23 23:35:40.931, 0, 0 %, 5171 MiB, 92.15 W, 2355 MHz, 12481 MHz, 39
2026/09/23 23:35:40.931, 1, 0 %, 5043 MiB, 92.00 W, 2317 MHz, 12481 MHz, 38
2026/09/23 23:35:41.181, 0, 0 %, 5171 MiB, 92.10 W, 2355 MHz, 12481 MHz, 39
2026/09/23 23:35:41.181, 1, 0 %, 5043 MiB, 91.94 W, 2317 MHz, 12481 MHz, 38
2026/09/23 23:35:41.431, 0, 0 %, 5171 MiB, 92.11 W, 2355 MHz, 12481 MHz, 38
2026/09/23 23:35:41.431, 1, 0 %, 5043 MiB, 91.75 W, 2317 MHz, 12481 MHz, 38
2026/09/23 23:35:41.681, 0, 0 %, 5171 MiB, 92.11 W, 2355 MHz, 12481 MHz, 38
2026/09/23 23:35:41.681, 1, 0 %, 5043 MiB, 90.99 W, 2317 MHz, 12481 MHz, 38
2026/09/23 23:35:41.931, 0, 0 %, 5171 MiB, 92.11 W, 2355 MHz, 12481 MHz, 38
2026/09/23 23:35:41.931, 1, 0 %, 5075 MiB, 90.69 W, 2317 MHz, 12481 MHz, 38
2026/09/23 23:35:42.181, 0, 0 %, 5171 MiB, 91.82 W, 2355 MHz, 12481 MHz, 38
2026/09/23 23:35:42.181, 1, 0 %, 5075 MiB, 90.75 W, 2317 MHz, 12481 MHz, 38
2026/09/23 23:35:42.431, 0, 0 %, 5171 MiB, 91.79 W, 2355 MHz, 12481 MHz, 38
2026/09/23 23:35:42.431, 1, 0 %, 5075 MiB, 90.77 W, 2317 MHz, 12481 MHz, 38
2026/09/23 23:35:42.681, 0, 0 %, 5171 MiB, 91.81 W, 2355 MHz, 12481 MHz, 38
2026/09/23 23:35:42.681, 1, 1 %, 5107 MiB, 90.83 W, 2317 MHz, 12481 MHz, 38
2026/09/23 23:35:42.931, 0, 0 %, 6899 MiB, 91.82 W, 2355 MHz, 12481 MHz, 38
2026/09/23 23:35:42.931, 1, 0 %, 5139 MiB, 90.89 W, 2317 MHz, 12481 MHz, 38
2026/09/23 23:35:43.181, 0, 6 %, 6899 MiB, 92.54 W, 2355 MHz, 12481 MHz, 38
2026/09/23 23:35:43.181, 1, 0 %, 5139 MiB, 91.00 W, 2317 MHz, 12481 MHz, 38
2026/09/23 23:35:43.431, 0, 6 %, 6899 MiB, 93.11 W, 2355 MHz, 12481 MHz, 38
2026/09/23 23:35:43.432, 1, 0 %, 5139 MiB, 91.10 W, 2317 MHz, 12481 MHz, 38
2026/09/23 23:35:43.682, 0, 2 %, 6899 MiB, 93.17 W, 2355 MHz, 12481 MHz, 38
2026/09/23 23:35:43.682, 1, 0 %, 5139 MiB, 91.16 W, 2317 MHz, 12481 MHz, 38
2026/09/23 23:35:43.932, 0, 0 %, 6899 MiB, 93.18 W, 2355 MHz, 12481 MHz, 38
2026/09/23 23:35:43.932, 1, 0 %, 5139 MiB, 91.22 W, 2317 MHz, 12481 MHz, 38
2026/09/23 23:35:44.182, 0, 1 %, 6931 MiB, 92.63 W, 2355 MHz, 12481 MHz, 38
2026/09/23 23:35:44.182, 1, 0 %, 5139 MiB, 91.01 W, 2317 MHz, 12481 MHz, 38
2026/09/23 23:35:44.432, 0, 0 %, 6931 MiB, 91.97 W, 2355 MHz, 12481 MHz, 38
2026/09/23 23:35:44.432, 1, 0 %, 5139 MiB, 90.92 W, 2317 MHz, 12481 MHz, 38
2026/09/23 23:35:44.682, 0, 0 %, 6931 MiB, 91.89 W, 2355 MHz, 12481 MHz, 38
2026/09/23 23:35:44.682, 1, 0 %, 5139 MiB, 90.88 W, 2317 MHz, 12481 MHz, 38
2026/09/23 23:35:44.932, 0, 0 %, 6963 MiB, 91.88 W, 2355 MHz, 12481 MHz, 38
