timestamp, index, utilization.gpu [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/09/24 00:06:36.509, 0, 0 %, 0 MiB, 105.08 W, 2355 MHz, 12481 MHz, 39
2026/09/24 00:06:36.513, 1, 0 %, 0 MiB, 104.02 W, 2317 MHz, 12481 MHz, 38
2026/09/24 00:06:36.766, 0, 0 %, 595 MiB, 104.73 W, 2355 MHz, 12481 MHz, 39
2026/09/24 00:06:36.766, 1, 0 %, 3 MiB, 100.37 W, 2317 MHz, 12481 MHz, 39
2026/09/24 00:06:37.016, 0, 0 %, 595 MiB, 93.69 W, 2355 MHz, 12481 MHz, 38
2026/09/24 00:06:37.016, 1, 0 %, 3 MiB, 92.24 W, 2317 MHz, 12481 MHz, 38
2026/09/24 00:06:37.266, 0, 0 %, 595 MiB, 93.54 W, 2355 MHz, 12481 MHz, 38
2026/09/24 00:06:37.266, 1, 0 %, 3 MiB, 92.16 W, 2317 MHz, 12481 MHz, 38
2026/09/24 00:06:37.516, 0, 0 %, 595 MiB, 93.52 W, 2355 MHz, 12481 MHz, 38
2026/09/24 00:06:37.516, 1, 0 %, 3 MiB, 92.11 W, 2317 MHz, 12481 MHz, 38
2026/09/24 00:06:37.767, 0, 5 %, 1139 MiB, 92.31 W, 2355 MHz, 12481 MHz, 38
2026/09/24 00:06:37.767, 1, 0 %, 3 MiB, 87.15 W, 1425 MHz, 12481 MHz, 38
2026/09/24 00:06:38.017, 0, 0 %, 1267 MiB, 92.36 W, 2355 MHz, 12481 MHz, 38
2026/09/24 00:06:38.017, 1, 2 %, 1235 MiB, 85.09 W, 1425 MHz, 12481 MHz, 38
2026/09/24 00:06:38.267, 0, 0 %, 1331 MiB, 92.57 W, 2355 MHz, 12481 MHz, 38
2026/09/24 00:06:38.267, 1, 0 %, 1299 MiB, 85.41 W, 2317 MHz, 12481 MHz, 38
2026/09/24 00:06:38.517, 0, 1 %, 3347 MiB, 93.45 W, 2355 MHz, 12481 MHz, 38
2026/09/24 00:06:38.517, 1, 1 %, 3315 MiB, 85.37 W, 2317 MHz, 12481 MHz, 38
2026/09/24 00:06:38.767, 0, 27 %, 6803 MiB, 95.19 W, 2355 MHz, 12481 MHz, 38
2026/09/24 00:06:38.767, 1, 0 %, 3315 MiB, 90.49 W, 2317 MHz, 12481 MHz, 38
2026/09/24 00:06:39.017, 0, 2 %, 6803 MiB, 95.47 W, 2355 MHz, 12481 MHz, 38
2026/09/24 00:06:39.017, 1, 0 %, 3315 MiB, 92.36 W, 2317 MHz, 12481 MHz, 38
2026/09/24 00:06:39.267, 0, 0 %, 6803 MiB, 95.16 W, 2355 MHz, 12481 MHz, 38
2026/09/24 00:06:39.267, 1, 0 %, 3315 MiB, 91.92 W, 2317 MHz, 12481 MHz, 38
2026/09/24 00:06:39.517, 0, 0 %, 6803 MiB, 94.46 W, 2355 MHz, 12481 MHz, 38
2026/09/24 00:06:39.517, 1, 0 %, 3315 MiB, 91.78 W, 2317 MHz, 12481 MHz, 38
2026/09/24 00:06:39.767, 0, 0 %, 6803 MiB, 92.29 W, 2355 MHz, 12481 MHz, 38
2026/09/24 00:06:39.767, 1, 0 %, 3315 MiB, 90.61 W, 2317 MHz, 12481 MHz, 38
2026/09/24 00:06:40.017, 0, 0 %, 6803 MiB, 91.77 W, 2355 MHz, 12481 MHz, 38
2026/09/24 00:06:40.017, 1, 0 %, 3315 MiB, 90.61 W, 2317 MHz, 12481 MHz, 38
2026/09/24 00:06:40.267, 0, 1 %, 6835 MiB, 91.82 W, 2355 MHz, 12481 MHz, 38
2026/09/24 00:06:40.267, 1, 0 %, 3315 MiB, 90.05 W, 2317 MHz, 12481 MHz, 38
2026/09/24 00:06:40.518, 0, 0 %, 6835 MiB, 91.77 W, 2355 MHz, 12481 MHz, 38
2026/09/24 00:06:40.518, 1, 0 %, 3315 MiB, 90.07 W, 2317 MHz, 12481 MHz, 38
2026/09/24 00:06:40.768, 0, 1 %, 6867 MiB, 91.78 W, 2355 MHz, 12481 MHz, 38
2026/09/24 00:06:40.768, 1, 0 %, 3315 MiB, 90.18 W, 2317 MHz, 12481 MHz, 38
2026/09/24 00:06:41.018, 0, 0 %, 6867 MiB, 91.84 W, 2355 MHz, 12481 MHz, 38
2026/09/24 00:06:41.018, 1, 0 %, 3315 MiB, 90.25 W, 2317 MHz, 12481 MHz, 38
2026/09/24 00:06:41.268, 0, 11 %, 10355 MiB, 93.15 W, 2355 MHz, 12481 MHz, 38
2026/09/24 00:06:41.268, 1, 0 %, 3315 MiB, 90.75 W, 2317 MHz, 12481 MHz, 38
2026/09/24 00:06:41.518, 0, 24 %, 10355 MiB, 93.90 W, 2355 MHz, 12481 MHz, 38
2026/09/24 00:06:41.518, 1, 0 %, 3315 MiB, 90.85 W, 2317 MHz, 12481 MHz, 38
2026/09/24 00:06:41.768, 0, 0 %, 10355 MiB, 93.86 W, 2355 MHz, 12481 MHz, 38
2026/09/24 00:06:41.768, 1, 0 %, 3315 MiB, 90.96 W, 2317 MHz, 12481 MHz, 38
