timestamp, index, utilization.gpu [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/09/24 02:28:55.053, 0, 0 %, 2 MiB, 110.01 W, 2850 MHz, 14001 MHz, 50
2026/09/24 02:28:55.058, 1, 0 %, 2 MiB, 115.63 W, 2857 MHz, 14001 MHz, 47
2026/09/24 02:28:55.312, 0, 0 %, 40 MiB, 110.01 W, 2850 MHz, 14001 MHz, 50
2026/09/24 02:28:55.312, 1, 0 %, 4 MiB, 115.63 W, 2857 MHz, 14001 MHz, 47
2026/09/24 02:28:55.562, 0, 0 %, 596 MiB, 110.01 W, 2850 MHz, 14001 MHz, 50
2026/09/24 02:28:55.562, 1, 0 %, 4 MiB, 115.63 W, 2857 MHz, 14001 MHz, 47
2026/09/24 02:28:55.812, 0, 0 %, 596 MiB, 110.46 W, 2850 MHz, 14001 MHz, 50
2026/09/24 02:28:55.812, 1, 0 %, 4 MiB, 114.31 W, 2857 MHz, 14001 MHz, 47
2026/09/24 02:28:56.062, 0, 0 %, 596 MiB, 110.46 W, 2850 MHz, 14001 MHz, 50
2026/09/24 02:28:56.063, 1, 0 %, 4 MiB, 114.31 W, 2857 MHz, 14001 MHz, 47
2026/09/24 02:28:56.316, 0, 0 %, 596 MiB, 90.48 W, 2820 MHz, 13365 MHz, 49
2026/09/24 02:28:56.316, 1, 0 %, 4 MiB, 113.37 W, 2857 MHz, 14001 MHz, 47
2026/09/24 02:28:56.566, 0, 0 %, 596 MiB, 90.50 W, 2610 MHz, 13365 MHz, 49
2026/09/24 02:28:56.807, 1, 0 %, 4 MiB, 63.97 W, 2857 MHz, 14001 MHz, 46
2026/09/24 02:28:57.112, 0, 0 %, 884 MiB, 90.50 W, 2610 MHz, 13365 MHz, 49
2026/09/24 02:28:57.112, 1, 0 %, 4 MiB, 63.97 W, 2857 MHz, 14001 MHz, 46
2026/09/24 02:28:57.362, 0, 0 %, 1268 MiB, 90.13 W, 2617 MHz, 13365 MHz, 49
2026/09/24 02:28:57.362, 1, 0 %, 596 MiB, 63.97 W, 2857 MHz, 14001 MHz, 46
2026/09/24 02:28:57.612, 0, 0 %, 1268 MiB, 90.13 W, 2617 MHz, 13365 MHz, 49
2026/09/24 02:28:57.612, 1, 0 %, 1236 MiB, 63.97 W, 2857 MHz, 14001 MHz, 46
2026/09/24 02:28:57.862, 0, 0 %, 1332 MiB, 90.63 W, 2610 MHz, 13365 MHz, 49
2026/09/24 02:28:57.863, 1, 0 %, 1300 MiB, 92.84 W, 2617 MHz, 13365 MHz, 46
2026/09/24 02:28:58.113, 0, 0 %, 2356 MiB, 90.63 W, 2610 MHz, 13365 MHz, 49
2026/09/24 02:28:58.113, 1, 0 %, 1300 MiB, 92.84 W, 2617 MHz, 13365 MHz, 46
2026/09/24 02:28:58.363, 0, 5 %, 3348 MiB, 90.59 W, 2617 MHz, 13365 MHz, 49
2026/09/24 02:28:58.363, 1, 2 %, 2324 MiB, 92.88 W, 2617 MHz, 13365 MHz, 46
2026/09/24 02:28:58.613, 0, 5 %, 6804 MiB, 90.59 W, 2617 MHz, 13365 MHz, 49
2026/09/24 02:28:58.613, 1, 2 %, 3316 MiB, 92.88 W, 2617 MHz, 13365 MHz, 46
2026/09/24 02:28:58.863, 0, 5 %, 6804 MiB, 92.36 W, 2617 MHz, 13365 MHz, 49
2026/09/24 02:28:58.864, 1, 2 %, 3316 MiB, 93.41 W, 2617 MHz, 13365 MHz, 46
2026/09/24 02:28:59.114, 0, 5 %, 6804 MiB, 92.36 W, 2617 MHz, 13365 MHz, 49
2026/09/24 02:28:59.114, 1, 2 %, 3316 MiB, 93.41 W, 2617 MHz, 13365 MHz, 46
2026/09/24 02:28:59.364, 0, 0 %, 6804 MiB, 90.08 W, 2617 MHz, 13365 MHz, 48
2026/09/24 02:28:59.364, 1, 0 %, 3316 MiB, 91.45 W, 2610 MHz, 13365 MHz, 46
