timestamp, index, utilization.gpu [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/09/24 04:39:02.079, 0, 0 %, 0 MiB, 106.89 W, 2355 MHz, 12481 MHz, 42
2026/09/24 04:39:02.082, 1, 0 %, 0 MiB, 105.77 W, 2317 MHz, 12481 MHz, 42
2026/09/24 04:39:02.336, 0, 0 %, 595 MiB, 105.87 W, 2355 MHz, 12481 MHz, 42
2026/09/24 04:39:02.336, 1, 0 %, 3 MiB, 100.16 W, 2317 MHz, 12481 MHz, 42
2026/09/24 04:39:02.586, 0, 0 %, 595 MiB, 95.86 W, 2355 MHz, 12481 MHz, 42
2026/09/24 04:39:02.586, 1, 0 %, 3 MiB, 94.26 W, 2317 MHz, 12481 MHz, 42
2026/09/24 04:39:02.836, 0, 0 %, 595 MiB, 95.89 W, 2355 MHz, 12481 MHz, 42
2026/09/24 04:39:02.836, 1, 0 %, 3 MiB, 94.25 W, 2317 MHz, 12481 MHz, 42
2026/09/24 04:39:03.086, 0, 0 %, 595 MiB, 95.89 W, 2355 MHz, 12481 MHz, 42
2026/09/24 04:39:03.086, 1, 0 %, 3 MiB, 94.23 W, 2317 MHz, 12481 MHz, 42
2026/09/24 04:39:03.336, 0, 1 %, 1139 MiB, 94.64 W, 2355 MHz, 12481 MHz, 42
2026/09/24 04:39:03.336, 1, 0 %, 3 MiB, 90.74 W, 2032 MHz, 12481 MHz, 42
2026/09/24 04:39:03.586, 0, 0 %, 1267 MiB, 94.61 W, 2355 MHz, 12481 MHz, 42
2026/09/24 04:39:03.586, 1, 4 %, 1235 MiB, 89.54 W, 1552 MHz, 12481 MHz, 42
2026/09/24 04:39:03.837, 0, 0 %, 1331 MiB, 94.65 W, 2355 MHz, 12481 MHz, 42
2026/09/24 04:39:03.837, 1, 5 %, 1299 MiB, 89.99 W, 2317 MHz, 12481 MHz, 42
2026/09/24 04:39:04.088, 0, 0 %, 3347 MiB, 95.37 W, 2355 MHz, 12481 MHz, 42
2026/09/24 04:39:04.088, 1, 1 %, 2323 MiB, 89.99 W, 2317 MHz, 12481 MHz, 42
2026/09/24 04:39:04.338, 0, 27 %, 6803 MiB, 97.17 W, 2355 MHz, 12481 MHz, 42
2026/09/24 04:39:04.338, 1, 9 %, 3315 MiB, 93.02 W, 2317 MHz, 12481 MHz, 42
2026/09/24 04:39:04.588, 0, 7 %, 6803 MiB, 97.66 W, 2355 MHz, 12481 MHz, 42
2026/09/24 04:39:04.588, 1, 0 %, 3315 MiB, 95.07 W, 2317 MHz, 12481 MHz, 42
2026/09/24 04:39:04.838, 0, 0 %, 6803 MiB, 97.53 W, 2355 MHz, 12481 MHz, 42
2026/09/24 04:39:04.838, 1, 0 %, 3315 MiB, 94.56 W, 2317 MHz, 12481 MHz, 42
2026/09/24 04:39:05.089, 0, 0 %, 6803 MiB, 96.76 W, 2355 MHz, 12481 MHz, 42
2026/09/24 04:39:05.089, 1, 0 %, 3315 MiB, 94.46 W, 2317 MHz, 12481 MHz, 42
2026/09/24 04:39:05.339, 0, 0 %, 6803 MiB, 94.81 W, 2355 MHz, 12481 MHz, 41
2026/09/24 04:39:05.339, 1, 0 %, 3315 MiB, 93.43 W, 2317 MHz, 12481 MHz, 42
2026/09/24 04:39:05.589, 0, 0 %, 6803 MiB, 93.99 W, 2355 MHz, 12481 MHz, 41
2026/09/24 04:39:05.589, 1, 0 %, 3315 MiB, 93.43 W, 2317 MHz, 12481 MHz, 42
