timestamp, index, utilization.gpu [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/09/24 01:56:27.195, 0, 0 %, 2 MiB, 107.19 W, 2850 MHz, 14001 MHz, 47
2026/09/24 01:56:27.199, 1, 0 %, 2 MiB, 111.20 W, 2857 MHz, 14001 MHz, 45
2026/09/24 01:56:27.453, 0, 0 %, 42 MiB, 107.19 W, 2850 MHz, 14001 MHz, 47
2026/09/24 01:56:27.453, 1, 0 %, 4 MiB, 111.20 W, 2857 MHz, 14001 MHz, 45
2026/09/24 01:56:27.703, 0, 0 %, 596 MiB, 107.19 W, 2850 MHz, 14001 MHz, 47
2026/09/24 01:56:27.703, 1, 0 %, 4 MiB, 111.20 W, 2857 MHz, 14001 MHz, 45
2026/09/24 01:56:27.954, 0, 0 %, 596 MiB, 107.17 W, 2850 MHz, 14001 MHz, 47
2026/09/24 01:56:27.954, 1, 0 %, 4 MiB, 110.25 W, 2857 MHz, 14001 MHz, 44
2026/09/24 01:56:28.204, 0, 0 %, 596 MiB, 107.17 W, 2850 MHz, 14001 MHz, 47
2026/09/24 01:56:28.204, 1, 0 %, 4 MiB, 110.25 W, 2857 MHz, 14001 MHz, 44
2026/09/24 01:56:28.454, 0, 0 %, 596 MiB, 105.87 W, 2850 MHz, 13365 MHz, 47
2026/09/24 01:56:28.454, 1, 0 %, 4 MiB, 110.37 W, 2857 MHz, 14001 MHz, 44
2026/09/24 01:56:28.704, 0, 0 %, 628 MiB, 105.87 W, 2850 MHz, 13365 MHz, 47
2026/09/24 01:56:28.704, 1, 0 %, 4 MiB, 110.37 W, 2857 MHz, 14001 MHz, 44
2026/09/24 01:56:28.954, 0, 0 %, 1268 MiB, 87.09 W, 2610 MHz, 13365 MHz, 46
2026/09/24 01:56:28.955, 1, 0 %, 23 MiB, 109.57 W, 2857 MHz, 14001 MHz, 44
2026/09/24 01:56:29.205, 0, 0 %, 1268 MiB, 87.09 W, 2610 MHz, 13365 MHz, 46
2026/09/24 01:56:29.206, 1, 0 %, 852 MiB, 109.57 W, 2857 MHz, 14001 MHz, 44
2026/09/24 01:56:29.456, 0, 0 %, 1268 MiB, 87.11 W, 2617 MHz, 13365 MHz, 46
2026/09/24 01:56:29.456, 1, 0 %, 1236 MiB, 75.20 W, 2625 MHz, 13365 MHz, 43
2026/09/24 01:56:29.706, 0, 0 %, 1332 MiB, 87.11 W, 2617 MHz, 13365 MHz, 46
2026/09/24 01:56:29.706, 1, 0 %, 1300 MiB, 75.20 W, 2625 MHz, 13365 MHz, 43
2026/09/24 01:56:29.956, 0, 0 %, 2356 MiB, 88.54 W, 2617 MHz, 13365 MHz, 46
2026/09/24 01:56:29.956, 1, 0 %, 1300 MiB, 88.47 W, 2617 MHz, 13365 MHz, 43
2026/09/24 01:56:30.206, 0, 0 %, 6804 MiB, 88.54 W, 2617 MHz, 13365 MHz, 46
2026/09/24 01:56:30.207, 1, 0 %, 3316 MiB, 88.47 W, 2617 MHz, 13365 MHz, 43
2026/09/24 01:56:30.457, 0, 16 %, 6804 MiB, 91.13 W, 2617 MHz, 13365 MHz, 46
