timestamp, index, utilization.gpu [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/09/24 17:54:11.584, 0, 0 %, 2 MiB, 112.31 W, 2827 MHz, 14001 MHz, 49
2026/09/24 17:54:11.590, 1, 0 %, 2 MiB, 115.06 W, 2610 MHz, 14001 MHz, 49
2026/09/24 17:54:11.844, 0, 0 %, 40 MiB, 112.31 W, 2827 MHz, 14001 MHz, 49
2026/09/24 17:54:11.844, 1, 0 %, 4 MiB, 115.06 W, 2610 MHz, 14001 MHz, 49
2026/09/24 17:54:12.095, 0, 0 %, 596 MiB, 112.31 W, 2827 MHz, 14001 MHz, 49
2026/09/24 17:54:12.095, 1, 0 %, 4 MiB, 115.06 W, 2610 MHz, 14001 MHz, 49
2026/09/24 17:54:12.345, 0, 0 %, 596 MiB, 115.66 W, 2827 MHz, 14001 MHz, 49
2026/09/24 17:54:12.345, 1, 0 %, 4 MiB, 121.05 W, 2610 MHz, 14001 MHz, 49
2026/09/24 17:54:12.595, 0, 0 %, 596 MiB, 115.66 W, 2827 MHz, 14001 MHz, 49
2026/09/24 17:54:12.595, 1, 0 %, 4 MiB, 121.05 W, 2610 MHz, 14001 MHz, 49
2026/09/24 17:54:12.845, 0, 0 %, 596 MiB, 106.45 W, 2850 MHz, 13365 MHz, 49
2026/09/24 17:54:12.845, 1, 0 %, 4 MiB, 114.25 W, 2857 MHz, 14001 MHz, 48
2026/09/24 17:54:13.095, 0, 0 %, 628 MiB, 106.45 W, 2850 MHz, 13365 MHz, 49
2026/09/24 17:54:13.096, 1, 0 %, 4 MiB, 114.25 W, 2857 MHz, 14001 MHz, 48
2026/09/24 17:54:13.346, 0, 0 %, 1268 MiB, 106.14 W, 2850 MHz, 13365 MHz, 49
2026/09/24 17:54:13.346, 1, 0 %, 23 MiB, 114.04 W, 2857 MHz, 14001 MHz, 48
2026/09/24 17:54:13.597, 0, 0 %, 1268 MiB, 106.14 W, 2850 MHz, 13365 MHz, 49
2026/09/24 17:54:13.597, 1, 0 %, 852 MiB, 114.04 W, 2857 MHz, 14001 MHz, 48
2026/09/24 17:54:13.847, 0, 0 %, 1268 MiB, 90.34 W, 2617 MHz, 13365 MHz, 49
2026/09/24 17:54:13.847, 1, 5 %, 1236 MiB, 96.43 W, 2625 MHz, 13365 MHz, 48
2026/09/24 17:54:14.097, 0, 0 %, 1332 MiB, 90.34 W, 2617 MHz, 13365 MHz, 49
2026/09/24 17:54:14.097, 1, 5 %, 1300 MiB, 96.43 W, 2625 MHz, 13365 MHz, 48
2026/09/24 17:54:14.347, 0, 0 %, 2356 MiB, 89.63 W, 2617 MHz, 13365 MHz, 49
2026/09/24 17:54:14.348, 1, 5 %, 1300 MiB, 93.96 W, 2617 MHz, 13365 MHz, 48
2026/09/24 17:54:14.598, 0, 0 %, 6804 MiB, 89.63 W, 2617 MHz, 13365 MHz, 49
2026/09/24 17:54:14.598, 1, 5 %, 3316 MiB, 93.96 W, 2617 MHz, 13365 MHz, 48
2026/09/24 17:54:14.848, 0, 9 %, 6804 MiB, 91.29 W, 2617 MHz, 13365 MHz, 49
2026/09/24 17:54:14.848, 1, 22 %, 3316 MiB, 94.38 W, 2617 MHz, 13365 MHz, 48
2026/09/24 17:54:15.098, 0, 9 %, 6804 MiB, 91.29 W, 2617 MHz, 13365 MHz, 49
2026/09/24 17:54:15.098, 1, 22 %, 3316 MiB, 94.38 W, 2617 MHz, 13365 MHz, 48
2026/09/24 17:54:15.348, 0, 9 %, 6804 MiB, 90.76 W, 2617 MHz, 13365 MHz, 49
2026/09/24 17:54:15.349, 1, 22 %, 3316 MiB, 92.96 W, 2610 MHz, 13365 MHz, 48
2026/09/24 17:54:15.599, 0, 9 %, 6804 MiB, 90.76 W, 2617 MHz, 13365 MHz, 49
2026/09/24 17:54:15.599, 1, 22 %, 3316 MiB, 92.96 W, 2610 MHz, 13365 MHz, 48
2026/09/24 17:54:15.849, 0, 0 %, 6804 MiB, 89.50 W, 2610 MHz, 13365 MHz, 48
2026/09/24 17:54:15.849, 1, 0 %, 3316 MiB, 92.73 W, 2610 MHz, 13365 MHz, 48
2026/09/24 17:54:16.099, 0, 0 %, 6804 MiB, 89.50 W, 2610 MHz, 13365 MHz, 48
2026/09/24 17:54:16.099, 1, 0 %, 3316 MiB, 92.73 W, 2610 MHz, 13365 MHz, 48
2026/09/24 17:54:16.349, 0, 0 %, 6836 MiB, 88.11 W, 2610 MHz, 13365 MHz, 48
2026/09/24 17:54:16.350, 1, 0 %, 3316 MiB, 92.73 W, 2610 MHz, 13365 MHz, 48
2026/09/24 17:54:16.600, 0, 0 %, 6836 MiB, 88.11 W, 2610 MHz, 13365 MHz, 48
2026/09/24 17:54:16.600, 1, 0 %, 3316 MiB, 92.73 W, 2610 MHz, 13365 MHz, 48
2026/09/24 17:54:16.850, 0, 0 %, 6836 MiB, 86.57 W, 2617 MHz, 13365 MHz, 48
2026/09/24 17:54:16.850, 1, 0 %, 3316 MiB, 90.13 W, 2610 MHz, 13365 MHz, 47
2026/09/24 17:54:17.100, 0, 0 %, 6868 MiB, 86.57 W, 2617 MHz, 13365 MHz, 48
2026/09/24 17:54:17.100, 1, 0 %, 3316 MiB, 90.13 W, 2610 MHz, 13365 MHz, 47
2026/09/24 17:54:17.350, 0, 0 %, 6868 MiB, 86.30 W, 2617 MHz, 13365 MHz, 48
2026/09/24 17:54:17.351, 1, 0 %, 3316 MiB, 90.14 W, 2610 MHz, 13365 MHz, 47
2026/09/24 17:54:17.601, 0, 0 %, 10356 MiB, 86.30 W, 2617 MHz, 13365 MHz, 48
2026/09/24 17:54:17.602, 1, 0 %, 3316 MiB, 90.14 W, 2610 MHz, 13365 MHz, 47
2026/09/24 17:54:17.852, 0, 19 %, 10356 MiB, 87.84 W, 2617 MHz, 13365 MHz, 48
2026/09/24 17:54:17.852, 1, 0 %, 3316 MiB, 90.46 W, 2610 MHz, 13365 MHz, 47
2026/09/24 17:54:18.102, 0, 19 %, 10356 MiB, 87.84 W, 2617 MHz, 13365 MHz, 48
2026/09/24 17:54:18.102, 1, 0 %, 3316 MiB, 90.46 W, 2610 MHz, 13365 MHz, 47
2026/09/24 17:54:18.352, 0, 19 %, 10356 MiB, 87.53 W, 2617 MHz, 13365 MHz, 48
2026/09/24 17:54:18.352, 1, 0 %, 3316 MiB, 90.96 W, 2610 MHz, 13365 MHz, 47
2026/09/24 17:54:18.602, 0, 19 %, 10388 MiB, 87.53 W, 2617 MHz, 13365 MHz, 48
