timestamp, index, utilization.gpu [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/09/24 20:53:24.294, 0, 0 %, 2 MiB, 17.51 W, 180 MHz, 405 MHz, 31
2026/09/24 20:53:24.304, 1, 0 %, 2 MiB, 16.88 W, 180 MHz, 405 MHz, 30
2026/09/24 20:53:24.564, 0, 0 %, 4 MiB, 17.51 W, 180 MHz, 405 MHz, 31
2026/09/24 20:53:24.585, 1, 0 %, 2 MiB, 16.88 W, 180 MHz, 405 MHz, 30
2026/09/24 20:53:24.836, 0, 0 %, 596 MiB, 17.51 W, 180 MHz, 405 MHz, 31
2026/09/24 20:53:24.836, 1, 0 %, 4 MiB, 16.88 W, 180 MHz, 405 MHz, 30
2026/09/24 20:53:25.086, 0, 0 %, 596 MiB, 39.31 W, 390 MHz, 13365 MHz, 32
2026/09/24 20:53:25.086, 1, 0 %, 4 MiB, 20.11 W, 180 MHz, 405 MHz, 30
2026/09/24 20:53:25.336, 0, 0 %, 596 MiB, 39.31 W, 390 MHz, 13365 MHz, 32
2026/09/24 20:53:25.336, 1, 0 %, 4 MiB, 20.11 W, 180 MHz, 405 MHz, 30
2026/09/24 20:53:25.597, 0, 0 %, 596 MiB, 90.28 W, 2610 MHz, 13365 MHz, 33
2026/09/24 20:53:25.598, 1, 0 %, 4 MiB, 22.82 W, 180 MHz, 405 MHz, 30
2026/09/24 20:53:25.848, 0, 0 %, 596 MiB, 90.28 W, 2610 MHz, 13365 MHz, 33
2026/09/24 20:53:25.848, 1, 0 %, 4 MiB, 22.82 W, 180 MHz, 405 MHz, 30
2026/09/24 20:53:26.098, 0, 0 %, 884 MiB, 89.18 W, 2610 MHz, 13365 MHz, 33
2026/09/24 20:53:26.098, 1, 0 %, 4 MiB, 21.74 W, 180 MHz, 405 MHz, 30
2026/09/24 20:53:26.348, 0, 0 %, 1268 MiB, 89.18 W, 2610 MHz, 13365 MHz, 33
2026/09/24 20:53:26.348, 1, 0 %, 596 MiB, 21.74 W, 180 MHz, 405 MHz, 30
2026/09/24 20:53:26.598, 0, 0 %, 1268 MiB, 89.42 W, 2617 MHz, 13365 MHz, 33
2026/09/24 20:53:26.600, 1, 0 %, 1236 MiB, 29.70 W, 2212 MHz, 13365 MHz, 31
2026/09/24 20:53:26.851, 0, 0 %, 1332 MiB, 89.42 W, 2617 MHz, 13365 MHz, 33
2026/09/24 20:53:26.851, 1, 0 %, 1300 MiB, 29.70 W, 2212 MHz, 13365 MHz, 31
2026/09/24 20:53:27.101, 0, 0 %, 2356 MiB, 89.92 W, 2617 MHz, 13365 MHz, 33
2026/09/24 20:53:27.101, 1, 0 %, 1300 MiB, 80.79 W, 2617 MHz, 13365 MHz, 31
2026/09/24 20:53:27.351, 0, 0 %, 6804 MiB, 89.92 W, 2617 MHz, 13365 MHz, 33
2026/09/24 20:53:27.351, 1, 0 %, 3316 MiB, 80.79 W, 2617 MHz, 13365 MHz, 31
2026/09/24 20:53:27.601, 0, 0 %, 6804 MiB, 90.57 W, 2617 MHz, 13365 MHz, 33
2026/09/24 20:53:27.601, 1, 0 %, 3316 MiB, 82.18 W, 2617 MHz, 13365 MHz, 31
2026/09/24 20:53:27.851, 0, 0 %, 6804 MiB, 90.57 W, 2617 MHz, 13365 MHz, 33
2026/09/24 20:53:27.852, 1, 0 %, 3316 MiB, 82.18 W, 2617 MHz, 13365 MHz, 31
2026/09/24 20:53:28.102, 0, 0 %, 6804 MiB, 90.34 W, 2610 MHz, 13365 MHz, 33
2026/09/24 20:53:28.102, 1, 0 %, 3316 MiB, 80.56 W, 2610 MHz, 13365 MHz, 31
2026/09/24 20:53:28.352, 0, 0 %, 6804 MiB, 90.34 W, 2610 MHz, 13365 MHz, 33
2026/09/24 20:53:28.352, 1, 0 %, 3316 MiB, 80.56 W, 2610 MHz, 13365 MHz, 31
2026/09/24 20:53:28.602, 0, 0 %, 6804 MiB, 89.08 W, 2610 MHz, 13365 MHz, 33
2026/09/24 20:53:28.602, 1, 0 %, 3316 MiB, 79.62 W, 2610 MHz, 13365 MHz, 31
2026/09/24 20:53:28.852, 0, 0 %, 6804 MiB, 89.08 W, 2610 MHz, 13365 MHz, 33
2026/09/24 20:53:28.853, 1, 0 %, 3316 MiB, 79.62 W, 2610 MHz, 13365 MHz, 31
2026/09/24 20:53:29.103, 0, 0 %, 6836 MiB, 89.09 W, 2610 MHz, 13365 MHz, 33
2026/09/24 20:53:29.103, 1, 0 %, 3316 MiB, 79.62 W, 2610 MHz, 13365 MHz, 31
2026/09/24 20:53:29.353, 0, 0 %, 6836 MiB, 89.09 W, 2610 MHz, 13365 MHz, 33
2026/09/24 20:53:29.353, 1, 0 %, 3316 MiB, 79.62 W, 2610 MHz, 13365 MHz, 31
2026/09/24 20:53:29.603, 0, 0 %, 6836 MiB, 90.49 W, 2617 MHz, 13365 MHz, 34
2026/09/24 20:53:29.603, 1, 0 %, 3316 MiB, 81.44 W, 2610 MHz, 13365 MHz, 31
2026/09/24 20:53:29.853, 0, 0 %, 6868 MiB, 90.49 W, 2617 MHz, 13365 MHz, 34
2026/09/24 20:53:29.854, 1, 0 %, 3316 MiB, 81.44 W, 2610 MHz, 13365 MHz, 31
2026/09/24 20:53:30.104, 0, 0 %, 10356 MiB, 89.42 W, 2617 MHz, 13365 MHz, 34
2026/09/24 20:53:30.104, 1, 0 %, 3316 MiB, 79.83 W, 2610 MHz, 13365 MHz, 31
2026/09/24 20:53:30.354, 0, 0 %, 10356 MiB, 89.42 W, 2617 MHz, 13365 MHz, 34
2026/09/24 20:53:30.354, 1, 0 %, 3316 MiB, 79.83 W, 2610 MHz, 13365 MHz, 31
2026/09/24 20:53:30.604, 0, 0 %, 10356 MiB, 90.38 W, 2625 MHz, 13365 MHz, 34
2026/09/24 20:53:30.604, 1, 0 %, 3316 MiB, 79.71 W, 2610 MHz, 13365 MHz, 31
2026/09/24 20:53:30.855, 0, 0 %, 10356 MiB, 90.38 W, 2625 MHz, 13365 MHz, 34
2026/09/24 20:53:30.855, 1, 0 %, 3316 MiB, 79.71 W, 2610 MHz, 13365 MHz, 31
2026/09/24 20:53:31.105, 0, 0 %, 10356 MiB, 89.57 W, 2617 MHz, 13365 MHz, 34
2026/09/24 20:53:31.105, 1, 0 %, 3316 MiB, 79.88 W, 2610 MHz, 13365 MHz, 31
2026/09/24 20:53:31.355, 0, 0 %, 10388 MiB, 89.57 W, 2617 MHz, 13365 MHz, 34
