timestamp, index, utilization.gpu [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/09/24 03:36:09.780, 0, 0 %, 2 MiB, 108.13 W, 2865 MHz, 14001 MHz, 44
2026/09/24 03:36:09.785, 1, 0 %, 2 MiB, 113.11 W, 2865 MHz, 14001 MHz, 42
2026/09/24 03:36:10.039, 0, 0 %, 24 MiB, 108.13 W, 2865 MHz, 14001 MHz, 44
2026/09/24 03:36:10.039, 1, 0 %, 4 MiB, 113.11 W, 2865 MHz, 14001 MHz, 42
2026/09/24 03:36:10.289, 0, 0 %, 596 MiB, 108.13 W, 2865 MHz, 14001 MHz, 44
2026/09/24 03:36:10.289, 1, 0 %, 4 MiB, 113.11 W, 2865 MHz, 14001 MHz, 42
2026/09/24 03:36:10.539, 0, 0 %, 596 MiB, 105.57 W, 2865 MHz, 14001 MHz, 44
2026/09/24 03:36:10.539, 1, 0 %, 4 MiB, 106.93 W, 2865 MHz, 14001 MHz, 42
2026/09/24 03:36:10.790, 0, 0 %, 596 MiB, 105.57 W, 2865 MHz, 14001 MHz, 44
2026/09/24 03:36:10.790, 1, 0 %, 4 MiB, 106.93 W, 2865 MHz, 14001 MHz, 42
2026/09/24 03:36:11.040, 0, 0 %, 596 MiB, 99.62 W, 2685 MHz, 13365 MHz, 43
2026/09/24 03:36:11.040, 1, 0 %, 4 MiB, 98.61 W, 1702 MHz, 14001 MHz, 41
2026/09/24 03:36:11.290, 0, 0 %, 628 MiB, 99.62 W, 2685 MHz, 13365 MHz, 43
2026/09/24 03:36:11.290, 1, 0 %, 4 MiB, 98.61 W, 1702 MHz, 14001 MHz, 41
2026/09/24 03:36:11.540, 0, 0 %, 1268 MiB, 90.86 W, 2610 MHz, 13365 MHz, 43
2026/09/24 03:36:11.553, 1, 0 %, 23 MiB, 89.65 W, 1702 MHz, 14001 MHz, 40
