timestamp, index, utilization.gpu [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/09/24 04:03:18.764, 0, 0 %, 2 MiB, 103.84 W, 2850 MHz, 14001 MHz, 44
2026/09/24 04:03:18.768, 1, 0 %, 2 MiB, 109.49 W, 2865 MHz, 14001 MHz, 43
2026/09/24 04:03:19.021, 0, 0 %, 564 MiB, 106.44 W, 2850 MHz, 14001 MHz, 44
2026/09/24 04:03:19.021, 1, 0 %, 4 MiB, 114.04 W, 2865 MHz, 14001 MHz, 43
2026/09/24 04:03:19.272, 0, 0 %, 596 MiB, 106.44 W, 2850 MHz, 14001 MHz, 44
2026/09/24 04:03:19.272, 1, 0 %, 4 MiB, 114.04 W, 2865 MHz, 14001 MHz, 43
2026/09/24 04:03:19.522, 0, 0 %, 596 MiB, 104.57 W, 2850 MHz, 13365 MHz, 44
2026/09/24 04:03:19.522, 1, 0 %, 4 MiB, 110.00 W, 2865 MHz, 14001 MHz, 43
2026/09/24 04:03:19.772, 0, 0 %, 596 MiB, 104.57 W, 2850 MHz, 13365 MHz, 44
2026/09/24 04:03:19.772, 1, 0 %, 4 MiB, 110.00 W, 2865 MHz, 14001 MHz, 43
2026/09/24 04:03:20.022, 0, 0 %, 596 MiB, 102.30 W, 2850 MHz, 13365 MHz, 44
2026/09/24 04:03:20.022, 1, 0 %, 4 MiB, 107.89 W, 2865 MHz, 14001 MHz, 43
2026/09/24 04:03:20.285, 0, 0 %, 884 MiB, 102.30 W, 2850 MHz, 13365 MHz, 44
2026/09/24 04:03:20.285, 1, 0 %, 4 MiB, 107.89 W, 2865 MHz, 14001 MHz, 43
2026/09/24 04:03:20.535, 0, 5 %, 1268 MiB, 84.14 W, 2610 MHz, 13365 MHz, 44
2026/09/24 04:03:20.535, 1, 0 %, 560 MiB, 108.15 W, 2865 MHz, 14001 MHz, 43
2026/09/24 04:03:20.785, 0, 5 %, 1268 MiB, 84.14 W, 2610 MHz, 13365 MHz, 44
2026/09/24 04:03:20.785, 1, 0 %, 852 MiB, 108.15 W, 2865 MHz, 14001 MHz, 43
2026/09/24 04:03:21.036, 0, 5 %, 1332 MiB, 83.89 W, 2610 MHz, 13365 MHz, 43
2026/09/24 04:03:21.036, 1, 0 %, 1300 MiB, 89.89 W, 2617 MHz, 13365 MHz, 42
2026/09/24 04:03:21.286, 0, 5 %, 1332 MiB, 83.89 W, 2610 MHz, 13365 MHz, 43
