timestamp, index, utilization.gpu [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/09/23 12:35:31.471, 0, 24 %, 1 MiB, 126.83 W, 2865 MHz, 13365 MHz, 62
2026/09/23 12:35:31.476, 1, 0 %, 1 MiB, 117.43 W, 2835 MHz, 13365 MHz, 54
2026/09/23 12:35:31.731, 0, 0 %, 40 MiB, 132.72 W, 2760 MHz, 13365 MHz, 62
2026/09/23 12:35:31.732, 1, 0 %, 4 MiB, 117.43 W, 2835 MHz, 13365 MHz, 54
2026/09/23 12:35:31.982, 0, 0 %, 596 MiB, 132.72 W, 2760 MHz, 13365 MHz, 62
2026/09/23 12:35:31.983, 1, 0 %, 4 MiB, 114.49 W, 2835 MHz, 13365 MHz, 54
2026/09/23 12:35:32.233, 0, 0 %, 596 MiB, 132.53 W, 2760 MHz, 13365 MHz, 61
2026/09/23 12:35:32.233, 1, 0 %, 4 MiB, 114.49 W, 2835 MHz, 13365 MHz, 54
2026/09/23 12:35:32.483, 0, 0 %, 596 MiB, 132.53 W, 2760 MHz, 13365 MHz, 61
2026/09/23 12:35:32.483, 1, 0 %, 4 MiB, 103.51 W, 2835 MHz, 13365 MHz, 54
2026/09/23 12:35:32.734, 0, 0 %, 628 MiB, 124.56 W, 2865 MHz, 13365 MHz, 61
2026/09/23 12:35:32.734, 1, 0 %, 4 MiB, 103.51 W, 2835 MHz, 13365 MHz, 54
2026/09/23 12:35:32.984, 0, 0 %, 1268 MiB, 124.56 W, 2865 MHz, 13365 MHz, 61
2026/09/23 12:35:32.984, 1, 0 %, 596 MiB, 97.66 W, 2812 MHz, 13365 MHz, 53
2026/09/23 12:35:33.234, 0, 0 %, 1332 MiB, 121.79 W, 2865 MHz, 13365 MHz, 61
2026/09/23 12:35:33.235, 1, 0 %, 1300 MiB, 97.66 W, 2812 MHz, 13365 MHz, 53
2026/09/23 12:35:33.485, 0, 0 %, 2356 MiB, 121.79 W, 2865 MHz, 13365 MHz, 61
2026/09/23 12:35:33.485, 1, 0 %, 1300 MiB, 92.07 W, 2617 MHz, 13365 MHz, 53
2026/09/23 12:35:33.735, 0, 7 %, 6804 MiB, 113.55 W, 2610 MHz, 13365 MHz, 60
2026/09/23 12:35:33.736, 1, 0 %, 3316 MiB, 92.07 W, 2617 MHz, 13365 MHz, 53
2026/09/23 12:35:33.986, 0, 7 %, 6804 MiB, 113.55 W, 2610 MHz, 13365 MHz, 60
2026/09/23 12:35:33.986, 1, 0 %, 3316 MiB, 87.46 W, 2617 MHz, 13365 MHz, 53
2026/09/23 12:35:34.236, 0, 5 %, 6804 MiB, 113.55 W, 2610 MHz, 13365 MHz, 60
2026/09/23 12:35:34.240, 1, 0 %, 3316 MiB, 87.46 W, 2617 MHz, 13365 MHz, 53
2026/09/23 12:35:34.491, 0, 5 %, 6804 MiB, 113.55 W, 2610 MHz, 13365 MHz, 60
2026/09/23 12:35:34.491, 1, 0 %, 3316 MiB, 87.46 W, 2617 MHz, 13365 MHz, 53
2026/09/23 12:35:34.741, 0, 0 %, 6804 MiB, 105.26 W, 2602 MHz, 13365 MHz, 60
2026/09/23 12:35:34.741, 1, 0 %, 3316 MiB, 87.46 W, 2617 MHz, 13365 MHz, 53
2026/09/23 12:35:34.992, 0, 0 %, 6804 MiB, 105.26 W, 2602 MHz, 13365 MHz, 60
2026/09/23 12:35:34.992, 1, 0 %, 3316 MiB, 86.01 W, 2610 MHz, 13365 MHz, 53
2026/09/23 12:35:35.242, 0, 0 %, 6804 MiB, 101.75 W, 2602 MHz, 13365 MHz, 60
2026/09/23 12:35:35.242, 1, 0 %, 3316 MiB, 86.01 W, 2610 MHz, 13365 MHz, 53
2026/09/23 12:35:35.492, 0, 0 %, 6836 MiB, 101.75 W, 2602 MHz, 13365 MHz, 60
2026/09/23 12:35:35.493, 1, 0 %, 3316 MiB, 84.56 W, 2610 MHz, 13365 MHz, 52
2026/09/23 12:35:35.743, 0, 0 %, 6836 MiB, 101.22 W, 2602 MHz, 13365 MHz, 60
2026/09/23 12:35:35.743, 1, 0 %, 3316 MiB, 84.56 W, 2610 MHz, 13365 MHz, 52
2026/09/23 12:35:35.993, 0, 0 %, 6868 MiB, 101.22 W, 2602 MHz, 13365 MHz, 60
2026/09/23 12:35:35.993, 1, 0 %, 3316 MiB, 84.04 W, 2610 MHz, 13365 MHz, 52
2026/09/23 12:35:36.243, 0, 1 %, 6868 MiB, 100.68 W, 2602 MHz, 13365 MHz, 59
2026/09/23 12:35:36.243, 1, 0 %, 3316 MiB, 84.04 W, 2610 MHz, 13365 MHz, 52
2026/09/23 12:35:36.494, 0, 1 %, 10356 MiB, 100.68 W, 2602 MHz, 13365 MHz, 59
2026/09/23 12:35:36.494, 1, 0 %, 3316 MiB, 83.96 W, 2610 MHz, 13365 MHz, 52
2026/09/23 12:35:36.744, 0, 29 %, 10356 MiB, 101.99 W, 2602 MHz, 13365 MHz, 59
2026/09/23 12:35:36.744, 1, 0 %, 3316 MiB, 83.96 W, 2610 MHz, 13365 MHz, 52
2026/09/23 12:35:36.994, 0, 29 %, 10356 MiB, 101.99 W, 2602 MHz, 13365 MHz, 59
2026/09/23 12:35:36.994, 1, 0 %, 3316 MiB, 83.92 W, 2610 MHz, 13365 MHz, 52
2026/09/23 12:35:37.245, 0, 0 %, 10356 MiB, 102.41 W, 2602 MHz, 13365 MHz, 59
2026/09/23 12:35:37.245, 1, 0 %, 3316 MiB, 83.92 W, 2610 MHz, 13365 MHz, 52
2026/09/23 12:35:37.495, 0, 0 %, 10388 MiB, 102.41 W, 2602 MHz, 13365 MHz, 59
2026/09/23 12:35:37.495, 1, 0 %, 3316 MiB, 83.89 W, 2610 MHz, 13365 MHz, 52
2026/09/23 12:35:37.745, 0, 0 %, 10388 MiB, 101.48 W, 2602 MHz, 13365 MHz, 59
2026/09/23 12:35:37.745, 1, 0 %, 3316 MiB, 83.89 W, 2610 MHz, 13365 MHz, 52
2026/09/23 12:35:37.996, 0, 0 %, 10420 MiB, 101.48 W, 2602 MHz, 13365 MHz, 59
2026/09/23 12:35:37.996, 1, 0 %, 3316 MiB, 83.93 W, 2610 MHz, 13365 MHz, 52
2026/09/23 12:35:38.246, 0, 1 %, 10420 MiB, 99.80 W, 2602 MHz, 13365 MHz, 59
2026/09/23 12:35:38.246, 1, 0 %, 3316 MiB, 83.93 W, 2610 MHz, 13365 MHz, 52
2026/09/23 12:35:38.496, 0, 1 %, 10420 MiB, 99.80 W, 2602 MHz, 13365 MHz, 59
2026/09/23 12:35:38.496, 1, 0 %, 3316 MiB, 83.74 W, 2610 MHz, 13365 MHz, 52
2026/09/23 12:35:38.747, 0, 0 %, 10452 MiB, 99.22 W, 2602 MHz, 13365 MHz, 59
2026/09/23 12:35:38.747, 1, 0 %, 3316 MiB, 83.74 W, 2610 MHz, 13365 MHz, 52
2026/09/23 12:35:38.997, 0, 0 %, 10452 MiB, 99.22 W, 2602 MHz, 13365 MHz, 59
2026/09/23 12:35:38.997, 1, 0 %, 3316 MiB, 83.43 W, 2610 MHz, 13365 MHz, 52
2026/09/23 12:35:39.247, 0, 0 %, 13940 MiB, 99.19 W, 2602 MHz, 13365 MHz, 59
2026/09/23 12:35:39.247, 1, 0 %, 3316 MiB, 83.43 W, 2610 MHz, 13365 MHz, 52
2026/09/23 12:35:39.498, 0, 0 %, 13972 MiB, 99.19 W, 2602 MHz, 13365 MHz, 59
2026/09/23 12:35:39.498, 1, 0 %, 3316 MiB, 83.32 W, 2610 MHz, 13365 MHz, 52
2026/09/23 12:35:39.748, 0, 0 %, 13972 MiB, 101.36 W, 2602 MHz, 13365 MHz, 58
2026/09/23 12:35:39.748, 1, 0 %, 3316 MiB, 83.32 W, 2610 MHz, 13365 MHz, 52
2026/09/23 12:35:39.998, 0, 0 %, 13972 MiB, 101.36 W, 2602 MHz, 13365 MHz, 58
2026/09/23 12:35:39.998, 1, 0 %, 3316 MiB, 83.28 W, 2610 MHz, 13365 MHz, 52
2026/09/23 12:35:40.249, 0, 0 %, 14036 MiB, 101.11 W, 2602 MHz, 13365 MHz, 58
2026/09/23 12:35:40.249, 1, 0 %, 3316 MiB, 83.28 W, 2610 MHz, 13365 MHz, 52
2026/09/23 12:35:40.499, 0, 0 %, 14036 MiB, 101.11 W, 2602 MHz, 13365 MHz, 58
2026/09/23 12:35:40.499, 1, 0 %, 3316 MiB, 83.05 W, 2610 MHz, 13365 MHz, 51
2026/09/23 12:35:40.749, 0, 0 %, 14036 MiB, 98.72 W, 2602 MHz, 13365 MHz, 58
2026/09/23 12:35:40.750, 1, 0 %, 3316 MiB, 83.05 W, 2610 MHz, 13365 MHz, 51
2026/09/23 12:35:41.000, 0, 0 %, 14068 MiB, 98.72 W, 2602 MHz, 13365 MHz, 58
2026/09/23 12:35:41.000, 1, 0 %, 3316 MiB, 82.89 W, 2610 MHz, 13365 MHz, 51
2026/09/23 12:35:41.250, 0, 0 %, 14068 MiB, 98.68 W, 2602 MHz, 13365 MHz, 58
2026/09/23 12:35:41.250, 1, 0 %, 3316 MiB, 82.89 W, 2610 MHz, 13365 MHz, 51
2026/09/23 12:35:41.500, 0, 0 %, 14100 MiB, 98.68 W, 2602 MHz, 13365 MHz, 58
2026/09/23 12:35:41.500, 1, 0 %, 3316 MiB, 82.70 W, 2610 MHz, 13365 MHz, 51
