timestamp, index, utilization.gpu [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/09/23 16:19:34.186, 0, 0 %, 1 MiB, 131.94 W, 2865 MHz, 13365 MHz, 57
2026/09/23 16:19:34.191, 1, 0 %, 1 MiB, 113.96 W, 2842 MHz, 13365 MHz, 51
2026/09/23 16:19:34.444, 0, 0 %, 596 MiB, 131.94 W, 2865 MHz, 13365 MHz, 57
2026/09/23 16:19:34.444, 1, 0 %, 4 MiB, 113.96 W, 2842 MHz, 13365 MHz, 51
2026/09/23 16:19:34.694, 0, 1 %, 596 MiB, 127.80 W, 2865 MHz, 13365 MHz, 57
2026/09/23 16:19:34.694, 1, 0 %, 4 MiB, 111.43 W, 2842 MHz, 13365 MHz, 51
2026/09/23 16:19:34.944, 0, 1 %, 596 MiB, 127.80 W, 2865 MHz, 13365 MHz, 57
2026/09/23 16:19:34.944, 1, 0 %, 4 MiB, 111.43 W, 2842 MHz, 13365 MHz, 51
2026/09/23 16:19:35.195, 0, 0 %, 596 MiB, 118.54 W, 2865 MHz, 13365 MHz, 57
2026/09/23 16:19:35.195, 1, 0 %, 4 MiB, 100.85 W, 2842 MHz, 13365 MHz, 51
2026/09/23 16:19:35.445, 0, 0 %, 884 MiB, 118.54 W, 2865 MHz, 13365 MHz, 57
2026/09/23 16:19:35.445, 1, 0 %, 4 MiB, 100.85 W, 2842 MHz, 13365 MHz, 51
2026/09/23 16:19:35.695, 0, 5 %, 1268 MiB, 116.85 W, 2865 MHz, 13365 MHz, 56
2026/09/23 16:19:35.695, 1, 0 %, 852 MiB, 96.02 W, 1530 MHz, 13365 MHz, 50
2026/09/23 16:19:35.945, 0, 5 %, 1332 MiB, 116.85 W, 2865 MHz, 13365 MHz, 56
2026/09/23 16:19:35.946, 1, 0 %, 1300 MiB, 96.02 W, 1530 MHz, 13365 MHz, 50
2026/09/23 16:19:36.196, 0, 1 %, 3348 MiB, 107.83 W, 2602 MHz, 13365 MHz, 56
2026/09/23 16:19:36.196, 1, 2 %, 1300 MiB, 82.99 W, 2617 MHz, 13365 MHz, 50
2026/09/23 16:19:36.446, 0, 1 %, 6804 MiB, 107.83 W, 2602 MHz, 13365 MHz, 56
2026/09/23 16:19:36.446, 1, 2 %, 3316 MiB, 82.99 W, 2617 MHz, 13365 MHz, 50
2026/09/23 16:19:36.696, 0, 34 %, 6804 MiB, 102.32 W, 2602 MHz, 13365 MHz, 56
2026/09/23 16:19:36.696, 1, 0 %, 3316 MiB, 80.42 W, 2617 MHz, 13365 MHz, 50
2026/09/23 16:19:36.947, 0, 34 %, 6804 MiB, 102.32 W, 2602 MHz, 13365 MHz, 56
2026/09/23 16:19:36.947, 1, 0 %, 3316 MiB, 80.42 W, 2617 MHz, 13365 MHz, 50
2026/09/23 16:19:37.197, 0, 0 %, 6804 MiB, 101.92 W, 2602 MHz, 13365 MHz, 55
2026/09/23 16:19:37.197, 1, 0 %, 3316 MiB, 83.91 W, 2610 MHz, 13365 MHz, 50
2026/09/23 16:19:37.447, 0, 0 %, 6804 MiB, 101.92 W, 2602 MHz, 13365 MHz, 55
2026/09/23 16:19:37.447, 1, 0 %, 3316 MiB, 83.91 W, 2610 MHz, 13365 MHz, 50
2026/09/23 16:19:37.697, 0, 0 %, 6804 MiB, 98.63 W, 2595 MHz, 13365 MHz, 55
2026/09/23 16:19:37.697, 1, 0 %, 3316 MiB, 82.16 W, 2610 MHz, 13365 MHz, 50
2026/09/23 16:19:37.948, 0, 0 %, 6836 MiB, 98.63 W, 2595 MHz, 13365 MHz, 55
2026/09/23 16:19:37.948, 1, 0 %, 3316 MiB, 82.16 W, 2610 MHz, 13365 MHz, 50
2026/09/23 16:19:38.198, 0, 1 %, 6836 MiB, 97.64 W, 2602 MHz, 13365 MHz, 55
2026/09/23 16:19:38.198, 1, 0 %, 3316 MiB, 81.47 W, 2610 MHz, 13365 MHz, 50
2026/09/23 16:19:38.448, 0, 1 %, 6836 MiB, 97.64 W, 2602 MHz, 13365 MHz, 55
2026/09/23 16:19:38.448, 1, 0 %, 3316 MiB, 81.47 W, 2610 MHz, 13365 MHz, 50
2026/09/23 16:19:38.698, 0, 0 %, 6868 MiB, 97.54 W, 2595 MHz, 13365 MHz, 55
2026/09/23 16:19:38.699, 1, 0 %, 3316 MiB, 81.55 W, 2610 MHz, 13365 MHz, 49
2026/09/23 16:19:38.949, 0, 0 %, 6868 MiB, 97.54 W, 2595 MHz, 13365 MHz, 55
2026/09/23 16:19:38.949, 1, 0 %, 3316 MiB, 81.55 W, 2610 MHz, 13365 MHz, 49
2026/09/23 16:19:39.199, 0, 5 %, 10356 MiB, 98.27 W, 2602 MHz, 13365 MHz, 55
2026/09/23 16:19:39.199, 1, 0 %, 3316 MiB, 81.94 W, 2610 MHz, 13365 MHz, 49
2026/09/23 16:19:39.449, 0, 5 %, 10356 MiB, 98.27 W, 2602 MHz, 13365 MHz, 55
2026/09/23 16:19:39.449, 1, 0 %, 3316 MiB, 81.94 W, 2610 MHz, 13365 MHz, 49
2026/09/23 16:19:39.699, 0, 0 %, 10356 MiB, 99.93 W, 2602 MHz, 13365 MHz, 55
2026/09/23 16:19:39.700, 1, 0 %, 3316 MiB, 81.99 W, 2610 MHz, 13365 MHz, 49
2026/09/23 16:19:39.950, 0, 0 %, 10388 MiB, 99.93 W, 2602 MHz, 13365 MHz, 55
2026/09/23 16:19:39.950, 1, 0 %, 3316 MiB, 81.99 W, 2610 MHz, 13365 MHz, 49
2026/09/23 16:19:40.200, 0, 0 %, 10388 MiB, 99.59 W, 2602 MHz, 13365 MHz, 55
2026/09/23 16:19:40.200, 1, 0 %, 3316 MiB, 81.96 W, 2610 MHz, 13365 MHz, 49
2026/09/23 16:19:40.450, 0, 0 %, 10388 MiB, 99.59 W, 2602 MHz, 13365 MHz, 55
2026/09/23 16:19:40.450, 1, 0 %, 3316 MiB, 81.96 W, 2610 MHz, 13365 MHz, 49
2026/09/23 16:19:40.701, 0, 0 %, 10420 MiB, 97.68 W, 2602 MHz, 13365 MHz, 55
2026/09/23 16:19:40.701, 1, 0 %, 3316 MiB, 81.74 W, 2610 MHz, 13365 MHz, 49
2026/09/23 16:19:40.951, 0, 0 %, 10420 MiB, 97.68 W, 2602 MHz, 13365 MHz, 55
2026/09/23 16:19:40.951, 1, 0 %, 3316 MiB, 81.74 W, 2610 MHz, 13365 MHz, 49
2026/09/23 16:19:41.201, 0, 0 %, 10452 MiB, 97.44 W, 2602 MHz, 13365 MHz, 55
2026/09/23 16:19:41.201, 1, 0 %, 3316 MiB, 81.58 W, 2610 MHz, 13365 MHz, 49
2026/09/23 16:19:41.451, 0, 0 %, 10452 MiB, 97.44 W, 2602 MHz, 13365 MHz, 55
2026/09/23 16:19:41.451, 1, 0 %, 3316 MiB, 81.58 W, 2610 MHz, 13365 MHz, 49
2026/09/23 16:19:41.702, 0, 0 %, 13940 MiB, 97.21 W, 2602 MHz, 13365 MHz, 55
2026/09/23 16:19:41.702, 1, 0 %, 3316 MiB, 81.37 W, 2610 MHz, 13365 MHz, 49
2026/09/23 16:19:41.952, 0, 0 %, 13972 MiB, 97.21 W, 2602 MHz, 13365 MHz, 55
2026/09/23 16:19:41.952, 1, 0 %, 3316 MiB, 81.37 W, 2610 MHz, 13365 MHz, 49
2026/09/23 16:19:42.202, 0, 0 %, 13972 MiB, 99.91 W, 2610 MHz, 13365 MHz, 54
2026/09/23 16:19:42.202, 1, 0 %, 3316 MiB, 81.10 W, 2610 MHz, 13365 MHz, 49
2026/09/23 16:19:42.452, 0, 0 %, 13972 MiB, 99.91 W, 2610 MHz, 13365 MHz, 54
2026/09/23 16:19:42.452, 1, 0 %, 3316 MiB, 81.10 W, 2610 MHz, 13365 MHz, 49
2026/09/23 16:19:42.703, 0, 0 %, 14036 MiB, 99.95 W, 2602 MHz, 13365 MHz, 54
2026/09/23 16:19:42.703, 1, 0 %, 3316 MiB, 81.05 W, 2610 MHz, 13365 MHz, 49
2026/09/23 16:19:42.953, 0, 0 %, 14036 MiB, 99.95 W, 2602 MHz, 13365 MHz, 54
2026/09/23 16:19:42.953, 1, 0 %, 3316 MiB, 81.05 W, 2610 MHz, 13365 MHz, 49
2026/09/23 16:19:43.203, 0, 0 %, 14036 MiB, 97.25 W, 2602 MHz, 13365 MHz, 54
2026/09/23 16:19:43.203, 1, 0 %, 3316 MiB, 81.01 W, 2610 MHz, 13365 MHz, 49
2026/09/23 16:19:43.453, 0, 0 %, 14068 MiB, 97.25 W, 2602 MHz, 13365 MHz, 54
2026/09/23 16:19:43.453, 1, 0 %, 3316 MiB, 81.01 W, 2610 MHz, 13365 MHz, 49
2026/09/23 16:19:43.704, 0, 0 %, 14068 MiB, 97.06 W, 2602 MHz, 13365 MHz, 54
2026/09/23 16:19:43.704, 1, 0 %, 3316 MiB, 80.98 W, 2610 MHz, 13365 MHz, 49
2026/09/23 16:19:43.954, 0, 0 %, 14100 MiB, 97.06 W, 2602 MHz, 13365 MHz, 54
2026/09/23 16:19:43.954, 1, 0 %, 3316 MiB, 80.98 W, 2610 MHz, 13365 MHz, 49
2026/09/23 16:19:44.204, 0, 0 %, 14100 MiB, 96.59 W, 2602 MHz, 13365 MHz, 54
2026/09/23 16:19:44.204, 1, 0 %, 3316 MiB, 80.78 W, 2610 MHz, 13365 MHz, 49
2026/09/23 16:19:44.454, 0, 0 %, 17556 MiB, 96.59 W, 2602 MHz, 13365 MHz, 54
2026/09/23 16:19:44.454, 1, 0 %, 3316 MiB, 80.78 W, 2610 MHz, 13365 MHz, 49
2026/09/23 16:19:44.705, 0, 30 %, 17588 MiB, 98.04 W, 2602 MHz, 13365 MHz, 54
2026/09/23 16:19:44.705, 1, 0 %, 3316 MiB, 80.95 W, 2610 MHz, 13365 MHz, 49
2026/09/23 16:19:44.955, 0, 30 %, 17588 MiB, 98.04 W, 2602 MHz, 13365 MHz, 54
2026/09/23 16:19:44.955, 1, 0 %, 3316 MiB, 80.95 W, 2610 MHz, 13365 MHz, 49
2026/09/23 16:19:45.205, 0, 0 %, 17588 MiB, 98.67 W, 2602 MHz, 13365 MHz, 54
2026/09/23 16:19:45.205, 1, 0 %, 3316 MiB, 81.01 W, 2610 MHz, 13365 MHz, 48
2026/09/23 16:19:45.455, 0, 0 %, 17620 MiB, 98.67 W, 2602 MHz, 13365 MHz, 54
2026/09/23 16:19:45.455, 1, 0 %, 3316 MiB, 81.01 W, 2610 MHz, 13365 MHz, 48
2026/09/23 16:19:45.705, 0, 0 %, 17620 MiB, 97.04 W, 2602 MHz, 13365 MHz, 54
2026/09/23 16:19:45.706, 1, 0 %, 3316 MiB, 80.97 W, 2610 MHz, 13365 MHz, 48
2026/09/23 16:19:45.956, 0, 0 %, 17652 MiB, 97.04 W, 2602 MHz, 13365 MHz, 54
2026/09/23 16:19:45.956, 1, 0 %, 3316 MiB, 80.97 W, 2610 MHz, 13365 MHz, 48
2026/09/23 16:19:46.206, 0, 1 %, 17652 MiB, 96.31 W, 2602 MHz, 13365 MHz, 54
2026/09/23 16:19:46.206, 1, 0 %, 3316 MiB, 80.91 W, 2610 MHz, 13365 MHz, 48
2026/09/23 16:19:46.456, 0, 1 %, 17652 MiB, 96.31 W, 2602 MHz, 13365 MHz, 54
2026/09/23 16:19:46.456, 1, 0 %, 3316 MiB, 80.91 W, 2610 MHz, 13365 MHz, 48
