timestamp, index, utilization.gpu [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/09/23 10:45:17.455, 0, 0 %, 1 MiB, 178.10 W, 2850 MHz, 13365 MHz, 64
2026/09/23 10:45:17.459, 1, 0 %, 1 MiB, 116.79 W, 2812 MHz, 13365 MHz, 53
2026/09/23 10:45:17.712, 0, 0 %, 40 MiB, 136.27 W, 2752 MHz, 13365 MHz, 63
2026/09/23 10:45:17.712, 1, 0 %, 4 MiB, 116.79 W, 2812 MHz, 13365 MHz, 53
2026/09/23 10:45:17.962, 0, 0 %, 596 MiB, 136.27 W, 2752 MHz, 13365 MHz, 63
2026/09/23 10:45:17.962, 1, 0 %, 4 MiB, 107.25 W, 2812 MHz, 13365 MHz, 53
2026/09/23 10:45:18.213, 0, 0 %, 596 MiB, 135.91 W, 2752 MHz, 13365 MHz, 63
2026/09/23 10:45:18.213, 1, 0 %, 4 MiB, 107.25 W, 2812 MHz, 13365 MHz, 53
2026/09/23 10:45:18.463, 0, 0 %, 596 MiB, 135.91 W, 2752 MHz, 13365 MHz, 63
2026/09/23 10:45:18.463, 1, 0 %, 4 MiB, 87.10 W, 2610 MHz, 13365 MHz, 52
2026/09/23 10:45:18.713, 0, 0 %, 628 MiB, 127.67 W, 2850 MHz, 13365 MHz, 63
2026/09/23 10:45:18.713, 1, 0 %, 4 MiB, 87.10 W, 2610 MHz, 13365 MHz, 52
2026/09/23 10:45:18.963, 0, 0 %, 1268 MiB, 127.67 W, 2850 MHz, 13365 MHz, 63
2026/09/23 10:45:18.964, 1, 1 %, 596 MiB, 80.47 W, 1740 MHz, 13365 MHz, 52
2026/09/23 10:45:19.214, 0, 0 %, 1268 MiB, 125.14 W, 2850 MHz, 13365 MHz, 63
2026/09/23 10:45:19.214, 1, 1 %, 1236 MiB, 80.47 W, 1740 MHz, 13365 MHz, 52
2026/09/23 10:45:19.464, 0, 0 %, 1332 MiB, 125.14 W, 2850 MHz, 13365 MHz, 63
2026/09/23 10:45:19.464, 1, 0 %, 1300 MiB, 81.32 W, 2617 MHz, 13365 MHz, 52
2026/09/23 10:45:19.714, 0, 2 %, 3348 MiB, 116.28 W, 2610 MHz, 13365 MHz, 62
2026/09/23 10:45:19.715, 1, 0 %, 2324 MiB, 81.32 W, 2617 MHz, 13365 MHz, 52
2026/09/23 10:45:19.965, 0, 2 %, 6804 MiB, 116.28 W, 2610 MHz, 13365 MHz, 62
2026/09/23 10:45:19.965, 1, 0 %, 3316 MiB, 87.35 W, 2617 MHz, 13365 MHz, 52
2026/09/23 10:45:20.215, 0, 27 %, 6804 MiB, 108.28 W, 2602 MHz, 13365 MHz, 62
2026/09/23 10:45:20.215, 1, 0 %, 3316 MiB, 87.35 W, 2617 MHz, 13365 MHz, 52
2026/09/23 10:45:20.465, 0, 27 %, 6804 MiB, 108.28 W, 2602 MHz, 13365 MHz, 62
2026/09/23 10:45:20.465, 1, 0 %, 3316 MiB, 85.59 W, 2610 MHz, 13365 MHz, 52
2026/09/23 10:45:20.716, 0, 0 %, 6804 MiB, 107.17 W, 2602 MHz, 13365 MHz, 62
2026/09/23 10:45:20.716, 1, 0 %, 3316 MiB, 85.59 W, 2610 MHz, 13365 MHz, 52
2026/09/23 10:45:20.966, 0, 0 %, 6804 MiB, 107.17 W, 2602 MHz, 13365 MHz, 62
2026/09/23 10:45:20.966, 1, 0 %, 3316 MiB, 84.61 W, 2610 MHz, 13365 MHz, 52
2026/09/23 10:45:21.216, 0, 0 %, 6804 MiB, 104.14 W, 2602 MHz, 13365 MHz, 62
2026/09/23 10:45:21.216, 1, 0 %, 3316 MiB, 84.61 W, 2610 MHz, 13365 MHz, 52
2026/09/23 10:45:21.466, 0, 0 %, 6836 MiB, 104.14 W, 2602 MHz, 13365 MHz, 62
2026/09/23 10:45:21.466, 1, 0 %, 3316 MiB, 83.45 W, 2610 MHz, 13365 MHz, 52
2026/09/23 10:45:21.717, 0, 0 %, 6836 MiB, 103.15 W, 2602 MHz, 13365 MHz, 61
2026/09/23 10:45:21.717, 1, 0 %, 3316 MiB, 83.45 W, 2610 MHz, 13365 MHz, 52
2026/09/23 10:45:21.967, 0, 0 %, 6836 MiB, 103.15 W, 2602 MHz, 13365 MHz, 61
2026/09/23 10:45:21.967, 1, 0 %, 3316 MiB, 83.61 W, 2610 MHz, 13365 MHz, 52
2026/09/23 10:45:22.217, 0, 1 %, 6868 MiB, 102.72 W, 2602 MHz, 13365 MHz, 61
2026/09/23 10:45:22.217, 1, 0 %, 3316 MiB, 83.61 W, 2610 MHz, 13365 MHz, 52
2026/09/23 10:45:22.467, 0, 1 %, 6868 MiB, 102.72 W, 2602 MHz, 13365 MHz, 61
2026/09/23 10:45:22.467, 1, 0 %, 3316 MiB, 83.75 W, 2610 MHz, 13365 MHz, 51
2026/09/23 10:45:22.718, 0, 16 %, 10356 MiB, 103.30 W, 2602 MHz, 13365 MHz, 62
2026/09/23 10:45:22.718, 1, 0 %, 3316 MiB, 83.75 W, 2610 MHz, 13365 MHz, 51
2026/09/23 10:45:22.968, 0, 16 %, 10356 MiB, 103.30 W, 2602 MHz, 13365 MHz, 62
2026/09/23 10:45:22.968, 1, 0 %, 3316 MiB, 83.61 W, 2610 MHz, 13365 MHz, 51
2026/09/23 10:45:23.218, 0, 0 %, 10356 MiB, 104.51 W, 2602 MHz, 13365 MHz, 61
2026/09/23 10:45:23.218, 1, 0 %, 3316 MiB, 83.61 W, 2610 MHz, 13365 MHz, 51
2026/09/23 10:45:23.468, 0, 0 %, 10388 MiB, 104.51 W, 2602 MHz, 13365 MHz, 61
2026/09/23 10:45:23.468, 1, 0 %, 3316 MiB, 83.53 W, 2610 MHz, 13365 MHz, 51
2026/09/23 10:45:23.718, 0, 0 %, 10388 MiB, 103.48 W, 2602 MHz, 13365 MHz, 61
2026/09/23 10:45:23.719, 1, 0 %, 3316 MiB, 83.53 W, 2610 MHz, 13365 MHz, 51
2026/09/23 10:45:23.969, 0, 0 %, 10388 MiB, 103.48 W, 2602 MHz, 13365 MHz, 61
2026/09/23 10:45:23.969, 1, 0 %, 3316 MiB, 83.43 W, 2610 MHz, 13365 MHz, 51
2026/09/23 10:45:24.219, 0, 0 %, 10420 MiB, 102.05 W, 2602 MHz, 13365 MHz, 61
2026/09/23 10:45:24.219, 1, 0 %, 3316 MiB, 83.43 W, 2610 MHz, 13365 MHz, 51
2026/09/23 10:45:24.469, 0, 0 %, 10420 MiB, 102.05 W, 2602 MHz, 13365 MHz, 61
2026/09/23 10:45:24.469, 1, 0 %, 3316 MiB, 83.39 W, 2610 MHz, 13365 MHz, 51
2026/09/23 10:45:24.719, 0, 0 %, 10452 MiB, 101.75 W, 2602 MHz, 13365 MHz, 61
2026/09/23 10:45:24.720, 1, 0 %, 3316 MiB, 83.39 W, 2610 MHz, 13365 MHz, 51
2026/09/23 10:45:24.970, 0, 0 %, 10452 MiB, 101.75 W, 2602 MHz, 13365 MHz, 61
2026/09/23 10:45:24.970, 1, 0 %, 3316 MiB, 83.29 W, 2610 MHz, 13365 MHz, 51
2026/09/23 10:45:25.220, 0, 0 %, 13940 MiB, 101.43 W, 2602 MHz, 13365 MHz, 61
2026/09/23 10:45:25.220, 1, 0 %, 3316 MiB, 83.29 W, 2610 MHz, 13365 MHz, 51
2026/09/23 10:45:25.470, 0, 0 %, 13972 MiB, 101.43 W, 2602 MHz, 13365 MHz, 61
2026/09/23 10:45:25.470, 1, 0 %, 3316 MiB, 83.27 W, 2610 MHz, 13365 MHz, 51
2026/09/23 10:45:25.721, 0, 0 %, 13972 MiB, 103.85 W, 2602 MHz, 13365 MHz, 61
2026/09/23 10:45:25.721, 1, 0 %, 3316 MiB, 83.27 W, 2610 MHz, 13365 MHz, 51
2026/09/23 10:45:25.971, 0, 0 %, 13972 MiB, 103.85 W, 2602 MHz, 13365 MHz, 61
2026/09/23 10:45:25.971, 1, 0 %, 3316 MiB, 83.35 W, 2610 MHz, 13365 MHz, 51
