timestamp, index, utilization.gpu [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/09/23 10:48:48.973, 0, 57 %, 1 MiB, 132.10 W, 2842 MHz, 13365 MHz, 64
2026/09/23 10:48:48.981, 1, 0 %, 1 MiB, 113.04 W, 2737 MHz, 13365 MHz, 53
2026/09/23 10:48:49.235, 0, 0 %, 564 MiB, 139.61 W, 2850 MHz, 13365 MHz, 63
2026/09/23 10:48:49.235, 1, 0 %, 4 MiB, 113.04 W, 2737 MHz, 13365 MHz, 53
2026/09/23 10:48:49.485, 0, 0 %, 596 MiB, 139.61 W, 2850 MHz, 13365 MHz, 63
2026/09/23 10:48:49.486, 1, 0 %, 4 MiB, 98.86 W, 2737 MHz, 13365 MHz, 53
2026/09/23 10:48:49.736, 0, 0 %, 596 MiB, 139.70 W, 2850 MHz, 13365 MHz, 63
2026/09/23 10:48:49.736, 1, 0 %, 4 MiB, 98.86 W, 2737 MHz, 13365 MHz, 53
2026/09/23 10:48:49.986, 0, 0 %, 596 MiB, 139.70 W, 2850 MHz, 13365 MHz, 63
2026/09/23 10:48:49.986, 1, 0 %, 4 MiB, 81.54 W, 1980 MHz, 13365 MHz, 52
2026/09/23 10:48:50.236, 0, 0 %, 628 MiB, 127.82 W, 2865 MHz, 13365 MHz, 63
2026/09/23 10:48:50.237, 1, 0 %, 4 MiB, 81.54 W, 1980 MHz, 13365 MHz, 52
2026/09/23 10:48:50.487, 0, 0 %, 1268 MiB, 127.82 W, 2865 MHz, 13365 MHz, 63
2026/09/23 10:48:50.487, 1, 0 %, 596 MiB, 71.93 W, 1387 MHz, 13365 MHz, 52
2026/09/23 10:48:50.737, 0, 0 %, 1268 MiB, 123.55 W, 2865 MHz, 13365 MHz, 63
2026/09/23 10:48:50.737, 1, 0 %, 1236 MiB, 71.93 W, 1387 MHz, 13365 MHz, 52
2026/09/23 10:48:50.987, 0, 0 %, 1332 MiB, 123.55 W, 2865 MHz, 13365 MHz, 63
2026/09/23 10:48:50.987, 1, 1 %, 1300 MiB, 76.56 W, 2617 MHz, 13365 MHz, 52
2026/09/23 10:48:51.237, 0, 12 %, 6804 MiB, 113.68 W, 2602 MHz, 13365 MHz, 62
2026/09/23 10:48:51.238, 1, 1 %, 3316 MiB, 76.56 W, 2617 MHz, 13365 MHz, 52
2026/09/23 10:48:51.488, 0, 12 %, 6804 MiB, 113.68 W, 2602 MHz, 13365 MHz, 62
2026/09/23 10:48:51.488, 1, 0 %, 3316 MiB, 87.50 W, 2617 MHz, 13365 MHz, 52
2026/09/23 10:48:51.738, 0, 0 %, 6804 MiB, 107.83 W, 2602 MHz, 13365 MHz, 62
2026/09/23 10:48:51.738, 1, 0 %, 3316 MiB, 87.50 W, 2617 MHz, 13365 MHz, 52
2026/09/23 10:48:51.988, 0, 0 %, 6804 MiB, 107.83 W, 2602 MHz, 13365 MHz, 62
2026/09/23 10:48:51.988, 1, 0 %, 3316 MiB, 86.19 W, 2610 MHz, 13365 MHz, 52
2026/09/23 10:48:52.238, 0, 0 %, 6804 MiB, 107.35 W, 2602 MHz, 13365 MHz, 62
2026/09/23 10:48:52.239, 1, 0 %, 3316 MiB, 86.19 W, 2610 MHz, 13365 MHz, 52
2026/09/23 10:48:52.489, 0, 0 %, 6804 MiB, 107.35 W, 2602 MHz, 13365 MHz, 62
2026/09/23 10:48:52.489, 1, 0 %, 3316 MiB, 86.00 W, 2610 MHz, 13365 MHz, 52
2026/09/23 10:48:52.739, 0, 0 %, 6804 MiB, 104.24 W, 2602 MHz, 13365 MHz, 62
2026/09/23 10:48:52.739, 1, 0 %, 3316 MiB, 86.00 W, 2610 MHz, 13365 MHz, 52
2026/09/23 10:48:52.989, 0, 0 %, 6836 MiB, 104.24 W, 2602 MHz, 13365 MHz, 62
2026/09/23 10:48:52.989, 1, 0 %, 3316 MiB, 83.82 W, 2610 MHz, 13365 MHz, 52
2026/09/23 10:48:53.239, 0, 0 %, 6836 MiB, 104.10 W, 2602 MHz, 13365 MHz, 62
2026/09/23 10:48:53.240, 1, 0 %, 3316 MiB, 83.82 W, 2610 MHz, 13365 MHz, 52
2026/09/23 10:48:53.490, 0, 0 %, 6868 MiB, 104.10 W, 2602 MHz, 13365 MHz, 62
2026/09/23 10:48:53.490, 1, 0 %, 3316 MiB, 83.87 W, 2610 MHz, 13365 MHz, 52
2026/09/23 10:48:53.740, 0, 0 %, 6868 MiB, 103.99 W, 2602 MHz, 13365 MHz, 61
2026/09/23 10:48:53.740, 1, 0 %, 3316 MiB, 83.87 W, 2610 MHz, 13365 MHz, 52
2026/09/23 10:48:53.990, 0, 0 %, 10356 MiB, 103.99 W, 2602 MHz, 13365 MHz, 61
