timestamp, index, utilization.gpu [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/09/24 20:06:04.457, 0, 0 %, 2 MiB, 116.62 W, 2850 MHz, 14001 MHz, 50
2026/09/24 20:06:04.470, 1, 0 %, 2 MiB, 112.21 W, 2857 MHz, 14001 MHz, 49
2026/09/24 20:06:04.724, 0, 0 %, 10 MiB, 114.77 W, 2850 MHz, 14001 MHz, 50
2026/09/24 20:06:04.725, 1, 0 %, 4 MiB, 113.39 W, 2857 MHz, 14001 MHz, 49
2026/09/24 20:06:04.977, 0, 0 %, 596 MiB, 114.77 W, 2850 MHz, 14001 MHz, 50
2026/09/24 20:06:04.977, 1, 0 %, 4 MiB, 113.39 W, 2857 MHz, 14001 MHz, 49
2026/09/24 20:06:05.227, 0, 0 %, 596 MiB, 114.03 W, 2850 MHz, 13365 MHz, 50
2026/09/24 20:06:05.227, 1, 0 %, 4 MiB, 109.65 W, 2857 MHz, 14001 MHz, 49
2026/09/24 20:06:05.477, 0, 0 %, 596 MiB, 114.03 W, 2850 MHz, 13365 MHz, 50
2026/09/24 20:06:05.477, 1, 0 %, 4 MiB, 109.65 W, 2857 MHz, 14001 MHz, 49
2026/09/24 20:06:05.727, 0, 0 %, 596 MiB, 111.60 W, 2850 MHz, 13365 MHz, 50
2026/09/24 20:06:05.728, 1, 0 %, 4 MiB, 109.62 W, 2857 MHz, 14001 MHz, 48
2026/09/24 20:06:05.978, 0, 0 %, 628 MiB, 111.60 W, 2850 MHz, 13365 MHz, 50
2026/09/24 20:06:05.978, 1, 0 %, 4 MiB, 109.62 W, 2857 MHz, 14001 MHz, 48
2026/09/24 20:06:06.228, 0, 0 %, 1140 MiB, 101.49 W, 2610 MHz, 13365 MHz, 49
2026/09/24 20:06:06.228, 1, 0 %, 4 MiB, 105.07 W, 2857 MHz, 14001 MHz, 47
2026/09/24 20:06:06.478, 0, 0 %, 1268 MiB, 101.49 W, 2610 MHz, 13365 MHz, 49
2026/09/24 20:06:06.478, 1, 0 %, 852 MiB, 105.07 W, 2857 MHz, 14001 MHz, 47
2026/09/24 20:06:06.728, 0, 0 %, 1268 MiB, 93.45 W, 2617 MHz, 13365 MHz, 49
2026/09/24 20:06:06.729, 1, 0 %, 1236 MiB, 78.32 W, 1747 MHz, 13365 MHz, 48
2026/09/24 20:06:06.979, 0, 0 %, 1332 MiB, 93.45 W, 2617 MHz, 13365 MHz, 49
2026/09/24 20:06:06.979, 1, 0 %, 1300 MiB, 78.32 W, 1747 MHz, 13365 MHz, 48
2026/09/24 20:06:07.229, 0, 0 %, 3348 MiB, 93.31 W, 2617 MHz, 13365 MHz, 49
2026/09/24 20:06:07.229, 1, 2 %, 1300 MiB, 79.19 W, 2617 MHz, 13365 MHz, 48
2026/09/24 20:06:07.479, 0, 0 %, 5076 MiB, 93.31 W, 2617 MHz, 13365 MHz, 49
2026/09/24 20:06:07.479, 1, 2 %, 3316 MiB, 79.19 W, 2617 MHz, 13365 MHz, 48
2026/09/24 20:06:07.729, 0, 0 %, 5076 MiB, 98.45 W, 2617 MHz, 13365 MHz, 49
2026/09/24 20:06:07.729, 1, 2 %, 3316 MiB, 92.84 W, 2617 MHz, 13365 MHz, 47
2026/09/24 20:06:07.980, 0, 0 %, 5076 MiB, 98.45 W, 2617 MHz, 13365 MHz, 49
2026/09/24 20:06:07.980, 1, 2 %, 3316 MiB, 92.84 W, 2617 MHz, 13365 MHz, 47
2026/09/24 20:06:08.230, 0, 0 %, 5076 MiB, 95.42 W, 2610 MHz, 13365 MHz, 49
2026/09/24 20:06:08.230, 1, 0 %, 3316 MiB, 90.82 W, 2610 MHz, 13365 MHz, 47
2026/09/24 20:06:08.480, 0, 0 %, 5076 MiB, 95.42 W, 2610 MHz, 13365 MHz, 49
2026/09/24 20:06:08.480, 1, 0 %, 3316 MiB, 90.82 W, 2610 MHz, 13365 MHz, 47
