Generating SQLite file nsys.sqlite from nsys.nsys-rep
Processing [nsys.sqlite] with [/opt/nvidia/nsight-compute/2025.4.1/host/target-linux-x64/reports/nvtx_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
43.8,6178978152,148,41749852.4,41884273.5,25124584,56927492,3564361.0,PushPop,:round
30.4,4289644563,148,28984084.9,28994420.0,15754563,34385934,2089241.2,PushPop,:2.verify_batch
9.7,1373061005,148,9277439.2,9002169.0,8242474,13723560,1057336.8,PushPop,:1.drafter_forward
6.2,879818330,148,5944718.4,5886123.5,5169474,9376842,517232.4,PushPop,:1d.drafter_blocks
2.9,404016267,148,2729839.6,2727303.0,2686748,2810078,23138.6,PushPop,:1i.markov_chain
2.8,398642780,148,2693532.3,2769563.0,260612,6188561,1815630.7,PushPop,:3.commit_rollback
2.6,364159154,740,492107.0,355162.0,329822,1063217,279424.1,PushPop,:1i4.markov_argmax_D2H_SYNC
0.5,74512232,148,503461.0,414822.5,131551,5224684,520456.4,PushPop,:4.ring_writes
0.2,33854475,148,228746.5,35160.0,28600,4680341,739059.8,PushPop,:1c.embed_h2d_repeat
0.2,30327768,2,15163884.0,15163884.0,14941648,15386120,314289.2,PushPop,:FULL_TOKEN_FORWARD_SUBMIT
0.2,28822207,148,194744.6,193981.0,44611,324242,47928.9,PushPop,:1f.mix_D2H_host_H2D
0.1,19929992,740,26932.4,26840.5,20890,73790,2469.3,PushPop,:1i7.conf_D2H_SYNC
0.1,8336368,148,56326.8,50840.5,5620,1537830,124092.5,PushPop,:5.round_close_sync
0.0,5327088,740,7198.8,6660.0,6010,19160,1755.0,PushPop,:1i5.conf_in_copies
0.0,4545293,740,6142.3,5730.0,5151,26761,1567.8,PushPop,:1i3.markov_add_argmax
0.0,3011209,740,4069.2,3580.0,3020,20170,1482.4,PushPop,:1i1.markov_w1_gather
0.0,2500192,740,3378.6,3180.0,2720,9750,795.4,PushPop,:1i6.conf_dots
0.0,2440531,740,3298.0,3070.0,2640,11100,911.8,PushPop,:1i2.markov_bias_gemv
0.0,2122901,148,14343.9,13715.0,12780,40410,2765.1,PushPop,:1g.collapse_norm
0.0,1612125,148,10892.7,10315.0,9230,21470,1830.8,PushPop,:1e.exit_mix_dots
0.0,1067458,148,7212.6,6905.5,6300,17530,1265.8,PushPop,:1h.exit_head_dots
0.0,865366,2,432683.0,432683.0,430253,435113,3436.5,PushPop,:FULL_TOKEN_EAGER_HEAD_SUBMIT
0.0,558834,2,279417.0,279417.0,273792,285042,7955.0,PushPop,:FULL_TOKEN_EAGER_COMMIT_DRAIN
0.0,186971,2,93485.5,93485.5,88770,98201,6668.7,PushPop,:FULL_TOKEN_REFUSAL_READ_DRAIN
0.0,7420,2,3710.0,3710.0,2840,4580,1230.4,PushPop,:FULL_TOKEN_INPUT

