timestamp, index, utilization.gpu [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/09/26 17:15:51.022, 0, 0 %, 0 MiB, 92.99 W, 2370 MHz, 12481 MHz, 39
2026/09/26 17:15:51.029, 1, 0 %, 0 MiB, 100.61 W, 2370 MHz, 12481 MHz, 40
2026/09/26 17:15:51.282, 0, 0 %, 22 MiB, 94.18 W, 2370 MHz, 12481 MHz, 40
2026/09/26 17:15:51.283, 1, 0 %, 3 MiB, 98.02 W, 2370 MHz, 12481 MHz, 40
2026/09/26 17:15:51.533, 0, 1 %, 595 MiB, 94.99 W, 2370 MHz, 12481 MHz, 39
2026/09/26 17:15:51.533, 1, 0 %, 3 MiB, 100.09 W, 2370 MHz, 12481 MHz, 40
2026/09/26 17:15:51.783, 0, 0 %, 595 MiB, 94.96 W, 2370 MHz, 12481 MHz, 39
2026/09/26 17:15:51.783, 1, 0 %, 3 MiB, 100.11 W, 2370 MHz, 12481 MHz, 40
2026/09/26 17:15:52.033, 0, 0 %, 595 MiB, 94.79 W, 2370 MHz, 12481 MHz, 39
2026/09/26 17:15:52.033, 1, 0 %, 3 MiB, 95.56 W, 2077 MHz, 12481 MHz, 39
2026/09/26 17:15:52.283, 0, 0 %, 627 MiB, 91.69 W, 2370 MHz, 12481 MHz, 39
2026/09/26 17:15:52.284, 1, 0 %, 3 MiB, 88.83 W, 435 MHz, 12481 MHz, 38
2026/09/26 17:15:52.534, 0, 4 %, 1267 MiB, 91.05 W, 2370 MHz, 12481 MHz, 39
2026/09/26 17:15:52.535, 1, 0 %, 23 MiB, 74.49 W, 397 MHz, 12481 MHz, 39
2026/09/26 17:15:52.785, 0, 0 %, 1267 MiB, 91.20 W, 2370 MHz, 12481 MHz, 39
2026/09/26 17:15:52.785, 1, 5 %, 1235 MiB, 75.33 W, 1995 MHz, 12481 MHz, 39
2026/09/26 17:15:53.035, 0, 1 %, 1331 MiB, 91.24 W, 2370 MHz, 12481 MHz, 39
2026/09/26 17:15:53.035, 1, 3 %, 1299 MiB, 79.61 W, 2370 MHz, 12481 MHz, 39
2026/09/26 17:15:53.285, 0, 14 %, 3347 MiB, 92.50 W, 2370 MHz, 12481 MHz, 39
2026/09/26 17:15:53.285, 1, 3 %, 2323 MiB, 87.79 W, 2370 MHz, 12481 MHz, 39
2026/09/26 17:15:53.535, 0, 5 %, 5075 MiB, 93.06 W, 2370 MHz, 12481 MHz, 39
2026/09/26 17:15:53.535, 1, 0 %, 3315 MiB, 99.62 W, 2370 MHz, 12481 MHz, 39
2026/09/26 17:15:53.785, 0, 0 %, 5075 MiB, 93.33 W, 2370 MHz, 12481 MHz, 39
2026/09/26 17:15:53.785, 1, 0 %, 3315 MiB, 98.66 W, 2370 MHz, 12481 MHz, 39
2026/09/26 17:15:54.035, 0, 0 %, 5075 MiB, 93.18 W, 2370 MHz, 12481 MHz, 39
