timestamp, index, utilization.gpu [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/09/26 16:45:47.390, 0, 0 %, 0 MiB, 103.17 W, 2370 MHz, 12481 MHz, 39
2026/09/26 16:45:47.393, 1, 0 %, 0 MiB, 110.02 W, 2370 MHz, 12481 MHz, 39
2026/09/26 16:45:47.645, 0, 0 %, 23 MiB, 91.87 W, 2370 MHz, 12481 MHz, 39
2026/09/26 16:45:47.645, 1, 0 %, 3 MiB, 103.98 W, 2370 MHz, 12481 MHz, 39
2026/09/26 16:45:47.896, 0, 0 %, 595 MiB, 92.39 W, 2370 MHz, 12481 MHz, 39
2026/09/26 16:45:47.896, 1, 0 %, 3 MiB, 98.06 W, 2370 MHz, 12481 MHz, 39
2026/09/26 16:45:48.146, 0, 0 %, 595 MiB, 92.39 W, 2370 MHz, 12481 MHz, 39
2026/09/26 16:45:48.146, 1, 0 %, 3 MiB, 98.06 W, 2370 MHz, 12481 MHz, 39
2026/09/26 16:45:48.396, 0, 0 %, 595 MiB, 92.33 W, 2370 MHz, 12481 MHz, 39
2026/09/26 16:45:48.396, 1, 0 %, 3 MiB, 97.92 W, 2370 MHz, 12481 MHz, 39
2026/09/26 16:45:48.646, 0, 0 %, 627 MiB, 91.25 W, 2370 MHz, 12481 MHz, 39
2026/09/26 16:45:48.646, 1, 0 %, 3 MiB, 93.31 W, 2370 MHz, 12481 MHz, 39
2026/09/26 16:45:48.896, 0, 0 %, 1267 MiB, 90.74 W, 2370 MHz, 12481 MHz, 39
2026/09/26 16:45:48.896, 1, 0 %, 23 MiB, 83.77 W, 1005 MHz, 12481 MHz, 38
2026/09/26 16:45:49.147, 0, 0 %, 1267 MiB, 90.83 W, 2370 MHz, 12481 MHz, 39
2026/09/26 16:45:49.147, 1, 1 %, 1235 MiB, 89.01 W, 1057 MHz, 12481 MHz, 39
2026/09/26 16:45:49.397, 0, 3 %, 1331 MiB, 90.86 W, 2370 MHz, 12481 MHz, 39
2026/09/26 16:45:49.397, 1, 4 %, 1299 MiB, 98.32 W, 2377 MHz, 12481 MHz, 39
2026/09/26 16:45:49.647, 0, 2 %, 3347 MiB, 92.03 W, 2370 MHz, 12481 MHz, 39
2026/09/26 16:45:49.647, 1, 0 %, 1299 MiB, 101.21 W, 2370 MHz, 12481 MHz, 39
2026/09/26 16:45:49.897, 0, 19 %, 5075 MiB, 92.77 W, 2370 MHz, 12481 MHz, 39
2026/09/26 16:45:49.897, 1, 35 %, 3315 MiB, 112.94 W, 2370 MHz, 12481 MHz, 39
2026/09/26 16:45:50.147, 0, 0 %, 5075 MiB, 93.05 W, 2370 MHz, 12481 MHz, 38
2026/09/26 16:45:50.147, 1, 0 %, 3315 MiB, 108.64 W, 2370 MHz, 12481 MHz, 39
2026/09/26 16:45:50.397, 0, 0 %, 5075 MiB, 93.05 W, 2370 MHz, 12481 MHz, 38
2026/09/26 16:45:50.398, 1, 0 %, 3315 MiB, 98.27 W, 2370 MHz, 12481 MHz, 39
2026/09/26 16:45:50.648, 0, 0 %, 5075 MiB, 91.95 W, 2370 MHz, 12481 MHz, 38
2026/09/26 16:45:50.648, 1, 0 %, 3315 MiB, 98.11 W, 2370 MHz, 12481 MHz, 39
2026/09/26 16:45:50.898, 0, 1 %, 5075 MiB, 91.00 W, 2370 MHz, 12481 MHz, 38
2026/09/26 16:45:50.898, 1, 0 %, 3315 MiB, 96.73 W, 2370 MHz, 12481 MHz, 39
2026/09/26 16:45:51.148, 0, 0 %, 5075 MiB, 90.31 W, 2370 MHz, 12481 MHz, 38
2026/09/26 16:45:51.148, 1, 0 %, 3315 MiB, 96.73 W, 2370 MHz, 12481 MHz, 39
2026/09/26 16:45:51.398, 0, 1 %, 5107 MiB, 90.24 W, 2370 MHz, 12481 MHz, 38
2026/09/26 16:45:51.398, 1, 0 %, 3315 MiB, 95.90 W, 2370 MHz, 12481 MHz, 38
2026/09/26 16:45:51.648, 0, 0 %, 5107 MiB, 90.18 W, 2370 MHz, 12481 MHz, 38
2026/09/26 16:45:51.648, 1, 0 %, 3315 MiB, 95.87 W, 2370 MHz, 12481 MHz, 38
2026/09/26 16:45:51.898, 0, 0 %, 5139 MiB, 90.15 W, 2370 MHz, 12481 MHz, 38
2026/09/26 16:45:51.898, 1, 0 %, 3315 MiB, 95.87 W, 2370 MHz, 12481 MHz, 38
2026/09/26 16:45:52.148, 0, 0 %, 5139 MiB, 90.17 W, 2370 MHz, 12481 MHz, 38
2026/09/26 16:45:52.148, 1, 0 %, 3315 MiB, 95.95 W, 2370 MHz, 12481 MHz, 38
2026/09/26 16:45:52.398, 0, 0 %, 5171 MiB, 90.14 W, 2370 MHz, 12481 MHz, 38
2026/09/26 16:45:52.398, 1, 0 %, 5043 MiB, 97.43 W, 2370 MHz, 12481 MHz, 38
2026/09/26 16:45:52.649, 0, 0 %, 5171 MiB, 90.10 W, 2370 MHz, 12481 MHz, 38
2026/09/26 16:45:52.649, 1, 24 %, 5043 MiB, 97.46 W, 2362 MHz, 12481 MHz, 38
2026/09/26 16:45:52.899, 0, 0 %, 5171 MiB, 90.05 W, 2370 MHz, 12481 MHz, 38
2026/09/26 16:45:52.899, 1, 0 %, 5043 MiB, 97.45 W, 2362 MHz, 12481 MHz, 38
2026/09/26 16:45:53.149, 0, 0 %, 5171 MiB, 90.00 W, 2370 MHz, 12481 MHz, 38
2026/09/26 16:45:53.149, 1, 0 %, 5043 MiB, 99.39 W, 2362 MHz, 12481 MHz, 38
2026/09/26 16:45:53.399, 0, 0 %, 5171 MiB, 89.99 W, 2370 MHz, 12481 MHz, 38
2026/09/26 16:45:53.399, 1, 0 %, 5043 MiB, 116.07 W, 2370 MHz, 12481 MHz, 40
2026/09/26 16:45:53.649, 0, 0 %, 5171 MiB, 89.99 W, 2370 MHz, 12481 MHz, 38
2026/09/26 16:45:53.649, 1, 0 %, 5043 MiB, 115.88 W, 2377 MHz, 12481 MHz, 38
2026/09/26 16:45:53.899, 0, 0 %, 5171 MiB, 89.69 W, 2370 MHz, 12481 MHz, 38
2026/09/26 16:45:53.899, 1, 0 %, 5075 MiB, 117.63 W, 2370 MHz, 12481 MHz, 38
2026/09/26 16:45:54.149, 0, 0 %, 5171 MiB, 89.71 W, 2370 MHz, 12481 MHz, 38
2026/09/26 16:45:54.149, 1, 0 %, 5075 MiB, 116.46 W, 2370 MHz, 12481 MHz, 38
2026/09/26 16:45:54.399, 0, 0 %, 5171 MiB, 89.74 W, 2370 MHz, 12481 MHz, 38
2026/09/26 16:45:54.399, 1, 0 %, 5107 MiB, 98.20 W, 2370 MHz, 12481 MHz, 38
2026/09/26 16:45:54.649, 0, 0 %, 5171 MiB, 89.77 W, 2370 MHz, 12481 MHz, 38
2026/09/26 16:45:54.649, 1, 0 %, 5107 MiB, 109.06 W, 2370 MHz, 12481 MHz, 40
2026/09/26 16:45:54.900, 0, 0 %, 6899 MiB, 91.10 W, 2370 MHz, 12481 MHz, 38
2026/09/26 16:45:54.900, 1, 0 %, 5139 MiB, 125.77 W, 2377 MHz, 12481 MHz, 40
2026/09/26 16:45:55.150, 0, 0 %, 6899 MiB, 91.10 W, 2370 MHz, 12481 MHz, 38
