timestamp, index, utilization.gpu [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/09/26 16:50:38.495, 0, 0 %, 0 MiB, 99.93 W, 2370 MHz, 12481 MHz, 40
2026/09/26 16:50:38.499, 1, 0 %, 0 MiB, 106.80 W, 2370 MHz, 12481 MHz, 40
2026/09/26 16:50:38.751, 0, 0 %, 22 MiB, 106.43 W, 2370 MHz, 12481 MHz, 39
2026/09/26 16:50:38.751, 1, 0 %, 3 MiB, 113.05 W, 2370 MHz, 12481 MHz, 40
2026/09/26 16:50:39.002, 0, 1 %, 595 MiB, 105.64 W, 2370 MHz, 12481 MHz, 39
2026/09/26 16:50:39.002, 1, 0 %, 3 MiB, 111.26 W, 2370 MHz, 12481 MHz, 40
2026/09/26 16:50:39.252, 0, 0 %, 595 MiB, 94.26 W, 2370 MHz, 12481 MHz, 39
2026/09/26 16:50:39.253, 1, 0 %, 3 MiB, 104.30 W, 2370 MHz, 12481 MHz, 40
2026/09/26 16:50:39.503, 0, 0 %, 595 MiB, 92.61 W, 2370 MHz, 12481 MHz, 39
2026/09/26 16:50:39.503, 1, 0 %, 3 MiB, 98.18 W, 2370 MHz, 12481 MHz, 39
2026/09/26 16:50:39.753, 0, 0 %, 627 MiB, 91.70 W, 2370 MHz, 12481 MHz, 39
2026/09/26 16:50:39.753, 1, 0 %, 3 MiB, 97.19 W, 2362 MHz, 12481 MHz, 39
2026/09/26 16:50:40.003, 0, 5 %, 1267 MiB, 91.23 W, 2370 MHz, 12481 MHz, 39
2026/09/26 16:50:40.003, 1, 0 %, 559 MiB, 98.14 W, 2370 MHz, 12481 MHz, 40
2026/09/26 16:50:40.253, 0, 0 %, 1267 MiB, 91.26 W, 2370 MHz, 12481 MHz, 39
2026/09/26 16:50:40.253, 1, 6 %, 1235 MiB, 99.77 W, 2370 MHz, 12481 MHz, 40
2026/09/26 16:50:40.503, 0, 0 %, 1331 MiB, 91.28 W, 2370 MHz, 12481 MHz, 39
2026/09/26 16:50:40.503, 1, 3 %, 1299 MiB, 99.94 W, 2370 MHz, 12481 MHz, 39
2026/09/26 16:50:40.753, 0, 22 %, 3347 MiB, 92.34 W, 2370 MHz, 12481 MHz, 39
2026/09/26 16:50:40.753, 1, 1 %, 2323 MiB, 100.02 W, 2362 MHz, 12481 MHz, 39
2026/09/26 16:50:41.003, 0, 12 %, 5075 MiB, 93.31 W, 2370 MHz, 12481 MHz, 39
2026/09/26 16:50:41.003, 1, 0 %, 3315 MiB, 100.94 W, 2362 MHz, 12481 MHz, 39
2026/09/26 16:50:41.253, 0, 0 %, 5075 MiB, 93.34 W, 2370 MHz, 12481 MHz, 39
