timestamp, index, utilization.gpu [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/09/24 09:40:05.264, 0, 6 %, 0 MiB, 102.17 W, 2355 MHz, 12481 MHz, 41
2026/09/24 09:40:05.267, 1, 0 %, 0 MiB, 101.04 W, 2317 MHz, 12481 MHz, 41
2026/09/24 09:40:05.521, 0, 0 %, 595 MiB, 101.84 W, 2355 MHz, 12481 MHz, 41
2026/09/24 09:40:05.521, 1, 0 %, 3 MiB, 100.47 W, 2317 MHz, 12481 MHz, 41
2026/09/24 09:40:05.771, 0, 0 %, 595 MiB, 101.07 W, 2355 MHz, 12481 MHz, 41
2026/09/24 09:40:05.771, 1, 0 %, 3 MiB, 106.97 W, 2317 MHz, 12481 MHz, 41
2026/09/24 09:40:06.021, 0, 0 %, 595 MiB, 105.34 W, 2355 MHz, 12481 MHz, 41
2026/09/24 09:40:06.021, 1, 0 %, 3 MiB, 99.04 W, 2317 MHz, 12481 MHz, 41
2026/09/24 09:40:06.271, 0, 0 %, 595 MiB, 95.12 W, 2355 MHz, 12481 MHz, 41
2026/09/24 09:40:06.271, 1, 0 %, 3 MiB, 93.80 W, 2317 MHz, 12481 MHz, 41
2026/09/24 09:40:06.521, 0, 0 %, 1139 MiB, 93.88 W, 2355 MHz, 12481 MHz, 41
2026/09/24 09:40:06.522, 1, 0 %, 3 MiB, 92.82 W, 2317 MHz, 12481 MHz, 41
2026/09/24 09:40:06.772, 0, 0 %, 1267 MiB, 93.99 W, 2355 MHz, 12481 MHz, 41
2026/09/24 09:40:06.772, 1, 2 %, 1235 MiB, 93.62 W, 2317 MHz, 12481 MHz, 41
2026/09/24 09:40:07.022, 0, 0 %, 1331 MiB, 94.01 W, 2355 MHz, 12481 MHz, 41
2026/09/24 09:40:07.022, 1, 0 %, 1299 MiB, 93.94 W, 2317 MHz, 12481 MHz, 41
2026/09/24 09:40:07.272, 0, 0 %, 3347 MiB, 94.64 W, 2355 MHz, 12481 MHz, 41
2026/09/24 09:40:07.272, 1, 1 %, 2323 MiB, 93.95 W, 2317 MHz, 12481 MHz, 40
