timestamp, index, utilization.gpu [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/09/23 21:21:25.854, 0, 0 %, 2 MiB, 112.82 W, 2850 MHz, 14001 MHz, 46
2026/09/23 21:21:25.858, 1, 0 %, 2 MiB, 110.28 W, 2857 MHz, 14001 MHz, 45
2026/09/23 21:21:26.112, 0, 0 %, 560 MiB, 111.40 W, 2850 MHz, 14001 MHz, 46
2026/09/23 21:21:26.112, 1, 0 %, 4 MiB, 113.00 W, 2857 MHz, 14001 MHz, 45
2026/09/23 21:21:26.362, 0, 0 %, 596 MiB, 111.40 W, 2850 MHz, 14001 MHz, 46
2026/09/23 21:21:26.362, 1, 0 %, 4 MiB, 113.00 W, 2857 MHz, 14001 MHz, 45
2026/09/23 21:21:26.612, 0, 0 %, 596 MiB, 107.18 W, 2850 MHz, 13365 MHz, 46
2026/09/23 21:21:26.613, 1, 0 %, 4 MiB, 107.27 W, 2857 MHz, 14001 MHz, 44
2026/09/23 21:21:26.863, 0, 0 %, 596 MiB, 107.18 W, 2850 MHz, 13365 MHz, 46
2026/09/23 21:21:26.863, 1, 0 %, 4 MiB, 107.27 W, 2857 MHz, 14001 MHz, 44
2026/09/23 21:21:27.113, 0, 0 %, 596 MiB, 105.84 W, 2850 MHz, 13365 MHz, 46
2026/09/23 21:21:27.113, 1, 0 %, 4 MiB, 106.14 W, 2857 MHz, 14001 MHz, 44
2026/09/23 21:21:27.363, 0, 0 %, 628 MiB, 105.84 W, 2850 MHz, 13365 MHz, 46
2026/09/23 21:21:27.363, 1, 0 %, 4 MiB, 106.14 W, 2857 MHz, 14001 MHz, 44
2026/09/23 21:21:27.613, 0, 0 %, 1268 MiB, 88.92 W, 2617 MHz, 13365 MHz, 46
2026/09/23 21:21:27.614, 1, 0 %, 23 MiB, 108.75 W, 2857 MHz, 14001 MHz, 44
2026/09/23 21:21:27.864, 0, 0 %, 1268 MiB, 88.92 W, 2617 MHz, 13365 MHz, 46
2026/09/23 21:21:27.864, 1, 0 %, 852 MiB, 108.75 W, 2857 MHz, 14001 MHz, 44
2026/09/23 21:21:28.114, 0, 0 %, 1268 MiB, 88.81 W, 2610 MHz, 13365 MHz, 46
2026/09/23 21:21:28.114, 1, 0 %, 1236 MiB, 69.14 W, 2625 MHz, 13365 MHz, 44
2026/09/23 21:21:28.365, 0, 0 %, 1332 MiB, 88.81 W, 2610 MHz, 13365 MHz, 46
2026/09/23 21:21:28.365, 1, 0 %, 1300 MiB, 69.14 W, 2625 MHz, 13365 MHz, 44
2026/09/23 21:21:28.615, 0, 0 %, 3348 MiB, 89.86 W, 2617 MHz, 13365 MHz, 46
2026/09/23 21:21:28.615, 1, 1 %, 1300 MiB, 88.54 W, 2617 MHz, 13365 MHz, 44
2026/09/23 21:21:28.865, 0, 0 %, 6804 MiB, 89.86 W, 2617 MHz, 13365 MHz, 46
2026/09/23 21:21:28.865, 1, 1 %, 3316 MiB, 88.54 W, 2617 MHz, 13365 MHz, 44
2026/09/23 21:21:29.115, 0, 0 %, 6804 MiB, 92.18 W, 2617 MHz, 13365 MHz, 46
2026/09/23 21:21:29.115, 1, 1 %, 3316 MiB, 89.42 W, 2617 MHz, 13365 MHz, 44
2026/09/23 21:21:29.366, 0, 0 %, 6804 MiB, 92.18 W, 2617 MHz, 13365 MHz, 46
2026/09/23 21:21:29.366, 1, 1 %, 3316 MiB, 89.42 W, 2617 MHz, 13365 MHz, 44
2026/09/23 21:21:29.616, 0, 0 %, 6804 MiB, 91.19 W, 2617 MHz, 13365 MHz, 45
2026/09/23 21:21:29.616, 1, 0 %, 3316 MiB, 87.70 W, 2610 MHz, 13365 MHz, 43
2026/09/23 21:21:29.866, 0, 0 %, 6804 MiB, 91.19 W, 2617 MHz, 13365 MHz, 45
2026/09/23 21:21:29.866, 1, 0 %, 3316 MiB, 87.70 W, 2610 MHz, 13365 MHz, 43
2026/09/23 21:21:30.116, 0, 0 %, 6804 MiB, 89.11 W, 2617 MHz, 13365 MHz, 45
2026/09/23 21:21:30.116, 1, 0 %, 3316 MiB, 86.10 W, 2610 MHz, 13365 MHz, 43
2026/09/23 21:21:30.366, 0, 0 %, 6804 MiB, 89.11 W, 2617 MHz, 13365 MHz, 45
2026/09/23 21:21:30.367, 1, 0 %, 3316 MiB, 86.10 W, 2610 MHz, 13365 MHz, 43
2026/09/23 21:21:30.617, 0, 0 %, 6836 MiB, 88.88 W, 2610 MHz, 13365 MHz, 45
2026/09/23 21:21:30.617, 1, 0 %, 3316 MiB, 86.10 W, 2610 MHz, 13365 MHz, 43
2026/09/23 21:21:30.867, 0, 0 %, 6836 MiB, 88.88 W, 2610 MHz, 13365 MHz, 45
2026/09/23 21:21:30.867, 1, 0 %, 3316 MiB, 86.10 W, 2610 MHz, 13365 MHz, 43
2026/09/23 21:21:31.117, 0, 0 %, 6868 MiB, 89.47 W, 2610 MHz, 13365 MHz, 45
2026/09/23 21:21:31.117, 1, 0 %, 3316 MiB, 85.24 W, 2610 MHz, 13365 MHz, 43
2026/09/23 21:21:31.367, 0, 0 %, 6868 MiB, 89.47 W, 2610 MHz, 13365 MHz, 45
2026/09/23 21:21:31.368, 1, 0 %, 3316 MiB, 85.24 W, 2610 MHz, 13365 MHz, 43
2026/09/23 21:21:31.618, 0, 0 %, 10356 MiB, 88.82 W, 2617 MHz, 13365 MHz, 45
2026/09/23 21:21:31.618, 1, 0 %, 3316 MiB, 86.00 W, 2610 MHz, 13365 MHz, 43
2026/09/23 21:21:31.868, 0, 0 %, 10356 MiB, 88.82 W, 2617 MHz, 13365 MHz, 45
2026/09/23 21:21:31.868, 1, 0 %, 3316 MiB, 86.00 W, 2610 MHz, 13365 MHz, 43
2026/09/23 21:21:32.118, 0, 0 %, 10356 MiB, 90.29 W, 2610 MHz, 13365 MHz, 45
2026/09/23 21:21:32.118, 1, 0 %, 3316 MiB, 85.86 W, 2610 MHz, 13365 MHz, 43
2026/09/23 21:21:32.368, 0, 0 %, 10356 MiB, 90.29 W, 2610 MHz, 13365 MHz, 45
2026/09/23 21:21:32.369, 1, 0 %, 3316 MiB, 85.86 W, 2610 MHz, 13365 MHz, 43
2026/09/23 21:21:32.619, 0, 0 %, 10356 MiB, 89.32 W, 2610 MHz, 13365 MHz, 45
2026/09/23 21:21:32.619, 1, 0 %, 3316 MiB, 86.51 W, 2610 MHz, 13365 MHz, 43
2026/09/23 21:21:32.869, 0, 0 %, 10388 MiB, 89.32 W, 2610 MHz, 13365 MHz, 45
2026/09/23 21:21:32.869, 1, 0 %, 3316 MiB, 86.51 W, 2610 MHz, 13365 MHz, 43
2026/09/23 21:21:33.119, 0, 0 %, 10388 MiB, 89.04 W, 2617 MHz, 13365 MHz, 45
2026/09/23 21:21:33.119, 1, 0 %, 3316 MiB, 85.38 W, 2610 MHz, 13365 MHz, 43
2026/09/23 21:21:33.369, 0, 0 %, 10420 MiB, 89.04 W, 2617 MHz, 13365 MHz, 45
2026/09/23 21:21:33.370, 1, 0 %, 3316 MiB, 85.38 W, 2610 MHz, 13365 MHz, 43
2026/09/23 21:21:33.620, 0, 1 %, 10420 MiB, 89.03 W, 2617 MHz, 13365 MHz, 45
2026/09/23 21:21:33.620, 1, 0 %, 3316 MiB, 85.29 W, 2610 MHz, 13365 MHz, 43
2026/09/23 21:21:33.870, 0, 1 %, 10420 MiB, 89.03 W, 2617 MHz, 13365 MHz, 45
2026/09/23 21:21:33.870, 1, 0 %, 3316 MiB, 85.29 W, 2610 MHz, 13365 MHz, 43
2026/09/23 21:21:34.120, 0, 1 %, 10452 MiB, 88.78 W, 2617 MHz, 13365 MHz, 45
