timestamp, index, utilization.gpu [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/09/23 19:47:26.019, 0, 0 %, 2 MiB, 110.35 W, 2782 MHz, 14001 MHz, 48
2026/09/23 19:47:26.026, 1, 0 %, 2 MiB, 114.53 W, 2692 MHz, 14001 MHz, 47
2026/09/23 19:47:26.280, 0, 0 %, 40 MiB, 110.35 W, 2782 MHz, 14001 MHz, 48
2026/09/23 19:47:26.281, 1, 0 %, 4 MiB, 114.53 W, 2692 MHz, 14001 MHz, 47
2026/09/23 19:47:26.531, 0, 0 %, 596 MiB, 110.35 W, 2782 MHz, 14001 MHz, 48
2026/09/23 19:47:26.532, 1, 0 %, 4 MiB, 114.53 W, 2692 MHz, 14001 MHz, 47
2026/09/23 19:47:26.785, 0, 0 %, 596 MiB, 112.06 W, 2782 MHz, 14001 MHz, 48
2026/09/23 19:47:26.785, 1, 0 %, 4 MiB, 116.90 W, 2692 MHz, 14001 MHz, 47
2026/09/23 19:47:27.035, 0, 0 %, 596 MiB, 112.06 W, 2782 MHz, 14001 MHz, 48
2026/09/23 19:47:27.035, 1, 0 %, 4 MiB, 116.90 W, 2692 MHz, 14001 MHz, 47
2026/09/23 19:47:27.303, 0, 0 %, 596 MiB, 104.60 W, 2850 MHz, 13365 MHz, 48
2026/09/23 19:47:27.304, 1, 0 %, 4 MiB, 114.27 W, 2857 MHz, 14001 MHz, 47
2026/09/23 19:47:27.554, 0, 0 %, 628 MiB, 104.60 W, 2850 MHz, 13365 MHz, 48
2026/09/23 19:47:27.554, 1, 0 %, 4 MiB, 114.27 W, 2857 MHz, 14001 MHz, 47
2026/09/23 19:47:27.804, 0, 0 %, 1268 MiB, 104.66 W, 2850 MHz, 13365 MHz, 48
2026/09/23 19:47:27.804, 1, 0 %, 40 MiB, 111.95 W, 2857 MHz, 14001 MHz, 46
2026/09/23 19:47:28.054, 0, 0 %, 1268 MiB, 104.66 W, 2850 MHz, 13365 MHz, 48
2026/09/23 19:47:28.054, 1, 0 %, 852 MiB, 111.95 W, 2857 MHz, 14001 MHz, 46
2026/09/23 19:47:28.304, 0, 0 %, 1332 MiB, 96.06 W, 2610 MHz, 13365 MHz, 48
2026/09/23 19:47:28.304, 1, 0 %, 1300 MiB, 100.90 W, 2287 MHz, 13365 MHz, 46
2026/09/23 19:47:28.555, 0, 0 %, 1332 MiB, 96.06 W, 2610 MHz, 13365 MHz, 48
2026/09/23 19:47:28.555, 1, 0 %, 1300 MiB, 100.90 W, 2287 MHz, 13365 MHz, 46
2026/09/23 19:47:28.805, 0, 0 %, 3348 MiB, 87.12 W, 2617 MHz, 13365 MHz, 48
2026/09/23 19:47:28.805, 1, 0 %, 1300 MiB, 91.11 W, 2617 MHz, 13365 MHz, 46
2026/09/23 19:47:29.055, 0, 0 %, 6804 MiB, 87.12 W, 2617 MHz, 13365 MHz, 48
2026/09/23 19:47:29.055, 1, 0 %, 3316 MiB, 91.11 W, 2617 MHz, 13365 MHz, 46
2026/09/23 19:47:29.305, 0, 19 %, 6804 MiB, 90.35 W, 2617 MHz, 13365 MHz, 47
2026/09/23 19:47:29.305, 1, 0 %, 3316 MiB, 92.06 W, 2617 MHz, 13365 MHz, 46
2026/09/23 19:47:29.556, 0, 19 %, 6804 MiB, 90.35 W, 2617 MHz, 13365 MHz, 47
2026/09/23 19:47:29.556, 1, 0 %, 3316 MiB, 92.06 W, 2617 MHz, 13365 MHz, 46
2026/09/23 19:47:29.806, 0, 19 %, 6804 MiB, 103.65 W, 2617 MHz, 13365 MHz, 47
2026/09/23 19:47:29.806, 1, 0 %, 3316 MiB, 91.09 W, 2610 MHz, 13365 MHz, 45
2026/09/23 19:47:30.056, 0, 19 %, 6804 MiB, 103.65 W, 2617 MHz, 13365 MHz, 47
2026/09/23 19:47:30.056, 1, 0 %, 3316 MiB, 91.09 W, 2610 MHz, 13365 MHz, 45
2026/09/23 19:47:30.306, 0, 0 %, 6804 MiB, 87.96 W, 2617 MHz, 13365 MHz, 47
2026/09/23 19:47:30.306, 1, 0 %, 3316 MiB, 90.86 W, 2610 MHz, 13365 MHz, 45
2026/09/23 19:47:30.557, 0, 0 %, 6804 MiB, 87.96 W, 2617 MHz, 13365 MHz, 47
2026/09/23 19:47:30.557, 1, 0 %, 3316 MiB, 90.86 W, 2610 MHz, 13365 MHz, 45
2026/09/23 19:47:30.807, 0, 0 %, 6836 MiB, 87.69 W, 2610 MHz, 13365 MHz, 47
2026/09/23 19:47:30.807, 1, 0 %, 3316 MiB, 89.27 W, 2610 MHz, 13365 MHz, 45
2026/09/23 19:47:31.057, 0, 0 %, 6836 MiB, 87.69 W, 2610 MHz, 13365 MHz, 47
2026/09/23 19:47:31.057, 1, 0 %, 3316 MiB, 89.27 W, 2610 MHz, 13365 MHz, 45
2026/09/23 19:47:31.307, 0, 0 %, 6868 MiB, 87.01 W, 2610 MHz, 13365 MHz, 47
2026/09/23 19:47:31.308, 1, 0 %, 3316 MiB, 90.05 W, 2610 MHz, 13365 MHz, 45
2026/09/23 19:47:31.558, 0, 0 %, 6868 MiB, 87.01 W, 2610 MHz, 13365 MHz, 47
2026/09/23 19:47:31.558, 1, 0 %, 3316 MiB, 90.05 W, 2610 MHz, 13365 MHz, 45
2026/09/23 19:47:31.808, 0, 0 %, 10356 MiB, 86.40 W, 2617 MHz, 13365 MHz, 47
