timestamp, index, utilization.gpu [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/09/23 19:51:19.969, 0, 0 %, 2 MiB, 106.02 W, 2850 MHz, 14001 MHz, 48
2026/09/23 19:51:19.982, 1, 0 %, 2 MiB, 111.66 W, 2857 MHz, 14001 MHz, 47
2026/09/23 19:51:20.240, 0, 0 %, 23 MiB, 106.02 W, 2850 MHz, 14001 MHz, 48
2026/09/23 19:51:20.241, 1, 0 %, 4 MiB, 111.66 W, 2857 MHz, 14001 MHz, 47
2026/09/23 19:51:20.492, 0, 0 %, 596 MiB, 106.02 W, 2850 MHz, 14001 MHz, 48
2026/09/23 19:51:20.492, 1, 0 %, 4 MiB, 111.66 W, 2857 MHz, 14001 MHz, 47
2026/09/23 19:51:20.742, 0, 0 %, 596 MiB, 108.05 W, 2850 MHz, 14001 MHz, 48
2026/09/23 19:51:20.742, 1, 0 %, 4 MiB, 113.52 W, 2857 MHz, 14001 MHz, 47
2026/09/23 19:51:20.992, 0, 0 %, 596 MiB, 108.05 W, 2850 MHz, 14001 MHz, 48
2026/09/23 19:51:20.992, 1, 0 %, 4 MiB, 113.52 W, 2857 MHz, 14001 MHz, 47
2026/09/23 19:51:21.242, 0, 0 %, 596 MiB, 105.69 W, 2850 MHz, 13365 MHz, 48
2026/09/23 19:51:21.243, 1, 0 %, 4 MiB, 111.80 W, 2857 MHz, 14001 MHz, 47
2026/09/23 19:51:21.493, 0, 0 %, 628 MiB, 105.69 W, 2850 MHz, 13365 MHz, 48
2026/09/23 19:51:21.493, 1, 0 %, 4 MiB, 111.80 W, 2857 MHz, 14001 MHz, 47
2026/09/23 19:51:21.743, 0, 0 %, 1268 MiB, 86.42 W, 2610 MHz, 13365 MHz, 48
2026/09/23 19:51:21.743, 1, 0 %, 4 MiB, 110.68 W, 2857 MHz, 14001 MHz, 47
2026/09/23 19:51:21.994, 0, 0 %, 1268 MiB, 86.42 W, 2610 MHz, 13365 MHz, 48
2026/09/23 19:51:21.994, 1, 0 %, 852 MiB, 110.68 W, 2857 MHz, 14001 MHz, 47
2026/09/23 19:51:22.244, 0, 0 %, 1332 MiB, 86.68 W, 2617 MHz, 13365 MHz, 47
2026/09/23 19:51:22.244, 1, 0 %, 1236 MiB, 94.07 W, 2130 MHz, 13365 MHz, 46
2026/09/23 19:51:22.495, 0, 0 %, 1332 MiB, 86.68 W, 2617 MHz, 13365 MHz, 47
2026/09/23 19:51:22.495, 1, 0 %, 1300 MiB, 94.07 W, 2130 MHz, 13365 MHz, 46
2026/09/23 19:51:22.745, 0, 0 %, 3348 MiB, 86.50 W, 2617 MHz, 13365 MHz, 47
2026/09/23 19:51:22.745, 1, 0 %, 1300 MiB, 92.18 W, 2617 MHz, 13365 MHz, 46
2026/09/23 19:51:22.995, 0, 0 %, 6804 MiB, 86.50 W, 2617 MHz, 13365 MHz, 47
2026/09/23 19:51:22.995, 1, 0 %, 3316 MiB, 92.18 W, 2617 MHz, 13365 MHz, 46
2026/09/23 19:51:23.245, 0, 15 %, 6804 MiB, 92.37 W, 2617 MHz, 13365 MHz, 47
2026/09/23 19:51:23.246, 1, 0 %, 3316 MiB, 94.83 W, 2617 MHz, 13365 MHz, 46
2026/09/23 19:51:23.496, 0, 15 %, 6804 MiB, 92.37 W, 2617 MHz, 13365 MHz, 47
2026/09/23 19:51:23.496, 1, 0 %, 3316 MiB, 94.83 W, 2617 MHz, 13365 MHz, 46
2026/09/23 19:51:23.746, 0, 15 %, 6804 MiB, 89.86 W, 2617 MHz, 13365 MHz, 47
2026/09/23 19:51:23.746, 1, 0 %, 3316 MiB, 91.55 W, 2610 MHz, 13365 MHz, 46
2026/09/23 19:51:23.996, 0, 15 %, 6804 MiB, 89.86 W, 2617 MHz, 13365 MHz, 47
2026/09/23 19:51:23.996, 1, 0 %, 3316 MiB, 91.55 W, 2610 MHz, 13365 MHz, 46
2026/09/23 19:51:24.246, 0, 1 %, 6804 MiB, 86.95 W, 2617 MHz, 13365 MHz, 47
2026/09/23 19:51:24.246, 1, 0 %, 3316 MiB, 91.03 W, 2610 MHz, 13365 MHz, 45
2026/09/23 19:51:24.497, 0, 1 %, 6804 MiB, 86.95 W, 2617 MHz, 13365 MHz, 47
2026/09/23 19:51:24.497, 1, 0 %, 3316 MiB, 91.03 W, 2610 MHz, 13365 MHz, 45
2026/09/23 19:51:24.747, 0, 1 %, 6836 MiB, 85.72 W, 2610 MHz, 13365 MHz, 47
2026/09/23 19:51:24.747, 1, 0 %, 3316 MiB, 91.03 W, 2610 MHz, 13365 MHz, 45
2026/09/23 19:51:24.997, 0, 1 %, 6836 MiB, 85.72 W, 2610 MHz, 13365 MHz, 47
2026/09/23 19:51:24.997, 1, 0 %, 3316 MiB, 91.03 W, 2610 MHz, 13365 MHz, 45
2026/09/23 19:51:25.247, 0, 0 %, 6868 MiB, 85.58 W, 2610 MHz, 13365 MHz, 47
2026/09/23 19:51:25.247, 1, 0 %, 3316 MiB, 89.83 W, 2610 MHz, 13365 MHz, 45
2026/09/23 19:51:25.497, 0, 0 %, 6868 MiB, 85.58 W, 2610 MHz, 13365 MHz, 47
2026/09/23 19:51:25.498, 1, 0 %, 3316 MiB, 89.83 W, 2610 MHz, 13365 MHz, 45
2026/09/23 19:51:25.748, 0, 0 %, 10356 MiB, 89.14 W, 2617 MHz, 13365 MHz, 47
2026/09/23 19:51:25.748, 1, 0 %, 3316 MiB, 90.97 W, 2610 MHz, 13365 MHz, 45
2026/09/23 19:51:25.998, 0, 0 %, 10356 MiB, 89.14 W, 2617 MHz, 13365 MHz, 47
2026/09/23 19:51:25.998, 1, 0 %, 3316 MiB, 90.97 W, 2610 MHz, 13365 MHz, 45
2026/09/23 19:51:26.248, 0, 19 %, 10356 MiB, 90.16 W, 2610 MHz, 13365 MHz, 47
2026/09/23 19:51:26.248, 1, 0 %, 3316 MiB, 89.64 W, 2610 MHz, 13365 MHz, 45
2026/09/23 19:51:26.498, 0, 19 %, 10356 MiB, 90.16 W, 2610 MHz, 13365 MHz, 47
2026/09/23 19:51:26.499, 1, 0 %, 3316 MiB, 89.64 W, 2610 MHz, 13365 MHz, 45
2026/09/23 19:51:26.749, 0, 19 %, 10356 MiB, 88.66 W, 2610 MHz, 13365 MHz, 47
2026/09/23 19:51:26.749, 1, 0 %, 3316 MiB, 89.52 W, 2610 MHz, 13365 MHz, 45
2026/09/23 19:51:26.999, 0, 19 %, 10388 MiB, 88.66 W, 2610 MHz, 13365 MHz, 47
2026/09/23 19:51:26.999, 1, 0 %, 3316 MiB, 89.52 W, 2610 MHz, 13365 MHz, 45
2026/09/23 19:51:27.249, 0, 0 %, 10388 MiB, 87.22 W, 2610 MHz, 13365 MHz, 47
2026/09/23 19:51:27.249, 1, 0 %, 3316 MiB, 90.72 W, 2610 MHz, 13365 MHz, 45
2026/09/23 19:51:27.499, 0, 0 %, 10420 MiB, 87.22 W, 2610 MHz, 13365 MHz, 47
2026/09/23 19:51:27.500, 1, 0 %, 3316 MiB, 90.72 W, 2610 MHz, 13365 MHz, 45
2026/09/23 19:51:27.750, 0, 0 %, 10420 MiB, 86.61 W, 2617 MHz, 13365 MHz, 47
2026/09/23 19:51:27.750, 1, 0 %, 3316 MiB, 90.03 W, 2610 MHz, 13365 MHz, 45
2026/09/23 19:51:28.000, 0, 0 %, 10420 MiB, 86.61 W, 2617 MHz, 13365 MHz, 47
2026/09/23 19:51:28.000, 1, 0 %, 3316 MiB, 90.03 W, 2610 MHz, 13365 MHz, 45
2026/09/23 19:51:28.250, 0, 0 %, 10452 MiB, 86.31 W, 2610 MHz, 13365 MHz, 47
2026/09/23 19:51:28.251, 1, 0 %, 3316 MiB, 89.71 W, 2610 MHz, 13365 MHz, 45
2026/09/23 19:51:28.501, 0, 0 %, 13940 MiB, 86.31 W, 2610 MHz, 13365 MHz, 47
2026/09/23 19:51:28.501, 1, 0 %, 3316 MiB, 89.71 W, 2610 MHz, 13365 MHz, 45
2026/09/23 19:51:28.751, 0, 0 %, 13940 MiB, 94.61 W, 2617 MHz, 13365 MHz, 47
2026/09/23 19:51:28.751, 1, 0 %, 3316 MiB, 90.46 W, 2610 MHz, 13365 MHz, 45
2026/09/23 19:51:29.001, 0, 0 %, 13972 MiB, 94.61 W, 2617 MHz, 13365 MHz, 47
2026/09/23 19:51:29.001, 1, 0 %, 3316 MiB, 90.46 W, 2610 MHz, 13365 MHz, 45
2026/09/23 19:51:29.251, 0, 0 %, 13972 MiB, 90.25 W, 2617 MHz, 13365 MHz, 47
2026/09/23 19:51:29.252, 1, 0 %, 3316 MiB, 89.82 W, 2610 MHz, 13365 MHz, 45
2026/09/23 19:51:29.502, 0, 0 %, 13972 MiB, 90.25 W, 2617 MHz, 13365 MHz, 47
2026/09/23 19:51:29.502, 1, 0 %, 3316 MiB, 89.82 W, 2610 MHz, 13365 MHz, 45
2026/09/23 19:51:29.752, 0, 0 %, 14036 MiB, 87.59 W, 2610 MHz, 13365 MHz, 47
2026/09/23 19:51:29.752, 1, 0 %, 3316 MiB, 89.54 W, 2610 MHz, 13365 MHz, 45
2026/09/23 19:51:30.002, 0, 0 %, 14036 MiB, 87.59 W, 2610 MHz, 13365 MHz, 47
2026/09/23 19:51:30.002, 1, 0 %, 3316 MiB, 89.54 W, 2610 MHz, 13365 MHz, 45
2026/09/23 19:51:30.252, 0, 0 %, 14036 MiB, 85.89 W, 2617 MHz, 13365 MHz, 47
2026/09/23 19:51:30.253, 1, 0 %, 3316 MiB, 89.50 W, 2610 MHz, 13365 MHz, 45
2026/09/23 19:51:30.503, 0, 0 %, 14068 MiB, 85.89 W, 2617 MHz, 13365 MHz, 47
2026/09/23 19:51:30.503, 1, 0 %, 3316 MiB, 89.50 W, 2610 MHz, 13365 MHz, 45
2026/09/23 19:51:30.753, 0, 0 %, 14068 MiB, 85.49 W, 2617 MHz, 13365 MHz, 46
2026/09/23 19:51:30.753, 1, 0 %, 3316 MiB, 89.18 W, 2610 MHz, 13365 MHz, 44
2026/09/23 19:51:31.003, 0, 0 %, 14100 MiB, 85.49 W, 2617 MHz, 13365 MHz, 46
2026/09/23 19:51:31.005, 1, 0 %, 3316 MiB, 89.18 W, 2610 MHz, 13365 MHz, 44
2026/09/23 19:51:31.255, 0, 1 %, 14100 MiB, 85.36 W, 2617 MHz, 13365 MHz, 46
2026/09/23 19:51:31.255, 1, 0 %, 3316 MiB, 90.56 W, 2610 MHz, 13365 MHz, 44
2026/09/23 19:51:31.505, 0, 1 %, 17556 MiB, 85.36 W, 2617 MHz, 13365 MHz, 46
2026/09/23 19:51:31.505, 1, 0 %, 3316 MiB, 90.56 W, 2610 MHz, 13365 MHz, 44
2026/09/23 19:51:31.755, 0, 1 %, 17556 MiB, 88.48 W, 2625 MHz, 13365 MHz, 46
2026/09/23 19:51:31.755, 1, 0 %, 3316 MiB, 89.00 W, 2610 MHz, 13365 MHz, 44
2026/09/23 19:51:32.005, 0, 1 %, 17588 MiB, 88.48 W, 2625 MHz, 13365 MHz, 46
2026/09/23 19:51:32.006, 1, 0 %, 3316 MiB, 89.00 W, 2610 MHz, 13365 MHz, 44
2026/09/23 19:51:32.256, 0, 0 %, 17588 MiB, 88.22 W, 2617 MHz, 13365 MHz, 46
2026/09/23 19:51:32.256, 1, 0 %, 3316 MiB, 88.85 W, 2610 MHz, 13365 MHz, 44
2026/09/23 19:51:32.506, 0, 0 %, 17620 MiB, 88.22 W, 2617 MHz, 13365 MHz, 46
2026/09/23 19:51:32.506, 1, 0 %, 3316 MiB, 88.85 W, 2610 MHz, 13365 MHz, 44
2026/09/23 19:51:32.756, 0, 0 %, 17620 MiB, 87.39 W, 2617 MHz, 13365 MHz, 46
2026/09/23 19:51:32.756, 1, 0 %, 3316 MiB, 89.53 W, 2610 MHz, 13365 MHz, 44
2026/09/23 19:51:33.006, 0, 0 %, 17620 MiB, 87.39 W, 2617 MHz, 13365 MHz, 46
2026/09/23 19:51:33.007, 1, 0 %, 3316 MiB, 89.53 W, 2610 MHz, 13365 MHz, 44
2026/09/23 19:51:33.257, 0, 0 %, 17652 MiB, 85.63 W, 2610 MHz, 13365 MHz, 46
2026/09/23 19:51:33.257, 1, 0 %, 3316 MiB, 89.18 W, 2610 MHz, 13365 MHz, 44
2026/09/23 19:51:33.507, 0, 0 %, 17652 MiB, 85.63 W, 2610 MHz, 13365 MHz, 46
2026/09/23 19:51:33.507, 1, 0 %, 3316 MiB, 89.18 W, 2610 MHz, 13365 MHz, 44
2026/09/23 19:51:33.757, 0, 0 %, 17684 MiB, 85.32 W, 2610 MHz, 13365 MHz, 46
2026/09/23 19:51:33.757, 1, 0 %, 3316 MiB, 89.04 W, 2610 MHz, 13365 MHz, 44
2026/09/23 19:51:34.007, 0, 0 %, 17684 MiB, 85.32 W, 2610 MHz, 13365 MHz, 46
2026/09/23 19:51:34.008, 1, 0 %, 3316 MiB, 89.04 W, 2610 MHz, 13365 MHz, 44
2026/09/23 19:51:34.258, 0, 0 %, 21172 MiB, 85.83 W, 2617 MHz, 13365 MHz, 46
2026/09/23 19:51:34.258, 1, 0 %, 3316 MiB, 89.26 W, 2610 MHz, 13365 MHz, 44
2026/09/23 19:51:34.508, 0, 0 %, 21172 MiB, 85.83 W, 2617 MHz, 13365 MHz, 46
2026/09/23 19:51:34.508, 1, 0 %, 3316 MiB, 89.26 W, 2610 MHz, 13365 MHz, 44
2026/09/23 19:51:34.758, 0, 0 %, 21204 MiB, 89.14 W, 2610 MHz, 13365 MHz, 46
2026/09/23 19:51:34.758, 1, 0 %, 3316 MiB, 89.14 W, 2610 MHz, 13365 MHz, 44
2026/09/23 19:51:35.008, 0, 0 %, 21236 MiB, 89.14 W, 2610 MHz, 13365 MHz, 46
2026/09/23 19:51:35.008, 1, 0 %, 3316 MiB, 89.14 W, 2610 MHz, 13365 MHz, 44
2026/09/23 19:51:35.259, 0, 0 %, 21236 MiB, 88.64 W, 2617 MHz, 13365 MHz, 46
2026/09/23 19:51:35.259, 1, 0 %, 3316 MiB, 94.10 W, 2610 MHz, 13365 MHz, 44
2026/09/23 19:51:35.509, 0, 0 %, 21268 MiB, 88.64 W, 2617 MHz, 13365 MHz, 46
2026/09/23 19:51:35.509, 1, 0 %, 3316 MiB, 94.10 W, 2610 MHz, 13365 MHz, 44
2026/09/23 19:51:35.759, 0, 0 %, 21268 MiB, 85.42 W, 2617 MHz, 13365 MHz, 46
2026/09/23 19:51:35.759, 1, 0 %, 3316 MiB, 88.98 W, 2610 MHz, 13365 MHz, 44
2026/09/23 19:51:36.009, 0, 0 %, 21268 MiB, 85.42 W, 2617 MHz, 13365 MHz, 46
2026/09/23 19:51:36.009, 1, 0 %, 3316 MiB, 88.98 W, 2610 MHz, 13365 MHz, 44
2026/09/23 19:51:36.260, 0, 0 %, 21300 MiB, 85.29 W, 2610 MHz, 13365 MHz, 46
2026/09/23 19:51:36.260, 1, 0 %, 3316 MiB, 88.78 W, 2610 MHz, 13365 MHz, 44
2026/09/23 19:51:36.513, 0, 0 %, 21300 MiB, 85.29 W, 2610 MHz, 13365 MHz, 46
2026/09/23 19:51:36.513, 1, 0 %, 3316 MiB, 88.78 W, 2610 MHz, 13365 MHz, 44
2026/09/23 19:51:36.763, 0, 0 %, 21332 MiB, 85.38 W, 2610 MHz, 13365 MHz, 46
2026/09/23 19:51:36.763, 1, 0 %, 3316 MiB, 88.63 W, 2610 MHz, 13365 MHz, 44
2026/09/23 19:51:37.013, 0, 0 %, 21332 MiB, 85.38 W, 2610 MHz, 13365 MHz, 46
2026/09/23 19:51:37.013, 1, 0 %, 3316 MiB, 88.63 W, 2610 MHz, 13365 MHz, 44
2026/09/23 19:51:37.263, 0, 0 %, 24820 MiB, 85.16 W, 2617 MHz, 13365 MHz, 46
2026/09/23 19:51:37.264, 1, 0 %, 3316 MiB, 88.47 W, 2610 MHz, 13365 MHz, 44
2026/09/23 19:51:37.514, 0, 0 %, 24820 MiB, 85.16 W, 2617 MHz, 13365 MHz, 46
