timestamp, index, utilization.gpu [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/09/23 11:38:04.803, 0, 0 %, 1 MiB, 139.88 W, 2850 MHz, 13365 MHz, 63
2026/09/23 11:38:04.811, 1, 0 %, 1 MiB, 113.17 W, 2842 MHz, 13365 MHz, 53
2026/09/23 11:38:05.067, 0, 0 %, 596 MiB, 139.88 W, 2850 MHz, 13365 MHz, 63
2026/09/23 11:38:05.067, 1, 0 %, 4 MiB, 113.45 W, 2842 MHz, 13365 MHz, 52
2026/09/23 11:38:05.317, 0, 1 %, 596 MiB, 140.15 W, 2850 MHz, 13365 MHz, 63
2026/09/23 11:38:05.317, 1, 0 %, 4 MiB, 113.45 W, 2842 MHz, 13365 MHz, 52
2026/09/23 11:38:05.567, 0, 1 %, 596 MiB, 140.15 W, 2850 MHz, 13365 MHz, 63
2026/09/23 11:38:05.567, 1, 0 %, 4 MiB, 101.58 W, 2850 MHz, 13365 MHz, 52
2026/09/23 11:38:05.818, 0, 0 %, 596 MiB, 127.16 W, 2850 MHz, 13365 MHz, 63
2026/09/23 11:38:05.818, 1, 0 %, 4 MiB, 101.58 W, 2850 MHz, 13365 MHz, 52
2026/09/23 11:38:06.068, 0, 0 %, 628 MiB, 127.16 W, 2850 MHz, 13365 MHz, 63
2026/09/23 11:38:06.068, 1, 0 %, 4 MiB, 101.18 W, 2850 MHz, 13365 MHz, 52
2026/09/23 11:38:06.318, 0, 5 %, 1268 MiB, 124.76 W, 2850 MHz, 13365 MHz, 63
2026/09/23 11:38:06.318, 1, 0 %, 596 MiB, 101.18 W, 2850 MHz, 13365 MHz, 52
2026/09/23 11:38:06.568, 0, 5 %, 1332 MiB, 124.76 W, 2850 MHz, 13365 MHz, 63
2026/09/23 11:38:06.568, 1, 5 %, 1236 MiB, 89.67 W, 1515 MHz, 13365 MHz, 51
2026/09/23 11:38:06.819, 0, 3 %, 2356 MiB, 116.31 W, 2602 MHz, 13365 MHz, 62
2026/09/23 11:38:06.819, 1, 5 %, 1300 MiB, 89.67 W, 1515 MHz, 13365 MHz, 51
2026/09/23 11:38:07.069, 0, 3 %, 6804 MiB, 116.31 W, 2602 MHz, 13365 MHz, 62
2026/09/23 11:38:07.069, 1, 0 %, 3316 MiB, 80.68 W, 2617 MHz, 13365 MHz, 51
2026/09/23 11:38:07.319, 0, 25 %, 6804 MiB, 108.35 W, 2610 MHz, 13365 MHz, 62
2026/09/23 11:38:07.319, 1, 0 %, 3316 MiB, 80.68 W, 2617 MHz, 13365 MHz, 51
2026/09/23 11:38:07.569, 0, 25 %, 6804 MiB, 108.35 W, 2610 MHz, 13365 MHz, 62
2026/09/23 11:38:07.569, 1, 0 %, 3316 MiB, 84.56 W, 2610 MHz, 13365 MHz, 51
2026/09/23 11:38:07.820, 0, 0 %, 6804 MiB, 106.20 W, 2602 MHz, 13365 MHz, 62
2026/09/23 11:38:07.820, 1, 0 %, 3316 MiB, 84.56 W, 2610 MHz, 13365 MHz, 51
2026/09/23 11:38:08.070, 0, 0 %, 6804 MiB, 106.20 W, 2602 MHz, 13365 MHz, 62
2026/09/23 11:38:08.070, 1, 0 %, 3316 MiB, 84.00 W, 2610 MHz, 13365 MHz, 51
2026/09/23 11:38:08.320, 0, 0 %, 6804 MiB, 103.97 W, 2602 MHz, 13365 MHz, 62
2026/09/23 11:38:08.320, 1, 0 %, 3316 MiB, 84.00 W, 2610 MHz, 13365 MHz, 51
2026/09/23 11:38:08.570, 0, 0 %, 6804 MiB, 103.97 W, 2602 MHz, 13365 MHz, 62
2026/09/23 11:38:08.570, 1, 0 %, 3316 MiB, 82.99 W, 2610 MHz, 13365 MHz, 51
2026/09/23 11:38:08.821, 0, 1 %, 6836 MiB, 102.64 W, 2602 MHz, 13365 MHz, 62
2026/09/23 11:38:08.821, 1, 0 %, 3316 MiB, 82.99 W, 2610 MHz, 13365 MHz, 51
2026/09/23 11:38:09.071, 0, 1 %, 6836 MiB, 102.64 W, 2602 MHz, 13365 MHz, 62
2026/09/23 11:38:09.071, 1, 0 %, 3316 MiB, 82.05 W, 2610 MHz, 13365 MHz, 51
2026/09/23 11:38:09.321, 0, 0 %, 6868 MiB, 102.31 W, 2602 MHz, 13365 MHz, 61
2026/09/23 11:38:09.321, 1, 0 %, 3316 MiB, 82.05 W, 2610 MHz, 13365 MHz, 51
2026/09/23 11:38:09.571, 0, 0 %, 6868 MiB, 102.31 W, 2602 MHz, 13365 MHz, 61
2026/09/23 11:38:09.571, 1, 0 %, 3316 MiB, 82.06 W, 2610 MHz, 13365 MHz, 51
2026/09/23 11:38:09.821, 0, 0 %, 10356 MiB, 102.30 W, 2602 MHz, 13365 MHz, 61
2026/09/23 11:38:09.822, 1, 0 %, 3316 MiB, 82.06 W, 2610 MHz, 13365 MHz, 51
2026/09/23 11:38:10.072, 0, 0 %, 10356 MiB, 102.30 W, 2602 MHz, 13365 MHz, 61
2026/09/23 11:38:10.072, 1, 0 %, 3316 MiB, 82.21 W, 2610 MHz, 13365 MHz, 51
2026/09/23 11:38:10.322, 0, 0 %, 10356 MiB, 104.16 W, 2602 MHz, 13365 MHz, 61
2026/09/23 11:38:10.322, 1, 0 %, 3316 MiB, 82.21 W, 2610 MHz, 13365 MHz, 51
2026/09/23 11:38:10.572, 0, 0 %, 10356 MiB, 104.16 W, 2602 MHz, 13365 MHz, 61
2026/09/23 11:38:10.572, 1, 0 %, 3316 MiB, 82.21 W, 2610 MHz, 13365 MHz, 51
2026/09/23 11:38:10.823, 0, 0 %, 10388 MiB, 104.19 W, 2602 MHz, 13365 MHz, 61
2026/09/23 11:38:10.823, 1, 0 %, 3316 MiB, 82.21 W, 2610 MHz, 13365 MHz, 51
2026/09/23 11:38:11.073, 0, 0 %, 10388 MiB, 104.19 W, 2602 MHz, 13365 MHz, 61
