timestamp, index, utilization.gpu [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/09/23 12:10:30.494, 0, 0 %, 1 MiB, 132.75 W, 2760 MHz, 13365 MHz, 62
2026/09/23 12:10:30.500, 1, 0 %, 1 MiB, 117.68 W, 2835 MHz, 13365 MHz, 54
2026/09/23 12:10:30.753, 0, 0 %, 564 MiB, 132.75 W, 2760 MHz, 13365 MHz, 62
2026/09/23 12:10:30.753, 1, 0 %, 4 MiB, 119.14 W, 2835 MHz, 13365 MHz, 54
2026/09/23 12:10:31.003, 0, 1 %, 596 MiB, 134.99 W, 2760 MHz, 13365 MHz, 62
2026/09/23 12:10:31.003, 1, 0 %, 4 MiB, 119.14 W, 2835 MHz, 13365 MHz, 54
2026/09/23 12:10:31.253, 0, 1 %, 596 MiB, 134.99 W, 2760 MHz, 13365 MHz, 62
2026/09/23 12:10:31.253, 1, 0 %, 4 MiB, 103.28 W, 2835 MHz, 13365 MHz, 53
2026/09/23 12:10:31.504, 0, 0 %, 596 MiB, 124.99 W, 2865 MHz, 13365 MHz, 61
2026/09/23 12:10:31.504, 1, 0 %, 4 MiB, 103.28 W, 2835 MHz, 13365 MHz, 53
2026/09/23 12:10:31.754, 0, 0 %, 628 MiB, 124.99 W, 2865 MHz, 13365 MHz, 61
2026/09/23 12:10:31.755, 1, 0 %, 4 MiB, 101.25 W, 2835 MHz, 13365 MHz, 53
2026/09/23 12:10:32.008, 0, 3 %, 1268 MiB, 121.75 W, 2865 MHz, 13365 MHz, 61
2026/09/23 12:10:32.008, 1, 0 %, 596 MiB, 101.25 W, 2835 MHz, 13365 MHz, 53
2026/09/23 12:10:32.258, 0, 3 %, 1332 MiB, 121.75 W, 2865 MHz, 13365 MHz, 61
2026/09/23 12:10:32.258, 1, 5 %, 1236 MiB, 99.61 W, 2790 MHz, 13365 MHz, 53
2026/09/23 12:10:32.509, 0, 3 %, 2356 MiB, 116.76 W, 2760 MHz, 13365 MHz, 61
2026/09/23 12:10:32.509, 1, 5 %, 1300 MiB, 99.61 W, 2790 MHz, 13365 MHz, 53
2026/09/23 12:10:32.759, 0, 3 %, 6804 MiB, 116.76 W, 2760 MHz, 13365 MHz, 61
2026/09/23 12:10:32.759, 1, 29 %, 3316 MiB, 93.50 W, 2617 MHz, 13365 MHz, 53
2026/09/23 12:10:33.009, 0, 23 %, 6804 MiB, 109.94 W, 2602 MHz, 13365 MHz, 61
2026/09/23 12:10:33.009, 1, 29 %, 3316 MiB, 93.50 W, 2617 MHz, 13365 MHz, 53
2026/09/23 12:10:33.260, 0, 23 %, 6804 MiB, 109.94 W, 2602 MHz, 13365 MHz, 61
2026/09/23 12:10:33.260, 1, 0 %, 3316 MiB, 86.52 W, 2610 MHz, 13365 MHz, 53
2026/09/23 12:10:33.510, 0, 0 %, 6804 MiB, 104.92 W, 2602 MHz, 13365 MHz, 60
2026/09/23 12:10:33.510, 1, 0 %, 3316 MiB, 86.52 W, 2610 MHz, 13365 MHz, 53
2026/09/23 12:10:33.760, 0, 0 %, 6804 MiB, 104.92 W, 2602 MHz, 13365 MHz, 60
2026/09/23 12:10:33.760, 1, 0 %, 3316 MiB, 85.16 W, 2610 MHz, 13365 MHz, 52
2026/09/23 12:10:34.011, 0, 0 %, 6804 MiB, 103.39 W, 2595 MHz, 13365 MHz, 60
2026/09/23 12:10:34.011, 1, 0 %, 3316 MiB, 85.16 W, 2610 MHz, 13365 MHz, 52
2026/09/23 12:10:34.261, 0, 0 %, 6804 MiB, 103.39 W, 2595 MHz, 13365 MHz, 60
2026/09/23 12:10:34.261, 1, 0 %, 3316 MiB, 85.16 W, 2610 MHz, 13365 MHz, 52
2026/09/23 12:10:34.511, 0, 0 %, 6836 MiB, 101.35 W, 2602 MHz, 13365 MHz, 60
2026/09/23 12:10:34.511, 1, 0 %, 3316 MiB, 85.16 W, 2610 MHz, 13365 MHz, 52
2026/09/23 12:10:34.761, 0, 0 %, 6836 MiB, 101.35 W, 2602 MHz, 13365 MHz, 60
2026/09/23 12:10:34.762, 1, 0 %, 3316 MiB, 83.98 W, 2610 MHz, 13365 MHz, 52
2026/09/23 12:10:35.012, 0, 0 %, 6868 MiB, 100.91 W, 2602 MHz, 13365 MHz, 60
2026/09/23 12:10:35.012, 1, 0 %, 3316 MiB, 83.98 W, 2610 MHz, 13365 MHz, 52
