timestamp, index, utilization.gpu [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/09/26 16:01:44.361, 0, 12 %, 0 MiB, 102.78 W, 2355 MHz, 12481 MHz, 43
2026/09/26 16:01:44.364, 1, 0 %, 0 MiB, 102.14 W, 2317 MHz, 12481 MHz, 43
2026/09/26 16:01:44.618, 0, 0 %, 41 MiB, 102.41 W, 2355 MHz, 12481 MHz, 43
2026/09/26 16:01:44.618, 1, 0 %, 3 MiB, 101.53 W, 2317 MHz, 12481 MHz, 43
2026/09/26 16:01:44.868, 0, 0 %, 595 MiB, 109.19 W, 2355 MHz, 12481 MHz, 43
2026/09/26 16:01:44.868, 1, 0 %, 3 MiB, 108.05 W, 2317 MHz, 12481 MHz, 43
2026/09/26 16:01:45.118, 0, 0 %, 595 MiB, 102.75 W, 2355 MHz, 12481 MHz, 42
2026/09/26 16:01:45.118, 1, 0 %, 3 MiB, 99.43 W, 2317 MHz, 12481 MHz, 43
2026/09/26 16:01:45.368, 0, 0 %, 595 MiB, 95.89 W, 2355 MHz, 12481 MHz, 42
2026/09/26 16:01:45.368, 1, 0 %, 3 MiB, 94.29 W, 2317 MHz, 12481 MHz, 43
2026/09/26 16:01:45.619, 0, 2 %, 883 MiB, 94.81 W, 2355 MHz, 12481 MHz, 42
2026/09/26 16:01:45.619, 1, 0 %, 3 MiB, 93.39 W, 2317 MHz, 12481 MHz, 42
2026/09/26 16:01:45.869, 0, 0 %, 1267 MiB, 94.63 W, 2355 MHz, 12481 MHz, 42
2026/09/26 16:01:45.869, 1, 4 %, 851 MiB, 94.01 W, 2317 MHz, 12481 MHz, 43
2026/09/26 16:01:46.119, 0, 0 %, 1331 MiB, 94.67 W, 2355 MHz, 12481 MHz, 42
2026/09/26 16:01:46.119, 1, 5 %, 1299 MiB, 94.28 W, 2317 MHz, 12481 MHz, 42
2026/09/26 16:01:46.369, 0, 0 %, 2355 MiB, 94.90 W, 2355 MHz, 12481 MHz, 42
2026/09/26 16:01:46.369, 1, 1 %, 1299 MiB, 94.38 W, 2317 MHz, 12481 MHz, 42
2026/09/26 16:01:46.619, 0, 2 %, 2355 MiB, 95.07 W, 2355 MHz, 12481 MHz, 42
2026/09/26 16:01:46.619, 1, 0 %, 1299 MiB, 94.33 W, 2317 MHz, 12481 MHz, 42
2026/09/26 16:01:46.869, 0, 2 %, 2355 MiB, 94.83 W, 2355 MHz, 12481 MHz, 42
2026/09/26 16:01:46.869, 1, 0 %, 1299 MiB, 93.45 W, 2317 MHz, 12481 MHz, 42
2026/09/26 16:01:47.119, 0, 3 %, 3347 MiB, 94.90 W, 2355 MHz, 12481 MHz, 42
2026/09/26 16:01:47.119, 1, 0 %, 1299 MiB, 93.08 W, 2317 MHz, 12481 MHz, 42
2026/09/26 16:01:47.369, 0, 17 %, 5075 MiB, 95.83 W, 2355 MHz, 12481 MHz, 42
2026/09/26 16:01:47.369, 1, 0 %, 3315 MiB, 94.08 W, 2317 MHz, 12481 MHz, 42
2026/09/26 16:01:47.619, 0, 2 %, 5075 MiB, 95.75 W, 2355 MHz, 12481 MHz, 42
2026/09/26 16:01:47.619, 1, 0 %, 3315 MiB, 94.03 W, 2317 MHz, 12481 MHz, 42
2026/09/26 16:01:47.869, 0, 1 %, 5075 MiB, 95.76 W, 2355 MHz, 12481 MHz, 42
2026/09/26 16:01:47.869, 1, 0 %, 3315 MiB, 94.04 W, 2317 MHz, 12481 MHz, 42
2026/09/26 16:01:48.119, 0, 1 %, 5075 MiB, 95.67 W, 2355 MHz, 12481 MHz, 42
2026/09/26 16:01:48.119, 1, 0 %, 3315 MiB, 93.97 W, 2317 MHz, 12481 MHz, 42
2026/09/26 16:01:48.370, 0, 1 %, 5075 MiB, 94.68 W, 2355 MHz, 12481 MHz, 42
2026/09/26 16:01:48.370, 1, 0 %, 3315 MiB, 93.11 W, 2317 MHz, 12481 MHz, 42
2026/09/26 16:01:48.620, 0, 1 %, 5075 MiB, 94.50 W, 2355 MHz, 12481 MHz, 42
2026/09/26 16:01:48.620, 1, 0 %, 3315 MiB, 93.11 W, 2317 MHz, 12481 MHz, 42
2026/09/26 16:01:48.870, 0, 2 %, 5075 MiB, 94.46 W, 2355 MHz, 12481 MHz, 42
2026/09/26 16:01:48.870, 1, 0 %, 3315 MiB, 93.11 W, 2317 MHz, 12481 MHz, 42
2026/09/26 16:01:49.120, 0, 2 %, 5075 MiB, 94.47 W, 2355 MHz, 12481 MHz, 42
2026/09/26 16:01:49.120, 1, 0 %, 3315 MiB, 93.11 W, 2317 MHz, 12481 MHz, 42
2026/09/26 16:01:49.370, 0, 1 %, 5075 MiB, 94.51 W, 2355 MHz, 12481 MHz, 42
2026/09/26 16:01:49.370, 1, 0 %, 3315 MiB, 92.04 W, 2317 MHz, 12481 MHz, 41
2026/09/26 16:01:49.620, 0, 0 %, 5075 MiB, 94.34 W, 2355 MHz, 12481 MHz, 41
2026/09/26 16:01:49.620, 1, 0 %, 3315 MiB, 92.04 W, 2317 MHz, 12481 MHz, 41
2026/09/26 16:01:49.870, 0, 0 %, 5075 MiB, 94.17 W, 2355 MHz, 12481 MHz, 41
2026/09/26 16:01:49.870, 1, 0 %, 3315 MiB, 92.04 W, 2317 MHz, 12481 MHz, 41
2026/09/26 16:01:50.120, 0, 1 %, 5075 MiB, 93.97 W, 2355 MHz, 12481 MHz, 41
2026/09/26 16:01:50.120, 1, 0 %, 3315 MiB, 92.04 W, 2317 MHz, 12481 MHz, 41
2026/09/26 16:01:50.370, 0, 0 %, 5075 MiB, 93.77 W, 2355 MHz, 12481 MHz, 41
2026/09/26 16:01:50.370, 1, 0 %, 3315 MiB, 91.75 W, 2317 MHz, 12481 MHz, 41
2026/09/26 16:01:50.620, 0, 0 %, 5107 MiB, 93.67 W, 2355 MHz, 12481 MHz, 41
2026/09/26 16:01:50.620, 1, 0 %, 3315 MiB, 91.75 W, 2317 MHz, 12481 MHz, 41
2026/09/26 16:01:50.870, 0, 0 %, 5107 MiB, 93.69 W, 2355 MHz, 12481 MHz, 41
2026/09/26 16:01:50.870, 1, 0 %, 3315 MiB, 91.62 W, 2317 MHz, 12481 MHz, 41
2026/09/26 16:01:51.121, 0, 0 %, 5107 MiB, 93.63 W, 2355 MHz, 12481 MHz, 41
2026/09/26 16:01:51.121, 1, 0 %, 3315 MiB, 91.72 W, 2317 MHz, 12481 MHz, 41
2026/09/26 16:01:51.371, 0, 0 %, 5139 MiB, 93.66 W, 2355 MHz, 12481 MHz, 41
2026/09/26 16:01:51.371, 1, 0 %, 3315 MiB, 92.02 W, 2317 MHz, 12481 MHz, 41
2026/09/26 16:01:51.621, 0, 0 %, 5171 MiB, 93.69 W, 2355 MHz, 12481 MHz, 41
2026/09/26 16:01:51.621, 1, 0 %, 4339 MiB, 92.05 W, 2317 MHz, 12481 MHz, 41
2026/09/26 16:01:51.871, 0, 0 %, 5171 MiB, 93.62 W, 2355 MHz, 12481 MHz, 41
2026/09/26 16:01:51.871, 1, 6 %, 5043 MiB, 92.64 W, 2317 MHz, 12481 MHz, 41
2026/09/26 16:01:52.121, 0, 0 %, 5171 MiB, 93.62 W, 2355 MHz, 12481 MHz, 41
2026/09/26 16:01:52.121, 1, 2 %, 5043 MiB, 92.96 W, 2317 MHz, 12481 MHz, 41
2026/09/26 16:01:52.371, 0, 0 %, 5171 MiB, 93.52 W, 2355 MHz, 12481 MHz, 41
2026/09/26 16:01:52.371, 1, 5 %, 5043 MiB, 93.14 W, 2317 MHz, 12481 MHz, 41
2026/09/26 16:01:52.621, 0, 0 %, 5171 MiB, 93.46 W, 2355 MHz, 12481 MHz, 41
2026/09/26 16:01:52.621, 1, 0 %, 5043 MiB, 93.40 W, 2317 MHz, 12481 MHz, 41
2026/09/26 16:01:52.871, 0, 0 %, 5171 MiB, 93.46 W, 2355 MHz, 12481 MHz, 41
2026/09/26 16:01:52.871, 1, 0 %, 5043 MiB, 92.92 W, 2317 MHz, 12481 MHz, 41
2026/09/26 16:01:53.121, 0, 0 %, 5171 MiB, 93.46 W, 2355 MHz, 12481 MHz, 41
