timestamp, index, utilization.gpu [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/09/23 06:26:37.288, 0, 0 %, 2 MiB, 121.94 W, 2827 MHz, 14001 MHz, 55
2026/09/23 06:26:37.292, 1, 0 %, 2 MiB, 127.52 W, 2850 MHz, 14001 MHz, 58
2026/09/23 06:26:37.545, 0, 0 %, 596 MiB, 121.94 W, 2827 MHz, 14001 MHz, 55
2026/09/23 06:26:37.545, 1, 0 %, 4 MiB, 127.52 W, 2850 MHz, 14001 MHz, 58
2026/09/23 06:26:37.795, 0, 1 %, 596 MiB, 122.93 W, 2827 MHz, 14001 MHz, 56
2026/09/23 06:26:37.795, 1, 0 %, 4 MiB, 114.61 W, 2850 MHz, 14001 MHz, 58
2026/09/23 06:26:38.045, 0, 1 %, 596 MiB, 122.93 W, 2827 MHz, 14001 MHz, 56
2026/09/23 06:26:38.045, 1, 0 %, 4 MiB, 114.61 W, 2850 MHz, 14001 MHz, 58
2026/09/23 06:26:38.295, 0, 0 %, 596 MiB, 109.59 W, 2827 MHz, 13365 MHz, 55
2026/09/23 06:26:38.295, 1, 0 %, 4 MiB, 114.13 W, 2850 MHz, 14001 MHz, 58
2026/09/23 06:26:38.545, 0, 0 %, 628 MiB, 109.59 W, 2827 MHz, 13365 MHz, 55
2026/09/23 06:26:38.545, 1, 0 %, 4 MiB, 114.13 W, 2850 MHz, 14001 MHz, 58
2026/09/23 06:26:38.796, 0, 0 %, 1268 MiB, 106.87 W, 2827 MHz, 13365 MHz, 55
2026/09/23 06:26:38.796, 1, 0 %, 596 MiB, 113.55 W, 2850 MHz, 14001 MHz, 58
2026/09/23 06:26:39.046, 0, 0 %, 1268 MiB, 106.87 W, 2827 MHz, 13365 MHz, 55
2026/09/23 06:26:39.046, 1, 0 %, 1236 MiB, 113.55 W, 2850 MHz, 14001 MHz, 58
2026/09/23 06:26:39.296, 0, 0 %, 1332 MiB, 101.79 W, 2617 MHz, 13365 MHz, 55
2026/09/23 06:26:39.296, 1, 2 %, 1300 MiB, 94.16 W, 2617 MHz, 13365 MHz, 57
2026/09/23 06:26:39.546, 0, 0 %, 6804 MiB, 101.79 W, 2617 MHz, 13365 MHz, 55
2026/09/23 06:26:39.546, 1, 2 %, 3316 MiB, 94.16 W, 2617 MHz, 13365 MHz, 57
2026/09/23 06:26:39.796, 0, 6 %, 6804 MiB, 96.55 W, 2617 MHz, 13365 MHz, 54
2026/09/23 06:26:39.796, 1, 0 %, 3316 MiB, 90.79 W, 2617 MHz, 13365 MHz, 57
2026/09/23 06:26:40.047, 0, 6 %, 6804 MiB, 96.55 W, 2617 MHz, 13365 MHz, 54
2026/09/23 06:26:40.047, 1, 0 %, 3316 MiB, 90.79 W, 2617 MHz, 13365 MHz, 57
2026/09/23 06:26:40.297, 0, 0 %, 6804 MiB, 94.59 W, 2617 MHz, 13365 MHz, 54
2026/09/23 06:26:40.297, 1, 0 %, 3316 MiB, 95.57 W, 2610 MHz, 13365 MHz, 57
2026/09/23 06:26:40.547, 0, 0 %, 6804 MiB, 94.59 W, 2617 MHz, 13365 MHz, 54
2026/09/23 06:26:40.547, 1, 0 %, 3316 MiB, 95.57 W, 2610 MHz, 13365 MHz, 57
2026/09/23 06:26:40.797, 0, 0 %, 6804 MiB, 93.35 W, 2617 MHz, 13365 MHz, 54
2026/09/23 06:26:40.797, 1, 0 %, 3316 MiB, 95.32 W, 2610 MHz, 13365 MHz, 57
2026/09/23 06:26:41.047, 0, 0 %, 6804 MiB, 93.35 W, 2617 MHz, 13365 MHz, 54
2026/09/23 06:26:41.047, 1, 0 %, 3316 MiB, 95.32 W, 2610 MHz, 13365 MHz, 57
2026/09/23 06:26:41.298, 0, 0 %, 6836 MiB, 91.15 W, 2610 MHz, 13365 MHz, 54
2026/09/23 06:26:41.298, 1, 0 %, 3316 MiB, 93.41 W, 2610 MHz, 13365 MHz, 56
2026/09/23 06:26:41.548, 0, 0 %, 6836 MiB, 91.15 W, 2610 MHz, 13365 MHz, 54
2026/09/23 06:26:41.548, 1, 0 %, 3316 MiB, 93.41 W, 2610 MHz, 13365 MHz, 56
2026/09/23 06:26:41.798, 0, 0 %, 6868 MiB, 91.10 W, 2610 MHz, 13365 MHz, 54
2026/09/23 06:26:41.798, 1, 0 %, 3316 MiB, 93.32 W, 2610 MHz, 13365 MHz, 56
2026/09/23 06:26:42.048, 0, 0 %, 6868 MiB, 91.10 W, 2610 MHz, 13365 MHz, 54
