timestamp, index, utilization.gpu [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/09/24 02:05:31.605, 0, 0 %, 0 MiB, 34.51 W, 180 MHz, 405 MHz, 31
2026/09/24 02:05:31.620, 1, 0 %, 0 MiB, 34.50 W, 180 MHz, 405 MHz, 31
2026/09/24 02:05:31.883, 0, 0 %, 3 MiB, 36.60 W, 180 MHz, 405 MHz, 31
2026/09/24 02:05:31.883, 1, 0 %, 1 MiB, 34.50 W, 180 MHz, 405 MHz, 31
2026/09/24 02:05:32.133, 0, 1 %, 595 MiB, 40.78 W, 180 MHz, 12481 MHz, 32
2026/09/24 02:05:32.133, 1, 0 %, 3 MiB, 38.57 W, 180 MHz, 405 MHz, 31
2026/09/24 02:05:32.383, 0, 0 %, 595 MiB, 57.11 W, 2362 MHz, 12481 MHz, 33
2026/09/24 02:05:32.383, 1, 0 %, 3 MiB, 38.22 W, 180 MHz, 405 MHz, 31
2026/09/24 02:05:32.633, 0, 0 %, 595 MiB, 61.47 W, 2362 MHz, 12481 MHz, 33
2026/09/24 02:05:32.633, 1, 0 %, 3 MiB, 37.82 W, 180 MHz, 405 MHz, 31
2026/09/24 02:05:32.883, 0, 0 %, 627 MiB, 86.23 W, 2362 MHz, 12481 MHz, 33
2026/09/24 02:05:32.883, 1, 0 %, 3 MiB, 37.65 W, 172 MHz, 405 MHz, 31
2026/09/24 02:05:33.134, 0, 5 %, 1267 MiB, 89.71 W, 2362 MHz, 12481 MHz, 33
2026/09/24 02:05:33.134, 1, 0 %, 595 MiB, 40.30 W, 180 MHz, 12481 MHz, 31
2026/09/24 02:05:33.384, 0, 0 %, 1331 MiB, 89.80 W, 2362 MHz, 12481 MHz, 33
2026/09/24 02:05:33.384, 1, 5 %, 1299 MiB, 50.76 W, 2017 MHz, 12481 MHz, 32
2026/09/24 02:05:33.634, 0, 3 %, 2355 MiB, 90.06 W, 2362 MHz, 12481 MHz, 33
2026/09/24 02:05:33.634, 1, 3 %, 1299 MiB, 66.28 W, 2325 MHz, 12481 MHz, 32
2026/09/24 02:05:33.884, 0, 12 %, 6803 MiB, 91.91 W, 2362 MHz, 12481 MHz, 33
2026/09/24 02:05:33.884, 1, 3 %, 3315 MiB, 77.70 W, 2325 MHz, 12481 MHz, 33
2026/09/24 02:05:34.134, 0, 27 %, 6803 MiB, 92.65 W, 2362 MHz, 12481 MHz, 33
2026/09/24 02:05:34.134, 1, 0 %, 3315 MiB, 90.33 W, 2325 MHz, 12481 MHz, 33
2026/09/24 02:05:34.384, 0, 0 %, 6803 MiB, 92.63 W, 2362 MHz, 12481 MHz, 33
2026/09/24 02:05:34.384, 1, 0 %, 3315 MiB, 90.03 W, 2325 MHz, 12481 MHz, 33
2026/09/24 02:05:34.634, 0, 0 %, 6803 MiB, 92.51 W, 2362 MHz, 12481 MHz, 33
