timestamp, index, utilization.gpu [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/09/23 22:05:13.226, 0, 0 %, 0 MiB, 100.75 W, 2355 MHz, 12481 MHz, 40
2026/09/23 22:05:13.230, 1, 0 %, 0 MiB, 99.45 W, 2317 MHz, 12481 MHz, 40
2026/09/23 22:05:13.484, 0, 0 %, 595 MiB, 106.53 W, 2355 MHz, 12481 MHz, 40
2026/09/23 22:05:13.484, 1, 0 %, 3 MiB, 104.32 W, 2317 MHz, 12481 MHz, 40
2026/09/23 22:05:13.734, 0, 0 %, 595 MiB, 102.54 W, 2355 MHz, 12481 MHz, 40
2026/09/23 22:05:13.734, 1, 0 %, 3 MiB, 94.81 W, 2317 MHz, 12481 MHz, 40
2026/09/23 22:05:13.984, 0, 0 %, 595 MiB, 94.42 W, 2355 MHz, 12481 MHz, 40
2026/09/23 22:05:13.984, 1, 0 %, 3 MiB, 92.50 W, 2317 MHz, 12481 MHz, 40
2026/09/23 22:05:14.235, 0, 0 %, 595 MiB, 94.42 W, 2355 MHz, 12481 MHz, 40
2026/09/23 22:05:14.235, 1, 0 %, 3 MiB, 92.39 W, 2317 MHz, 12481 MHz, 40
2026/09/23 22:05:14.485, 0, 5 %, 1267 MiB, 93.18 W, 2355 MHz, 12481 MHz, 40
2026/09/23 22:05:14.486, 1, 0 %, 22 MiB, 91.43 W, 2317 MHz, 12481 MHz, 40
2026/09/23 22:05:14.736, 0, 0 %, 1267 MiB, 93.19 W, 2355 MHz, 12481 MHz, 40
2026/09/23 22:05:14.736, 1, 2 %, 1235 MiB, 92.31 W, 2317 MHz, 12481 MHz, 40
2026/09/23 22:05:14.986, 0, 1 %, 1331 MiB, 93.21 W, 2355 MHz, 12481 MHz, 40
2026/09/23 22:05:14.986, 1, 2 %, 1299 MiB, 92.40 W, 2317 MHz, 12481 MHz, 40
2026/09/23 22:05:15.236, 0, 2 %, 3347 MiB, 94.01 W, 2355 MHz, 12481 MHz, 40
2026/09/23 22:05:15.236, 1, 1 %, 3315 MiB, 92.44 W, 2317 MHz, 12481 MHz, 39
2026/09/23 22:05:15.487, 0, 29 %, 6803 MiB, 96.27 W, 2355 MHz, 12481 MHz, 40
2026/09/23 22:05:15.487, 1, 0 %, 3315 MiB, 93.74 W, 2317 MHz, 12481 MHz, 39
2026/09/23 22:05:15.737, 0, 0 %, 6803 MiB, 96.47 W, 2355 MHz, 12481 MHz, 40
2026/09/23 22:05:15.737, 1, 0 %, 3315 MiB, 92.82 W, 2317 MHz, 12481 MHz, 39
2026/09/23 22:05:15.987, 0, 0 %, 6803 MiB, 96.30 W, 2355 MHz, 12481 MHz, 39
2026/09/23 22:05:15.987, 1, 0 %, 3315 MiB, 92.68 W, 2317 MHz, 12481 MHz, 39
2026/09/23 22:05:16.237, 0, 0 %, 6803 MiB, 95.66 W, 2355 MHz, 12481 MHz, 39
2026/09/23 22:05:16.237, 1, 0 %, 3315 MiB, 92.64 W, 2317 MHz, 12481 MHz, 39
2026/09/23 22:05:16.487, 0, 0 %, 6803 MiB, 93.11 W, 2355 MHz, 12481 MHz, 39
2026/09/23 22:05:16.487, 1, 0 %, 3315 MiB, 91.52 W, 2317 MHz, 12481 MHz, 39
2026/09/23 22:05:16.737, 0, 0 %, 6835 MiB, 92.62 W, 2355 MHz, 12481 MHz, 39
