timestamp, index, utilization.gpu [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/09/24 07:56:13.243, 0, 0 %, 0 MiB, 102.23 W, 2355 MHz, 12481 MHz, 43
2026/09/24 07:56:13.247, 1, 0 %, 0 MiB, 97.59 W, 2317 MHz, 12481 MHz, 44
2026/09/24 07:56:13.500, 0, 0 %, 595 MiB, 96.40 W, 2355 MHz, 12481 MHz, 43
2026/09/24 07:56:13.500, 1, 0 %, 3 MiB, 95.89 W, 2317 MHz, 12481 MHz, 44
2026/09/24 07:56:13.750, 0, 0 %, 595 MiB, 96.58 W, 2355 MHz, 12481 MHz, 43
2026/09/24 07:56:13.750, 1, 0 %, 3 MiB, 95.86 W, 2317 MHz, 12481 MHz, 44
2026/09/24 07:56:14.001, 0, 0 %, 595 MiB, 96.54 W, 2355 MHz, 12481 MHz, 43
2026/09/24 07:56:14.001, 1, 0 %, 3 MiB, 95.82 W, 2317 MHz, 12481 MHz, 44
2026/09/24 07:56:14.251, 0, 0 %, 595 MiB, 96.48 W, 2355 MHz, 12481 MHz, 43
2026/09/24 07:56:14.251, 1, 0 %, 3 MiB, 91.69 W, 2317 MHz, 12481 MHz, 43
2026/09/24 07:56:14.501, 0, 5 %, 1267 MiB, 95.46 W, 2355 MHz, 12481 MHz, 43
2026/09/24 07:56:14.504, 1, 0 %, 22 MiB, 78.90 W, 690 MHz, 12481 MHz, 43
2026/09/24 07:56:14.754, 0, 0 %, 1267 MiB, 95.08 W, 2355 MHz, 12481 MHz, 43
2026/09/24 07:56:14.754, 1, 6 %, 1235 MiB, 77.82 W, 682 MHz, 12481 MHz, 43
2026/09/24 07:56:15.004, 0, 1 %, 1331 MiB, 95.11 W, 2355 MHz, 12481 MHz, 43
2026/09/24 07:56:15.004, 1, 1 %, 1299 MiB, 77.66 W, 2317 MHz, 12481 MHz, 43
2026/09/24 07:56:15.254, 0, 2 %, 3347 MiB, 95.98 W, 2355 MHz, 12481 MHz, 43
2026/09/24 07:56:15.254, 1, 2 %, 3315 MiB, 81.28 W, 2317 MHz, 12481 MHz, 43
2026/09/24 07:56:15.504, 0, 26 %, 6803 MiB, 98.00 W, 2355 MHz, 12481 MHz, 43
2026/09/24 07:56:15.504, 1, 0 %, 3315 MiB, 93.57 W, 2317 MHz, 12481 MHz, 43
2026/09/24 07:56:15.754, 0, 0 %, 6803 MiB, 98.45 W, 2355 MHz, 12481 MHz, 43
2026/09/24 07:56:15.754, 1, 0 %, 3315 MiB, 94.87 W, 2317 MHz, 12481 MHz, 43
2026/09/24 07:56:16.004, 0, 0 %, 6803 MiB, 98.28 W, 2355 MHz, 12481 MHz, 43
2026/09/24 07:56:16.004, 1, 0 %, 3315 MiB, 94.61 W, 2317 MHz, 12481 MHz, 43
2026/09/24 07:56:16.254, 0, 0 %, 6803 MiB, 97.47 W, 2355 MHz, 12481 MHz, 42
2026/09/24 07:56:16.254, 1, 0 %, 3315 MiB, 94.56 W, 2317 MHz, 12481 MHz, 43
2026/09/24 07:56:16.504, 0, 0 %, 6803 MiB, 95.46 W, 2355 MHz, 12481 MHz, 42
2026/09/24 07:56:16.504, 1, 0 %, 3315 MiB, 93.87 W, 2317 MHz, 12481 MHz, 43
2026/09/24 07:56:16.754, 0, 0 %, 6803 MiB, 94.74 W, 2355 MHz, 12481 MHz, 42
2026/09/24 07:56:16.754, 1, 0 %, 3315 MiB, 93.87 W, 2317 MHz, 12481 MHz, 43
2026/09/24 07:56:17.005, 0, 1 %, 6835 MiB, 94.68 W, 2355 MHz, 12481 MHz, 42
2026/09/24 07:56:17.005, 1, 0 %, 3315 MiB, 93.26 W, 2317 MHz, 12481 MHz, 43
2026/09/24 07:56:17.255, 0, 0 %, 6835 MiB, 94.65 W, 2355 MHz, 12481 MHz, 42
2026/09/24 07:56:17.255, 1, 0 %, 3315 MiB, 93.26 W, 2317 MHz, 12481 MHz, 43
2026/09/24 07:56:17.505, 0, 1 %, 6867 MiB, 94.57 W, 2355 MHz, 12481 MHz, 42
