timestamp, index, utilization.gpu [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz]
2026/09/22 23:53:49.790, 0, 96 %, 2 MiB, 70.36 W, 2610 MHz
2026/09/22 23:53:49.793, 1, 0 %, 2 MiB, 61.96 W, 2610 MHz
2026/09/22 23:53:50.047, 0, 96 %, 2 MiB, 70.36 W, 2610 MHz
2026/09/22 23:53:50.047, 1, 0 %, 2 MiB, 61.96 W, 2610 MHz
2026/09/22 23:53:50.297, 0, 0 %, 2 MiB, 77.34 W, 2610 MHz
2026/09/22 23:53:50.297, 1, 0 %, 2 MiB, 72.02 W, 2610 MHz
2026/09/22 23:53:50.547, 0, 0 %, 2 MiB, 77.34 W, 2610 MHz
2026/09/22 23:53:50.547, 1, 0 %, 2 MiB, 72.02 W, 2610 MHz
2026/09/22 23:53:50.797, 0, 0 %, 2 MiB, 76.70 W, 2610 MHz
2026/09/22 23:53:50.797, 1, 0 %, 2 MiB, 71.08 W, 2610 MHz
2026/09/22 23:53:51.047, 0, 0 %, 2 MiB, 76.70 W, 2610 MHz
2026/09/22 23:53:51.047, 1, 0 %, 2 MiB, 71.08 W, 2610 MHz
2026/09/22 23:53:51.297, 0, 0 %, 2 MiB, 76.70 W, 2610 MHz
2026/09/22 23:53:51.298, 1, 0 %, 2 MiB, 68.97 W, 2610 MHz
2026/09/22 23:53:51.548, 0, 0 %, 2 MiB, 76.70 W, 2610 MHz
2026/09/22 23:53:51.548, 1, 0 %, 2 MiB, 68.97 W, 2610 MHz
2026/09/22 23:53:51.798, 0, 0 %, 2 MiB, 55.50 W, 2610 MHz
2026/09/22 23:53:51.798, 1, 0 %, 2 MiB, 68.97 W, 2610 MHz
2026/09/22 23:53:52.048, 0, 0 %, 2 MiB, 55.50 W, 2610 MHz
2026/09/22 23:53:52.048, 1, 0 %, 2 MiB, 68.97 W, 2610 MHz
2026/09/22 23:53:52.298, 0, 0 %, 2 MiB, 55.50 W, 652 MHz
2026/09/22 23:53:52.298, 1, 0 %, 2 MiB, 56.31 W, 382 MHz
2026/09/22 23:53:52.548, 0, 0 %, 2 MiB, 55.50 W, 652 MHz
2026/09/22 23:53:52.549, 1, 0 %, 2 MiB, 56.31 W, 382 MHz
2026/09/22 23:53:52.799, 0, 0 %, 2 MiB, 49.96 W, 652 MHz
2026/09/22 23:53:52.799, 1, 0 %, 2 MiB, 56.31 W, 382 MHz
2026/09/22 23:53:53.049, 0, 0 %, 2 MiB, 49.96 W, 652 MHz
2026/09/22 23:53:53.049, 1, 0 %, 2 MiB, 56.31 W, 382 MHz
2026/09/22 23:53:53.299, 0, 0 %, 2 MiB, 49.96 W, 180 MHz
2026/09/22 23:53:53.299, 1, 0 %, 2 MiB, 38.01 W, 180 MHz
2026/09/22 23:53:53.549, 0, 0 %, 2 MiB, 49.96 W, 180 MHz
2026/09/22 23:53:53.549, 1, 0 %, 2 MiB, 38.01 W, 180 MHz
2026/09/22 23:53:53.799, 0, 0 %, 2 MiB, 43.42 W, 180 MHz
2026/09/22 23:53:53.800, 1, 0 %, 2 MiB, 38.01 W, 180 MHz
2026/09/22 23:53:54.050, 0, 0 %, 2 MiB, 43.42 W, 180 MHz
2026/09/22 23:53:54.050, 1, 0 %, 2 MiB, 38.01 W, 180 MHz
2026/09/22 23:53:54.300, 0, 0 %, 2 MiB, 43.42 W, 180 MHz
2026/09/22 23:53:54.300, 1, 0 %, 2 MiB, 38.01 W, 180 MHz
2026/09/22 23:53:54.550, 0, 0 %, 2 MiB, 43.42 W, 180 MHz
2026/09/22 23:53:54.550, 1, 0 %, 2 MiB, 38.01 W, 180 MHz
2026/09/22 23:53:54.800, 0, 0 %, 2 MiB, 40.58 W, 180 MHz
2026/09/22 23:53:54.800, 1, 0 %, 2 MiB, 38.01 W, 180 MHz
2026/09/22 23:53:55.050, 0, 0 %, 2 MiB, 40.58 W, 180 MHz
2026/09/22 23:53:55.051, 1, 0 %, 2 MiB, 38.01 W, 180 MHz
2026/09/22 23:53:55.301, 0, 0 %, 2 MiB, 40.58 W, 172 MHz
2026/09/22 23:53:55.301, 1, 0 %, 2 MiB, 37.99 W, 180 MHz
2026/09/22 23:53:55.551, 0, 0 %, 2 MiB, 40.58 W, 172 MHz
2026/09/22 23:53:55.551, 1, 0 %, 2 MiB, 37.99 W, 180 MHz
2026/09/22 23:53:55.801, 0, 0 %, 2 MiB, 29.70 W, 172 MHz
2026/09/22 23:53:55.801, 1, 0 %, 2 MiB, 37.99 W, 180 MHz
2026/09/22 23:53:56.051, 0, 0 %, 2 MiB, 29.70 W, 172 MHz
2026/09/22 23:53:56.051, 1, 0 %, 2 MiB, 37.99 W, 180 MHz
2026/09/22 23:53:56.301, 0, 0 %, 2 MiB, 29.70 W, 180 MHz
2026/09/22 23:53:56.302, 1, 0 %, 2 MiB, 24.50 W, 180 MHz
2026/09/22 23:53:56.552, 0, 0 %, 2 MiB, 29.70 W, 180 MHz
2026/09/22 23:53:56.552, 1, 0 %, 2 MiB, 24.50 W, 180 MHz
2026/09/22 23:53:56.802, 0, 0 %, 2 MiB, 18.29 W, 180 MHz
2026/09/22 23:53:56.802, 1, 0 %, 2 MiB, 24.50 W, 180 MHz
2026/09/22 23:53:57.052, 0, 0 %, 2 MiB, 18.29 W, 180 MHz
2026/09/22 23:53:57.052, 1, 0 %, 2 MiB, 24.50 W, 180 MHz
2026/09/22 23:53:57.302, 0, 0 %, 2 MiB, 18.29 W, 180 MHz
2026/09/22 23:53:57.302, 1, 0 %, 2 MiB, 16.55 W, 180 MHz
2026/09/22 23:53:57.552, 0, 0 %, 2 MiB, 18.29 W, 180 MHz
2026/09/22 23:53:57.553, 1, 0 %, 2 MiB, 16.55 W, 180 MHz
2026/09/22 23:53:57.803, 0, 0 %, 2 MiB, 16.31 W, 180 MHz
2026/09/22 23:53:57.817, 1, 0 %, 2 MiB, 16.55 W, 180 MHz
2026/09/22 23:53:58.067, 0, 0 %, 26 MiB, 16.31 W, 180 MHz
2026/09/22 23:53:58.067, 1, 0 %, 4 MiB, 16.55 W, 180 MHz
2026/09/22 23:53:58.318, 0, 1 %, 724 MiB, 21.19 W, 180 MHz
2026/09/22 23:53:58.318, 1, 0 %, 724 MiB, 10.35 W, 180 MHz
2026/09/22 23:53:58.568, 0, 1 %, 788 MiB, 21.19 W, 180 MHz
2026/09/22 23:53:58.568, 1, 0 %, 788 MiB, 10.35 W, 180 MHz
2026/09/22 23:53:58.818, 0, 0 %, 2804 MiB, 32.29 W, 2617 MHz
2026/09/22 23:53:58.818, 1, 0 %, 788 MiB, 23.22 W, 2617 MHz
2026/09/22 23:53:59.068, 0, 0 %, 6260 MiB, 32.29 W, 2617 MHz
2026/09/22 23:53:59.068, 1, 0 %, 2804 MiB, 23.22 W, 2617 MHz
2026/09/22 23:53:59.318, 0, 18 %, 6260 MiB, 67.48 W, 2617 MHz
2026/09/22 23:53:59.318, 1, 20 %, 2804 MiB, 57.32 W, 2617 MHz
2026/09/22 23:53:59.569, 0, 18 %, 6260 MiB, 67.48 W, 2617 MHz
2026/09/22 23:53:59.569, 1, 20 %, 2804 MiB, 57.32 W, 2617 MHz
2026/09/22 23:53:59.819, 0, 0 %, 6260 MiB, 68.05 W, 2617 MHz
2026/09/22 23:53:59.819, 1, 0 %, 2804 MiB, 61.70 W, 2610 MHz
2026/09/22 23:54:00.069, 0, 0 %, 6260 MiB, 68.05 W, 2617 MHz
2026/09/22 23:54:00.069, 1, 0 %, 2804 MiB, 61.70 W, 2610 MHz
2026/09/22 23:54:00.319, 0, 0 %, 6260 MiB, 66.70 W, 2610 MHz
2026/09/22 23:54:00.319, 1, 0 %, 2804 MiB, 61.51 W, 2610 MHz
2026/09/22 23:54:00.569, 0, 0 %, 6260 MiB, 66.70 W, 2610 MHz
2026/09/22 23:54:00.569, 1, 0 %, 2804 MiB, 61.51 W, 2610 MHz
2026/09/22 23:54:00.820, 0, 0 %, 6292 MiB, 64.62 W, 2610 MHz
2026/09/22 23:54:00.820, 1, 0 %, 2804 MiB, 61.51 W, 2610 MHz
2026/09/22 23:54:01.070, 0, 0 %, 6292 MiB, 64.62 W, 2610 MHz
2026/09/22 23:54:01.070, 1, 0 %, 2804 MiB, 61.51 W, 2610 MHz
2026/09/22 23:54:01.320, 0, 0 %, 6292 MiB, 64.60 W, 2617 MHz
2026/09/22 23:54:01.320, 1, 0 %, 2804 MiB, 60.31 W, 2610 MHz
2026/09/22 23:54:01.570, 0, 0 %, 6324 MiB, 64.60 W, 2617 MHz
2026/09/22 23:54:01.570, 1, 0 %, 2804 MiB, 60.31 W, 2610 MHz
2026/09/22 23:54:01.820, 0, 1 %, 6324 MiB, 64.83 W, 2610 MHz
2026/09/22 23:54:01.820, 1, 0 %, 2804 MiB, 60.42 W, 2610 MHz
2026/09/22 23:54:02.071, 0, 1 %, 9812 MiB, 64.83 W, 2610 MHz
2026/09/22 23:54:02.071, 1, 0 %, 2804 MiB, 60.42 W, 2610 MHz
2026/09/22 23:54:02.321, 0, 17 %, 9812 MiB, 65.82 W, 2617 MHz
2026/09/22 23:54:02.321, 1, 0 %, 2804 MiB, 60.39 W, 2610 MHz
2026/09/22 23:54:02.571, 0, 17 %, 9812 MiB, 65.82 W, 2617 MHz
2026/09/22 23:54:02.571, 1, 0 %, 2804 MiB, 60.39 W, 2610 MHz
2026/09/22 23:54:02.821, 0, 0 %, 9812 MiB, 66.96 W, 2617 MHz
2026/09/22 23:54:02.821, 1, 0 %, 2804 MiB, 60.04 W, 2610 MHz
2026/09/22 23:54:03.071, 0, 0 %, 9812 MiB, 66.96 W, 2617 MHz
2026/09/22 23:54:03.071, 1, 0 %, 2804 MiB, 60.04 W, 2610 MHz
2026/09/22 23:54:03.322, 0, 1 %, 9844 MiB, 66.85 W, 2610 MHz
2026/09/22 23:54:03.322, 1, 0 %, 2804 MiB, 59.89 W, 2610 MHz
2026/09/22 23:54:03.572, 0, 1 %, 9844 MiB, 66.85 W, 2610 MHz
2026/09/22 23:54:03.572, 1, 0 %, 2804 MiB, 59.89 W, 2610 MHz
2026/09/22 23:54:03.822, 0, 0 %, 9876 MiB, 64.80 W, 2610 MHz
2026/09/22 23:54:03.822, 1, 0 %, 2804 MiB, 59.95 W, 2610 MHz
2026/09/22 23:54:04.072, 0, 0 %, 9876 MiB, 64.80 W, 2610 MHz
2026/09/22 23:54:04.072, 1, 0 %, 2804 MiB, 59.95 W, 2610 MHz
2026/09/22 23:54:04.322, 0, 0 %, 9876 MiB, 64.88 W, 2617 MHz
2026/09/22 23:54:04.323, 1, 0 %, 2804 MiB, 60.03 W, 2610 MHz
2026/09/22 23:54:04.573, 0, 0 %, 9908 MiB, 64.88 W, 2617 MHz
2026/09/22 23:54:04.573, 1, 0 %, 2804 MiB, 60.03 W, 2610 MHz
2026/09/22 23:54:04.823, 0, 0 %, 9908 MiB, 64.81 W, 2610 MHz
2026/09/22 23:54:04.823, 1, 0 %, 2804 MiB, 60.14 W, 2610 MHz
2026/09/22 23:54:05.073, 0, 0 %, 13396 MiB, 64.81 W, 2610 MHz
2026/09/22 23:54:05.073, 1, 0 %, 2804 MiB, 60.14 W, 2610 MHz
2026/09/22 23:54:05.323, 0, 22 %, 13428 MiB, 65.82 W, 2617 MHz
2026/09/22 23:54:05.323, 1, 0 %, 2804 MiB, 60.19 W, 2610 MHz
2026/09/22 23:54:05.574, 0, 22 %, 13428 MiB, 65.82 W, 2617 MHz
2026/09/22 23:54:05.574, 1, 0 %, 2804 MiB, 60.19 W, 2610 MHz
2026/09/22 23:54:05.824, 0, 0 %, 13460 MiB, 67.40 W, 2617 MHz
2026/09/22 23:54:05.824, 1, 0 %, 2804 MiB, 60.37 W, 2610 MHz
2026/09/22 23:54:06.074, 0, 0 %, 13460 MiB, 67.40 W, 2617 MHz
2026/09/22 23:54:06.074, 1, 0 %, 2804 MiB, 60.37 W, 2610 MHz
