timestamp, index, utilization.gpu [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz]
2026/09/22 23:45:17.222, 0, 0 %, 2 MiB, 12.92 W, 180 MHz
2026/09/22 23:45:17.229, 1, 0 %, 2 MiB, 8.21 W, 180 MHz
2026/09/22 23:45:17.491, 0, 0 %, 2 MiB, 12.92 W, 180 MHz
2026/09/22 23:45:17.491, 1, 0 %, 2 MiB, 8.21 W, 180 MHz
2026/09/22 23:45:17.741, 0, 0 %, 2 MiB, 12.92 W, 180 MHz
2026/09/22 23:45:17.741, 1, 0 %, 2 MiB, 8.21 W, 180 MHz
2026/09/22 23:45:17.991, 0, 0 %, 2 MiB, 12.92 W, 180 MHz
2026/09/22 23:45:17.992, 1, 0 %, 2 MiB, 8.21 W, 180 MHz
2026/09/22 23:45:18.242, 0, 0 %, 2 MiB, 12.64 W, 180 MHz
2026/09/22 23:45:18.242, 1, 0 %, 2 MiB, 8.57 W, 180 MHz
2026/09/22 23:45:18.492, 0, 0 %, 2 MiB, 12.64 W, 180 MHz
2026/09/22 23:45:18.492, 1, 0 %, 2 MiB, 8.57 W, 180 MHz
2026/09/22 23:45:18.742, 0, 0 %, 2 MiB, 12.64 W, 180 MHz
2026/09/22 23:45:18.742, 1, 0 %, 2 MiB, 8.57 W, 180 MHz
2026/09/22 23:45:18.992, 0, 0 %, 2 MiB, 12.64 W, 180 MHz
2026/09/22 23:45:18.992, 1, 0 %, 2 MiB, 8.57 W, 180 MHz
2026/09/22 23:45:19.242, 0, 0 %, 2 MiB, 12.21 W, 180 MHz
2026/09/22 23:45:19.243, 1, 0 %, 2 MiB, 8.39 W, 180 MHz
2026/09/22 23:45:19.493, 0, 0 %, 2 MiB, 12.21 W, 180 MHz
2026/09/22 23:45:19.493, 1, 0 %, 2 MiB, 8.39 W, 180 MHz
2026/09/22 23:45:19.743, 0, 0 %, 2 MiB, 12.21 W, 180 MHz
2026/09/22 23:45:19.743, 1, 0 %, 2 MiB, 8.39 W, 180 MHz
2026/09/22 23:45:19.993, 0, 0 %, 2 MiB, 12.21 W, 180 MHz
2026/09/22 23:45:19.993, 1, 0 %, 2 MiB, 8.39 W, 180 MHz
2026/09/22 23:45:20.243, 0, 0 %, 2 MiB, 12.66 W, 180 MHz
2026/09/22 23:45:20.243, 1, 0 %, 2 MiB, 8.65 W, 180 MHz
2026/09/22 23:45:20.493, 0, 0 %, 2 MiB, 12.66 W, 180 MHz
2026/09/22 23:45:20.494, 1, 0 %, 2 MiB, 8.65 W, 180 MHz
2026/09/22 23:45:20.744, 0, 0 %, 2 MiB, 12.66 W, 180 MHz
2026/09/22 23:45:20.744, 1, 0 %, 2 MiB, 8.65 W, 180 MHz
2026/09/22 23:45:20.994, 0, 0 %, 2 MiB, 12.66 W, 180 MHz
2026/09/22 23:45:20.994, 1, 0 %, 2 MiB, 8.65 W, 180 MHz
2026/09/22 23:45:21.244, 0, 0 %, 2 MiB, 12.89 W, 180 MHz
2026/09/22 23:45:21.248, 1, 0 %, 2 MiB, 8.50 W, 180 MHz
2026/09/22 23:45:21.498, 0, 0 %, 2 MiB, 12.89 W, 180 MHz
