Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
85.1,1974657233,4328,456251.7,461229.0,2520,1222520,394901.2,cuMemcpyDtoHAsync_v2
12.2,283918952,107400,2643.6,2570.0,2340,46809,477.4,cudaLaunchKernel
1.9,43717937,12200,3583.4,3490.0,2900,20679,661.1,cuMemcpyDtoDAsync_v2
0.4,9759267,107400,90.9,90.0,69,13290,56.8,cuKernelGetName
0.2,3823551,4226,904.8,830.0,600,6080,343.9,cuStreamSynchronize
0.2,3521662,1504,2341.5,2110.0,1930,31049,1016.6,cuMemcpyHtoDAsync_v2
0.0,196036,32,6126.1,6150.0,5180,7400,468.9,cuMemcpyPeerAsync
0.0,173184,32,5412.0,5419.5,4630,6170,361.1,cuStreamWaitEvent
0.0,123377,32,3855.5,3485.0,2959,13110,1724.8,cuEventRecord
0.0,50000,258,193.8,125.0,70,720,136.8,cuCtxSetCurrent
0.0,5860,1,5860.0,5860.0,5860,5860,0.0,cuProfilerStart
0.0,4490,1,4490.0,4490.0,4490,4490,0.0,cuCtxSynchronize
0.0,420,1,420.0,420.0,420,420,0.0,cuProfilerStop
