timestamp, index, utilization.gpu [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/09/23 07:12:51.465, 0, 0 %, 2 MiB, 117.57 W, 2685 MHz, 14001 MHz, 54
2026/09/23 07:12:51.469, 1, 0 %, 2 MiB, 120.44 W, 2850 MHz, 14001 MHz, 55
2026/09/23 07:12:51.721, 0, 0 %, 596 MiB, 117.57 W, 2685 MHz, 14001 MHz, 54
2026/09/23 07:12:51.721, 1, 0 %, 4 MiB, 120.75 W, 2850 MHz, 14001 MHz, 55
2026/09/23 07:12:51.971, 0, 0 %, 596 MiB, 108.88 W, 2685 MHz, 14001 MHz, 54
2026/09/23 07:12:51.971, 1, 0 %, 4 MiB, 120.75 W, 2850 MHz, 14001 MHz, 55
2026/09/23 07:12:52.221, 0, 0 %, 596 MiB, 108.88 W, 2685 MHz, 14001 MHz, 54
2026/09/23 07:12:52.221, 1, 0 %, 4 MiB, 108.03 W, 2850 MHz, 14001 MHz, 55
2026/09/23 07:12:52.472, 0, 0 %, 596 MiB, 92.69 W, 2610 MHz, 13365 MHz, 54
2026/09/23 07:12:52.472, 1, 0 %, 4 MiB, 108.03 W, 2850 MHz, 14001 MHz, 55
2026/09/23 07:12:52.722, 0, 0 %, 884 MiB, 92.69 W, 2610 MHz, 13365 MHz, 54
2026/09/23 07:12:52.722, 1, 0 %, 4 MiB, 108.29 W, 2850 MHz, 14001 MHz, 55
2026/09/23 07:12:52.972, 0, 5 %, 1268 MiB, 90.78 W, 2617 MHz, 13365 MHz, 54
2026/09/23 07:12:52.972, 1, 0 %, 852 MiB, 108.29 W, 2850 MHz, 14001 MHz, 55
2026/09/23 07:12:53.222, 0, 5 %, 1332 MiB, 90.78 W, 2617 MHz, 13365 MHz, 54
2026/09/23 07:12:53.223, 1, 1 %, 1300 MiB, 98.32 W, 1815 MHz, 13365 MHz, 54
2026/09/23 07:12:53.473, 0, 0 %, 2356 MiB, 90.94 W, 2617 MHz, 13365 MHz, 54
2026/09/23 07:12:53.473, 1, 1 %, 1300 MiB, 98.32 W, 1815 MHz, 13365 MHz, 54
2026/09/23 07:12:53.723, 0, 0 %, 6804 MiB, 90.94 W, 2617 MHz, 13365 MHz, 54
2026/09/23 07:12:53.723, 1, 3 %, 3316 MiB, 92.99 W, 2625 MHz, 13365 MHz, 54
2026/09/23 07:12:53.973, 0, 35 %, 6804 MiB, 93.64 W, 2617 MHz, 13365 MHz, 54
2026/09/23 07:12:53.973, 1, 3 %, 3316 MiB, 92.99 W, 2625 MHz, 13365 MHz, 54
2026/09/23 07:12:54.223, 0, 35 %, 6804 MiB, 93.64 W, 2617 MHz, 13365 MHz, 54
2026/09/23 07:12:54.223, 1, 0 %, 3316 MiB, 94.00 W, 2617 MHz, 13365 MHz, 54
2026/09/23 07:12:54.473, 0, 0 %, 6804 MiB, 93.20 W, 2610 MHz, 13365 MHz, 54
2026/09/23 07:12:54.473, 1, 0 %, 3316 MiB, 94.00 W, 2617 MHz, 13365 MHz, 54
2026/09/23 07:12:54.723, 0, 0 %, 6804 MiB, 93.20 W, 2610 MHz, 13365 MHz, 54
2026/09/23 07:12:54.723, 1, 0 %, 3316 MiB, 92.64 W, 2610 MHz, 13365 MHz, 54
2026/09/23 07:12:54.973, 0, 0 %, 6804 MiB, 90.72 W, 2617 MHz, 13365 MHz, 54
2026/09/23 07:12:54.973, 1, 0 %, 3316 MiB, 92.64 W, 2610 MHz, 13365 MHz, 54
2026/09/23 07:12:55.223, 0, 0 %, 6836 MiB, 90.72 W, 2617 MHz, 13365 MHz, 54
2026/09/23 07:12:55.224, 1, 0 %, 3316 MiB, 91.44 W, 2610 MHz, 13365 MHz, 54
2026/09/23 07:12:55.474, 0, 0 %, 6836 MiB, 90.07 W, 2617 MHz, 13365 MHz, 54
