timestamp, index, utilization.gpu [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/09/23 09:43:53.175, 0, 0 %, 2 MiB, 120.74 W, 2827 MHz, 14001 MHz, 55
2026/09/23 09:43:53.178, 1, 0 %, 2 MiB, 122.36 W, 2850 MHz, 14001 MHz, 55
2026/09/23 09:43:53.431, 0, 0 %, 596 MiB, 119.80 W, 2827 MHz, 14001 MHz, 55
2026/09/23 09:43:53.431, 1, 0 %, 4 MiB, 122.36 W, 2850 MHz, 14001 MHz, 55
2026/09/23 09:43:53.681, 0, 0 %, 596 MiB, 119.80 W, 2827 MHz, 14001 MHz, 55
2026/09/23 09:43:53.681, 1, 0 %, 4 MiB, 115.95 W, 2850 MHz, 14001 MHz, 55
2026/09/23 09:43:53.932, 0, 0 %, 596 MiB, 107.74 W, 2827 MHz, 13365 MHz, 54
2026/09/23 09:43:53.932, 1, 0 %, 4 MiB, 115.95 W, 2850 MHz, 14001 MHz, 55
2026/09/23 09:43:54.182, 0, 0 %, 596 MiB, 107.74 W, 2827 MHz, 13365 MHz, 54
2026/09/23 09:43:54.182, 1, 0 %, 4 MiB, 108.92 W, 2850 MHz, 14001 MHz, 55
2026/09/23 09:43:54.432, 0, 0 %, 628 MiB, 105.75 W, 2827 MHz, 13365 MHz, 54
2026/09/23 09:43:54.432, 1, 0 %, 4 MiB, 108.92 W, 2850 MHz, 14001 MHz, 55
2026/09/23 09:43:54.682, 0, 0 %, 1268 MiB, 105.75 W, 2827 MHz, 13365 MHz, 54
2026/09/23 09:43:54.682, 1, 0 %, 596 MiB, 107.20 W, 2850 MHz, 14001 MHz, 55
2026/09/23 09:43:54.932, 0, 0 %, 1332 MiB, 98.77 W, 2617 MHz, 13365 MHz, 54
2026/09/23 09:43:54.933, 1, 0 %, 1236 MiB, 107.20 W, 2850 MHz, 14001 MHz, 55
2026/09/23 09:43:55.183, 0, 0 %, 2356 MiB, 98.77 W, 2617 MHz, 13365 MHz, 54
2026/09/23 09:43:55.183, 1, 2 %, 1300 MiB, 94.00 W, 2617 MHz, 13365 MHz, 54
2026/09/23 09:43:55.433, 0, 15 %, 6804 MiB, 92.24 W, 2617 MHz, 13365 MHz, 54
2026/09/23 09:43:55.433, 1, 2 %, 3316 MiB, 94.00 W, 2617 MHz, 13365 MHz, 54
2026/09/23 09:43:55.683, 0, 15 %, 6804 MiB, 92.24 W, 2617 MHz, 13365 MHz, 54
2026/09/23 09:43:55.683, 1, 19 %, 3316 MiB, 88.14 W, 2617 MHz, 13365 MHz, 54
2026/09/23 09:43:55.933, 0, 0 %, 6804 MiB, 93.77 W, 2617 MHz, 13365 MHz, 54
2026/09/23 09:43:55.933, 1, 19 %, 3316 MiB, 88.14 W, 2617 MHz, 13365 MHz, 54
2026/09/23 09:43:56.184, 0, 0 %, 6804 MiB, 93.77 W, 2617 MHz, 13365 MHz, 54
2026/09/23 09:43:56.184, 1, 0 %, 3316 MiB, 92.82 W, 2610 MHz, 13365 MHz, 54
2026/09/23 09:43:56.434, 0, 1 %, 6804 MiB, 92.86 W, 2610 MHz, 13365 MHz, 53
2026/09/23 09:43:56.434, 1, 0 %, 3316 MiB, 92.82 W, 2610 MHz, 13365 MHz, 54
2026/09/23 09:43:56.684, 0, 1 %, 6804 MiB, 92.86 W, 2610 MHz, 13365 MHz, 53
2026/09/23 09:43:56.684, 1, 0 %, 3316 MiB, 92.35 W, 2610 MHz, 13365 MHz, 54
2026/09/23 09:43:56.934, 0, 0 %, 6804 MiB, 90.56 W, 2610 MHz, 13365 MHz, 53
2026/09/23 09:43:56.934, 1, 0 %, 3316 MiB, 92.35 W, 2610 MHz, 13365 MHz, 54
2026/09/23 09:43:57.184, 0, 0 %, 6836 MiB, 90.56 W, 2610 MHz, 13365 MHz, 53
2026/09/23 09:43:57.184, 1, 0 %, 3316 MiB, 90.49 W, 2610 MHz, 13365 MHz, 54
2026/09/23 09:43:57.434, 0, 0 %, 6836 MiB, 90.12 W, 2610 MHz, 13365 MHz, 53
2026/09/23 09:43:57.435, 1, 0 %, 3316 MiB, 90.49 W, 2610 MHz, 13365 MHz, 54
2026/09/23 09:43:57.685, 0, 0 %, 6868 MiB, 90.12 W, 2610 MHz, 13365 MHz, 53
2026/09/23 09:43:57.685, 1, 0 %, 3316 MiB, 90.37 W, 2610 MHz, 13365 MHz, 54
2026/09/23 09:43:57.935, 0, 0 %, 6868 MiB, 90.18 W, 2617 MHz, 13365 MHz, 53
2026/09/23 09:43:57.935, 1, 0 %, 3316 MiB, 90.37 W, 2610 MHz, 13365 MHz, 54
2026/09/23 09:43:58.185, 0, 0 %, 10356 MiB, 90.18 W, 2617 MHz, 13365 MHz, 53
2026/09/23 09:43:58.185, 1, 0 %, 3316 MiB, 90.45 W, 2610 MHz, 13365 MHz, 54
2026/09/23 09:43:58.435, 0, 10 %, 10356 MiB, 92.28 W, 2617 MHz, 13365 MHz, 53
2026/09/23 09:43:58.435, 1, 0 %, 3316 MiB, 90.45 W, 2610 MHz, 13365 MHz, 54
2026/09/23 09:43:58.685, 0, 10 %, 10356 MiB, 92.28 W, 2617 MHz, 13365 MHz, 53
2026/09/23 09:43:58.685, 1, 0 %, 3316 MiB, 90.53 W, 2610 MHz, 13365 MHz, 54
2026/09/23 09:43:58.936, 0, 0 %, 10356 MiB, 91.91 W, 2610 MHz, 13365 MHz, 53
2026/09/23 09:43:58.936, 1, 0 %, 3316 MiB, 90.53 W, 2610 MHz, 13365 MHz, 54
2026/09/23 09:43:59.186, 0, 0 %, 10388 MiB, 91.91 W, 2610 MHz, 13365 MHz, 53
2026/09/23 09:43:59.186, 1, 0 %, 3316 MiB, 90.78 W, 2610 MHz, 13365 MHz, 54
2026/09/23 09:43:59.436, 0, 0 %, 10388 MiB, 89.88 W, 2617 MHz, 13365 MHz, 53
2026/09/23 09:43:59.436, 1, 0 %, 3316 MiB, 90.78 W, 2610 MHz, 13365 MHz, 54
2026/09/23 09:43:59.686, 0, 0 %, 10420 MiB, 89.88 W, 2617 MHz, 13365 MHz, 53
2026/09/23 09:43:59.686, 1, 0 %, 3316 MiB, 90.74 W, 2610 MHz, 13365 MHz, 54
2026/09/23 09:43:59.936, 0, 0 %, 10420 MiB, 89.68 W, 2617 MHz, 13365 MHz, 53
2026/09/23 09:43:59.936, 1, 0 %, 3316 MiB, 90.74 W, 2610 MHz, 13365 MHz, 54
2026/09/23 09:44:00.186, 0, 0 %, 10420 MiB, 89.68 W, 2617 MHz, 13365 MHz, 53
2026/09/23 09:44:00.186, 1, 0 %, 3316 MiB, 90.31 W, 2610 MHz, 13365 MHz, 54
2026/09/23 09:44:00.437, 0, 1 %, 10452 MiB, 89.59 W, 2610 MHz, 13365 MHz, 53
2026/09/23 09:44:00.437, 1, 0 %, 3316 MiB, 90.31 W, 2610 MHz, 13365 MHz, 54
2026/09/23 09:44:00.687, 0, 1 %, 10452 MiB, 89.59 W, 2610 MHz, 13365 MHz, 53
2026/09/23 09:44:00.687, 1, 0 %, 3316 MiB, 90.07 W, 2610 MHz, 13365 MHz, 54
2026/09/23 09:44:00.937, 0, 32 %, 13940 MiB, 90.77 W, 2617 MHz, 13365 MHz, 53
2026/09/23 09:44:00.937, 1, 0 %, 3316 MiB, 90.07 W, 2610 MHz, 13365 MHz, 54
2026/09/23 09:44:01.187, 0, 32 %, 13972 MiB, 90.77 W, 2617 MHz, 13365 MHz, 53
2026/09/23 09:44:01.187, 1, 0 %, 3316 MiB, 89.89 W, 2610 MHz, 13365 MHz, 54
2026/09/23 09:44:01.437, 0, 0 %, 13972 MiB, 91.54 W, 2625 MHz, 13365 MHz, 53
2026/09/23 09:44:01.438, 1, 0 %, 3316 MiB, 89.89 W, 2610 MHz, 13365 MHz, 54
2026/09/23 09:44:01.688, 0, 0 %, 13972 MiB, 91.54 W, 2625 MHz, 13365 MHz, 53
2026/09/23 09:44:01.688, 1, 0 %, 3316 MiB, 89.81 W, 2610 MHz, 13365 MHz, 53
2026/09/23 09:44:01.938, 0, 1 %, 14036 MiB, 90.14 W, 2610 MHz, 13365 MHz, 53
2026/09/23 09:44:01.938, 1, 0 %, 3316 MiB, 89.81 W, 2610 MHz, 13365 MHz, 53
2026/09/23 09:44:02.188, 0, 1 %, 14036 MiB, 90.14 W, 2610 MHz, 13365 MHz, 53
2026/09/23 09:44:02.188, 1, 0 %, 3316 MiB, 89.75 W, 2610 MHz, 13365 MHz, 53
2026/09/23 09:44:02.438, 0, 0 %, 14036 MiB, 89.02 W, 2610 MHz, 13365 MHz, 53
2026/09/23 09:44:02.438, 1, 0 %, 3316 MiB, 89.75 W, 2610 MHz, 13365 MHz, 53
2026/09/23 09:44:02.688, 0, 0 %, 14068 MiB, 89.02 W, 2610 MHz, 13365 MHz, 53
2026/09/23 09:44:02.689, 1, 0 %, 3316 MiB, 89.82 W, 2610 MHz, 13365 MHz, 53
2026/09/23 09:44:02.939, 0, 0 %, 14068 MiB, 89.12 W, 2617 MHz, 13365 MHz, 53
2026/09/23 09:44:02.939, 1, 0 %, 3316 MiB, 89.82 W, 2610 MHz, 13365 MHz, 53
2026/09/23 09:44:03.189, 0, 0 %, 14100 MiB, 89.12 W, 2617 MHz, 13365 MHz, 53
2026/09/23 09:44:03.189, 1, 0 %, 3316 MiB, 89.66 W, 2610 MHz, 13365 MHz, 53
2026/09/23 09:44:03.439, 0, 0 %, 14100 MiB, 89.25 W, 2617 MHz, 13365 MHz, 53
2026/09/23 09:44:03.439, 1, 0 %, 3316 MiB, 89.66 W, 2610 MHz, 13365 MHz, 53
2026/09/23 09:44:03.689, 0, 0 %, 17556 MiB, 89.25 W, 2617 MHz, 13365 MHz, 53
2026/09/23 09:44:03.689, 1, 0 %, 3316 MiB, 89.48 W, 2610 MHz, 13365 MHz, 53
2026/09/23 09:44:03.940, 0, 30 %, 17588 MiB, 91.40 W, 2617 MHz, 13365 MHz, 53
2026/09/23 09:44:03.940, 1, 0 %, 3316 MiB, 89.48 W, 2610 MHz, 13365 MHz, 53
2026/09/23 09:44:04.190, 0, 30 %, 17588 MiB, 91.40 W, 2617 MHz, 13365 MHz, 53
2026/09/23 09:44:04.190, 1, 0 %, 3316 MiB, 89.55 W, 2610 MHz, 13365 MHz, 53
2026/09/23 09:44:04.440, 0, 0 %, 17588 MiB, 91.35 W, 2610 MHz, 13365 MHz, 52
2026/09/23 09:44:04.440, 1, 0 %, 3316 MiB, 89.55 W, 2610 MHz, 13365 MHz, 53
2026/09/23 09:44:04.690, 0, 0 %, 17620 MiB, 91.35 W, 2610 MHz, 13365 MHz, 52
2026/09/23 09:44:04.690, 1, 0 %, 3316 MiB, 89.61 W, 2610 MHz, 13365 MHz, 53
2026/09/23 09:44:04.940, 0, 0 %, 17620 MiB, 89.72 W, 2617 MHz, 13365 MHz, 52
2026/09/23 09:44:04.941, 1, 0 %, 3316 MiB, 89.61 W, 2610 MHz, 13365 MHz, 53
2026/09/23 09:44:05.191, 0, 0 %, 17620 MiB, 89.72 W, 2617 MHz, 13365 MHz, 52
2026/09/23 09:44:05.191, 1, 0 %, 3316 MiB, 89.61 W, 2610 MHz, 13365 MHz, 53
2026/09/23 09:44:05.441, 0, 0 %, 17652 MiB, 89.07 W, 2610 MHz, 13365 MHz, 52
2026/09/23 09:44:05.441, 1, 0 %, 3316 MiB, 89.61 W, 2610 MHz, 13365 MHz, 53
2026/09/23 09:44:05.691, 0, 0 %, 17652 MiB, 89.07 W, 2610 MHz, 13365 MHz, 52
2026/09/23 09:44:05.691, 1, 0 %, 3316 MiB, 89.51 W, 2610 MHz, 13365 MHz, 53
2026/09/23 09:44:05.941, 0, 0 %, 17684 MiB, 89.01 W, 2610 MHz, 13365 MHz, 52
2026/09/23 09:44:05.941, 1, 0 %, 3316 MiB, 89.51 W, 2610 MHz, 13365 MHz, 53
2026/09/23 09:44:06.192, 0, 0 %, 17684 MiB, 89.01 W, 2610 MHz, 13365 MHz, 52
2026/09/23 09:44:06.192, 1, 0 %, 3316 MiB, 89.39 W, 2610 MHz, 13365 MHz, 53
