timestamp, index, utilization.gpu [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/09/26 00:31:36.390, 0, 6 %, 0 MiB, 104.05 W, 2355 MHz, 12481 MHz, 43
2026/09/26 00:31:36.394, 1, 0 %, 0 MiB, 103.50 W, 2317 MHz, 12481 MHz, 44
2026/09/26 00:31:36.648, 0, 0 %, 22 MiB, 103.29 W, 2355 MHz, 12481 MHz, 43
2026/09/26 00:31:36.648, 1, 0 %, 3 MiB, 102.54 W, 2317 MHz, 12481 MHz, 44
2026/09/26 00:31:36.898, 0, 2 %, 595 MiB, 110.30 W, 2355 MHz, 12481 MHz, 43
2026/09/26 00:31:36.898, 1, 0 %, 3 MiB, 108.89 W, 2317 MHz, 12481 MHz, 44
2026/09/26 00:31:37.148, 0, 0 %, 595 MiB, 106.36 W, 2355 MHz, 12481 MHz, 43
2026/09/26 00:31:37.148, 1, 0 %, 3 MiB, 98.85 W, 2317 MHz, 12481 MHz, 44
2026/09/26 00:31:37.398, 0, 0 %, 595 MiB, 96.37 W, 2355 MHz, 12481 MHz, 43
2026/09/26 00:31:37.398, 1, 0 %, 3 MiB, 94.58 W, 2317 MHz, 12481 MHz, 44
2026/09/26 00:31:37.648, 0, 0 %, 627 MiB, 95.62 W, 2355 MHz, 12481 MHz, 43
2026/09/26 00:31:37.648, 1, 0 %, 3 MiB, 94.27 W, 2317 MHz, 12481 MHz, 44
2026/09/26 00:31:37.899, 0, 5 %, 1267 MiB, 95.26 W, 2355 MHz, 12481 MHz, 43
2026/09/26 00:31:37.899, 1, 0 %, 851 MiB, 94.48 W, 2317 MHz, 12481 MHz, 43
2026/09/26 00:31:38.149, 0, 0 %, 1331 MiB, 95.29 W, 2355 MHz, 12481 MHz, 43
2026/09/26 00:31:38.149, 1, 8 %, 1299 MiB, 94.87 W, 2317 MHz, 12481 MHz, 43
2026/09/26 00:31:38.399, 0, 3 %, 2355 MiB, 95.34 W, 2355 MHz, 12481 MHz, 43
2026/09/26 00:31:38.399, 1, 3 %, 1299 MiB, 94.86 W, 2317 MHz, 12481 MHz, 43
2026/09/26 00:31:38.649, 0, 1 %, 2355 MiB, 95.51 W, 2355 MHz, 12481 MHz, 42
2026/09/26 00:31:38.649, 1, 0 %, 1299 MiB, 94.89 W, 2317 MHz, 12481 MHz, 43
2026/09/26 00:31:38.899, 0, 1 %, 2355 MiB, 95.01 W, 2355 MHz, 12481 MHz, 42
2026/09/26 00:31:38.899, 1, 0 %, 1299 MiB, 94.20 W, 2317 MHz, 12481 MHz, 43
2026/09/26 00:31:39.149, 0, 2 %, 2355 MiB, 95.14 W, 2355 MHz, 12481 MHz, 42
2026/09/26 00:31:39.149, 1, 0 %, 1299 MiB, 93.63 W, 2317 MHz, 12481 MHz, 43
2026/09/26 00:31:39.399, 0, 1 %, 2355 MiB, 95.19 W, 2355 MHz, 12481 MHz, 42
2026/09/26 00:31:39.399, 1, 0 %, 1299 MiB, 93.56 W, 2317 MHz, 12481 MHz, 43
2026/09/26 00:31:39.649, 0, 2 %, 3347 MiB, 95.21 W, 2355 MHz, 12481 MHz, 42
2026/09/26 00:31:39.649, 1, 0 %, 1299 MiB, 93.56 W, 2317 MHz, 12481 MHz, 43
2026/09/26 00:31:39.899, 0, 20 %, 5075 MiB, 95.94 W, 2355 MHz, 12481 MHz, 42
2026/09/26 00:31:39.899, 1, 25 %, 3315 MiB, 94.55 W, 2317 MHz, 12481 MHz, 43
2026/09/26 00:31:40.149, 0, 1 %, 5075 MiB, 95.97 W, 2355 MHz, 12481 MHz, 42
2026/09/26 00:31:40.149, 1, 0 %, 3315 MiB, 94.55 W, 2317 MHz, 12481 MHz, 43
2026/09/26 00:31:40.400, 0, 1 %, 5075 MiB, 95.91 W, 2355 MHz, 12481 MHz, 42
2026/09/26 00:31:40.400, 1, 0 %, 3315 MiB, 94.52 W, 2317 MHz, 12481 MHz, 43
