timestamp, index, utilization.gpu [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/09/25 23:23:10.660, 0, 0 %, 0 MiB, 93.13 W, 2355 MHz, 12481 MHz, 40
2026/09/25 23:23:10.664, 1, 0 %, 0 MiB, 92.66 W, 2317 MHz, 12481 MHz, 40
2026/09/25 23:23:10.917, 0, 0 %, 1 MiB, 93.13 W, 2355 MHz, 12481 MHz, 40
2026/09/25 23:23:10.927, 1, 0 %, 1 MiB, 92.66 W, 2317 MHz, 12481 MHz, 40
2026/09/25 23:23:11.177, 0, 1 %, 595 MiB, 99.10 W, 2355 MHz, 12481 MHz, 40
2026/09/25 23:23:11.177, 1, 0 %, 3 MiB, 97.34 W, 2317 MHz, 12481 MHz, 40
2026/09/25 23:23:11.427, 0, 0 %, 595 MiB, 99.14 W, 2355 MHz, 12481 MHz, 39
2026/09/25 23:23:11.427, 1, 0 %, 3 MiB, 96.84 W, 2317 MHz, 12481 MHz, 40
2026/09/25 23:23:11.677, 0, 0 %, 595 MiB, 98.72 W, 2355 MHz, 12481 MHz, 39
2026/09/25 23:23:11.677, 1, 0 %, 3 MiB, 89.36 W, 2047 MHz, 12481 MHz, 39
2026/09/25 23:23:11.927, 0, 0 %, 595 MiB, 97.41 W, 2355 MHz, 12481 MHz, 39
2026/09/25 23:23:11.927, 1, 0 %, 3 MiB, 81.10 W, 480 MHz, 12481 MHz, 39
2026/09/25 23:23:12.177, 0, 4 %, 1267 MiB, 92.73 W, 2355 MHz, 12481 MHz, 39
2026/09/25 23:23:12.178, 1, 0 %, 23 MiB, 66.76 W, 480 MHz, 12481 MHz, 39
2026/09/25 23:23:12.428, 0, 0 %, 1267 MiB, 92.79 W, 2355 MHz, 12481 MHz, 39
2026/09/25 23:23:12.428, 1, 2 %, 1235 MiB, 64.69 W, 2295 MHz, 12481 MHz, 40
2026/09/25 23:23:12.679, 0, 0 %, 1331 MiB, 92.88 W, 2355 MHz, 12481 MHz, 39
2026/09/25 23:23:12.679, 1, 0 %, 1299 MiB, 71.60 W, 2295 MHz, 12481 MHz, 40
2026/09/25 23:23:12.929, 0, 1 %, 2355 MiB, 93.22 W, 2355 MHz, 12481 MHz, 39
2026/09/25 23:23:12.929, 1, 0 %, 1299 MiB, 82.55 W, 2317 MHz, 12481 MHz, 40
2026/09/25 23:23:13.179, 0, 1 %, 2355 MiB, 93.31 W, 2355 MHz, 12481 MHz, 39
2026/09/25 23:23:13.179, 1, 0 %, 1299 MiB, 89.19 W, 2317 MHz, 12481 MHz, 40
2026/09/25 23:23:13.429, 0, 1 %, 2355 MiB, 93.21 W, 2355 MHz, 12481 MHz, 39
2026/09/25 23:23:13.429, 1, 0 %, 1299 MiB, 91.61 W, 2317 MHz, 12481 MHz, 40
2026/09/25 23:23:13.679, 0, 1 %, 2355 MiB, 93.19 W, 2355 MHz, 12481 MHz, 39
2026/09/25 23:23:13.679, 1, 0 %, 1299 MiB, 91.40 W, 2317 MHz, 12481 MHz, 40
2026/09/25 23:23:13.930, 0, 2 %, 2355 MiB, 92.85 W, 2355 MHz, 12481 MHz, 39
2026/09/25 23:23:13.930, 1, 0 %, 1299 MiB, 91.30 W, 2317 MHz, 12481 MHz, 40
2026/09/25 23:23:14.180, 0, 1 %, 3347 MiB, 92.85 W, 2355 MHz, 12481 MHz, 39
