timestamp, index, utilization.gpu [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/09/25 21:51:01.969, 0, 0 %, 0 MiB, 107.04 W, 2355 MHz, 12481 MHz, 43
2026/09/25 21:51:01.974, 1, 0 %, 0 MiB, 103.24 W, 2422 MHz, 12481 MHz, 44
2026/09/25 21:51:02.228, 0, 0 %, 3 MiB, 105.53 W, 2355 MHz, 12481 MHz, 43
2026/09/25 21:51:02.229, 1, 0 %, 1 MiB, 101.88 W, 2422 MHz, 12481 MHz, 44
2026/09/25 21:51:02.479, 0, 2 %, 595 MiB, 109.39 W, 2355 MHz, 12481 MHz, 43
2026/09/25 21:51:02.479, 1, 0 %, 3 MiB, 105.98 W, 2317 MHz, 12481 MHz, 43
2026/09/25 21:51:02.729, 0, 0 %, 595 MiB, 100.65 W, 2355 MHz, 12481 MHz, 43
2026/09/25 21:51:02.729, 1, 0 %, 3 MiB, 94.14 W, 2317 MHz, 12481 MHz, 43
2026/09/25 21:51:02.979, 0, 0 %, 595 MiB, 96.14 W, 2355 MHz, 12481 MHz, 42
2026/09/25 21:51:02.979, 1, 0 %, 3 MiB, 94.67 W, 2317 MHz, 12481 MHz, 43
2026/09/25 21:51:03.229, 0, 0 %, 627 MiB, 95.38 W, 2355 MHz, 12481 MHz, 42
2026/09/25 21:51:03.229, 1, 0 %, 3 MiB, 94.50 W, 2317 MHz, 12481 MHz, 43
2026/09/25 21:51:03.479, 0, 10 %, 1267 MiB, 94.89 W, 2355 MHz, 12481 MHz, 42
2026/09/25 21:51:03.479, 1, 0 %, 851 MiB, 94.90 W, 2317 MHz, 12481 MHz, 43
2026/09/25 21:51:03.729, 0, 0 %, 1331 MiB, 94.93 W, 2355 MHz, 12481 MHz, 42
2026/09/25 21:51:03.729, 1, 5 %, 1299 MiB, 95.44 W, 2317 MHz, 12481 MHz, 43
2026/09/25 21:51:03.980, 0, 3 %, 2355 MiB, 94.94 W, 2355 MHz, 12481 MHz, 42
2026/09/25 21:51:03.980, 1, 3 %, 1299 MiB, 95.48 W, 2317 MHz, 12481 MHz, 43
2026/09/25 21:51:04.230, 0, 1 %, 2355 MiB, 95.33 W, 2355 MHz, 12481 MHz, 42
2026/09/25 21:51:04.230, 1, 0 %, 1299 MiB, 95.44 W, 2317 MHz, 12481 MHz, 43
2026/09/25 21:51:04.480, 0, 1 %, 2355 MiB, 95.02 W, 2355 MHz, 12481 MHz, 42
2026/09/25 21:51:04.480, 1, 0 %, 1299 MiB, 94.67 W, 2317 MHz, 12481 MHz, 43
2026/09/25 21:51:04.730, 0, 1 %, 2355 MiB, 95.10 W, 2355 MHz, 12481 MHz, 42
2026/09/25 21:51:04.730, 1, 0 %, 1299 MiB, 94.06 W, 2317 MHz, 12481 MHz, 43
2026/09/25 21:51:04.980, 0, 1 %, 2355 MiB, 95.10 W, 2355 MHz, 12481 MHz, 42
2026/09/25 21:51:04.980, 1, 0 %, 1299 MiB, 93.92 W, 2317 MHz, 12481 MHz, 43
2026/09/25 21:51:05.230, 0, 2 %, 2355 MiB, 94.87 W, 2355 MHz, 12481 MHz, 42
2026/09/25 21:51:05.230, 1, 0 %, 1299 MiB, 93.92 W, 2317 MHz, 12481 MHz, 43
2026/09/25 21:51:05.480, 0, 3 %, 3347 MiB, 95.09 W, 2355 MHz, 12481 MHz, 42
2026/09/25 21:51:05.480, 1, 0 %, 1299 MiB, 93.89 W, 2317 MHz, 12481 MHz, 43
2026/09/25 21:51:05.730, 0, 1 %, 3347 MiB, 95.00 W, 2355 MHz, 12481 MHz, 42
2026/09/25 21:51:05.730, 1, 0 %, 1299 MiB, 93.85 W, 2317 MHz, 12481 MHz, 43
2026/09/25 21:51:05.980, 0, 1 %, 3347 MiB, 94.97 W, 2355 MHz, 12481 MHz, 42
2026/09/25 21:51:05.980, 1, 0 %, 1299 MiB, 93.88 W, 2317 MHz, 12481 MHz, 43
2026/09/25 21:51:06.230, 0, 1 %, 3347 MiB, 94.85 W, 2355 MHz, 12481 MHz, 42
2026/09/25 21:51:06.230, 1, 0 %, 1299 MiB, 93.82 W, 2317 MHz, 12481 MHz, 43
2026/09/25 21:51:06.481, 0, 1 %, 3347 MiB, 94.63 W, 2355 MHz, 12481 MHz, 42
2026/09/25 21:51:06.481, 1, 0 %, 1299 MiB, 93.82 W, 2317 MHz, 12481 MHz, 43
2026/09/25 21:51:06.731, 0, 1 %, 3347 MiB, 94.55 W, 2355 MHz, 12481 MHz, 42
2026/09/25 21:51:06.731, 1, 0 %, 1299 MiB, 93.82 W, 2317 MHz, 12481 MHz, 43
2026/09/25 21:51:06.981, 0, 1 %, 3347 MiB, 94.52 W, 2355 MHz, 12481 MHz, 42
2026/09/25 21:51:06.981, 1, 0 %, 1299 MiB, 93.82 W, 2317 MHz, 12481 MHz, 43
2026/09/25 21:51:07.231, 0, 1 %, 3347 MiB, 94.44 W, 2355 MHz, 12481 MHz, 42
2026/09/25 21:51:07.231, 1, 0 %, 1299 MiB, 93.82 W, 2317 MHz, 12481 MHz, 43
2026/09/25 21:51:07.481, 0, 1 %, 3347 MiB, 94.39 W, 2355 MHz, 12481 MHz, 42
2026/09/25 21:51:07.481, 1, 0 %, 1299 MiB, 93.66 W, 2317 MHz, 12481 MHz, 42
2026/09/25 21:51:07.731, 0, 1 %, 5075 MiB, 94.71 W, 2355 MHz, 12481 MHz, 42
2026/09/25 21:51:07.731, 1, 72 %, 3315 MiB, 94.24 W, 2317 MHz, 12481 MHz, 42
2026/09/25 21:51:07.981, 0, 1 %, 5075 MiB, 94.70 W, 2355 MHz, 12481 MHz, 42
2026/09/25 21:51:07.981, 1, 0 %, 3315 MiB, 94.13 W, 2317 MHz, 12481 MHz, 42
2026/09/25 21:51:08.231, 0, 2 %, 5075 MiB, 94.85 W, 2355 MHz, 12481 MHz, 41
2026/09/25 21:51:08.231, 1, 0 %, 3315 MiB, 94.00 W, 2317 MHz, 12481 MHz, 42
2026/09/25 21:51:08.481, 0, 2 %, 5075 MiB, 94.91 W, 2355 MHz, 12481 MHz, 41
2026/09/25 21:51:08.481, 1, 0 %, 3315 MiB, 94.16 W, 2317 MHz, 12481 MHz, 42
2026/09/25 21:51:08.731, 0, 1 %, 5075 MiB, 94.59 W, 2355 MHz, 12481 MHz, 41
2026/09/25 21:51:08.731, 1, 0 %, 3315 MiB, 93.33 W, 2317 MHz, 12481 MHz, 42
2026/09/25 21:51:08.982, 0, 1 %, 5075 MiB, 94.59 W, 2355 MHz, 12481 MHz, 41
2026/09/25 21:51:08.982, 1, 0 %, 3315 MiB, 93.33 W, 2317 MHz, 12481 MHz, 42
2026/09/25 21:51:09.232, 0, 1 %, 5075 MiB, 94.44 W, 2355 MHz, 12481 MHz, 41
2026/09/25 21:51:09.232, 1, 0 %, 3315 MiB, 93.33 W, 2317 MHz, 12481 MHz, 42
2026/09/25 21:51:09.482, 0, 1 %, 5075 MiB, 94.35 W, 2355 MHz, 12481 MHz, 41
2026/09/25 21:51:09.482, 1, 0 %, 3315 MiB, 93.33 W, 2317 MHz, 12481 MHz, 42
2026/09/25 21:51:09.732, 0, 1 %, 5075 MiB, 94.33 W, 2355 MHz, 12481 MHz, 41
2026/09/25 21:51:09.732, 1, 0 %, 3315 MiB, 92.56 W, 2317 MHz, 12481 MHz, 42
2026/09/25 21:51:09.982, 0, 1 %, 5075 MiB, 94.40 W, 2355 MHz, 12481 MHz, 41
2026/09/25 21:51:09.982, 1, 0 %, 3315 MiB, 92.56 W, 2317 MHz, 12481 MHz, 42
2026/09/25 21:51:10.232, 0, 0 %, 5075 MiB, 94.31 W, 2355 MHz, 12481 MHz, 41
2026/09/25 21:51:10.232, 1, 0 %, 3315 MiB, 92.56 W, 2317 MHz, 12481 MHz, 42
2026/09/25 21:51:10.482, 0, 0 %, 5075 MiB, 94.27 W, 2355 MHz, 12481 MHz, 41
2026/09/25 21:51:10.482, 1, 0 %, 3315 MiB, 92.56 W, 2317 MHz, 12481 MHz, 42
2026/09/25 21:51:10.732, 0, 0 %, 5075 MiB, 94.05 W, 2355 MHz, 12481 MHz, 41
2026/09/25 21:51:10.732, 1, 0 %, 3315 MiB, 92.30 W, 2317 MHz, 12481 MHz, 42
2026/09/25 21:51:10.982, 0, 0 %, 5075 MiB, 93.90 W, 2355 MHz, 12481 MHz, 41
2026/09/25 21:51:10.982, 1, 0 %, 3315 MiB, 92.30 W, 2317 MHz, 12481 MHz, 42
2026/09/25 21:51:11.232, 0, 0 %, 5075 MiB, 93.83 W, 2355 MHz, 12481 MHz, 41
2026/09/25 21:51:11.232, 1, 0 %, 3315 MiB, 92.30 W, 2317 MHz, 12481 MHz, 42
2026/09/25 21:51:11.483, 0, 0 %, 5107 MiB, 93.75 W, 2355 MHz, 12481 MHz, 41
2026/09/25 21:51:11.483, 1, 0 %, 3315 MiB, 92.30 W, 2317 MHz, 12481 MHz, 42
2026/09/25 21:51:11.733, 0, 0 %, 5107 MiB, 93.76 W, 2355 MHz, 12481 MHz, 41
