timestamp, index, utilization.gpu [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/09/25 22:26:42.479, 0, 75 %, 0 MiB, 105.62 W, 2355 MHz, 12481 MHz, 43
2026/09/25 22:26:42.483, 1, 6 %, 0 MiB, 105.05 W, 2317 MHz, 12481 MHz, 43
2026/09/25 22:26:42.737, 0, 0 %, 595 MiB, 104.93 W, 2355 MHz, 12481 MHz, 42
2026/09/25 22:26:42.737, 1, 0 %, 3 MiB, 103.90 W, 2317 MHz, 12481 MHz, 43
2026/09/25 22:26:42.987, 0, 0 %, 595 MiB, 103.71 W, 2355 MHz, 12481 MHz, 42
2026/09/25 22:26:42.987, 1, 0 %, 3 MiB, 102.68 W, 2317 MHz, 12481 MHz, 43
2026/09/25 22:26:43.237, 0, 0 %, 595 MiB, 108.05 W, 2355 MHz, 12481 MHz, 42
2026/09/25 22:26:43.237, 1, 0 %, 3 MiB, 106.09 W, 2317 MHz, 12481 MHz, 43
2026/09/25 22:26:43.487, 0, 0 %, 595 MiB, 98.85 W, 2355 MHz, 12481 MHz, 42
2026/09/25 22:26:43.487, 1, 0 %, 3 MiB, 94.92 W, 2317 MHz, 12481 MHz, 43
2026/09/25 22:26:43.737, 0, 2 %, 1139 MiB, 94.46 W, 2355 MHz, 12481 MHz, 42
2026/09/25 22:26:43.738, 1, 0 %, 3 MiB, 94.04 W, 2317 MHz, 12481 MHz, 43
2026/09/25 22:26:43.988, 0, 0 %, 1267 MiB, 94.53 W, 2355 MHz, 12481 MHz, 42
2026/09/25 22:26:43.988, 1, 2 %, 1235 MiB, 94.93 W, 2317 MHz, 12481 MHz, 43
2026/09/25 22:26:44.238, 0, 0 %, 1331 MiB, 94.54 W, 2355 MHz, 12481 MHz, 42
2026/09/25 22:26:44.238, 1, 5 %, 1299 MiB, 95.15 W, 2317 MHz, 12481 MHz, 43
2026/09/25 22:26:44.488, 0, 0 %, 3347 MiB, 95.15 W, 2355 MHz, 12481 MHz, 42
2026/09/25 22:26:44.488, 1, 0 %, 1299 MiB, 95.20 W, 2317 MHz, 12481 MHz, 43
2026/09/25 22:26:44.738, 0, 19 %, 5075 MiB, 96.80 W, 2355 MHz, 12481 MHz, 42
2026/09/25 22:26:44.738, 1, 12 %, 3315 MiB, 96.40 W, 2317 MHz, 12481 MHz, 43
2026/09/25 22:26:44.988, 0, 0 %, 5075 MiB, 96.78 W, 2355 MHz, 12481 MHz, 42
2026/09/25 22:26:44.988, 1, 0 %, 3315 MiB, 95.46 W, 2317 MHz, 12481 MHz, 43
2026/09/25 22:26:45.238, 0, 0 %, 5075 MiB, 96.69 W, 2355 MHz, 12481 MHz, 42
2026/09/25 22:26:45.238, 1, 0 %, 3315 MiB, 95.14 W, 2317 MHz, 12481 MHz, 43
2026/09/25 22:26:45.488, 0, 0 %, 5075 MiB, 96.15 W, 2355 MHz, 12481 MHz, 42
2026/09/25 22:26:45.488, 1, 0 %, 3315 MiB, 95.04 W, 2317 MHz, 12481 MHz, 42
2026/09/25 22:26:45.738, 0, 0 %, 5075 MiB, 94.32 W, 2355 MHz, 12481 MHz, 42
2026/09/25 22:26:45.738, 1, 0 %, 3315 MiB, 94.23 W, 2317 MHz, 12481 MHz, 42
2026/09/25 22:26:45.988, 0, 0 %, 5107 MiB, 94.08 W, 2355 MHz, 12481 MHz, 41
2026/09/25 22:26:45.988, 1, 0 %, 3315 MiB, 94.23 W, 2317 MHz, 12481 MHz, 42
2026/09/25 22:26:46.239, 0, 1 %, 5107 MiB, 94.09 W, 2355 MHz, 12481 MHz, 41
2026/09/25 22:26:46.239, 1, 0 %, 3315 MiB, 93.22 W, 2317 MHz, 12481 MHz, 42
2026/09/25 22:26:46.489, 0, 0 %, 5107 MiB, 94.05 W, 2355 MHz, 12481 MHz, 41
2026/09/25 22:26:46.489, 1, 0 %, 3315 MiB, 93.19 W, 2317 MHz, 12481 MHz, 42
2026/09/25 22:26:46.739, 0, 0 %, 5139 MiB, 94.01 W, 2355 MHz, 12481 MHz, 41
2026/09/25 22:26:46.739, 1, 0 %, 3315 MiB, 93.20 W, 2317 MHz, 12481 MHz, 42
2026/09/25 22:26:46.989, 0, 0 %, 5171 MiB, 94.04 W, 2355 MHz, 12481 MHz, 41
2026/09/25 22:26:46.989, 1, 0 %, 5043 MiB, 93.25 W, 2317 MHz, 12481 MHz, 42
2026/09/25 22:26:47.239, 0, 0 %, 5171 MiB, 93.98 W, 2355 MHz, 12481 MHz, 41
2026/09/25 22:26:47.239, 1, 19 %, 5043 MiB, 94.47 W, 2317 MHz, 12481 MHz, 42
2026/09/25 22:26:47.489, 0, 0 %, 5171 MiB, 93.92 W, 2355 MHz, 12481 MHz, 41
2026/09/25 22:26:47.489, 1, 0 %, 5043 MiB, 94.47 W, 2317 MHz, 12481 MHz, 42
2026/09/25 22:26:47.739, 0, 0 %, 5171 MiB, 93.84 W, 2355 MHz, 12481 MHz, 41
2026/09/25 22:26:47.739, 1, 0 %, 5043 MiB, 94.43 W, 2317 MHz, 12481 MHz, 42
2026/09/25 22:26:47.989, 0, 0 %, 5171 MiB, 93.80 W, 2355 MHz, 12481 MHz, 41
2026/09/25 22:26:47.989, 1, 1 %, 5043 MiB, 94.46 W, 2317 MHz, 12481 MHz, 42
2026/09/25 22:26:48.239, 0, 0 %, 5171 MiB, 93.79 W, 2355 MHz, 12481 MHz, 41
2026/09/25 22:26:48.239, 1, 0 %, 5043 MiB, 93.43 W, 2317 MHz, 12481 MHz, 42
2026/09/25 22:26:48.490, 0, 0 %, 5171 MiB, 93.46 W, 2355 MHz, 12481 MHz, 41
2026/09/25 22:26:48.490, 1, 0 %, 5075 MiB, 93.43 W, 2317 MHz, 12481 MHz, 42
2026/09/25 22:26:48.740, 0, 0 %, 5171 MiB, 93.39 W, 2355 MHz, 12481 MHz, 41
2026/09/25 22:26:48.740, 1, 0 %, 5075 MiB, 93.40 W, 2317 MHz, 12481 MHz, 42
2026/09/25 22:26:48.990, 0, 0 %, 5171 MiB, 93.34 W, 2355 MHz, 12481 MHz, 41
2026/09/25 22:26:48.990, 1, 0 %, 5107 MiB, 93.35 W, 2317 MHz, 12481 MHz, 42
2026/09/25 22:26:49.240, 0, 0 %, 5171 MiB, 93.38 W, 2355 MHz, 12481 MHz, 41
2026/09/25 22:26:49.240, 1, 0 %, 5107 MiB, 93.36 W, 2317 MHz, 12481 MHz, 42
2026/09/25 22:26:49.490, 0, 0 %, 6899 MiB, 94.12 W, 2355 MHz, 12481 MHz, 41
2026/09/25 22:26:49.490, 1, 0 %, 5139 MiB, 93.36 W, 2317 MHz, 12481 MHz, 42
2026/09/25 22:26:49.740, 0, 0 %, 6899 MiB, 94.75 W, 2355 MHz, 12481 MHz, 41
2026/09/25 22:26:49.740, 1, 0 %, 5139 MiB, 93.35 W, 2317 MHz, 12481 MHz, 42
2026/09/25 22:26:49.990, 0, 0 %, 6899 MiB, 94.79 W, 2355 MHz, 12481 MHz, 41
2026/09/25 22:26:49.990, 1, 0 %, 5139 MiB, 93.32 W, 2317 MHz, 12481 MHz, 42
2026/09/25 22:26:50.240, 0, 0 %, 6931 MiB, 94.77 W, 2355 MHz, 12481 MHz, 41
2026/09/25 22:26:50.240, 1, 0 %, 5139 MiB, 93.28 W, 2317 MHz, 12481 MHz, 42
2026/09/25 22:26:50.490, 0, 1 %, 6931 MiB, 94.36 W, 2355 MHz, 12481 MHz, 41
2026/09/25 22:26:50.490, 1, 0 %, 5139 MiB, 93.19 W, 2317 MHz, 12481 MHz, 41
2026/09/25 22:26:50.741, 0, 0 %, 6931 MiB, 93.63 W, 2355 MHz, 12481 MHz, 41
2026/09/25 22:26:50.741, 1, 0 %, 5139 MiB, 93.13 W, 2317 MHz, 12481 MHz, 41
2026/09/25 22:26:50.991, 0, 1 %, 6963 MiB, 93.58 W, 2355 MHz, 12481 MHz, 41
2026/09/25 22:26:50.991, 1, 0 %, 5139 MiB, 93.05 W, 2317 MHz, 12481 MHz, 41
2026/09/25 22:26:51.241, 0, 0 %, 6963 MiB, 93.57 W, 2355 MHz, 12481 MHz, 41
2026/09/25 22:26:51.241, 1, 0 %, 5139 MiB, 92.98 W, 2317 MHz, 12481 MHz, 41
2026/09/25 22:26:51.491, 0, 0 %, 6995 MiB, 93.62 W, 2355 MHz, 12481 MHz, 41
2026/09/25 22:26:51.491, 1, 0 %, 5139 MiB, 93.03 W, 2317 MHz, 12481 MHz, 41
2026/09/25 22:26:51.741, 0, 0 %, 7027 MiB, 93.59 W, 2355 MHz, 12481 MHz, 41
2026/09/25 22:26:51.741, 1, 0 %, 6675 MiB, 92.97 W, 2317 MHz, 12481 MHz, 41
2026/09/25 22:26:51.991, 0, 0 %, 7027 MiB, 93.63 W, 2355 MHz, 12481 MHz, 41
2026/09/25 22:26:51.991, 1, 23 %, 6867 MiB, 93.93 W, 2317 MHz, 12481 MHz, 41
2026/09/25 22:26:52.241, 0, 0 %, 7027 MiB, 93.60 W, 2355 MHz, 12481 MHz, 40
2026/09/25 22:26:52.241, 1, 0 %, 6867 MiB, 93.90 W, 2317 MHz, 12481 MHz, 41
2026/09/25 22:26:52.491, 0, 0 %, 7027 MiB, 93.52 W, 2355 MHz, 12481 MHz, 40
2026/09/25 22:26:52.491, 1, 0 %, 6867 MiB, 93.81 W, 2317 MHz, 12481 MHz, 41
2026/09/25 22:26:52.741, 0, 0 %, 7027 MiB, 93.53 W, 2355 MHz, 12481 MHz, 40
2026/09/25 22:26:52.741, 1, 0 %, 6899 MiB, 93.79 W, 2317 MHz, 12481 MHz, 41
2026/09/25 22:26:52.991, 0, 0 %, 7027 MiB, 93.38 W, 2355 MHz, 12481 MHz, 40
2026/09/25 22:26:52.991, 1, 0 %, 6899 MiB, 92.88 W, 2317 MHz, 12481 MHz, 41
