timestamp, index, utilization.gpu [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/09/26 00:47:52.111, 0, 0 %, 2 MiB, 16.59 W, 180 MHz, 405 MHz, 30
2026/09/26 00:47:52.122, 1, 0 %, 2 MiB, 15.24 W, 180 MHz, 405 MHz, 29
2026/09/26 00:47:52.382, 0, 0 %, 4 MiB, 16.59 W, 180 MHz, 405 MHz, 30
2026/09/26 00:47:52.399, 1, 0 %, 2 MiB, 15.24 W, 180 MHz, 405 MHz, 29
2026/09/26 00:47:52.649, 0, 0 %, 596 MiB, 16.59 W, 180 MHz, 405 MHz, 30
2026/09/26 00:47:52.649, 1, 0 %, 4 MiB, 15.24 W, 180 MHz, 405 MHz, 29
2026/09/26 00:47:52.899, 0, 0 %, 596 MiB, 65.53 W, 1545 MHz, 13365 MHz, 31
2026/09/26 00:47:52.899, 1, 0 %, 4 MiB, 22.34 W, 180 MHz, 405 MHz, 29
2026/09/26 00:47:53.149, 0, 0 %, 596 MiB, 65.53 W, 1545 MHz, 13365 MHz, 31
2026/09/26 00:47:53.149, 1, 0 %, 4 MiB, 22.34 W, 180 MHz, 405 MHz, 29
2026/09/26 00:47:53.399, 0, 0 %, 596 MiB, 89.52 W, 2610 MHz, 13365 MHz, 32
2026/09/26 00:47:53.399, 1, 0 %, 4 MiB, 21.70 W, 180 MHz, 405 MHz, 29
2026/09/26 00:47:53.650, 0, 0 %, 596 MiB, 89.52 W, 2610 MHz, 13365 MHz, 32
2026/09/26 00:47:53.650, 1, 0 %, 4 MiB, 21.70 W, 180 MHz, 405 MHz, 29
2026/09/26 00:47:53.900, 0, 0 %, 884 MiB, 88.67 W, 2610 MHz, 13365 MHz, 32
2026/09/26 00:47:53.900, 1, 0 %, 4 MiB, 20.91 W, 180 MHz, 405 MHz, 29
2026/09/26 00:47:54.150, 0, 0 %, 1268 MiB, 88.67 W, 2610 MHz, 13365 MHz, 32
2026/09/26 00:47:54.150, 1, 0 %, 852 MiB, 20.91 W, 180 MHz, 405 MHz, 29
2026/09/26 00:47:54.400, 0, 0 %, 1268 MiB, 88.99 W, 2617 MHz, 13365 MHz, 32
2026/09/26 00:47:54.401, 1, 0 %, 1236 MiB, 33.07 W, 1530 MHz, 13365 MHz, 30
2026/09/26 00:47:54.651, 0, 0 %, 1332 MiB, 88.99 W, 2617 MHz, 13365 MHz, 32
2026/09/26 00:47:54.651, 1, 0 %, 1300 MiB, 33.07 W, 1530 MHz, 13365 MHz, 30
2026/09/26 00:47:54.901, 0, 0 %, 3348 MiB, 89.19 W, 2617 MHz, 13365 MHz, 32
2026/09/26 00:47:54.901, 1, 2 %, 1300 MiB, 80.79 W, 2617 MHz, 13365 MHz, 30
2026/09/26 00:47:55.151, 0, 0 %, 5076 MiB, 89.19 W, 2617 MHz, 13365 MHz, 32
2026/09/26 00:47:55.151, 1, 2 %, 3316 MiB, 80.79 W, 2617 MHz, 13365 MHz, 30
2026/09/26 00:47:55.401, 0, 0 %, 5076 MiB, 91.18 W, 2617 MHz, 13365 MHz, 33
2026/09/26 00:47:55.402, 1, 2 %, 3316 MiB, 81.95 W, 2617 MHz, 13365 MHz, 30
2026/09/26 00:47:55.652, 0, 0 %, 5076 MiB, 91.18 W, 2617 MHz, 13365 MHz, 33
2026/09/26 00:47:55.652, 1, 2 %, 3316 MiB, 81.95 W, 2617 MHz, 13365 MHz, 30
2026/09/26 00:47:55.902, 0, 0 %, 5076 MiB, 89.25 W, 2617 MHz, 13365 MHz, 32
2026/09/26 00:47:55.902, 1, 0 %, 3316 MiB, 81.28 W, 2610 MHz, 13365 MHz, 30
2026/09/26 00:47:56.154, 0, 0 %, 5076 MiB, 89.25 W, 2617 MHz, 13365 MHz, 32
2026/09/26 00:47:56.154, 1, 0 %, 3316 MiB, 81.28 W, 2610 MHz, 13365 MHz, 30
2026/09/26 00:47:56.404, 0, 0 %, 5076 MiB, 87.06 W, 2617 MHz, 13365 MHz, 32
2026/09/26 00:47:56.404, 1, 0 %, 3316 MiB, 81.50 W, 2610 MHz, 13365 MHz, 30
2026/09/26 00:47:56.655, 0, 0 %, 5108 MiB, 87.06 W, 2617 MHz, 13365 MHz, 32
2026/09/26 00:47:56.655, 1, 0 %, 3316 MiB, 81.50 W, 2610 MHz, 13365 MHz, 30
2026/09/26 00:47:56.905, 0, 1 %, 5108 MiB, 86.44 W, 2610 MHz, 13365 MHz, 33
2026/09/26 00:47:56.905, 1, 0 %, 3316 MiB, 79.59 W, 2610 MHz, 13365 MHz, 30
2026/09/26 00:47:57.155, 0, 1 %, 5108 MiB, 86.44 W, 2610 MHz, 13365 MHz, 33
2026/09/26 00:47:57.155, 1, 0 %, 3316 MiB, 79.59 W, 2610 MHz, 13365 MHz, 30
2026/09/26 00:47:57.405, 0, 1 %, 5140 MiB, 86.23 W, 2610 MHz, 13365 MHz, 33
2026/09/26 00:47:57.405, 1, 0 %, 3316 MiB, 79.73 W, 2610 MHz, 13365 MHz, 30
2026/09/26 00:47:57.656, 0, 1 %, 5140 MiB, 86.23 W, 2610 MHz, 13365 MHz, 33
2026/09/26 00:47:57.656, 1, 0 %, 3316 MiB, 79.73 W, 2610 MHz, 13365 MHz, 30
2026/09/26 00:47:57.906, 0, 0 %, 5172 MiB, 88.01 W, 2617 MHz, 13365 MHz, 33
2026/09/26 00:47:57.906, 1, 6 %, 5044 MiB, 82.14 W, 2610 MHz, 13365 MHz, 31
2026/09/26 00:47:58.156, 0, 0 %, 5172 MiB, 88.01 W, 2617 MHz, 13365 MHz, 33
2026/09/26 00:47:58.156, 1, 6 %, 5044 MiB, 82.14 W, 2610 MHz, 13365 MHz, 31
2026/09/26 00:47:58.406, 0, 0 %, 5172 MiB, 87.99 W, 2610 MHz, 13365 MHz, 33
2026/09/26 00:47:58.406, 1, 6 %, 5044 MiB, 80.62 W, 2617 MHz, 13365 MHz, 31
2026/09/26 00:47:58.657, 0, 0 %, 5172 MiB, 87.99 W, 2610 MHz, 13365 MHz, 33
2026/09/26 00:47:58.657, 1, 6 %, 5044 MiB, 80.62 W, 2617 MHz, 13365 MHz, 31
2026/09/26 00:47:58.907, 0, 0 %, 5172 MiB, 88.16 W, 2610 MHz, 13365 MHz, 33
