timestamp, index, utilization.gpu [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/09/26 01:28:35.566, 0, 0 %, 2 MiB, 116.20 W, 2685 MHz, 14001 MHz, 56
2026/09/26 01:28:35.571, 1, 0 %, 2 MiB, 121.05 W, 2842 MHz, 14001 MHz, 54
2026/09/26 01:28:35.825, 0, 0 %, 42 MiB, 116.20 W, 2685 MHz, 14001 MHz, 56
2026/09/26 01:28:35.825, 1, 0 %, 4 MiB, 121.05 W, 2842 MHz, 14001 MHz, 54
2026/09/26 01:28:36.075, 0, 0 %, 596 MiB, 116.20 W, 2685 MHz, 14001 MHz, 56
2026/09/26 01:28:36.075, 1, 0 %, 4 MiB, 121.05 W, 2842 MHz, 14001 MHz, 54
2026/09/26 01:28:36.325, 0, 0 %, 596 MiB, 115.73 W, 2685 MHz, 14001 MHz, 56
2026/09/26 01:28:36.325, 1, 0 %, 4 MiB, 118.83 W, 2842 MHz, 14001 MHz, 53
2026/09/26 01:28:36.576, 0, 0 %, 596 MiB, 115.73 W, 2685 MHz, 14001 MHz, 56
2026/09/26 01:28:36.576, 1, 0 %, 4 MiB, 118.83 W, 2842 MHz, 14001 MHz, 53
2026/09/26 01:28:36.826, 0, 0 %, 596 MiB, 113.74 W, 2842 MHz, 13365 MHz, 56
2026/09/26 01:28:36.826, 1, 0 %, 4 MiB, 117.37 W, 2842 MHz, 14001 MHz, 53
2026/09/26 01:28:37.076, 0, 0 %, 628 MiB, 113.74 W, 2842 MHz, 13365 MHz, 56
2026/09/26 01:28:37.076, 1, 0 %, 4 MiB, 117.37 W, 2842 MHz, 14001 MHz, 53
2026/09/26 01:28:37.326, 0, 0 %, 1268 MiB, 108.17 W, 2812 MHz, 13365 MHz, 55
2026/09/26 01:28:37.327, 1, 0 %, 23 MiB, 118.17 W, 2842 MHz, 14001 MHz, 53
2026/09/26 01:28:37.578, 0, 0 %, 1268 MiB, 108.17 W, 2812 MHz, 13365 MHz, 55
2026/09/26 01:28:37.578, 1, 0 %, 852 MiB, 118.17 W, 2842 MHz, 14001 MHz, 53
2026/09/26 01:28:37.828, 0, 0 %, 1332 MiB, 94.64 W, 2610 MHz, 13365 MHz, 55
2026/09/26 01:28:37.828, 1, 5 %, 1236 MiB, 97.82 W, 2625 MHz, 13365 MHz, 53
2026/09/26 01:28:38.078, 0, 0 %, 1332 MiB, 94.64 W, 2610 MHz, 13365 MHz, 55
2026/09/26 01:28:38.079, 1, 5 %, 1300 MiB, 97.82 W, 2625 MHz, 13365 MHz, 53
2026/09/26 01:28:38.330, 0, 0 %, 3348 MiB, 97.07 W, 2610 MHz, 13365 MHz, 55
2026/09/26 01:28:38.330, 1, 5 %, 1300 MiB, 97.90 W, 2625 MHz, 13365 MHz, 53
2026/09/26 01:28:38.580, 0, 0 %, 6804 MiB, 97.07 W, 2610 MHz, 13365 MHz, 55
2026/09/26 01:28:38.580, 1, 5 %, 3316 MiB, 97.90 W, 2625 MHz, 13365 MHz, 53
2026/09/26 01:28:38.830, 0, 19 %, 6804 MiB, 99.97 W, 2617 MHz, 13365 MHz, 55
2026/09/26 01:28:38.830, 1, 0 %, 3316 MiB, 98.33 W, 2617 MHz, 13365 MHz, 52
2026/09/26 01:28:39.080, 0, 19 %, 6804 MiB, 99.97 W, 2617 MHz, 13365 MHz, 55
2026/09/26 01:28:39.080, 1, 0 %, 3316 MiB, 98.33 W, 2617 MHz, 13365 MHz, 52
2026/09/26 01:28:39.331, 0, 19 %, 6804 MiB, 98.46 W, 2617 MHz, 13365 MHz, 54
2026/09/26 01:28:39.331, 1, 0 %, 3316 MiB, 96.90 W, 2610 MHz, 13365 MHz, 52
2026/09/26 01:28:39.581, 0, 19 %, 6804 MiB, 98.46 W, 2617 MHz, 13365 MHz, 54
2026/09/26 01:28:39.581, 1, 0 %, 3316 MiB, 96.90 W, 2610 MHz, 13365 MHz, 52
2026/09/26 01:28:39.831, 0, 0 %, 6804 MiB, 94.86 W, 2617 MHz, 13365 MHz, 54
2026/09/26 01:28:39.831, 1, 0 %, 3316 MiB, 115.50 W, 2610 MHz, 13365 MHz, 52
2026/09/26 01:28:40.081, 0, 0 %, 6804 MiB, 94.86 W, 2617 MHz, 13365 MHz, 54
2026/09/26 01:28:40.081, 1, 0 %, 3316 MiB, 115.50 W, 2610 MHz, 13365 MHz, 52
2026/09/26 01:28:40.332, 0, 0 %, 6836 MiB, 93.63 W, 2610 MHz, 13365 MHz, 54
2026/09/26 01:28:40.332, 1, 0 %, 3316 MiB, 115.50 W, 2610 MHz, 13365 MHz, 52
2026/09/26 01:28:40.582, 0, 0 %, 6836 MiB, 93.63 W, 2610 MHz, 13365 MHz, 54
2026/09/26 01:28:40.582, 1, 0 %, 3316 MiB, 115.50 W, 2610 MHz, 13365 MHz, 52
2026/09/26 01:28:40.832, 0, 0 %, 6868 MiB, 93.53 W, 2610 MHz, 13365 MHz, 54
2026/09/26 01:28:40.832, 1, 0 %, 3316 MiB, 94.87 W, 2610 MHz, 13365 MHz, 52
2026/09/26 01:28:41.083, 0, 0 %, 6868 MiB, 93.53 W, 2610 MHz, 13365 MHz, 54
2026/09/26 01:28:41.083, 1, 0 %, 3316 MiB, 94.87 W, 2610 MHz, 13365 MHz, 52
2026/09/26 01:28:41.333, 0, 0 %, 10356 MiB, 94.36 W, 2617 MHz, 13365 MHz, 54
2026/09/26 01:28:41.333, 1, 0 %, 3316 MiB, 95.58 W, 2610 MHz, 13365 MHz, 52
2026/09/26 01:28:41.583, 0, 0 %, 10356 MiB, 94.36 W, 2617 MHz, 13365 MHz, 54
2026/09/26 01:28:41.583, 1, 0 %, 3316 MiB, 95.58 W, 2610 MHz, 13365 MHz, 52
2026/09/26 01:28:41.833, 0, 17 %, 10356 MiB, 97.35 W, 2610 MHz, 13365 MHz, 54
2026/09/26 01:28:41.833, 1, 0 %, 3316 MiB, 94.82 W, 2610 MHz, 13365 MHz, 52
2026/09/26 01:28:42.084, 0, 17 %, 10356 MiB, 97.35 W, 2610 MHz, 13365 MHz, 54
2026/09/26 01:28:42.084, 1, 0 %, 3316 MiB, 94.82 W, 2610 MHz, 13365 MHz, 52
2026/09/26 01:28:42.334, 0, 17 %, 10388 MiB, 96.20 W, 2610 MHz, 13365 MHz, 54
2026/09/26 01:28:42.334, 1, 0 %, 3316 MiB, 94.63 W, 2610 MHz, 13365 MHz, 51
2026/09/26 01:28:42.584, 0, 17 %, 10388 MiB, 96.20 W, 2610 MHz, 13365 MHz, 54
2026/09/26 01:28:42.584, 1, 0 %, 3316 MiB, 94.63 W, 2610 MHz, 13365 MHz, 51
2026/09/26 01:28:42.835, 0, 0 %, 10388 MiB, 94.12 W, 2617 MHz, 13365 MHz, 54
2026/09/26 01:28:42.835, 1, 0 %, 3316 MiB, 94.85 W, 2610 MHz, 13365 MHz, 51
2026/09/26 01:28:43.085, 0, 0 %, 10420 MiB, 94.12 W, 2617 MHz, 13365 MHz, 54
2026/09/26 01:28:43.085, 1, 0 %, 3316 MiB, 94.85 W, 2610 MHz, 13365 MHz, 51
2026/09/26 01:28:43.335, 0, 0 %, 10420 MiB, 93.40 W, 2617 MHz, 13365 MHz, 53
2026/09/26 01:28:43.335, 1, 0 %, 3316 MiB, 93.69 W, 2610 MHz, 13365 MHz, 51
2026/09/26 01:28:43.585, 0, 0 %, 10452 MiB, 93.40 W, 2617 MHz, 13365 MHz, 53
2026/09/26 01:28:43.585, 1, 0 %, 3316 MiB, 93.69 W, 2610 MHz, 13365 MHz, 51
2026/09/26 01:28:43.836, 0, 1 %, 10452 MiB, 93.49 W, 2610 MHz, 13365 MHz, 53
2026/09/26 01:28:43.836, 1, 0 %, 3316 MiB, 93.49 W, 2610 MHz, 13365 MHz, 51
2026/09/26 01:28:44.086, 0, 1 %, 13940 MiB, 93.49 W, 2610 MHz, 13365 MHz, 53
2026/09/26 01:28:44.086, 1, 0 %, 3316 MiB, 93.49 W, 2610 MHz, 13365 MHz, 51
2026/09/26 01:28:44.336, 0, 1 %, 13940 MiB, 97.15 W, 2625 MHz, 13365 MHz, 53
2026/09/26 01:28:44.336, 1, 0 %, 3316 MiB, 93.61 W, 2610 MHz, 13365 MHz, 51
2026/09/26 01:28:44.586, 0, 1 %, 13972 MiB, 97.15 W, 2625 MHz, 13365 MHz, 53
2026/09/26 01:28:44.586, 1, 0 %, 3316 MiB, 93.61 W, 2610 MHz, 13365 MHz, 51
2026/09/26 01:28:44.837, 0, 0 %, 13972 MiB, 95.36 W, 2617 MHz, 13365 MHz, 53
2026/09/26 01:28:44.837, 1, 0 %, 3316 MiB, 98.05 W, 2610 MHz, 13365 MHz, 51
2026/09/26 01:28:45.087, 0, 0 %, 13972 MiB, 95.36 W, 2617 MHz, 13365 MHz, 53
2026/09/26 01:28:45.087, 1, 0 %, 3316 MiB, 98.05 W, 2610 MHz, 13365 MHz, 51
2026/09/26 01:28:45.337, 0, 0 %, 14004 MiB, 93.76 W, 2610 MHz, 13365 MHz, 53
2026/09/26 01:28:45.338, 1, 0 %, 3316 MiB, 93.28 W, 2610 MHz, 13365 MHz, 50
2026/09/26 01:28:45.589, 0, 0 %, 14004 MiB, 93.76 W, 2610 MHz, 13365 MHz, 53
2026/09/26 01:28:45.589, 1, 0 %, 3316 MiB, 93.28 W, 2610 MHz, 13365 MHz, 50
2026/09/26 01:28:45.839, 0, 0 %, 14004 MiB, 93.85 W, 2610 MHz, 13365 MHz, 53
2026/09/26 01:28:45.839, 1, 0 %, 3316 MiB, 93.09 W, 2610 MHz, 13365 MHz, 50
2026/09/26 01:28:46.089, 0, 0 %, 14036 MiB, 93.85 W, 2610 MHz, 13365 MHz, 53
2026/09/26 01:28:46.090, 1, 0 %, 3316 MiB, 93.09 W, 2610 MHz, 13365 MHz, 50
2026/09/26 01:28:46.340, 0, 0 %, 14036 MiB, 93.60 W, 2617 MHz, 13365 MHz, 53
2026/09/26 01:28:46.340, 1, 0 %, 3316 MiB, 93.01 W, 2610 MHz, 13365 MHz, 50
2026/09/26 01:28:46.590, 0, 0 %, 14068 MiB, 93.60 W, 2617 MHz, 13365 MHz, 53
2026/09/26 01:28:46.592, 1, 0 %, 3316 MiB, 93.01 W, 2610 MHz, 13365 MHz, 50
2026/09/26 01:28:46.842, 0, 0 %, 14068 MiB, 94.96 W, 2617 MHz, 13365 MHz, 53
2026/09/26 01:28:46.842, 1, 0 %, 3316 MiB, 93.68 W, 2610 MHz, 13365 MHz, 50
2026/09/26 01:28:47.092, 0, 0 %, 17556 MiB, 94.96 W, 2617 MHz, 13365 MHz, 53
2026/09/26 01:28:47.092, 1, 0 %, 3316 MiB, 93.68 W, 2610 MHz, 13365 MHz, 50
2026/09/26 01:28:47.342, 0, 0 %, 17556 MiB, 95.92 W, 2625 MHz, 13365 MHz, 53
2026/09/26 01:28:47.342, 1, 0 %, 3316 MiB, 92.90 W, 2610 MHz, 13365 MHz, 50
2026/09/26 01:28:47.592, 0, 0 %, 17556 MiB, 95.92 W, 2625 MHz, 13365 MHz, 53
2026/09/26 01:28:47.593, 1, 0 %, 3316 MiB, 92.90 W, 2610 MHz, 13365 MHz, 50
2026/09/26 01:28:47.843, 0, 0 %, 17556 MiB, 95.67 W, 2617 MHz, 13365 MHz, 53
2026/09/26 01:28:47.843, 1, 0 %, 3316 MiB, 92.51 W, 2610 MHz, 13365 MHz, 50
2026/09/26 01:28:48.093, 0, 0 %, 17588 MiB, 95.67 W, 2617 MHz, 13365 MHz, 53
2026/09/26 01:28:48.093, 1, 0 %, 3316 MiB, 92.51 W, 2610 MHz, 13365 MHz, 50
2026/09/26 01:28:48.343, 0, 0 %, 17588 MiB, 93.67 W, 2617 MHz, 13365 MHz, 52
2026/09/26 01:28:48.343, 1, 0 %, 3316 MiB, 92.63 W, 2610 MHz, 13365 MHz, 50
2026/09/26 01:28:48.593, 0, 0 %, 17588 MiB, 93.67 W, 2617 MHz, 13365 MHz, 52
2026/09/26 01:28:48.594, 1, 0 %, 3316 MiB, 92.63 W, 2610 MHz, 13365 MHz, 50
2026/09/26 01:28:48.844, 0, 0 %, 17620 MiB, 92.92 W, 2610 MHz, 13365 MHz, 52
2026/09/26 01:28:48.844, 1, 0 %, 3316 MiB, 92.36 W, 2610 MHz, 13365 MHz, 50
2026/09/26 01:28:49.094, 0, 0 %, 17620 MiB, 92.92 W, 2610 MHz, 13365 MHz, 52
2026/09/26 01:28:49.094, 1, 0 %, 3316 MiB, 92.36 W, 2610 MHz, 13365 MHz, 50
2026/09/26 01:28:49.344, 0, 0 %, 17652 MiB, 93.39 W, 2610 MHz, 13365 MHz, 52
2026/09/26 01:28:49.344, 1, 0 %, 3316 MiB, 92.29 W, 2610 MHz, 13365 MHz, 50
2026/09/26 01:28:49.594, 0, 0 %, 17684 MiB, 93.39 W, 2610 MHz, 13365 MHz, 52
2026/09/26 01:28:49.594, 1, 0 %, 3316 MiB, 92.29 W, 2610 MHz, 13365 MHz, 50
2026/09/26 01:28:49.845, 0, 0 %, 21140 MiB, 92.89 W, 2617 MHz, 13365 MHz, 52
2026/09/26 01:28:49.845, 1, 0 %, 3316 MiB, 92.57 W, 2610 MHz, 13365 MHz, 49
2026/09/26 01:28:50.095, 0, 0 %, 21140 MiB, 92.89 W, 2617 MHz, 13365 MHz, 52
2026/09/26 01:28:50.095, 1, 0 %, 3316 MiB, 92.57 W, 2610 MHz, 13365 MHz, 49
2026/09/26 01:28:50.345, 0, 0 %, 21172 MiB, 95.26 W, 2610 MHz, 13365 MHz, 52
2026/09/26 01:28:50.345, 1, 0 %, 3316 MiB, 92.21 W, 2610 MHz, 13365 MHz, 49
2026/09/26 01:28:50.596, 0, 0 %, 21172 MiB, 95.26 W, 2610 MHz, 13365 MHz, 52
2026/09/26 01:28:50.596, 1, 0 %, 3316 MiB, 92.21 W, 2610 MHz, 13365 MHz, 49
2026/09/26 01:28:50.846, 0, 0 %, 21172 MiB, 93.31 W, 2617 MHz, 13365 MHz, 52
2026/09/26 01:28:50.846, 1, 0 %, 3316 MiB, 93.19 W, 2610 MHz, 13365 MHz, 49
2026/09/26 01:28:51.096, 0, 0 %, 21204 MiB, 93.31 W, 2617 MHz, 13365 MHz, 52
2026/09/26 01:28:51.096, 1, 0 %, 3316 MiB, 93.19 W, 2610 MHz, 13365 MHz, 49
2026/09/26 01:28:51.346, 0, 0 %, 21204 MiB, 92.53 W, 2617 MHz, 13365 MHz, 52
2026/09/26 01:28:51.347, 1, 0 %, 3316 MiB, 91.71 W, 2610 MHz, 13365 MHz, 49
2026/09/26 01:28:51.597, 0, 0 %, 21204 MiB, 92.53 W, 2617 MHz, 13365 MHz, 52
2026/09/26 01:28:51.597, 1, 0 %, 3316 MiB, 91.71 W, 2610 MHz, 13365 MHz, 49
2026/09/26 01:28:51.847, 0, 1 %, 21236 MiB, 100.10 W, 2610 MHz, 13365 MHz, 52
2026/09/26 01:28:51.847, 1, 0 %, 3316 MiB, 91.42 W, 2610 MHz, 13365 MHz, 49
2026/09/26 01:28:52.101, 0, 1 %, 21236 MiB, 100.10 W, 2610 MHz, 13365 MHz, 52
2026/09/26 01:28:52.101, 1, 0 %, 3316 MiB, 91.42 W, 2610 MHz, 13365 MHz, 49
2026/09/26 01:28:52.352, 0, 1 %, 21268 MiB, 91.89 W, 2610 MHz, 13365 MHz, 52
2026/09/26 01:28:52.352, 1, 0 %, 3316 MiB, 92.05 W, 2610 MHz, 13365 MHz, 49
2026/09/26 01:28:52.602, 0, 1 %, 21300 MiB, 91.89 W, 2610 MHz, 13365 MHz, 52
2026/09/26 01:28:52.602, 1, 0 %, 3316 MiB, 92.05 W, 2610 MHz, 13365 MHz, 49
2026/09/26 01:28:52.852, 0, 0 %, 24756 MiB, 92.02 W, 2617 MHz, 13365 MHz, 51
2026/09/26 01:28:52.852, 1, 0 %, 3316 MiB, 91.60 W, 2610 MHz, 13365 MHz, 49
2026/09/26 01:28:53.102, 0, 0 %, 24788 MiB, 92.02 W, 2617 MHz, 13365 MHz, 51
2026/09/26 01:28:53.102, 1, 0 %, 3316 MiB, 91.60 W, 2610 MHz, 13365 MHz, 49
2026/09/26 01:28:53.353, 0, 0 %, 24788 MiB, 94.40 W, 2617 MHz, 13365 MHz, 51
2026/09/26 01:28:53.353, 1, 0 %, 3316 MiB, 91.70 W, 2610 MHz, 13365 MHz, 49
2026/09/26 01:28:53.603, 0, 0 %, 24788 MiB, 94.40 W, 2617 MHz, 13365 MHz, 51
2026/09/26 01:28:53.603, 1, 0 %, 3316 MiB, 91.70 W, 2610 MHz, 13365 MHz, 49
2026/09/26 01:28:53.853, 0, 0 %, 24820 MiB, 92.13 W, 2610 MHz, 13365 MHz, 51
2026/09/26 01:28:53.853, 1, 0 %, 3316 MiB, 91.96 W, 2610 MHz, 13365 MHz, 49
2026/09/26 01:28:54.103, 0, 0 %, 24820 MiB, 92.13 W, 2610 MHz, 13365 MHz, 51
2026/09/26 01:28:54.103, 1, 0 %, 3316 MiB, 91.96 W, 2610 MHz, 13365 MHz, 49
2026/09/26 01:28:54.354, 0, 0 %, 24820 MiB, 91.94 W, 2610 MHz, 13365 MHz, 51
2026/09/26 01:28:54.354, 1, 0 %, 3316 MiB, 91.70 W, 2610 MHz, 13365 MHz, 49
2026/09/26 01:28:54.604, 0, 0 %, 24852 MiB, 91.94 W, 2610 MHz, 13365 MHz, 51
2026/09/26 01:28:54.604, 1, 0 %, 3316 MiB, 91.70 W, 2610 MHz, 13365 MHz, 49
