timestamp, index, utilization.gpu [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/09/26 01:33:01.763, 0, 0 %, 2 MiB, 121.69 W, 2842 MHz, 14001 MHz, 55
2026/09/26 01:33:01.768, 1, 0 %, 2 MiB, 114.57 W, 2835 MHz, 14001 MHz, 53
2026/09/26 01:33:02.025, 0, 0 %, 28 MiB, 121.69 W, 2842 MHz, 14001 MHz, 55
2026/09/26 01:33:02.025, 1, 0 %, 4 MiB, 114.57 W, 2835 MHz, 14001 MHz, 53
2026/09/26 01:33:02.275, 0, 0 %, 596 MiB, 121.69 W, 2842 MHz, 14001 MHz, 55
2026/09/26 01:33:02.275, 1, 0 %, 4 MiB, 114.57 W, 2835 MHz, 14001 MHz, 53
2026/09/26 01:33:02.525, 0, 0 %, 596 MiB, 116.54 W, 2842 MHz, 14001 MHz, 55
2026/09/26 01:33:02.525, 1, 0 %, 4 MiB, 114.99 W, 2835 MHz, 14001 MHz, 52
2026/09/26 01:33:02.776, 0, 0 %, 596 MiB, 116.54 W, 2842 MHz, 14001 MHz, 55
2026/09/26 01:33:02.776, 1, 0 %, 4 MiB, 114.99 W, 2835 MHz, 14001 MHz, 52
2026/09/26 01:33:03.026, 0, 0 %, 596 MiB, 111.93 W, 2677 MHz, 13365 MHz, 54
2026/09/26 01:33:03.026, 1, 0 %, 4 MiB, 113.47 W, 2835 MHz, 14001 MHz, 52
2026/09/26 01:33:03.276, 0, 0 %, 628 MiB, 111.93 W, 2677 MHz, 13365 MHz, 54
2026/09/26 01:33:03.276, 1, 0 %, 4 MiB, 113.47 W, 2835 MHz, 14001 MHz, 52
2026/09/26 01:33:03.526, 0, 0 %, 1268 MiB, 93.74 W, 2610 MHz, 13365 MHz, 54
2026/09/26 01:33:03.537, 1, 0 %, 23 MiB, 108.71 W, 2835 MHz, 14001 MHz, 51
2026/09/26 01:33:03.787, 0, 0 %, 1268 MiB, 93.74 W, 2610 MHz, 13365 MHz, 54
2026/09/26 01:33:03.787, 1, 0 %, 852 MiB, 108.71 W, 2835 MHz, 14001 MHz, 51
2026/09/26 01:33:04.037, 0, 0 %, 1268 MiB, 93.72 W, 2610 MHz, 13365 MHz, 54
2026/09/26 01:33:04.037, 1, 0 %, 1236 MiB, 98.87 W, 2625 MHz, 13365 MHz, 51
2026/09/26 01:33:04.287, 0, 0 %, 1332 MiB, 93.72 W, 2610 MHz, 13365 MHz, 54
2026/09/26 01:33:04.287, 1, 0 %, 1300 MiB, 98.87 W, 2625 MHz, 13365 MHz, 51
2026/09/26 01:33:04.538, 0, 0 %, 3348 MiB, 94.16 W, 2617 MHz, 13365 MHz, 54
2026/09/26 01:33:04.538, 1, 0 %, 1300 MiB, 108.93 W, 2617 MHz, 13365 MHz, 52
2026/09/26 01:33:04.788, 0, 0 %, 5076 MiB, 94.16 W, 2617 MHz, 13365 MHz, 54
2026/09/26 01:33:04.788, 1, 0 %, 3316 MiB, 108.93 W, 2617 MHz, 13365 MHz, 52
2026/09/26 01:33:05.038, 0, 4 %, 5076 MiB, 98.51 W, 2617 MHz, 13365 MHz, 54
2026/09/26 01:33:05.039, 1, 0 %, 3316 MiB, 97.18 W, 2617 MHz, 13365 MHz, 51
2026/09/26 01:33:05.289, 0, 4 %, 5076 MiB, 98.51 W, 2617 MHz, 13365 MHz, 54
2026/09/26 01:33:05.289, 1, 0 %, 3316 MiB, 97.18 W, 2617 MHz, 13365 MHz, 51
2026/09/26 01:33:05.539, 0, 4 %, 5076 MiB, 96.17 W, 2610 MHz, 13365 MHz, 53
2026/09/26 01:33:05.539, 1, 0 %, 3316 MiB, 94.87 W, 2610 MHz, 13365 MHz, 51
2026/09/26 01:33:05.789, 0, 4 %, 5076 MiB, 96.17 W, 2610 MHz, 13365 MHz, 53
2026/09/26 01:33:05.790, 1, 0 %, 3316 MiB, 94.87 W, 2610 MHz, 13365 MHz, 51
2026/09/26 01:33:06.040, 0, 0 %, 5076 MiB, 93.77 W, 2617 MHz, 13365 MHz, 53
2026/09/26 01:33:06.040, 1, 0 %, 3316 MiB, 94.37 W, 2610 MHz, 13365 MHz, 51
2026/09/26 01:33:06.290, 0, 0 %, 5108 MiB, 93.77 W, 2617 MHz, 13365 MHz, 53
2026/09/26 01:33:06.290, 1, 0 %, 3316 MiB, 94.37 W, 2610 MHz, 13365 MHz, 51
2026/09/26 01:33:06.541, 0, 0 %, 5108 MiB, 93.16 W, 2617 MHz, 13365 MHz, 53
2026/09/26 01:33:06.541, 1, 0 %, 3316 MiB, 92.57 W, 2610 MHz, 13365 MHz, 51
2026/09/26 01:33:06.791, 0, 0 %, 5108 MiB, 93.16 W, 2617 MHz, 13365 MHz, 53
2026/09/26 01:33:06.791, 1, 0 %, 3316 MiB, 92.57 W, 2610 MHz, 13365 MHz, 51
2026/09/26 01:33:07.041, 0, 0 %, 5140 MiB, 93.74 W, 2610 MHz, 13365 MHz, 53
2026/09/26 01:33:07.041, 1, 0 %, 3316 MiB, 92.94 W, 2610 MHz, 13365 MHz, 51
2026/09/26 01:33:07.291, 0, 0 %, 5140 MiB, 93.74 W, 2610 MHz, 13365 MHz, 53
2026/09/26 01:33:07.291, 1, 0 %, 3316 MiB, 92.94 W, 2610 MHz, 13365 MHz, 51
2026/09/26 01:33:07.541, 0, 0 %, 5172 MiB, 94.09 W, 2617 MHz, 13365 MHz, 53
2026/09/26 01:33:07.542, 1, 0 %, 5044 MiB, 97.78 W, 2610 MHz, 13365 MHz, 51
2026/09/26 01:33:07.792, 0, 0 %, 5172 MiB, 94.09 W, 2617 MHz, 13365 MHz, 53
2026/09/26 01:33:07.792, 1, 0 %, 5044 MiB, 97.78 W, 2610 MHz, 13365 MHz, 51
2026/09/26 01:33:08.042, 0, 0 %, 5172 MiB, 93.20 W, 2610 MHz, 13365 MHz, 53
2026/09/26 01:33:08.042, 1, 0 %, 5044 MiB, 95.22 W, 2617 MHz, 13365 MHz, 51
2026/09/26 01:33:08.292, 0, 0 %, 5172 MiB, 93.20 W, 2610 MHz, 13365 MHz, 53
2026/09/26 01:33:08.292, 1, 0 %, 5044 MiB, 95.22 W, 2617 MHz, 13365 MHz, 51
