timestamp, index, utilization.gpu [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/09/25 23:13:05.345, 0, 0 %, 2 MiB, 114.09 W, 2820 MHz, 14001 MHz, 55
2026/09/25 23:13:05.349, 1, 0 %, 2 MiB, 119.06 W, 2790 MHz, 14001 MHz, 53
2026/09/25 23:13:05.602, 0, 0 %, 42 MiB, 114.09 W, 2820 MHz, 14001 MHz, 55
2026/09/25 23:13:05.603, 1, 0 %, 4 MiB, 119.06 W, 2790 MHz, 14001 MHz, 53
2026/09/25 23:13:05.853, 0, 0 %, 596 MiB, 114.09 W, 2820 MHz, 14001 MHz, 55
2026/09/25 23:13:05.853, 1, 0 %, 4 MiB, 119.06 W, 2790 MHz, 14001 MHz, 53
2026/09/25 23:13:06.103, 0, 0 %, 596 MiB, 114.78 W, 2820 MHz, 14001 MHz, 55
2026/09/25 23:13:06.103, 1, 0 %, 4 MiB, 118.99 W, 2790 MHz, 14001 MHz, 53
2026/09/25 23:13:06.353, 0, 0 %, 596 MiB, 114.78 W, 2820 MHz, 14001 MHz, 55
2026/09/25 23:13:06.353, 1, 0 %, 4 MiB, 118.99 W, 2790 MHz, 14001 MHz, 53
2026/09/25 23:13:06.603, 0, 0 %, 596 MiB, 112.99 W, 2842 MHz, 13365 MHz, 55
2026/09/25 23:13:06.603, 1, 0 %, 4 MiB, 118.59 W, 2857 MHz, 14001 MHz, 53
2026/09/25 23:13:06.854, 0, 0 %, 628 MiB, 112.99 W, 2842 MHz, 13365 MHz, 55
2026/09/25 23:13:06.854, 1, 0 %, 4 MiB, 118.59 W, 2857 MHz, 14001 MHz, 53
2026/09/25 23:13:07.104, 0, 0 %, 1268 MiB, 100.43 W, 2677 MHz, 13365 MHz, 55
2026/09/25 23:13:07.105, 1, 0 %, 23 MiB, 118.24 W, 2857 MHz, 14001 MHz, 53
2026/09/25 23:13:07.355, 0, 0 %, 1268 MiB, 100.43 W, 2677 MHz, 13365 MHz, 55
2026/09/25 23:13:07.355, 1, 0 %, 852 MiB, 118.24 W, 2857 MHz, 14001 MHz, 53
2026/09/25 23:13:07.606, 0, 0 %, 1332 MiB, 97.02 W, 2610 MHz, 13365 MHz, 54
2026/09/25 23:13:07.606, 1, 0 %, 1236 MiB, 90.23 W, 2617 MHz, 13365 MHz, 52
2026/09/25 23:13:07.856, 0, 0 %, 1332 MiB, 97.02 W, 2610 MHz, 13365 MHz, 54
2026/09/25 23:13:07.856, 1, 0 %, 1300 MiB, 90.23 W, 2617 MHz, 13365 MHz, 52
2026/09/25 23:13:08.106, 0, 0 %, 3348 MiB, 94.86 W, 2617 MHz, 13365 MHz, 54
2026/09/25 23:13:08.106, 1, 0 %, 1300 MiB, 97.28 W, 2617 MHz, 13365 MHz, 52
2026/09/25 23:13:08.356, 0, 0 %, 5076 MiB, 94.86 W, 2617 MHz, 13365 MHz, 54
2026/09/25 23:13:08.356, 1, 0 %, 3316 MiB, 97.28 W, 2617 MHz, 13365 MHz, 52
2026/09/25 23:13:08.607, 0, 19 %, 5076 MiB, 98.48 W, 2617 MHz, 13365 MHz, 54
2026/09/25 23:13:08.607, 1, 0 %, 3316 MiB, 97.61 W, 2617 MHz, 13365 MHz, 52
2026/09/25 23:13:08.857, 0, 19 %, 5076 MiB, 98.48 W, 2617 MHz, 13365 MHz, 54
2026/09/25 23:13:08.857, 1, 0 %, 3316 MiB, 97.61 W, 2617 MHz, 13365 MHz, 52
2026/09/25 23:13:09.107, 0, 19 %, 5076 MiB, 97.00 W, 2610 MHz, 13365 MHz, 54
2026/09/25 23:13:09.107, 1, 0 %, 3316 MiB, 96.92 W, 2610 MHz, 13365 MHz, 52
2026/09/25 23:13:09.357, 0, 19 %, 5076 MiB, 97.00 W, 2610 MHz, 13365 MHz, 54
2026/09/25 23:13:09.357, 1, 0 %, 3316 MiB, 96.92 W, 2610 MHz, 13365 MHz, 52
2026/09/25 23:13:09.608, 0, 0 %, 5076 MiB, 93.50 W, 2617 MHz, 13365 MHz, 54
2026/09/25 23:13:09.608, 1, 0 %, 3316 MiB, 96.54 W, 2610 MHz, 13365 MHz, 52
2026/09/25 23:13:09.858, 0, 0 %, 5108 MiB, 93.50 W, 2617 MHz, 13365 MHz, 54
2026/09/25 23:13:09.858, 1, 0 %, 3316 MiB, 96.54 W, 2610 MHz, 13365 MHz, 52
2026/09/25 23:13:10.108, 0, 0 %, 5108 MiB, 93.23 W, 2617 MHz, 13365 MHz, 54
2026/09/25 23:13:10.108, 1, 0 %, 3316 MiB, 95.42 W, 2610 MHz, 13365 MHz, 52
2026/09/25 23:13:10.358, 0, 0 %, 5108 MiB, 93.23 W, 2617 MHz, 13365 MHz, 54
2026/09/25 23:13:10.358, 1, 0 %, 3316 MiB, 95.42 W, 2610 MHz, 13365 MHz, 52
2026/09/25 23:13:10.608, 0, 0 %, 5140 MiB, 94.35 W, 2610 MHz, 13365 MHz, 54
2026/09/25 23:13:10.609, 1, 0 %, 3316 MiB, 96.51 W, 2610 MHz, 13365 MHz, 52
2026/09/25 23:13:10.859, 0, 0 %, 5140 MiB, 94.35 W, 2610 MHz, 13365 MHz, 54
2026/09/25 23:13:10.859, 1, 0 %, 3316 MiB, 96.51 W, 2610 MHz, 13365 MHz, 52
2026/09/25 23:13:11.109, 0, 0 %, 5172 MiB, 93.55 W, 2617 MHz, 13365 MHz, 53
2026/09/25 23:13:11.109, 1, 0 %, 5044 MiB, 95.89 W, 2617 MHz, 13365 MHz, 51
2026/09/25 23:13:11.359, 0, 0 %, 5172 MiB, 93.55 W, 2617 MHz, 13365 MHz, 53
2026/09/25 23:13:11.359, 1, 0 %, 5044 MiB, 95.89 W, 2617 MHz, 13365 MHz, 51
2026/09/25 23:13:11.609, 0, 0 %, 5172 MiB, 93.03 W, 2610 MHz, 13365 MHz, 53
