timestamp, index, utilization.gpu [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/09/25 23:25:57.302, 0, 0 %, 2 MiB, 120.58 W, 2827 MHz, 14001 MHz, 58
2026/09/25 23:25:57.307, 1, 0 %, 2 MiB, 119.25 W, 2782 MHz, 14001 MHz, 55
2026/09/25 23:25:57.561, 0, 0 %, 23 MiB, 120.58 W, 2827 MHz, 14001 MHz, 58
2026/09/25 23:25:57.562, 1, 0 %, 4 MiB, 119.25 W, 2782 MHz, 14001 MHz, 55
2026/09/25 23:25:57.813, 0, 0 %, 596 MiB, 120.58 W, 2827 MHz, 14001 MHz, 58
2026/09/25 23:25:57.813, 1, 0 %, 4 MiB, 119.25 W, 2782 MHz, 14001 MHz, 55
2026/09/25 23:25:58.063, 0, 0 %, 596 MiB, 115.23 W, 2827 MHz, 14001 MHz, 58
2026/09/25 23:25:58.063, 1, 0 %, 4 MiB, 119.92 W, 2782 MHz, 14001 MHz, 55
2026/09/25 23:25:58.313, 0, 0 %, 596 MiB, 115.23 W, 2827 MHz, 14001 MHz, 58
2026/09/25 23:25:58.314, 1, 0 %, 4 MiB, 119.92 W, 2782 MHz, 14001 MHz, 55
2026/09/25 23:25:58.564, 0, 0 %, 596 MiB, 114.51 W, 2842 MHz, 13365 MHz, 57
2026/09/25 23:25:58.564, 1, 0 %, 4 MiB, 116.46 W, 2842 MHz, 14001 MHz, 55
2026/09/25 23:25:58.814, 0, 0 %, 596 MiB, 114.51 W, 2842 MHz, 13365 MHz, 57
2026/09/25 23:25:58.815, 1, 0 %, 4 MiB, 116.46 W, 2842 MHz, 14001 MHz, 55
2026/09/25 23:25:59.065, 0, 0 %, 884 MiB, 110.95 W, 2677 MHz, 13365 MHz, 57
2026/09/25 23:25:59.066, 1, 0 %, 4 MiB, 116.21 W, 2842 MHz, 14001 MHz, 55
2026/09/25 23:25:59.316, 0, 0 %, 1268 MiB, 110.95 W, 2677 MHz, 13365 MHz, 57
2026/09/25 23:25:59.316, 1, 0 %, 852 MiB, 116.21 W, 2842 MHz, 14001 MHz, 55
2026/09/25 23:25:59.566, 0, 0 %, 1268 MiB, 96.39 W, 2610 MHz, 13365 MHz, 57
2026/09/25 23:25:59.566, 1, 5 %, 1236 MiB, 100.57 W, 1035 MHz, 13365 MHz, 54
2026/09/25 23:25:59.817, 0, 0 %, 1332 MiB, 96.39 W, 2610 MHz, 13365 MHz, 57
2026/09/25 23:25:59.817, 1, 5 %, 1300 MiB, 100.57 W, 1035 MHz, 13365 MHz, 54
2026/09/25 23:26:00.067, 0, 0 %, 3348 MiB, 96.04 W, 2617 MHz, 13365 MHz, 57
2026/09/25 23:26:00.067, 1, 5 %, 1300 MiB, 97.71 W, 2617 MHz, 13365 MHz, 54
2026/09/25 23:26:00.317, 0, 0 %, 5076 MiB, 96.04 W, 2617 MHz, 13365 MHz, 57
2026/09/25 23:26:00.318, 1, 5 %, 3316 MiB, 97.71 W, 2617 MHz, 13365 MHz, 54
2026/09/25 23:26:00.568, 0, 19 %, 5076 MiB, 100.68 W, 2617 MHz, 13365 MHz, 56
2026/09/25 23:26:00.568, 1, 0 %, 3316 MiB, 97.79 W, 2610 MHz, 13365 MHz, 54
2026/09/25 23:26:00.818, 0, 19 %, 5076 MiB, 100.68 W, 2617 MHz, 13365 MHz, 56
2026/09/25 23:26:00.818, 1, 0 %, 3316 MiB, 97.79 W, 2610 MHz, 13365 MHz, 54
2026/09/25 23:26:01.069, 0, 19 %, 5076 MiB, 96.54 W, 2610 MHz, 13365 MHz, 56
2026/09/25 23:26:01.069, 1, 0 %, 3316 MiB, 95.60 W, 2610 MHz, 13365 MHz, 54
2026/09/25 23:26:01.319, 0, 19 %, 5076 MiB, 96.54 W, 2610 MHz, 13365 MHz, 56
2026/09/25 23:26:01.319, 1, 0 %, 3316 MiB, 95.60 W, 2610 MHz, 13365 MHz, 54
2026/09/25 23:26:01.569, 0, 0 %, 5076 MiB, 95.86 W, 2617 MHz, 13365 MHz, 56
2026/09/25 23:26:01.569, 1, 0 %, 3316 MiB, 95.32 W, 2610 MHz, 13365 MHz, 53
2026/09/25 23:26:01.819, 0, 0 %, 5108 MiB, 95.86 W, 2617 MHz, 13365 MHz, 56
2026/09/25 23:26:01.819, 1, 0 %, 3316 MiB, 95.32 W, 2610 MHz, 13365 MHz, 53
2026/09/25 23:26:02.070, 0, 0 %, 5108 MiB, 96.25 W, 2617 MHz, 13365 MHz, 56
2026/09/25 23:26:02.070, 1, 0 %, 3316 MiB, 96.36 W, 2610 MHz, 13365 MHz, 53
2026/09/25 23:26:02.320, 0, 0 %, 5108 MiB, 96.25 W, 2617 MHz, 13365 MHz, 56
2026/09/25 23:26:02.320, 1, 0 %, 3316 MiB, 96.36 W, 2610 MHz, 13365 MHz, 53
2026/09/25 23:26:02.570, 0, 1 %, 5140 MiB, 95.04 W, 2610 MHz, 13365 MHz, 56
2026/09/25 23:26:02.570, 1, 0 %, 3316 MiB, 95.63 W, 2610 MHz, 13365 MHz, 53
2026/09/25 23:26:02.820, 0, 1 %, 5140 MiB, 95.04 W, 2610 MHz, 13365 MHz, 56
2026/09/25 23:26:02.821, 1, 0 %, 3316 MiB, 95.63 W, 2610 MHz, 13365 MHz, 53
2026/09/25 23:26:03.071, 0, 1 %, 5172 MiB, 94.81 W, 2617 MHz, 13365 MHz, 56
2026/09/25 23:26:03.071, 1, 0 %, 5044 MiB, 95.83 W, 2610 MHz, 13365 MHz, 53
2026/09/25 23:26:03.322, 0, 1 %, 5172 MiB, 94.81 W, 2617 MHz, 13365 MHz, 56
2026/09/25 23:26:03.322, 1, 0 %, 5044 MiB, 95.83 W, 2610 MHz, 13365 MHz, 53
2026/09/25 23:26:03.572, 0, 0 %, 5172 MiB, 94.42 W, 2610 MHz, 13365 MHz, 55
2026/09/25 23:26:03.572, 1, 0 %, 5044 MiB, 95.90 W, 2617 MHz, 13365 MHz, 53
2026/09/25 23:26:03.822, 0, 0 %, 5172 MiB, 94.42 W, 2610 MHz, 13365 MHz, 55
2026/09/25 23:26:03.822, 1, 0 %, 5044 MiB, 95.90 W, 2617 MHz, 13365 MHz, 53
2026/09/25 23:26:04.072, 0, 0 %, 5172 MiB, 94.19 W, 2610 MHz, 13365 MHz, 55
2026/09/25 23:26:04.073, 1, 0 %, 5044 MiB, 95.16 W, 2610 MHz, 13365 MHz, 53
2026/09/25 23:26:04.323, 0, 0 %, 5172 MiB, 94.19 W, 2610 MHz, 13365 MHz, 55
2026/09/25 23:26:04.323, 1, 0 %, 5044 MiB, 95.16 W, 2610 MHz, 13365 MHz, 53
2026/09/25 23:26:04.573, 0, 0 %, 5172 MiB, 94.39 W, 2610 MHz, 13365 MHz, 55
2026/09/25 23:26:04.574, 1, 1 %, 5076 MiB, 94.97 W, 2610 MHz, 13365 MHz, 53
2026/09/25 23:26:04.824, 0, 0 %, 5172 MiB, 94.39 W, 2610 MHz, 13365 MHz, 55
2026/09/25 23:26:04.824, 1, 1 %, 5076 MiB, 94.97 W, 2610 MHz, 13365 MHz, 53
2026/09/25 23:26:05.074, 0, 0 %, 5172 MiB, 93.84 W, 2610 MHz, 13365 MHz, 55
2026/09/25 23:26:05.074, 1, 1 %, 5108 MiB, 94.99 W, 2610 MHz, 13365 MHz, 53
2026/09/25 23:26:05.324, 0, 0 %, 5172 MiB, 93.84 W, 2610 MHz, 13365 MHz, 55
2026/09/25 23:26:05.324, 1, 1 %, 5108 MiB, 94.99 W, 2610 MHz, 13365 MHz, 53
2026/09/25 23:26:05.575, 0, 0 %, 6900 MiB, 93.72 W, 2610 MHz, 13365 MHz, 55
2026/09/25 23:26:05.575, 1, 0 %, 5140 MiB, 94.89 W, 2617 MHz, 13365 MHz, 53
2026/09/25 23:26:05.825, 0, 0 %, 6900 MiB, 93.72 W, 2610 MHz, 13365 MHz, 55
2026/09/25 23:26:05.825, 1, 0 %, 5140 MiB, 94.89 W, 2617 MHz, 13365 MHz, 53
2026/09/25 23:26:06.075, 0, 0 %, 6900 MiB, 93.68 W, 2617 MHz, 13365 MHz, 55
2026/09/25 23:26:06.075, 1, 0 %, 5140 MiB, 94.79 W, 2617 MHz, 13365 MHz, 52
2026/09/25 23:26:06.325, 0, 0 %, 6932 MiB, 93.68 W, 2617 MHz, 13365 MHz, 55
2026/09/25 23:26:06.326, 1, 0 %, 5140 MiB, 94.79 W, 2617 MHz, 13365 MHz, 52
2026/09/25 23:26:06.576, 0, 0 %, 6932 MiB, 93.62 W, 2617 MHz, 13365 MHz, 54
2026/09/25 23:26:06.576, 1, 0 %, 5140 MiB, 94.28 W, 2610 MHz, 13365 MHz, 52
2026/09/25 23:26:06.826, 0, 0 %, 6932 MiB, 93.62 W, 2617 MHz, 13365 MHz, 54
2026/09/25 23:26:06.826, 1, 0 %, 5140 MiB, 94.28 W, 2610 MHz, 13365 MHz, 52
2026/09/25 23:26:07.076, 0, 0 %, 6964 MiB, 94.68 W, 2610 MHz, 13365 MHz, 54
2026/09/25 23:26:07.076, 1, 0 %, 5140 MiB, 98.80 W, 2610 MHz, 13365 MHz, 52
2026/09/25 23:26:07.326, 0, 0 %, 6964 MiB, 94.68 W, 2610 MHz, 13365 MHz, 54
2026/09/25 23:26:07.326, 1, 0 %, 5140 MiB, 98.80 W, 2610 MHz, 13365 MHz, 52
2026/09/25 23:26:07.577, 0, 0 %, 6996 MiB, 93.84 W, 2610 MHz, 13365 MHz, 54
2026/09/25 23:26:07.577, 1, 0 %, 5140 MiB, 94.48 W, 2610 MHz, 13365 MHz, 52
2026/09/25 23:26:07.827, 0, 0 %, 6996 MiB, 93.84 W, 2610 MHz, 13365 MHz, 54
2026/09/25 23:26:07.827, 1, 0 %, 5140 MiB, 94.48 W, 2610 MHz, 13365 MHz, 52
2026/09/25 23:26:08.077, 0, 0 %, 7028 MiB, 93.81 W, 2617 MHz, 13365 MHz, 54
2026/09/25 23:26:08.078, 1, 0 %, 6868 MiB, 94.14 W, 2610 MHz, 13365 MHz, 52
2026/09/25 23:26:08.329, 0, 0 %, 7028 MiB, 93.81 W, 2617 MHz, 13365 MHz, 54
2026/09/25 23:26:08.329, 1, 0 %, 6868 MiB, 94.14 W, 2610 MHz, 13365 MHz, 52
2026/09/25 23:26:08.579, 0, 0 %, 7028 MiB, 93.94 W, 2610 MHz, 13365 MHz, 54
2026/09/25 23:26:08.579, 1, 0 %, 6868 MiB, 94.22 W, 2617 MHz, 13365 MHz, 52
2026/09/25 23:26:08.829, 0, 0 %, 7028 MiB, 93.94 W, 2610 MHz, 13365 MHz, 54
2026/09/25 23:26:08.829, 1, 0 %, 6900 MiB, 94.22 W, 2617 MHz, 13365 MHz, 52
2026/09/25 23:26:09.079, 0, 0 %, 7028 MiB, 93.58 W, 2610 MHz, 13365 MHz, 54
2026/09/25 23:26:09.079, 1, 0 %, 6900 MiB, 93.92 W, 2610 MHz, 13365 MHz, 52
2026/09/25 23:26:09.330, 0, 0 %, 7028 MiB, 93.58 W, 2610 MHz, 13365 MHz, 54
2026/09/25 23:26:09.330, 1, 0 %, 6900 MiB, 93.92 W, 2610 MHz, 13365 MHz, 52
2026/09/25 23:26:09.581, 0, 0 %, 7028 MiB, 95.17 W, 2610 MHz, 13365 MHz, 54
2026/09/25 23:26:09.581, 1, 0 %, 6932 MiB, 95.17 W, 2610 MHz, 13365 MHz, 52
2026/09/25 23:26:09.831, 0, 0 %, 7028 MiB, 95.17 W, 2610 MHz, 13365 MHz, 54
2026/09/25 23:26:09.831, 1, 0 %, 6932 MiB, 95.17 W, 2610 MHz, 13365 MHz, 52
2026/09/25 23:26:10.081, 0, 0 %, 7028 MiB, 93.50 W, 2610 MHz, 13365 MHz, 54
2026/09/25 23:26:10.082, 1, 0 %, 6964 MiB, 94.18 W, 2617 MHz, 13365 MHz, 52
2026/09/25 23:26:10.332, 0, 0 %, 7028 MiB, 93.50 W, 2610 MHz, 13365 MHz, 54
2026/09/25 23:26:10.332, 1, 0 %, 6964 MiB, 94.18 W, 2617 MHz, 13365 MHz, 52
2026/09/25 23:26:10.582, 0, 0 %, 8756 MiB, 93.34 W, 2610 MHz, 13365 MHz, 54
2026/09/25 23:26:10.582, 1, 0 %, 6996 MiB, 94.00 W, 2617 MHz, 13365 MHz, 51
2026/09/25 23:26:10.832, 0, 0 %, 8756 MiB, 93.34 W, 2610 MHz, 13365 MHz, 54
2026/09/25 23:26:10.832, 1, 0 %, 6996 MiB, 94.00 W, 2617 MHz, 13365 MHz, 51
2026/09/25 23:26:11.082, 0, 0 %, 8788 MiB, 95.88 W, 2617 MHz, 13365 MHz, 54
2026/09/25 23:26:11.083, 1, 0 %, 6996 MiB, 93.71 W, 2617 MHz, 13365 MHz, 51
2026/09/25 23:26:11.333, 0, 0 %, 8788 MiB, 95.88 W, 2617 MHz, 13365 MHz, 54
2026/09/25 23:26:11.333, 1, 0 %, 6996 MiB, 93.71 W, 2617 MHz, 13365 MHz, 51
2026/09/25 23:26:11.583, 0, 0 %, 8820 MiB, 94.12 W, 2610 MHz, 13365 MHz, 54
2026/09/25 23:26:11.583, 1, 0 %, 6996 MiB, 93.46 W, 2610 MHz, 13365 MHz, 51
2026/09/25 23:26:11.833, 0, 0 %, 8820 MiB, 94.12 W, 2610 MHz, 13365 MHz, 54
2026/09/25 23:26:11.833, 1, 0 %, 6996 MiB, 93.46 W, 2610 MHz, 13365 MHz, 51
2026/09/25 23:26:12.083, 0, 0 %, 8820 MiB, 94.57 W, 2610 MHz, 13365 MHz, 53
2026/09/25 23:26:12.084, 1, 0 %, 6996 MiB, 94.78 W, 2610 MHz, 13365 MHz, 51
2026/09/25 23:26:12.334, 0, 0 %, 8852 MiB, 94.57 W, 2610 MHz, 13365 MHz, 53
2026/09/25 23:26:12.334, 1, 0 %, 6996 MiB, 94.78 W, 2610 MHz, 13365 MHz, 51
2026/09/25 23:26:12.584, 0, 0 %, 8852 MiB, 93.17 W, 2617 MHz, 13365 MHz, 53
2026/09/25 23:26:12.584, 1, 0 %, 6996 MiB, 93.67 W, 2610 MHz, 13365 MHz, 51
2026/09/25 23:26:12.834, 0, 0 %, 8884 MiB, 93.17 W, 2617 MHz, 13365 MHz, 53
2026/09/25 23:26:12.834, 1, 0 %, 6996 MiB, 93.67 W, 2610 MHz, 13365 MHz, 51
2026/09/25 23:26:13.084, 0, 0 %, 8884 MiB, 93.11 W, 2617 MHz, 13365 MHz, 53
2026/09/25 23:26:13.085, 1, 0 %, 6996 MiB, 93.54 W, 2610 MHz, 13365 MHz, 51
2026/09/25 23:26:13.335, 0, 0 %, 8916 MiB, 93.11 W, 2617 MHz, 13365 MHz, 53
2026/09/25 23:26:13.335, 1, 0 %, 8724 MiB, 93.54 W, 2610 MHz, 13365 MHz, 51
2026/09/25 23:26:13.585, 0, 0 %, 8916 MiB, 94.33 W, 2617 MHz, 13365 MHz, 53
2026/09/25 23:26:13.585, 1, 20 %, 8724 MiB, 99.99 W, 2610 MHz, 13365 MHz, 51
2026/09/25 23:26:13.835, 0, 0 %, 8916 MiB, 94.33 W, 2617 MHz, 13365 MHz, 53
2026/09/25 23:26:13.835, 1, 20 %, 8756 MiB, 99.99 W, 2610 MHz, 13365 MHz, 51
2026/09/25 23:26:14.085, 0, 0 %, 8916 MiB, 92.71 W, 2610 MHz, 13365 MHz, 53
2026/09/25 23:26:14.085, 1, 20 %, 8756 MiB, 94.96 W, 2617 MHz, 13365 MHz, 50
2026/09/25 23:26:14.336, 0, 0 %, 8916 MiB, 92.71 W, 2610 MHz, 13365 MHz, 53
2026/09/25 23:26:14.336, 1, 20 %, 8788 MiB, 94.96 W, 2617 MHz, 13365 MHz, 50
2026/09/25 23:26:14.586, 0, 0 %, 8916 MiB, 92.83 W, 2610 MHz, 13365 MHz, 53
2026/09/25 23:26:14.586, 1, 0 %, 8788 MiB, 94.16 W, 2610 MHz, 13365 MHz, 50
