timestamp, index, utilization.gpu [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/09/24 22:37:49.649, 0, 0 %, 2 MiB, 112.67 W, 2842 MHz, 14001 MHz, 55
2026/09/24 22:37:49.653, 1, 0 %, 2 MiB, 117.89 W, 2857 MHz, 14001 MHz, 53
2026/09/24 22:37:49.907, 0, 0 %, 42 MiB, 112.67 W, 2842 MHz, 14001 MHz, 55
2026/09/24 22:37:49.907, 1, 0 %, 4 MiB, 117.89 W, 2857 MHz, 14001 MHz, 53
2026/09/24 22:37:50.157, 0, 0 %, 596 MiB, 112.67 W, 2842 MHz, 14001 MHz, 55
2026/09/24 22:37:50.158, 1, 0 %, 4 MiB, 117.89 W, 2857 MHz, 14001 MHz, 53
2026/09/24 22:37:50.408, 0, 0 %, 596 MiB, 112.67 W, 2842 MHz, 14001 MHz, 55
2026/09/24 22:37:50.408, 1, 0 %, 4 MiB, 117.89 W, 2857 MHz, 14001 MHz, 53
2026/09/24 22:37:50.658, 0, 0 %, 596 MiB, 112.67 W, 2842 MHz, 14001 MHz, 55
2026/09/24 22:37:50.658, 1, 0 %, 4 MiB, 117.89 W, 2857 MHz, 14001 MHz, 53
2026/09/24 22:37:50.908, 0, 0 %, 596 MiB, 103.37 W, 2722 MHz, 13365 MHz, 54
2026/09/24 22:37:50.908, 1, 0 %, 4 MiB, 96.58 W, 2857 MHz, 14001 MHz, 52
2026/09/24 22:37:51.158, 0, 0 %, 628 MiB, 103.37 W, 2722 MHz, 13365 MHz, 54
2026/09/24 22:37:51.159, 1, 0 %, 4 MiB, 96.58 W, 2857 MHz, 14001 MHz, 52
2026/09/24 22:37:51.409, 0, 0 %, 1268 MiB, 98.05 W, 2610 MHz, 13365 MHz, 54
2026/09/24 22:37:51.409, 1, 0 %, 23 MiB, 90.53 W, 757 MHz, 14001 MHz, 51
2026/09/24 22:37:51.660, 0, 0 %, 1268 MiB, 98.05 W, 2610 MHz, 13365 MHz, 54
2026/09/24 22:37:51.660, 1, 0 %, 852 MiB, 90.53 W, 757 MHz, 14001 MHz, 51
2026/09/24 22:37:51.910, 0, 0 %, 1332 MiB, 94.74 W, 2610 MHz, 13365 MHz, 54
2026/09/24 22:37:51.911, 1, 5 %, 1236 MiB, 100.72 W, 2055 MHz, 13365 MHz, 52
2026/09/24 22:37:52.161, 0, 0 %, 1332 MiB, 94.74 W, 2610 MHz, 13365 MHz, 54
2026/09/24 22:37:52.161, 1, 5 %, 1300 MiB, 100.72 W, 2055 MHz, 13365 MHz, 52
2026/09/24 22:37:52.411, 0, 0 %, 3348 MiB, 94.97 W, 2617 MHz, 13365 MHz, 54
2026/09/24 22:37:52.411, 1, 5 %, 1300 MiB, 96.69 W, 2617 MHz, 13365 MHz, 52
2026/09/24 22:37:52.661, 0, 0 %, 5076 MiB, 94.97 W, 2617 MHz, 13365 MHz, 54
2026/09/24 22:37:52.661, 1, 5 %, 3316 MiB, 96.69 W, 2617 MHz, 13365 MHz, 52
2026/09/24 22:37:52.911, 0, 19 %, 5076 MiB, 100.11 W, 2617 MHz, 13365 MHz, 54
2026/09/24 22:37:52.912, 1, 0 %, 3316 MiB, 98.10 W, 2617 MHz, 13365 MHz, 52
2026/09/24 22:37:53.162, 0, 19 %, 5076 MiB, 100.11 W, 2617 MHz, 13365 MHz, 54
2026/09/24 22:37:53.162, 1, 0 %, 3316 MiB, 98.10 W, 2617 MHz, 13365 MHz, 52
2026/09/24 22:37:53.412, 0, 19 %, 5076 MiB, 95.20 W, 2610 MHz, 13365 MHz, 54
2026/09/24 22:37:53.412, 1, 0 %, 3316 MiB, 97.25 W, 2610 MHz, 13365 MHz, 51
2026/09/24 22:37:53.662, 0, 19 %, 5076 MiB, 95.20 W, 2610 MHz, 13365 MHz, 54
2026/09/24 22:37:53.662, 1, 0 %, 3316 MiB, 97.25 W, 2610 MHz, 13365 MHz, 51
2026/09/24 22:37:53.912, 0, 0 %, 5076 MiB, 94.01 W, 2617 MHz, 13365 MHz, 53
2026/09/24 22:37:53.912, 1, 0 %, 3316 MiB, 96.21 W, 2610 MHz, 13365 MHz, 51
2026/09/24 22:37:54.163, 0, 0 %, 5108 MiB, 94.01 W, 2617 MHz, 13365 MHz, 53
2026/09/24 22:37:54.163, 1, 0 %, 3316 MiB, 96.21 W, 2610 MHz, 13365 MHz, 51
2026/09/24 22:37:54.413, 0, 0 %, 5108 MiB, 93.57 W, 2617 MHz, 13365 MHz, 53
2026/09/24 22:37:54.413, 1, 0 %, 3316 MiB, 95.35 W, 2610 MHz, 13365 MHz, 51
2026/09/24 22:37:54.663, 0, 0 %, 5140 MiB, 93.57 W, 2617 MHz, 13365 MHz, 53
2026/09/24 22:37:54.663, 1, 0 %, 3316 MiB, 95.35 W, 2610 MHz, 13365 MHz, 51
2026/09/24 22:37:54.913, 0, 1 %, 5140 MiB, 93.54 W, 2610 MHz, 13365 MHz, 53
2026/09/24 22:37:54.913, 1, 0 %, 3316 MiB, 96.18 W, 2610 MHz, 13365 MHz, 51
2026/09/24 22:37:55.164, 0, 1 %, 5172 MiB, 93.54 W, 2610 MHz, 13365 MHz, 53
2026/09/24 22:37:55.164, 1, 0 %, 5044 MiB, 96.18 W, 2610 MHz, 13365 MHz, 51
2026/09/24 22:37:55.414, 0, 1 %, 5172 MiB, 93.70 W, 2617 MHz, 13365 MHz, 53
2026/09/24 22:37:55.414, 1, 0 %, 5044 MiB, 95.76 W, 2610 MHz, 13365 MHz, 51
2026/09/24 22:37:55.664, 0, 1 %, 5172 MiB, 93.70 W, 2617 MHz, 13365 MHz, 53
2026/09/24 22:37:55.664, 1, 0 %, 5044 MiB, 95.76 W, 2610 MHz, 13365 MHz, 51
2026/09/24 22:37:55.914, 0, 0 %, 5172 MiB, 93.98 W, 2610 MHz, 13365 MHz, 53
2026/09/24 22:37:55.914, 1, 0 %, 5044 MiB, 94.76 W, 2617 MHz, 13365 MHz, 51
2026/09/24 22:37:56.164, 0, 0 %, 5172 MiB, 93.98 W, 2610 MHz, 13365 MHz, 53
2026/09/24 22:37:56.165, 1, 0 %, 5044 MiB, 94.76 W, 2617 MHz, 13365 MHz, 51
2026/09/24 22:37:56.415, 0, 0 %, 5172 MiB, 94.72 W, 2610 MHz, 13365 MHz, 53
