timestamp, index, utilization.gpu [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/09/23 10:47:22.960, 0, 0 %, 2 MiB, 123.72 W, 2827 MHz, 14001 MHz, 58
2026/09/23 10:47:22.964, 1, 0 %, 2 MiB, 129.10 W, 2850 MHz, 14001 MHz, 59
2026/09/23 10:47:23.216, 0, 0 %, 596 MiB, 123.72 W, 2827 MHz, 14001 MHz, 58
2026/09/23 10:47:23.216, 1, 0 %, 4 MiB, 129.07 W, 2850 MHz, 14001 MHz, 59
2026/09/23 10:47:23.466, 0, 0 %, 596 MiB, 123.72 W, 2827 MHz, 14001 MHz, 58
2026/09/23 10:47:23.466, 1, 0 %, 4 MiB, 129.07 W, 2850 MHz, 14001 MHz, 59
2026/09/23 10:47:23.716, 0, 0 %, 596 MiB, 123.72 W, 2827 MHz, 14001 MHz, 58
2026/09/23 10:47:23.716, 1, 0 %, 4 MiB, 129.07 W, 2850 MHz, 14001 MHz, 59
2026/09/23 10:47:23.967, 0, 0 %, 596 MiB, 112.24 W, 2827 MHz, 13365 MHz, 58
2026/09/23 10:47:23.967, 1, 0 %, 4 MiB, 129.07 W, 2850 MHz, 14001 MHz, 59
2026/09/23 10:47:24.217, 0, 0 %, 884 MiB, 112.24 W, 2827 MHz, 13365 MHz, 58
2026/09/23 10:47:24.217, 1, 0 %, 4 MiB, 117.00 W, 2850 MHz, 14001 MHz, 59
2026/09/23 10:47:24.467, 0, 5 %, 1268 MiB, 107.61 W, 2827 MHz, 13365 MHz, 58
2026/09/23 10:47:24.467, 1, 0 %, 852 MiB, 117.00 W, 2850 MHz, 14001 MHz, 59
2026/09/23 10:47:24.717, 0, 5 %, 1332 MiB, 107.61 W, 2827 MHz, 13365 MHz, 58
2026/09/23 10:47:24.717, 1, 5 %, 1300 MiB, 101.40 W, 1020 MHz, 13365 MHz, 58
2026/09/23 10:47:24.967, 0, 0 %, 2356 MiB, 100.76 W, 2617 MHz, 13365 MHz, 57
2026/09/23 10:47:24.967, 1, 5 %, 1300 MiB, 101.40 W, 1020 MHz, 13365 MHz, 58
2026/09/23 10:47:25.217, 0, 0 %, 5076 MiB, 100.76 W, 2617 MHz, 13365 MHz, 57
2026/09/23 10:47:25.217, 1, 0 %, 3316 MiB, 92.77 W, 2617 MHz, 13365 MHz, 58
2026/09/23 10:47:25.467, 0, 0 %, 5076 MiB, 95.24 W, 2617 MHz, 13365 MHz, 57
2026/09/23 10:47:25.467, 1, 0 %, 3316 MiB, 92.77 W, 2617 MHz, 13365 MHz, 58
2026/09/23 10:47:25.718, 0, 0 %, 5076 MiB, 95.24 W, 2617 MHz, 13365 MHz, 57
2026/09/23 10:47:25.718, 1, 0 %, 3316 MiB, 97.94 W, 2610 MHz, 13365 MHz, 58
2026/09/23 10:47:25.968, 0, 0 %, 5076 MiB, 94.50 W, 2610 MHz, 13365 MHz, 57
2026/09/23 10:47:25.968, 1, 0 %, 3316 MiB, 97.94 W, 2610 MHz, 13365 MHz, 58
2026/09/23 10:47:26.218, 0, 0 %, 5076 MiB, 94.50 W, 2610 MHz, 13365 MHz, 57
2026/09/23 10:47:26.218, 1, 0 %, 3316 MiB, 97.14 W, 2610 MHz, 13365 MHz, 58
2026/09/23 10:47:26.468, 0, 0 %, 5076 MiB, 92.29 W, 2617 MHz, 13365 MHz, 57
2026/09/23 10:47:26.468, 1, 0 %, 3316 MiB, 97.14 W, 2610 MHz, 13365 MHz, 58
2026/09/23 10:47:26.718, 0, 0 %, 5108 MiB, 92.29 W, 2617 MHz, 13365 MHz, 57
