timestamp, index, utilization.gpu [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/09/23 15:18:21.504, 0, 0 %, 2 MiB, 113.89 W, 2827 MHz, 14001 MHz, 55
2026/09/23 15:18:21.509, 1, 0 %, 2 MiB, 126.00 W, 2850 MHz, 14001 MHz, 60
2026/09/23 15:18:21.762, 0, 0 %, 596 MiB, 107.21 W, 2827 MHz, 14001 MHz, 55
2026/09/23 15:18:21.762, 1, 0 %, 4 MiB, 126.00 W, 2850 MHz, 14001 MHz, 60
2026/09/23 15:18:22.012, 0, 0 %, 596 MiB, 107.21 W, 2827 MHz, 14001 MHz, 55
2026/09/23 15:18:22.012, 1, 0 %, 4 MiB, 120.54 W, 2850 MHz, 14001 MHz, 60
2026/09/23 15:18:22.262, 0, 0 %, 596 MiB, 107.53 W, 2827 MHz, 13365 MHz, 55
2026/09/23 15:18:22.263, 1, 0 %, 4 MiB, 120.54 W, 2850 MHz, 14001 MHz, 60
2026/09/23 15:18:22.513, 0, 0 %, 596 MiB, 107.53 W, 2827 MHz, 13365 MHz, 55
2026/09/23 15:18:22.513, 1, 0 %, 4 MiB, 120.35 W, 2850 MHz, 14001 MHz, 60
2026/09/23 15:18:22.763, 0, 0 %, 884 MiB, 103.34 W, 2692 MHz, 13365 MHz, 54
2026/09/23 15:18:22.763, 1, 0 %, 4 MiB, 120.35 W, 2850 MHz, 14001 MHz, 60
2026/09/23 15:18:23.013, 0, 0 %, 1268 MiB, 103.34 W, 2692 MHz, 13365 MHz, 54
2026/09/23 15:18:23.013, 1, 0 %, 852 MiB, 91.36 W, 540 MHz, 14001 MHz, 59
2026/09/23 15:18:23.263, 0, 0 %, 1332 MiB, 96.77 W, 2617 MHz, 13365 MHz, 54
2026/09/23 15:18:23.263, 1, 0 %, 1300 MiB, 91.36 W, 540 MHz, 14001 MHz, 59
2026/09/23 15:18:23.513, 0, 0 %, 3348 MiB, 96.77 W, 2617 MHz, 13365 MHz, 54
