timestamp, index, utilization.gpu [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/09/24 05:34:02.802, 0, 0 %, 2 MiB, 103.68 W, 2865 MHz, 14001 MHz, 43
2026/09/24 05:34:02.806, 1, 0 %, 2 MiB, 109.47 W, 2865 MHz, 14001 MHz, 43
2026/09/24 05:34:03.059, 0, 0 %, 40 MiB, 103.68 W, 2865 MHz, 14001 MHz, 43
2026/09/24 05:34:03.060, 1, 0 %, 4 MiB, 109.47 W, 2865 MHz, 14001 MHz, 43
2026/09/24 05:34:03.310, 0, 0 %, 596 MiB, 103.68 W, 2865 MHz, 14001 MHz, 43
2026/09/24 05:34:03.310, 1, 0 %, 4 MiB, 109.47 W, 2865 MHz, 14001 MHz, 43
2026/09/24 05:34:03.560, 0, 0 %, 596 MiB, 104.38 W, 2865 MHz, 14001 MHz, 43
2026/09/24 05:34:03.560, 1, 0 %, 4 MiB, 109.00 W, 2865 MHz, 14001 MHz, 42
2026/09/24 05:34:03.810, 0, 0 %, 596 MiB, 104.38 W, 2865 MHz, 14001 MHz, 43
2026/09/24 05:34:03.810, 1, 0 %, 4 MiB, 109.00 W, 2865 MHz, 14001 MHz, 42
2026/09/24 05:34:04.060, 0, 0 %, 596 MiB, 103.09 W, 2865 MHz, 13365 MHz, 43
2026/09/24 05:34:04.061, 1, 0 %, 4 MiB, 108.23 W, 2865 MHz, 14001 MHz, 42
2026/09/24 05:34:04.311, 0, 0 %, 628 MiB, 103.09 W, 2865 MHz, 13365 MHz, 43
2026/09/24 05:34:04.311, 1, 0 %, 4 MiB, 108.23 W, 2865 MHz, 14001 MHz, 42
2026/09/24 05:34:04.561, 0, 0 %, 1268 MiB, 84.94 W, 2782 MHz, 13365 MHz, 43
2026/09/24 05:34:04.561, 1, 0 %, 116 MiB, 107.03 W, 2865 MHz, 14001 MHz, 42
2026/09/24 05:34:04.811, 0, 0 %, 1268 MiB, 84.94 W, 2782 MHz, 13365 MHz, 43
2026/09/24 05:34:04.811, 1, 0 %, 852 MiB, 107.03 W, 2865 MHz, 14001 MHz, 42
2026/09/24 05:34:05.061, 0, 0 %, 1332 MiB, 83.85 W, 2617 MHz, 13365 MHz, 43
2026/09/24 05:34:05.062, 1, 1 %, 1300 MiB, 89.86 W, 2625 MHz, 13365 MHz, 42
2026/09/24 05:34:05.312, 0, 0 %, 1332 MiB, 83.85 W, 2617 MHz, 13365 MHz, 43
2026/09/24 05:34:05.313, 1, 1 %, 1300 MiB, 89.86 W, 2625 MHz, 13365 MHz, 42
2026/09/24 05:34:05.563, 0, 0 %, 3348 MiB, 83.79 W, 2617 MHz, 13365 MHz, 43
2026/09/24 05:34:05.563, 1, 1 %, 2324 MiB, 88.18 W, 2617 MHz, 13365 MHz, 42
2026/09/24 05:34:05.813, 0, 0 %, 6804 MiB, 83.79 W, 2617 MHz, 13365 MHz, 43
2026/09/24 05:34:05.814, 1, 1 %, 3316 MiB, 88.18 W, 2617 MHz, 13365 MHz, 42
2026/09/24 05:34:06.064, 0, 19 %, 6804 MiB, 89.75 W, 2617 MHz, 13365 MHz, 43
2026/09/24 05:34:06.064, 1, 0 %, 3316 MiB, 90.39 W, 2617 MHz, 13365 MHz, 42
2026/09/24 05:34:06.314, 0, 19 %, 6804 MiB, 89.75 W, 2617 MHz, 13365 MHz, 43
2026/09/24 05:34:06.314, 1, 0 %, 3316 MiB, 90.39 W, 2617 MHz, 13365 MHz, 42
2026/09/24 05:34:06.564, 0, 19 %, 6804 MiB, 87.02 W, 2617 MHz, 13365 MHz, 42
2026/09/24 05:34:06.565, 1, 0 %, 3316 MiB, 87.38 W, 2610 MHz, 13365 MHz, 41
2026/09/24 05:34:06.815, 0, 19 %, 6804 MiB, 87.02 W, 2617 MHz, 13365 MHz, 42
2026/09/24 05:34:06.815, 1, 0 %, 3316 MiB, 87.38 W, 2610 MHz, 13365 MHz, 41
2026/09/24 05:34:07.065, 0, 0 %, 6804 MiB, 84.50 W, 2617 MHz, 13365 MHz, 42
2026/09/24 05:34:07.065, 1, 0 %, 3316 MiB, 86.97 W, 2610 MHz, 13365 MHz, 41
2026/09/24 05:34:07.315, 0, 0 %, 6804 MiB, 84.50 W, 2617 MHz, 13365 MHz, 42
2026/09/24 05:34:07.315, 1, 0 %, 3316 MiB, 86.97 W, 2610 MHz, 13365 MHz, 41
2026/09/24 05:34:07.566, 0, 0 %, 6836 MiB, 83.89 W, 2617 MHz, 13365 MHz, 42
2026/09/24 05:34:07.566, 1, 0 %, 3316 MiB, 85.12 W, 2610 MHz, 13365 MHz, 41
2026/09/24 05:34:07.816, 0, 0 %, 6836 MiB, 83.89 W, 2617 MHz, 13365 MHz, 42
2026/09/24 05:34:07.816, 1, 0 %, 3316 MiB, 85.12 W, 2610 MHz, 13365 MHz, 41
2026/09/24 05:34:08.066, 0, 0 %, 6868 MiB, 83.75 W, 2610 MHz, 13365 MHz, 42
2026/09/24 05:34:08.066, 1, 0 %, 3316 MiB, 85.40 W, 2610 MHz, 13365 MHz, 41
2026/09/24 05:34:08.316, 0, 0 %, 6868 MiB, 83.75 W, 2610 MHz, 13365 MHz, 42
2026/09/24 05:34:08.317, 1, 0 %, 3316 MiB, 85.40 W, 2610 MHz, 13365 MHz, 41
2026/09/24 05:34:08.567, 0, 0 %, 10356 MiB, 84.10 W, 2617 MHz, 13365 MHz, 42
2026/09/24 05:34:08.567, 1, 0 %, 3316 MiB, 85.37 W, 2610 MHz, 13365 MHz, 41
2026/09/24 05:34:08.817, 0, 0 %, 10356 MiB, 84.10 W, 2617 MHz, 13365 MHz, 42
2026/09/24 05:34:08.817, 1, 0 %, 3316 MiB, 85.37 W, 2610 MHz, 13365 MHz, 41
2026/09/24 05:34:09.067, 0, 5 %, 10356 MiB, 86.58 W, 2610 MHz, 13365 MHz, 42
2026/09/24 05:34:09.067, 1, 0 %, 3316 MiB, 85.35 W, 2610 MHz, 13365 MHz, 41
2026/09/24 05:34:09.317, 0, 5 %, 10356 MiB, 86.58 W, 2610 MHz, 13365 MHz, 42
2026/09/24 05:34:09.318, 1, 0 %, 3316 MiB, 85.35 W, 2610 MHz, 13365 MHz, 41
2026/09/24 05:34:09.568, 0, 5 %, 10388 MiB, 84.12 W, 2610 MHz, 13365 MHz, 42
2026/09/24 05:34:09.568, 1, 0 %, 3316 MiB, 87.07 W, 2610 MHz, 13365 MHz, 41
2026/09/24 05:34:09.818, 0, 5 %, 10388 MiB, 84.12 W, 2610 MHz, 13365 MHz, 42
2026/09/24 05:34:09.818, 1, 0 %, 3316 MiB, 87.07 W, 2610 MHz, 13365 MHz, 41
2026/09/24 05:34:10.068, 0, 0 %, 10388 MiB, 83.64 W, 2617 MHz, 13365 MHz, 42
2026/09/24 05:34:10.068, 1, 0 %, 3316 MiB, 85.65 W, 2610 MHz, 13365 MHz, 41
2026/09/24 05:34:10.318, 0, 0 %, 10420 MiB, 83.64 W, 2617 MHz, 13365 MHz, 42
2026/09/24 05:34:10.319, 1, 0 %, 3316 MiB, 85.65 W, 2610 MHz, 13365 MHz, 41
2026/09/24 05:34:10.569, 0, 0 %, 10420 MiB, 83.62 W, 2617 MHz, 13365 MHz, 42
2026/09/24 05:34:10.569, 1, 0 %, 3316 MiB, 85.32 W, 2610 MHz, 13365 MHz, 41
2026/09/24 05:34:10.819, 0, 0 %, 10452 MiB, 83.62 W, 2617 MHz, 13365 MHz, 42
2026/09/24 05:34:10.819, 1, 0 %, 3316 MiB, 85.32 W, 2610 MHz, 13365 MHz, 41
2026/09/24 05:34:11.069, 0, 0 %, 10452 MiB, 83.80 W, 2617 MHz, 13365 MHz, 42
2026/09/24 05:34:11.069, 1, 0 %, 3316 MiB, 85.28 W, 2610 MHz, 13365 MHz, 40
2026/09/24 05:34:11.319, 0, 0 %, 13940 MiB, 83.80 W, 2617 MHz, 13365 MHz, 42
2026/09/24 05:34:11.320, 1, 0 %, 3316 MiB, 85.28 W, 2610 MHz, 13365 MHz, 40
2026/09/24 05:34:11.570, 0, 0 %, 13972 MiB, 85.56 W, 2617 MHz, 13365 MHz, 42
2026/09/24 05:34:11.570, 1, 0 %, 3316 MiB, 85.25 W, 2610 MHz, 13365 MHz, 40
2026/09/24 05:34:11.820, 0, 0 %, 13972 MiB, 85.56 W, 2617 MHz, 13365 MHz, 42
2026/09/24 05:34:11.820, 1, 0 %, 3316 MiB, 85.25 W, 2610 MHz, 13365 MHz, 40
2026/09/24 05:34:12.070, 0, 0 %, 13972 MiB, 86.19 W, 2617 MHz, 13365 MHz, 42
2026/09/24 05:34:12.070, 1, 0 %, 3316 MiB, 85.40 W, 2610 MHz, 13365 MHz, 40
2026/09/24 05:34:12.320, 0, 0 %, 13972 MiB, 86.19 W, 2617 MHz, 13365 MHz, 42
2026/09/24 05:34:12.321, 1, 0 %, 3316 MiB, 85.40 W, 2610 MHz, 13365 MHz, 40
2026/09/24 05:34:12.571, 0, 0 %, 14036 MiB, 84.54 W, 2610 MHz, 13365 MHz, 42
2026/09/24 05:34:12.571, 1, 0 %, 3316 MiB, 85.40 W, 2610 MHz, 13365 MHz, 40
2026/09/24 05:34:12.821, 0, 0 %, 14036 MiB, 84.54 W, 2610 MHz, 13365 MHz, 42
2026/09/24 05:34:12.821, 1, 0 %, 3316 MiB, 85.40 W, 2610 MHz, 13365 MHz, 40
2026/09/24 05:34:13.071, 0, 0 %, 14068 MiB, 84.90 W, 2610 MHz, 13365 MHz, 42
2026/09/24 05:34:13.072, 1, 0 %, 3316 MiB, 85.91 W, 2610 MHz, 13365 MHz, 40
2026/09/24 05:34:13.322, 0, 0 %, 14068 MiB, 84.90 W, 2610 MHz, 13365 MHz, 42
2026/09/24 05:34:13.322, 1, 0 %, 3316 MiB, 85.91 W, 2610 MHz, 13365 MHz, 40
