
NOTICE: Existing SQLite export found: /tmp/memra-fa3softmax-20260813/q27-nsys-r2.sqlite
        It is assumed file was previously exported from: /tmp/memra-fa3softmax-20260813/q27-nsys-r2.nsys-rep
        Consider using --force-export=true if needed.

Processing [/tmp/memra-fa3softmax-20260813/q27-nsys-r2.sqlite] with [/opt/nvidia/nsight-systems/2025.5.2/host-linux-x64/reports/cuda_gpu_kern_gb_sum.py]...
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),GridXYZ,BlockXYZ,Name
20.9,1571558124,128,12277797.8,12274234.0,12229643,12381418,27102.6, 136   32    1,  32    8    1,"void mul_mat_q_nvfp4_w4a8<(int)128, (int)128, (int)1, (bool)0, (bool)1>(const char *, const char *, const int *, float *, int, int, int, int, int, int, float)"
14.0,1056320635,128,8252505.0,8253494.5,4347297,12270474,3900209.6,  40   32    1,  32    8    1,"void mul_mat_q_nvfp4_w4a8<(int)128, (int)128, (int)1, (bool)0, (bool)1>(const char *, const char *, const int *, float *, int, int, int, int, int, int, float)"
9.9,743367906,3840,193585.4,193055.0,190815,202014,1670.6,2176    2    1,  32    4    1,qmatvec_nvfp4_mmvq_dual_mr2_rp
7.1,535548991,7680,69732.9,75167.0,36640,106175,28422.8, 640    1    1,  32    4    1,qmatvec_nvfp4_mmvq_mr2_rp
4.6,348843096,48,7267564.5,7265581.0,7251404,7308909,10619.3,  80   32    1,  32    8    1,"void mul_mat_q_nvfp4_w4a8<(int)128, (int)128, (int)1, (bool)0, (bool)1>(const char *, const char *, const int *, float *, int, int, int, int, int, int, float)"
4.0,302644901,128,2364413.3,2364623.5,2308239,2432879,27820.9, 136    6    1,  32    8    1,"void mul_mat_q_nvfp4_w4a8<(int)128, (int)128, (int)1, (bool)0, (bool)1>(const char *, const char *, const int *, float *, int, int, int, int, int, int, float)"
3.4,253191825,96,2637414.8,2623869.5,826906,4463105,1808734.6,  48    4    1, 256    1    1,gdn_chunk_state_f32
2.8,209189204,128,1634290.7,1614084.5,835450,2430511,762088.6,  40    6    1,  32    8    1,"void mul_mat_q_nvfp4_w4a8<(int)128, (int)128, (int)1, (bool)0, (bool)1>(const char *, const char *, const int *, float *, int, int, int, int, int, int, float)"
2.8,208710543,48,4348136.3,4346417.5,4331394,4379906,10345.0,  48   32    1,  32    8    1,"void mul_mat_q_nvfp4_w4a8<(int)128, (int)128, (int)1, (bool)0, (bool)1>(const char *, const char *, const int *, float *, int, int, int, int, int, int, float)"
2.6,197128027,16,12320501.7,12322458.0,12305546,12329642,6557.4,  64   24    1,  32    4    1,fa_prefill_qw_db
2.6,194577493,2880,67561.6,67552.0,60768,79552,1607.3,1280    1    1,  32    4    1,qmatvec_nvfp4_mmvq_mr2_rp
1.8,138524181,16,8657761.3,8660659.5,8627267,8676964,12612.8,  96   32    1,  32    8    1,"void mul_mat_q_nvfp4_w4a8<(int)128, (int)128, (int)1, (bool)0, (bool)1>(const char *, const char *, const int *, float *, int, int, int, int, int, int, float)"
1.4,107952406,2880,37483.5,37343.0,36351,47135,691.4, 768    1    1,  32    4    1,qmatvec_nvfp4_mmvq_mr2_rp
1.4,105307763,62,1698512.3,1697748.0,1690356,1738932,6159.6,62080    1    1,  32    4    1,qmatvec_q5_K_mmvq_il
1.3,98399917,64,1537498.7,1538533.0,1510325,1565621,12612.4,17408    1    1,1024    1    1,silu_mul_f32
1.1,85183794,96,887331.2,889194.0,876826,914522,8136.9,  48 4096    1, 128    1    1,qmatvec_nvfp4_dp4a_rp
1.1,83302611,16,5206413.2,5186428.0,5175771,5510969,81425.3,  12   24    1,  32    4    1,fa_prefill_qw_db
0.9,71145811,896,79403.8,79391.0,70079,90943,3043.9,   4   77    1,  32    6    1,fa_decode_vec_q_v4_deep
0.9,69565338,48,1449277.9,1450101.5,1419158,1475093,8855.1, 128   48    1, 256    1    1,gdn_chunk_output_f32
0.9,68851011,960,71719.8,71039.5,69376,78591,1824.5,1536    1    1,  32    4    1,qmatvec_nvfp4_mmvq_mr2_rp
0.9,67619394,48,1408737.4,1409334.0,1383158,1448566,16011.9,  80    6    1,  32    8    1,"void mul_mat_q_nvfp4_w4a8<(int)128, (int)128, (int)1, (bool)0, (bool)1>(const char *, const char *, const int *, float *, int, int, int, int, int, int, float)"
0.8,62945735,7620,8260.6,8320.0,6752,9952,374.6,   1    1    1,1024    1    1,add_rms_norm_q8_1
0.8,58390295,128,456174.2,457245.0,431868,478653,12228.5,5120    1    1,1024    1    1,add_f32
0.7,56416052,128,440750.4,434493.0,97407,791002,336482.9,1024    1    1, 256    1    1,memra_f16_cvt_kernel
0.7,54007874,48,1125164.0,1123544.0,1118904,1137560,4495.3,  40 4096    1, 256    1    1,ssm_conv1d_gdn_state_f32
0.7,51473431,48,1072363.1,1075576.0,1059929,1081880,7110.4, 128   48    1, 256    1    1,gdn_chunk_attn_f32
0.6,48644802,96,506716.7,507420.5,501948,518620,4115.2,20480    1    1,1024    1    1,quantize_q8_1
0.6,45311189,272,166585.3,175167.0,151199,183774,11843.2,4096   10    1, 128    1    1,"quantize_mmq_q8_1_d4_kernel(const float *, void *, long, long, long, int)"
0.6,44331718,48,923577.5,918041.5,913817,951929,9939.3,  48    6    1,  32    8    1,"void mul_mat_q_nvfp4_w4a8<(int)128, (int)128, (int)1, (bool)0, (bool)1>(const char *, const char *, const int *, float *, int, int, int, int, int, int, float)"
0.5,41172324,64,643317.6,643467.5,630748,653179,5209.9,4096   34    1, 128    1    1,"quantize_mmq_q8_1_d4_kernel(const float *, void *, long, long, long, int)"
0.5,36815585,129,285392.1,285503.0,273950,294942,3926.4,4096    1    1, 256    1    1,rms_norm_f32
0.5,35174924,96,366405.5,365581.0,311006,423613,50653.9,24576    1    1, 256    1    1,l2_norm_pp_v2_f32
0.4,31353765,48,653203.4,653131.5,648412,658811,2721.4, 128   48    1, 256    1    1,gdn_chunk_solve32_f32
0.4,30714842,2880,10664.9,10656.0,10240,11200,131.7,   6    2    1,  32    4    1,qmatvec_nvfp4_mmvq_dual_mr2_rp
0.4,29323704,32,916365.8,915306.0,911866,926521,3539.3,   8   32    1,  32    8    1,"void mul_mat_q_nvfp4_w4a8<(int)128, (int)128, (int)1, (bool)0, (bool)1>(const char *, const char *, const int *, float *, int, int, int, int, int, int, float)"
