10:00:55 {"backends": [{"url": "http://127.0.0.1:8085", "healthy": true, "outstanding": 0, "total": 0, "errors": 0}, {"url": "http://127.0.0.1:8086", "healthy": true, "outstanding": 0, "total": 0, "errors": 0}, {"url": "http://127.0.0.1:8087", "healthy": true, "outstanding": 0, "total": 0, "errors": 0}, {"url": "http://127.0.0.1:8088", "healthy": true, "outstanding": 0, "total": 0, "errors": 0}, {"url": "http://127.0.0.1:8089", "healthy": true, "outstanding": 0, "total": 0, "errors": 0}, {"url": "http://127.0.0.1:8090", "healthy": true, "outstanding": 0, "total": 0, "errors": 0}], "queue": {"depth": 0, "peak_depth": 0, "enqueued_total": 0, "rejected_429": 0, "cap_per_backend": 8, "queue_max": 256, "queue_deadline_s": 30.0, "wait_p50_s": null, "wait_p95_s": null}, "requests": {"total": 0, "ok": 0, "err_5xx": 0, "ttfb_p50_s": null, "ttfb_p95_s": null, "lat_p50_s": null, "lat_p95_s": null}}
10:00:56 {"backends": [{"url": "http://127.0.0.1:8085", "healthy": true, "outstanding": 4, "total": 5, "errors": 0}, {"url": "http://127.0.0.1:8086", "healthy": true, "outstanding": 4, "total": 4, "errors": 0}, {"url": "http://127.0.0.1:8087", "healthy": true, "outstanding": 4, "total": 4, "errors": 0}, {"url": "http://127.0.0.1:8088", "healthy": true, "outstanding": 4, "total": 4, "errors": 0}, {"url": "http://127.0.0.1:8089", "healthy": true, "outstanding": 4, "total": 4, "errors": 0}, {"url": "http://127.0.0.1:8090", "healthy": true, "outstanding": 4, "total": 4, "errors": 0}], "queue": {"depth": 0, "peak_depth": 0, "enqueued_total": 0, "rejected_429": 0, "cap_per_backend": 8, "queue_max": 256, "queue_deadline_s": 30.0, "wait_p50_s": 0.0, "wait_p95_s": 0.0}, "requests": {"total": 25, "ok": 1, "err_5xx": 0, "ttfb_p50_s": 0.13418582199665252, "ttfb_p95_s": 0.13418582199665252, "lat_p50_s": 0.13448978799715405, "lat_p95_s": 0.13448978799715405}}
10:00:57 {"backends": [{"url": "http://127.0.0.1:8085", "healthy": true, "outstanding": 4, "total": 5, "errors": 0}, {"url": "http://127.0.0.1:8086", "healthy": true, "outstanding": 4, "total": 4, "errors": 0}, {"url": "http://127.0.0.1:8087", "healthy": true, "outstanding": 4, "total": 4, "errors": 0}, {"url": "http://127.0.0.1:8088", "healthy": true, "outstanding": 4, "total": 4, "errors": 0}, {"url": "http://127.0.0.1:8089", "healthy": true, "outstanding": 4, "total": 4, "errors": 0}, {"url": "http://127.0.0.1:8090", "healthy": true, "outstanding": 4, "total": 4, "errors": 0}], "queue": {"depth": 0, "peak_depth": 0, "enqueued_total": 0, "rejected_429": 0, "cap_per_backend": 8, "queue_max": 256, "queue_deadline_s": 30.0, "wait_p50_s": 0.0, "wait_p95_s": 0.0}, "requests": {"total": 25, "ok": 1, "err_5xx": 0, "ttfb_p50_s": 0.13418582199665252, "ttfb_p95_s": 0.13418582199665252, "lat_p50_s": 0.13448978799715405, "lat_p95_s": 0.13448978799715405}}
10:00:58 {"backends": [{"url": "http://127.0.0.1:8085", "healthy": true, "outstanding": 4, "total": 9, "errors": 0}, {"url": "http://127.0.0.1:8086", "healthy": true, "outstanding": 4, "total": 8, "errors": 0}, {"url": "http://127.0.0.1:8087", "healthy": true, "outstanding": 4, "total": 8, "errors": 0}, {"url": "http://127.0.0.1:8088", "healthy": true, "outstanding": 4, "total": 8, "errors": 0}, {"url": "http://127.0.0.1:8089", "healthy": true, "outstanding": 4, "total": 8, "errors": 0}, {"url": "http://127.0.0.1:8090", "healthy": true, "outstanding": 4, "total": 7, "errors": 0}], "queue": {"depth": 0, "peak_depth": 0, "enqueued_total": 0, "rejected_429": 0, "cap_per_backend": 8, "queue_max": 256, "queue_deadline_s": 30.0, "wait_p50_s": 0.0, "wait_p95_s": 0.0}, "requests": {"total": 48, "ok": 24, "err_5xx": 0, "ttfb_p50_s": 2.6226759839992155, "ttfb_p95_s": 2.767188272999192, "lat_p50_s": 2.6230469820002327, "lat_p95_s": 2.7675080799963325}}
10:00:59 {"backends": [{"url": "http://127.0.0.1:8085", "healthy": true, "outstanding": 4, "total": 9, "errors": 0}, {"url": "http://127.0.0.1:8086", "healthy": true, "outstanding": 4, "total": 8, "errors": 0}, {"url": "http://127.0.0.1:8087", "healthy": true, "outstanding": 4, "total": 8, "errors": 0}, {"url": "http://127.0.0.1:8088", "healthy": true, "outstanding": 4, "total": 8, "errors": 0}, {"url": "http://127.0.0.1:8089", "healthy": true, "outstanding": 4, "total": 8, "errors": 0}, {"url": "http://127.0.0.1:8090", "healthy": true, "outstanding": 4, "total": 8, "errors": 0}], "queue": {"depth": 0, "peak_depth": 0, "enqueued_total": 0, "rejected_429": 0, "cap_per_backend": 8, "queue_max": 256, "queue_deadline_s": 30.0, "wait_p50_s": 0.0, "wait_p95_s": 0.0}, "requests": {"total": 49, "ok": 25, "err_5xx": 0, "ttfb_p50_s": 2.6226759839992155, "ttfb_p95_s": 2.7695303319997038, "lat_p50_s": 2.6230469820002327, "lat_p95_s": 2.770024083001772}}
10:01:00 {"backends": [{"url": "http://127.0.0.1:8085", "healthy": true, "outstanding": 4, "total": 9, "errors": 0}, {"url": "http://127.0.0.1:8086", "healthy": true, "outstanding": 4, "total": 8, "errors": 0}, {"url": "http://127.0.0.1:8087", "healthy": true, "outstanding": 4, "total": 8, "errors": 0}, {"url": "http://127.0.0.1:8088", "healthy": true, "outstanding": 4, "total": 8, "errors": 0}, {"url": "http://127.0.0.1:8089", "healthy": true, "outstanding": 4, "total": 8, "errors": 0}, {"url": "http://127.0.0.1:8090", "healthy": true, "outstanding": 4, "total": 8, "errors": 0}], "queue": {"depth": 0, "peak_depth": 0, "enqueued_total": 0, "rejected_429": 0, "cap_per_backend": 8, "queue_max": 256, "queue_deadline_s": 30.0, "wait_p50_s": 0.0, "wait_p95_s": 0.0}, "requests": {"total": 49, "ok": 25, "err_5xx": 0, "ttfb_p50_s": 2.6226759839992155, "ttfb_p95_s": 2.7695303319997038, "lat_p50_s": 2.6230469820002327, "lat_p95_s": 2.770024083001772}}
10:01:01 {"backends": [{"url": "http://127.0.0.1:8085", "healthy": true, "outstanding": 4, "total": 13, "errors": 0}, {"url": "http://127.0.0.1:8086", "healthy": true, "outstanding": 4, "total": 12, "errors": 0}, {"url": "http://127.0.0.1:8087", "healthy": true, "outstanding": 4, "total": 12, "errors": 0}, {"url": "http://127.0.0.1:8088", "healthy": true, "outstanding": 4, "total": 12, "errors": 0}, {"url": "http://127.0.0.1:8089", "healthy": true, "outstanding": 4, "total": 12, "errors": 0}, {"url": "http://127.0.0.1:8090", "healthy": true, "outstanding": 4, "total": 12, "errors": 0}], "queue": {"depth": 0, "peak_depth": 0, "enqueued_total": 0, "rejected_429": 0, "cap_per_backend": 8, "queue_max": 256, "queue_deadline_s": 30.0, "wait_p50_s": 0.0, "wait_p95_s": 0.0}, "requests": {"total": 73, "ok": 49, "err_5xx": 0, "ttfb_p50_s": 2.6150688940033433, "ttfb_p95_s": 2.767188272999192, "lat_p50_s": 2.6153082690070732, "lat_p95_s": 2.7675080799963325}}
10:01:02 {"backends": [{"url": "http://127.0.0.1:8085", "healthy": true, "outstanding": 4, "total": 13, "errors": 0}, {"url": "http://127.0.0.1:8086", "healthy": true, "outstanding": 4, "total": 12, "errors": 0}, {"url": "http://127.0.0.1:8087", "healthy": true, "outstanding": 4, "total": 12, "errors": 0}, {"url": "http://127.0.0.1:8088", "healthy": true, "outstanding": 4, "total": 12, "errors": 0}, {"url": "http://127.0.0.1:8089", "healthy": true, "outstanding": 4, "total": 12, "errors": 0}, {"url": "http://127.0.0.1:8090", "healthy": true, "outstanding": 4, "total": 12, "errors": 0}], "queue": {"depth": 0, "peak_depth": 0, "enqueued_total": 0, "rejected_429": 0, "cap_per_backend": 8, "queue_max": 256, "queue_deadline_s": 30.0, "wait_p50_s": 0.0, "wait_p95_s": 0.0}, "requests": {"total": 73, "ok": 49, "err_5xx": 0, "ttfb_p50_s": 2.6150688940033433, "ttfb_p95_s": 2.767188272999192, "lat_p50_s": 2.6153082690070732, "lat_p95_s": 2.7675080799963325}}
10:01:03 {"backends": [{"url": "http://127.0.0.1:8085", "healthy": true, "outstanding": 4, "total": 17, "errors": 0}, {"url": "http://127.0.0.1:8086", "healthy": true, "outstanding": 4, "total": 14, "errors": 0}, {"url": "http://127.0.0.1:8087", "healthy": true, "outstanding": 4, "total": 12, "errors": 0}, {"url": "http://127.0.0.1:8088", "healthy": true, "outstanding": 4, "total": 14, "errors": 0}, {"url": "http://127.0.0.1:8089", "healthy": true, "outstanding": 4, "total": 16, "errors": 0}, {"url": "http://127.0.0.1:8090", "healthy": true, "outstanding": 4, "total": 12, "errors": 0}], "queue": {"depth": 0, "peak_depth": 0, "enqueued_total": 0, "rejected_429": 0, "cap_per_backend": 8, "queue_max": 256, "queue_deadline_s": 30.0, "wait_p50_s": 0.0, "wait_p95_s": 0.0}, "requests": {"total": 85, "ok": 61, "err_5xx": 0, "ttfb_p50_s": 2.6108685660001356, "ttfb_p95_s": 2.753929585000151, "lat_p50_s": 2.6110495789980632, "lat_p95_s": 2.754170169995632}}
10:01:04 {"backends": [{"url": "http://127.0.0.1:8085", "healthy": true, "outstanding": 4, "total": 17, "errors": 0}, {"url": "http://127.0.0.1:8086", "healthy": true, "outstanding": 4, "total": 16, "errors": 0}, {"url": "http://127.0.0.1:8087", "healthy": true, "outstanding": 4, "total": 16, "errors": 0}, {"url": "http://127.0.0.1:8088", "healthy": true, "outstanding": 4, "total": 16, "errors": 0}, {"url": "http://127.0.0.1:8089", "healthy": true, "outstanding": 4, "total": 16, "errors": 0}, {"url": "http://127.0.0.1:8090", "healthy": true, "outstanding": 4, "total": 16, "errors": 0}], "queue": {"depth": 0, "peak_depth": 0, "enqueued_total": 0, "rejected_429": 0, "cap_per_backend": 8, "queue_max": 256, "queue_deadline_s": 30.0, "wait_p50_s": 0.0, "wait_p95_s": 0.0}, "requests": {"total": 97, "ok": 73, "err_5xx": 0, "ttfb_p50_s": 2.6150688940033433, "ttfb_p95_s": 2.7508469200038235, "lat_p50_s": 2.6153082690070732, "lat_p95_s": 2.7512705289991572}}
10:01:05 {"backends": [{"url": "http://127.0.0.1:8085", "healthy": true, "outstanding": 4, "total": 17, "errors": 0}, {"url": "http://127.0.0.1:8086", "healthy": true, "outstanding": 4, "total": 16, "errors": 0}, {"url": "http://127.0.0.1:8087", "healthy": true, "outstanding": 4, "total": 16, "errors": 0}, {"url": "http://127.0.0.1:8088", "healthy": true, "outstanding": 4, "total": 16, "errors": 0}, {"url": "http://127.0.0.1:8089", "healthy": true, "outstanding": 4, "total": 16, "errors": 0}, {"url": "http://127.0.0.1:8090", "healthy": true, "outstanding": 4, "total": 16, "errors": 0}], "queue": {"depth": 0, "peak_depth": 0, "enqueued_total": 0, "rejected_429": 0, "cap_per_backend": 8, "queue_max": 256, "queue_deadline_s": 30.0, "wait_p50_s": 0.0, "wait_p95_s": 0.0}, "requests": {"total": 97, "ok": 73, "err_5xx": 0, "ttfb_p50_s": 2.6150688940033433, "ttfb_p95_s": 2.7508469200038235, "lat_p50_s": 2.6153082690070732, "lat_p95_s": 2.7512705289991572}}
