NOTICE: Existing SQLite export found: prof-nvfp4mix.sqlite
        It is assumed file was previously exported from: prof-nvfp4mix.nsys-rep
        Consider using --force-export=true if needed.

Processing [prof-nvfp4mix.sqlite] with [/opt/nvidia/nsight-compute/2025.4.1/host/target-linux-x64/reports/cuda_gpu_kern_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
39.3,424071806,7680,55217.7,60254.5,24704,85855,27939.4,qmatvec_nvfp4_mmvq_fused2_rp
38.8,418419189,7104,58899.1,79038.0,16064,913235,87077.4,qmatvec_q8_0_mmvq
6.9,74094128,3840,19295.3,16830.0,16223,34110,5707.7,qmatvec_nvfp4_mmvq_mr2_rp
3.1,33475758,7744,4322.8,4399.5,3776,5184,330.5,rms_norm_f32
2.7,28855926,3200,9017.5,8992.0,8672,9792,166.0,fa_decode_vec_q_v4
1.7,18277565,3776,4840.5,4832.0,4480,5312,122.4,add_scale_rms_norm_q8_1
1.5,16685284,3840,4345.1,4383.0,4064,4704,129.0,gelu_tanh_mul_q8_1
1.5,15989914,3840,4164.0,4128.0,3936,4736,97.9,add_rms_norm_f32
1.0,11279529,3200,3524.9,3520.0,3296,3872,153.1,fa_decode_combine_f32
0.9,10235157,640,15992.4,15968.0,15744,16384,108.2,fa_decode_vec_q_rows_v4_512_tb
0.9,9242547,3840,2406.9,2319.5,2112,3168,196.4,rms_norm_qkv_rope_f32
0.8,8945867,7744,1155.2,1152.0,1088,1600,35.0,quantize_q8_1
0.5,5309338,3840,1382.6,1376.0,928,1696,77.7,append_quantize_kv_q8_0_q5_1
0.2,2241661,640,3502.6,3550.5,3359,3840,101.3,fa_decode_combine_rows_dc
0.0,450809,640,704.4,704.0,672,736,16.7,i32_set_k
0.0,197275,64,3082.4,3071.5,3007,3296,61.2,rms_norm_q8_1
0.0,144093,64,2251.5,2208.0,2143,2496,92.7,softcap_f32
0.0,108703,64,1698.5,1680.0,1568,1856,67.5,add_scale_f32
0.0,54975,64,859.0,864.0,832,896,13.0,scale_f32

