ts,gpu0_mib,gpu1_mib,gpu2_mib,gpu3_mib
2026-08-29T03:26:11Z,7125,6933,6933,5941
2026-08-29T03:26:31Z,10327,8951,8983,5973
2026-08-29T03:26:51Z,18455,14455,14487,29559
2026-08-29T03:27:11Z,18615,14455,14487,29559
2026-08-29T03:27:31Z,18743,17495,14487,29559
2026-08-29T03:27:51Z,18743,17591,17367,29559
2026-08-29T03:28:11Z,18743,17591,17623,29559
2026-08-29T03:28:31Z,18743,17591,17623,32535
2026-08-29T03:28:51Z,18999,17591,17623,32535
2026-08-29T03:29:12Z,18999,17591,17623,32535
2026-08-29T03:29:32Z,18999,17911,17623,32535
2026-08-29T03:29:52Z,18999,17911,18039,32535
2026-08-29T03:30:12Z,18999,17911,18039,32695
2026-08-29T03:30:32Z,18999,17911,18039,32919
2026-08-29T03:30:52Z,18999,17911,18039,32919
2026-08-29T03:31:12Z,18999,17911,18039,32919
2026-08-29T03:31:33Z,18999,17943,18039,32919
2026-08-29T03:31:53Z,18999,17975,18039,32919
2026-08-29T03:32:13Z,18999,17975,18039,32919
2026-08-29T03:32:33Z,18999,17975,18039,32919
2026-08-29T03:32:53Z,18999,17975,18039,32919
2026-08-29T03:33:13Z,18999,17975,18039,32919
2026-08-29T03:33:33Z,18999,17975,18039,32919
2026-08-29T03:33:53Z,18999,17975,18039,32919
