=== ACCEPTANCE TABLE (greedy + vendor-default; compare to native K3 1.443 / K5 1.473) ===
cell                         mode     class      n  acc/cyc  tok/cyc  accrate
k3-greedy                    greedy   ALL       14    1.821    2.821    0.607
k3-greedy                    greedy   agentic    6    1.681    2.681    0.560
k3-greedy                    greedy   l3deep     4    1.809    2.809    0.603
k3-greedy                    greedy   prose      4    2.078    3.078    0.693
k3-vendor                    vendor   ALL       14    1.889    2.889    0.630
k3-vendor                    vendor   agentic    6    1.935    2.935    0.645
k3-vendor                    vendor   l3deep     4    1.893    2.893    0.631
k3-vendor                    vendor   prose      4    1.819    2.819    0.606
k5-greedy                    greedy   ALL       14    2.290    3.290    0.458
k5-greedy                    greedy   agentic    6    2.043    3.043    0.409
k5-greedy                    greedy   l3deep     4    2.280    3.280    0.456
k5-greedy                    greedy   prose      4    2.759    3.759    0.552
k5-vendor                    vendor   ALL       14    2.147    3.147    0.429
k5-vendor                    vendor   agentic    6    2.109    3.109    0.422
k5-vendor                    vendor   l3deep     4    2.160    3.160    0.432
k5-vendor                    vendor   prose      4    2.194    3.194    0.439
k3-red-greedy                greedy   ALL       14    1.729    2.729    0.576
k3-red-greedy                greedy   agentic    6    1.662    2.662    0.554
k3-red-greedy                greedy   l3deep     4    1.695    2.695    0.565
k3-red-greedy                greedy   prose      4    1.876    2.876    0.625
k3-red-vendor                vendor   ALL       14    1.694    2.694    0.565
k3-red-vendor                vendor   agentic    6    1.560    2.560    0.520
k3-red-vendor                vendor   l3deep     4    1.709    2.709    0.570
k3-red-vendor                vendor   prose      4    1.909    2.909    0.636
=== LOOP-LAW SCREEN ===
