format	memra-checkpoint-oracle-v1
engine	memra-native-serving-numeric
numeric_class	serving-weight-and-cache-formats
tokens	1,2,3,4
vocab	154880
logit	0	40efba7a
logit	1	4059d7fa
logit	2	415bf168
logit	3	41541836
logit	4	40e69942
logit	5	4189c176
logit	6	40e2ad2a
logit	7	3fed585d
logit	8	408b9b7f
logit	9	412a0c0a
logit	10	411020ac
logit	11	4086ff55
logit	12	40440be0
logit	13	407b2266
logit	14	404dd320
logit	15	411bbc72
logit	16	410eaddc
logit	17	410bd394
logit	18	410b7a58
logit	19	411ad800
logit	20	4112a993
logit	21	4113c036
logit	22	4107ff4d
logit	23	41184aa8
logit	24	4112628c
logit	25	41126b1a
logit	26	408e6ecc
logit	27	4107e8ce
logit	28	4095645d
logit	29	40d87303
logit	30	411d831a
logit	31	40cf7a88
logit	32	41030f5c
logit	33	40eb94f1
logit	34	40e0008e
logit	35	410e4a88
logit	36	40fbaae2
logit	37	4107600a
logit	38	4104a58a
logit	39	40ddd588
logit	40	4109d052
logit	41	40f007a7
logit	42	40df1194
logit	43	40e9f297
logit	44	40daa79e
logit	45	40efeb21
logit	46	40ca7f16
logit	47	4108bd34
logit	48	4105e334
logit	49	4115928a
logit	50	4114e7ac
logit	51	410d362e
logit	52	40bc2c2e
logit	53	410666e5
logit	54	40ee6532
logit	55	40eef876
logit	56	40e3f26d
logit	57	40e03864
logit	58	40e9569f
logit	59	407da2f0
logit	60	40a0f28d
logit	61	40977642
logit	62	40f2bd4e
logit	63	40efe6ee
logit	64	40ea8eeb
logit	65	40e37002
logit	66	40d26215
logit	67	40ec6d74
logit	68	40d9bad7
logit	69	40fa3a5c
logit	70	40fa300c
logit	71	40fd4209
logit	72	41042f36
logit	73	40f6f675
logit	74	4103d2a2
logit	75	4103f907
logit	76	40d9ae1c
logit	77	40fdc9ea
logit	78	40d1ebe2
logit	79	40db85bc
logit	80	40f95e87
logit	81	4107b2b9
logit	82	410ed4f8
logit	83	41048f06
logit	84	40c9d7bf
logit	85	40f58198
logit	86	40eb2393
logit	87	40d719ef
logit	88	40c617ca
logit	89	40d4c626
logit	90	40abad4b
logit	91	40be107b
logit	92	4081644f
logit	93	4066ea78
logit	94	bcdcf0c0
logit	95	be95a2e0
logit	96	bf82661c
logit	97	be35cbeb
logit	98	bfb1c6ac
logit	99	3dd1ce9c
logit	100	bebe5a16
logit	101	bdea7844
logit	102	3e6bb860
logit	103	c02c2d8a
logit	104	3f416a99
logit	105	bf78dd3a
logit	106	3ef7df2f
logit	107	be16f236
logit	108	3f95fadb
logit	109	3f947112
logit	110	bfe96b63
logit	111	bf519faf
logit	112	bfee12eb
logit	113	3f1b1995
logit	114	be367356
logit	115	bf97a76c
logit	116	be3a4e68
logit	117	be155b74
logit	118	3d8254a4
logit	119	bf1df743
logit	120	3f1cdd19
logit	121	bf87e958
logit	122	bd87e338
logit	123	bed9b8ee
logit	124	bffa2bf5
logit	125	bffa0a16
logit	126	409f8dd2
logit	127	40ffa0c0
logit	128	bfbbdd2c
logit	129	c0438d4e
logit	130	bf6c1f2a
logit	131	c02f45fe
logit	132	be924d3a
logit	133	c023e968
logit	134	40a6e966
logit	135	40f0f96e
logit	136	c07c1e04
logit	137	bff38a7c
logit	138	c01a52bc
logit	139	bfbd9246
logit	140	c02db21b
logit	141	bfde4683
logit	142	c014bec0
logit	143	bfe1237c
logit	144	40432cf0
logit	145	bfaf7f68
logit	146	4069fa98
logit	147	404a542e
logit	148	c049b6a0
logit	149	c00dd684
logit	150	bfd8ee00
logit	151	c01a3f46
logit	152	40289578
logit	153	3f2b97a6
logit	154	3fe05efe
logit	155	400ffd82
logit	156	4049f15b
logit	157	4045070a
logit	158	40d60260
logit	159	3fed65ec
logit	160	3ff79c15
logit	161	bffacf91
logit	162	bfb9b6b7
logit	163	bec18f80
logit	164	3f292fa0
logit	165	40212513
logit	166	4093fc62
logit	167	3fffacf1
logit	168	bcb0ea10
logit	169	3fbd1348
logit	170	406e99f4
logit	171	40c70f26
logit	172	400226ce
logit	173	3fa21f61
logit	174	3f47db94
logit	175	4076496b
logit	176	3f9bec7d
logit	177	bffa0ba2
logit	178	bff9e70c
logit	179	bffa088d
logit	180	bffa2d96
logit	181	bffa3421
logit	182	bffa2c28
logit	183	bffa1503
logit	184	bffa4730
logit	185	bffa23f4
logit	186	bffa1a8a
logit	187	bffa197e
logit	188	40b940b5
logit	189	40822e88
logit	190	401e0b3c
logit	191	404d62d2
logit	192	3fb520fd
logit	193	40142f53
logit	194	4007cd56
logit	195	407340a7
logit	196	409aa254
logit	197	40c313d8
logit	198	408f1408
logit	199	4085ab89
logit	200	40accd56
logit	201	40afa3d4
logit	202	3f7fe180
logit	203	3ef46852
logit	204	401fe03b
logit	205	3f9261ad
logit	206	3fa7f77f
logit	207	3fdf8c70
logit	208	3f293bc2
logit	209	3f87c6c0
logit	210	3f842d4b
logit	211	3f04b50d
logit	212	3f9b2b11
logit	213	4000be2f
logit	214	403219de
logit	215	4032c4ce
logit	216	3fe45ffd
logit	217	3fc993b6
logit	218	3f9b38ca
logit	219	40813d02
logit	220	411f6ac8
logit	221	40ae52f0
logit	222	bf777883
logit	223	3ff14bf4
logit	224	be882544
logit	225	bebd6a56
logit	226	c00fb63f
logit	227	3e8a7fd0
logit	228	bf877ef7
logit	229	bfd7d55f
logit	230	bfb4b86a
logit	231	3fa16214
logit	232	3f9f5f66
logit	233	bf3ce15d
logit	234	bfe17c92
logit	235	3d8166e0
logit	236	bf83a804
logit	237	bf0a3600
logit	238	3f385193
logit	239	3de33248
logit	240	c00efd5a
logit	241	bf295a62
logit	242	be206068
logit	243	400c4892
logit	244	bfbc2962
logit	245	bf904317
logit	246	bf7472b2
logit	247	be814980
logit	248	beed2ec4
logit	249	bea39722
logit	250	bf2ba729
logit	251	3fb1da7d
logit	252	bfe34e92
logit	253	bf3dff7f
logit	254	bf10ee0a
logit	255	400d55a8
logit	256	40c5e33c
logit	257	408ec915
logit	258	40e040a0
logit	259	40b86197
logit	260	408ac1c9
logit	261	40c1ac2e
logit	262	40d27254
logit	263	403abfca
logit	264	40e1f3be
logit	265	40515d48
logit	266	409cf2c1
logit	267	40cc5ffc
logit	268	40875fb6
logit	269	40add6de
logit	270	406c5aba
logit	271	40886348
logit	272	40d5bd8d
logit	273	401dea3d
logit	274	40b18b72
logit	275	40a78102
logit	276	408c5e5e
logit	277	40aa32b0
logit	278	4029e2c0
