run	n_rows	med_decode_tok_s	med_ttft_s	med_prime_s	tags
plain1-timed-ctl1	10	19.871	4.946	4.865	d00-code,d01-code,d02-code,d03-code,d04-code,d05-code,d06-prose,d07-prose,d08-prose,d09-prose
pp3-timed-t1	10	8.995	0.474	0.378	d00-code,d01-code,d02-code,d03-code,d04-code,d05-code,d06-prose,d07-prose,d08-prose,d09-prose
  vendor: d00-code tok/s=9.201 ttft=0.438 out=256 seed=20260831
pp3-timed-t1l	2	5.441	1.686	1.472	l3-A4630,l3-WARM
pp3-timed-t2	10	8.988	0.475	0.378	d00-code,d01-code,d02-code,d03-code,d04-code,d05-code,d06-prose,d07-prose,d08-prose,d09-prose
  vendor: d00-code tok/s=9.199 ttft=0.438 out=256 seed=20260831
pp3-timed-t2l	2	5.435	1.693	1.477	l3-A4630,l3-WARM
pp3-timed-t3	10	8.990	0.474	0.378	d00-code,d01-code,d02-code,d03-code,d04-code,d05-code,d06-prose,d07-prose,d08-prose,d09-prose
  vendor: d00-code tok/s=9.194 ttft=0.438 out=256 seed=20260831
pp3-timed-t3l	2	5.441	1.685	1.472	l3-A4630,l3-WARM
tp2-timed-t1	10	22.648	4.664	4.618	d00-code,d01-code,d02-code,d03-code,d04-code,d05-code,d06-prose,d07-prose,d08-prose,d09-prose
  vendor: d00-code tok/s=22.590 ttft=4.161 out=256 seed=20260831
tp2-timed-t1l	2	21.450	50.969	50.920	l3-A4630,l3-WARM
tp2-timed-t2	10	22.690	4.667	4.621	d00-code,d01-code,d02-code,d03-code,d04-code,d05-code,d06-prose,d07-prose,d08-prose,d09-prose
  vendor: d00-code tok/s=22.613 ttft=4.159 out=256 seed=20260831
tp2-timed-t2l	2	21.430	51.049	51.000	l3-A4630,l3-WARM
tp2-timed-t3	10	22.614	4.665	4.619	d00-code,d01-code,d02-code,d03-code,d04-code,d05-code,d06-prose,d07-prose,d08-prose,d09-prose
  vendor: d00-code tok/s=22.533 ttft=4.162 out=256 seed=20260831
tp2-timed-t3l	2	21.462	51.072	51.023	l3-A4630,l3-WARM
