model	shape	rep	arm	order	tokens	seconds	tok_s	rc	physical_gpu_index	gpu_uuid	thermal_before_after
kat	pp2048	1	off	1	2048	0.2499	8195.7	0	1	GPU-2b4cf166-fd33-f161-8536-ca04bc72280c	27,180,29.32,0,0|31,2325,136.01,0,2
kat	pp2048	1	grouped	2	2048	0.7619	2688.0	0	1	GPU-2b4cf166-fd33-f161-8536-ca04bc72280c	31,2325,90.26,0,0|33,2325,135.24,0,0
kat	pp2048	2	grouped	3	2048	0.7621	2687.5	0	1	GPU-2b4cf166-fd33-f161-8536-ca04bc72280c	33,2325,91.38,0,0|34,2317,127.64,0,2
kat	pp2048	2	off	4	2048	0.2499	8193.7	0	1	GPU-2b4cf166-fd33-f161-8536-ca04bc72280c	34,2317,92.11,0,0|34,2325,123.50,0,2
kat	pp2048	3	off	5	2048	0.2500	8191.7	0	1	GPU-2b4cf166-fd33-f161-8536-ca04bc72280c	34,2325,91.62,0,0|34,2325,141.78,0,2
kat	pp2048	3	grouped	6	2048	0.7620	2687.7	0	1	GPU-2b4cf166-fd33-f161-8536-ca04bc72280c	33,2325,91.51,0,0|35,2317,135.35,0,1
kat	pp2048	4	grouped	7	2048	0.7621	2687.5	0	1	GPU-2b4cf166-fd33-f161-8536-ca04bc72280c	35,2317,91.96,0,0|35,2317,157.74,0,2
kat	pp2048	4	off	8	2048	0.2491	8221.2	0	1	GPU-2b4cf166-fd33-f161-8536-ca04bc72280c	35,2317,92.51,0,0|35,2317,132.09,0,0
kat	pp2048	5	off	9	2048	0.2501	8188.7	0	1	GPU-2b4cf166-fd33-f161-8536-ca04bc72280c	34,2325,92.10,0,0|34,2317,122.78,0,0
kat	pp2048	5	grouped	10	2048	0.7621	2687.5	0	1	GPU-2b4cf166-fd33-f161-8536-ca04bc72280c	34,2325,91.97,0,0|35,2317,151.14,0,1
