Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
29.5,211324164,60,3522069.4,3471250.0,2798907,4347718,327462.1,"void mmq_iq_experts_kernel<(int)64, (bool)1>(const unsigned long long *, int, int, const int *, const int *, const int *, const int *, const int *, float *, int, int, int, int, long, int)"
14.8,106006680,30,3533556.0,3502561.0,3333971,3896813,120567.7,"void mmq_iq_experts_kernel<(int)64, (bool)0>(const unsigned long long *, int, int, const int *, const int *, const int *, const int *, const int *, float *, int, int, int, int, long, int)"
11.2,80519022,115,700165.4,797846.0,229437,1618026,335655.4,"void mul_mat_q_q4_0<(int)128, (bool)0, (bool)0>(const char *, const char *, const int *, float *, int, int, int, int, int, int)"
5.1,36428122,5,7285624.4,7333886.0,7188800,7369182,83586.5,fa_prefill_bf16_hd512_sp16h2
4.1,29026590,30,967553.0,967379.0,931860,988051,11583.7,qmatvec_gemm_q4_0
3.9,27708777,60,461813.0,462698.0,435034,476282,8291.3,"void mul_mat_q_q4_0<(int)128, (bool)1, (bool)0>(const char *, const char *, const int *, float *, int, int, int, int, int, int)"
3.0,21847485,25,873899.4,872277.0,846804,895188,14671.1,fa_prefill_w_bf16_p1h2
2.2,15963533,30,532117.8,531401.0,523641,540281,3983.2,moe_pairs_scatter
1.7,12260385,17,721199.1,717175.0,716791,760214,10839.2,qmatvec_q6_K_mmvq
1.7,11932926,30,397764.2,383835.0,381147,469370,31668.1,rms_norm_qkv_w4b_f32
1.6,11578278,30,385942.6,385659.0,381211,390426,2081.6,add_rms_norm3_f32
1.6,11569416,480,24103.0,24000.0,23232,25375,439.6,moe_gate_up_gelu8_dev_q8
1.6,11520809,30,384027.0,353947.0,350204,536472,68611.4,rope_neox2_bf16e_f32
1.5,11064270,557,19864.0,3040.0,2784,161310,48458.2,rms_norm_f32
1.5,10872745,510,21319.1,3136.0,2880,317212,72737.2,rms_norm2x_f32
1.3,8971105,510,17590.4,3456.0,3200,251260,56544.3,add_rms_norm_f32
1.2,8785477,480,18303.1,18112.0,17120,20480,671.0,moe_down8_fma_dev_q8_w8r2
1.1,8182100,30,272736.7,272621.0,261980,277693,3217.1,"void fused_act_quant_mmq_q8_1_d4_kernel<(int)1>(const float *, const float *, void *, long, long, long, int)"
1.1,7693776,960,8014.4,7455.5,5312,16832,3076.0,qmatvec_q4_0_mmvq_rp
1.0,6914928,400,17287.3,17184.0,16416,18560,437.8,qmatvec_q4_0_mmvq_fused3_rp
1.0,6914722,400,17286.8,17151.0,16320,19071,604.9,fa_decode_vec_q_rows_v4_w_sp
1.0,6907749,90,76752.8,71983.0,44768,206461,36729.7,"quantize_mmq_q8_1_d4_q4_0(const float *, void *, long, long, long, int)"
0.9,6229325,46,135420.1,205021.0,1152,213086,99098.8,add_scale_f32
0.9,6177859,560,11031.9,9711.5,9151,19199,3211.0,qmatvec_q4_0_mmvq_fused2_rp
0.7,5111733,1007,5076.2,1408.0,1216,128062,20974.9,quantize_q8_1
0.7,4963197,30,165439.9,180589.5,86111,185469,35831.7,append_quantize_kv_q8_0_q5_1_rows
0.7,4807516,80,60093.9,59839.0,58463,63615,1213.0,fa_decode_vec_q_rows_v4_512_tb
0.7,4759263,510,9331.9,1024.0,960,143839,33222.2,gelu_tanh_mul_f32
0.5,3310970,480,6897.9,6912.0,5888,8096,336.0,moe_router_topk_scaled_f32
0.4,3024086,30,100802.9,101310.0,91807,105150,2540.9,void cutlass::Kernel2<cutlass_80_tensorop_s1688gemm_64x128_16x6_tn_align4>(T1::Params)
0.3,2156020,480,4491.7,4479.5,4288,4992,122.9,add_rms_norm3_q8z_f32
0.3,1938540,80,24231.8,24095.5,23584,25952,555.0,fa_decode_combine_rows_dc_q8_1
0.3,1932580,30,64419.3,64047.0,63071,66975,1071.4,"quantize_mmq_q8_1_d4_kernel(const float *, void *, long, long, long, int)"
0.2,1582249,480,3296.4,3296.0,2976,3872,165.4,router_gemv_f32_w8
0.2,1515859,400,3789.6,3744.0,3456,4544,222.7,fa_decode_combine_rows_w_q8_1
0.2,1393334,464,3002.9,2976.0,2815,3392,102.3,add_scale_rms_norm_q8_1
0.2,1363441,480,2840.5,2688.0,2464,3968,337.1,rms_norm_qkv_rope_append_dc_f32
0.2,1351504,30,45050.1,45231.0,40927,46464,1131.5,moe_router_topk_f32
0.1,560377,496,1129.8,1088.0,992,2016,143.5,inc_i32
0.0,95103,1,95103.0,95103.0,95103,95103,0.0,embed_gather_u32_t
0.0,90559,17,5327.0,960.0,928,75263,18022.1,scale_f32
0.0,56320,16,3520.0,3472.0,3328,3776,149.2,argmax_partial_f32
0.0,38559,16,2409.9,2400.0,2336,2528,55.7,rms_norm_q8_1
0.0,30782,16,1923.9,1936.0,1472,2047,132.5,argmax_final_f32
0.0,27488,16,1718.0,1696.0,1632,1952,88.8,embed_gather_u32
0.0,4352,1,4352.0,4352.0,4352,4352,0.0,softcap_f32
