Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
16.4,193281336,141,1370789.6,1567852.0,220638,3131288,1104310.2,"void mmq_iq4xs_dense_kernel<(int)64, (bool)0>(const unsigned char *, const int *, float *, int, int, int, long)"
15.2,179348012,18048,9937.3,9664.0,2720,20896,6220.4,qmatvec_iq4_XS_dp4a
7.5,88192404,120,734936.7,740502.5,599384,838326,39222.6,"void moe_kq_sk128v_kernel<(int)5>(const unsigned long long *, int, int, const int *, long, const __half *, float *, const float *, const int *, int, int, int, int, int, int)"
7.0,81953414,5120,16006.5,15968.0,13888,18304,583.9,moe_gate_up_silu8_dev_q8_v
6.4,75160652,769,97738.2,18464.0,17663,534489,176787.5,qmatvec_q6_K_mmvq
4.7,55856275,120,465469.0,462394.0,389947,656055,35384.8,"void moe_kq_sktail_kernel<(int)5>(const unsigned long long *, int, int, const int *, long, const __half *, float *, const float *, const int *, int, int, int, int, int, int)"
3.4,40560398,5120,7922.0,7904.0,7264,9088,248.2,moe_down8_fma_dev_q8_w8h2v
3.2,37801728,6912,5469.0,2976.0,2624,14080,4285.2,qmatvec_q8_0_mmvq
3.1,36525348,24514,1490.0,1376.0,1152,51328,2288.1,quantize_q8_1
2.5,29003052,5120,5664.7,5664.0,5248,6240,159.1,add_rms_norm_f32
2.2,26328340,5160,5102.4,4736.0,4416,37088,2682.0,moe_router_topk_f32
1.8,20847663,5120,4071.8,4032.0,3648,4960,219.4,router_gemv_f32_w8
1.6,18512757,30,617091.9,617016.0,600824,631192,8361.8,gdn_chunk_state_f32
1.5,17612987,40,440324.7,442170.5,418010,453722,7644.3,router_gemv_f32_w8_batch
1.5,17581035,6400,2747.0,1824.0,1632,4703,1184.2,qmatvec_q8_0_mmvq_fused2
1.4,16275117,1280,12714.9,12672.0,11967,14112,321.0,fa_decode_vec_q_v4_deep_dc
1.4,16051338,3840,4180.0,4160.0,3743,4928,213.8,gdn_scan_s128
1.3,14800035,5,2960007.0,2958010.0,2938842,2984090,19532.4,qmatvec_gemm_q6_K
1.1,13031673,40,325791.8,325675.5,319964,334940,2883.1,rows_permute_f32
1.0,12239842,10,1223984.2,1225056.0,1200785,1242480,17247.9,fa_prefill_qw_db
1.0,11454445,1280,8948.8,8928.0,8095,10048,301.3,qmatvec_q5_K_mmvq_mr2_il
1.0,11372368,5120,2221.2,2208.0,2080,2528,55.8,rms_norm_q8_1
0.9,10533143,30,351104.8,350284.0,339420,359707,4913.2,gdn_chunk_output_f32
0.7,8424339,80,105304.2,99822.5,64575,151230,39821.0,"gather_act_f16_kernel(const float *, const int *, __half *, float *, int, int)"
0.7,8418673,30,280622.4,280492.0,270876,287932,4390.4,ssm_conv1d_gdn_state_f32
0.7,8375786,5200,1610.7,1184.0,1119,36223,3544.4,add_f32
0.7,8249046,94,87755.8,45055.0,41439,333724,100762.2,"void mul_mat_q_q8_0<(int)128, (bool)0>(const char *, const int *, float *, int, int, int, int, int, int)"
0.7,8186673,5160,1586.6,1536.0,1408,7359,454.1,sigmoid_dot_rows_f32
0.7,8133379,5160,1576.2,1152.0,1056,58143,4828.9,add_scaled_rows_f32
0.7,8051233,2789,2886.8,1760.0,1600,91167,6371.6,rms_norm_f32
0.7,7878251,3840,2051.6,2048.0,1919,2336,61.8,ssm_conv1d_fused_decode_f32
0.6,6864456,40,171611.4,171358.0,164029,177214,3028.5,moe_pairs_scatter
0.6,6753329,5160,1308.8,1280.0,1152,5792,360.5,silu_mul_f32
0.5,6381540,3840,1661.9,1664.0,1504,1952,55.3,gated_rmsnorm_q8_1
0.5,6239601,30,207986.7,207421.5,203550,213277,2507.0,gdn_chunk_attn_f32
0.5,5892721,60,98212.0,98911.0,90879,103038,3004.2,qmatvec_q8_0_dp4a
0.5,5677758,3840,1478.6,1472.0,1376,1856,42.0,gdn_prep_decode_f32
0.5,5539419,40,138485.5,137726.0,135871,149471,2294.4,moe_pairs_silu_mul
0.4,5042238,30,168074.6,167886.0,166782,169886,803.5,gdn_chunk_solve32_f32
0.4,4957124,60,82618.7,81887.5,53216,113855,28838.2,l2_norm_pp_v2_f32
0.4,4823545,1280,3768.4,3776.0,3488,4128,138.0,fa_decode_combine_f32
0.4,4193131,2580,1625.2,1536.0,1312,26431,1540.5,rope_neox_f32
0.3,3986651,1290,3090.4,1728.0,1632,175838,15172.1,q_gate_split_f32
0.3,3591219,30,119707.3,119694.5,117375,121630,1064.9,gated_rmsnorm_f32
