#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB   MB/s   MB/s 
 20260812    12:19:30       0     34     35      -      0      0      0      0      0      0    405    180      0      0      0      1     12 
 20260812    12:19:31       0     61     36      -     12      1      0      0      0      0  12481   2392   1651   1650      0   4224     81 
 20260812    12:19:32       0     92     36      -      5      0      0      0      0      0  12481   2392   4371   4370      0   2640    232 
 20260812    12:19:33       0     92     35      -      6      0      0      0      0      0  12481   2392   7155   7154      0   4978    230 
 20260812    12:19:34       0     92     35      -      5      0      0      0      0      0  12481   2392   9939   9938      0   2640    450 
 20260812    12:19:36       0     92     35      -      5      0      0      0      0      0  12481   2392  12755  12754      0   2640    230 
 20260812    12:19:37       0     91     35      -      0      0      0      0      0      0  12481   2392  14739  14738      0      0      0 
 20260812    12:19:38       0     95     35      -      0      0      0      0      0      0  12481   2392  19507  19506      0      4      2 
 20260812    12:19:39       0    477     47      -    100     38      0      0      0      0  12481   2422  19507  19506      0      3      2 
 20260812    12:19:40       0    403     44      -    100     86      0      0      0      0  12481   2392  19507  19506      0    145     61 
 20260812    12:19:41       0    469     50      -    100     38      0      0      0      0  12481   2422  19507  19506      0      4      3 
 20260812    12:19:42       0    375     44      -    100     86      0      0      0      0  12481   2422  19507  19506      0    142     32 
 20260812    12:19:43       0    458     51      -    100     36      0      0      0      0  12481   2422  19731  19730      0      3      2 
 20260812    12:19:44       0    382     45      -    100     87      0      0      0      0  12481   2422  19731  19730      0    144     32 
 20260812    12:19:45       0    443     51      -    100     38      0      0      0      0  12481   2422  20019  20018      0      3      4 
 20260812    12:19:46       0    393     46      -    100     87      0      0      0      0  12481   2422  20019  20018      0    145     32 
 20260812    12:19:47       0    432     52      -    100     35      0      0      0      0  12481   2422  20307  20306      0      6      3 
 20260812    12:19:48       0    406     47      -    100     87      0      0      0      0  12481   2422  20307  20306      0    145     33 
 20260812    12:19:49       0    424     53      -    100     37      0      0      0      0  12481   2422  20595  20594      0      3      2 
 20260812    12:19:50       0    419     47      -    100     87      0      0      0      0  12481   2422  20595  20594      0    139     34 
 20260812    12:19:51       0    417     54      -    100     38      0      0      0      0  12481   2422  20883  20882      0      5      2 
 20260812    12:19:52       0    447     49      -     99     37      0      0      0      0  12481   2415  20883  20882      0    147     35 
 20260812    12:19:53       0    406     53      -    100     36      0      0      0      0  12481   2422  21171  21170      0      4      3 
 20260812    12:19:54       0    459     50      -     99     50      0      0      0      0  12481   2422  21171  21170      0    145     33 
 20260812    12:19:55       0    377     53      -    100     33      0      0      0      0  12481   2415  26835  26834      0     14      3 
 20260812    12:19:57       0    458     54      -    100     38      0      0      0      0  12481   2415  26899  26898      0     14      5 
 20260812    12:19:58       0    447     54      -     99     33      0      0      0      0  12481   2415  27187  27186      0     13      4 
 20260812    12:19:59       0    405     51      -    100     56      0      0      0      0  12481   2392  27187  27186      0     54     15 
 20260812    12:20:00       0    361     51      -     99     56      0      0      0      0  12481   2392  27187  27186      0     55     15 
 20260812    12:20:01       0    359     50      -     99     57      0      0      0      0  12481   2385  27187  27186      0    152     32 
 20260812    12:20:02       0    339     48      -     32     28      0      0      0      0  12481   2400  27187  27186      0    142     33 
 20260812    12:20:03       0    341     49      -    100     87      0      0      0      0  12481   2422  27187  27186      0    152     32 
